#{"t_start": 1667421450.0022318, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,654.468992
0.0,4,654.541952
0.0,3,654.595968
0.0,2,654.629609
0.0,2,654.662945
0.0,2,654.712616
0.0,2,654.747751
0.0,2,654.783291
0.0,3,654.833314
0.0,3,654.887814
0.0,2,654.923685
0.0,2,654.959741
0.0,2,654.996577
0.0,2,655.032974
0.0,2,655.068828
0.0,2,655.104538
0.0,2,655.137048
0.0,2,655.173069
0.0,2,655.204712
0.0,2,655.237752
0.0,2,655.272054
0.0,2,655.305928
0.0,3,655.354131
0.0,2,655.388175
0.0,2,655.419016
0.0,2,655.451011
0.0,4,655.522272
0.0,5,655.607508
0.0,3,655.657682
0.0,2,655.691247
0.0,2,655.727814
0.0,2,655.766387
0.0,2,655.801899
0.0,2,655.836256
0.0,2,655.867252
0.0,2,655.898165
0.0,7,656.025693
0.0,2,656.06384
0.0,2,656.096826
0.0,4,656.164503
0.0,4,656.234591
0.0,2,656.268548
0.0,2,656.30204
0.0,2,656.342295
0.0,4,656.415125
0.0,2,656.449235
0.0,2,656.486066
0.0,3,656.538986
0.0,2,656.575456
0.0,4,656.652029
0.0,2,656.691573
0.0,2,660.099437
0.0,4,660.171104
0.0,3,660.225891
0.0,2,660.263011
0.0,2,660.298077
0.0,2,660.333709
0.0,6,660.434307
0.0,2,660.47174
0.0,2,660.506023
0.0,2,660.539514
0.0,2,660.57188
0.0,5,660.652041
0.0,2,660.688197
0.0,2,660.720915
0.0,3,660.774077
0.0,2,660.806596
0.0,2,660.839321
0.0,2,660.875686
0.0,2,660.913747
0.0,2,660.944681
0.0,2,660.975956
0.0,2,661.007488
0.0,4,661.074645
0.0,4,661.138097
0.0,2,661.167902
0.0,4,661.235861
0.0,2,661.273085
0.0,2,661.309917
0.0,5,661.39776
0.0,2,661.431976
0.0,4,661.493768
0.0,5,661.580925
0.0,4,661.654761
0.0,4,661.728575
0.0,2,661.766557
0.0,2,661.79652
0.0,3,661.84586
0.0,2,661.882462
0.0,2,661.914347
0.0,2,661.946544
0.0,4,662.022517
0.0,2,662.05754
0.0,2,662.095355
0.0,2,662.129809
0.0,2,662.16353
0.0,2,662.197644
0.0,2,662.235872
0.0,2,662.275885
0.0,2,665.708789
0.0,4,665.781112
0.0,2,665.81113
0.0,2,665.849185
0.0,4,665.923248
0.0,2,665.957942
0.0,2,665.992111
0.0,2,666.026703
0.0,4,666.097892
0.0,3,666.152854
0.0,2,666.188634
0.0,2,666.225503
0.0,2,666.262114
0.0,2,666.298082
0.0,2,666.334015
0.0,2,666.370571
0.0,2,666.407049
0.0,4,666.478625
0.0,2,666.515697
0.0,2,666.552503
0.0,2,666.58931
0.0,4,666.653283
0.0,2,666.682597
0.0,2,666.7136
0.0,2,666.742052
0.0,2,666.773923
0.0,2,666.807843
0.0,3,666.85622
0.0,2,666.891195
0.0,3,666.93886
0.0,4,667.004818
0.0,4,667.070577
0.0,2,667.104542
0.0,4,667.166451
0.0,2,667.194729
0.0,6,667.294507
0.0,2,667.328212
0.0,2,667.365636
0.0,2,667.398189
0.0,2,667.437457
0.0,2,667.475074
0.0,2,667.510912
0.0,7,667.636327
0.0,2,667.670456
0.0,2,667.707518
0.0,2,667.743004
0.0,2,667.780419
0.0,2,667.813213
0.0,4,667.876993
0.0,2,671.338907
0.0,2,671.373652
0.0,2,671.410454
0.0,3,671.461035
0.0,2,671.496355
0.0,2,671.526711
0.0,4,671.58778
0.0,2,671.620762
0.0,2,671.654663
0.0,2,671.688719
0.0,4,671.756637
0.0,3,671.809997
0.0,2,671.847525
0.0,2,671.880366
0.0,2,671.916196
0.0,2,671.952365
0.0,2,671.990075
0.0,5,672.077362
0.0,2,672.11071
0.0,2,672.143577
0.0,2,672.17596
0.0,2,672.212245
0.0,4,672.283031
0.0,2,672.31614
0.0,2,672.34862
0.0,2,672.380731
0.0,2,672.412192
0.0,2,672.444898
0.0,2,672.476699
