#{"t_start": 1667421450.278881, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,939.10661
0.0,4,939.18445
0.0,2,939.222138
0.0,2,939.25909
0.0,2,939.300231
0.0,2,939.339619
0.0,2,939.375117
0.0,2,939.413078
0.0,3,939.463311
0.0,4,939.540798
0.0,2,939.575914
0.0,2,939.615978
0.0,2,939.654663
0.0,2,939.690274
0.0,2,939.722305
0.0,2,939.763404
0.0,2,939.79924
0.0,2,939.834617
0.0,2,939.888948
0.0,2,939.932014
0.0,2,940.005084
0.0,4,940.073463
0.0,2,940.109169
0.0,2,940.144734
0.0,6,940.246202
0.0,2,940.278689
0.0,6,940.38137
0.0,3,940.43418
0.0,2,940.467084
0.0,2,940.496959
0.0,4,940.564547
0.0,2,940.604774
0.0,2,940.637655
0.0,4,940.706713
0.0,2,940.740172
0.0,2,940.773014
0.0,2,940.802433
0.0,4,940.859336
0.0,2,940.889209
0.0,4,940.94833
0.0,2,940.97883
0.0,2,941.010576
0.0,2,941.043304
0.0,3,941.093532
0.0,2,941.123356
0.0,2,941.157244
0.0,6,941.249772
0.0,2,941.286191
0.0,2,941.322885
0.0,3,944.960821
0.0,2,945.00331
0.0,2,945.046132
0.0,2,945.089074
0.0,2,945.123803
0.0,2,945.162969
0.0,2,945.200675
0.0,2,945.232213
0.0,4,945.307186
0.0,2,945.339775
0.0,3,945.396021
0.0,2,945.436998
0.0,2,945.477479
0.0,4,945.554338
0.0,4,945.633054
0.0,2,945.669851
0.0,4,945.745351
0.0,3,945.798495
0.0,2,945.833375
0.0,2,945.869108
0.0,2,945.904058
0.0,4,945.97249
0.0,3,946.024857
0.0,4,946.091621
0.0,7,946.212483
0.0,2,946.247184
0.0,6,946.357511
0.0,4,946.428046
0.0,4,946.502413
0.0,2,946.538376
0.0,2,946.572036
0.0,2,946.605788
0.0,2,946.639204
0.0,4,946.702882
0.0,4,946.767916
0.0,6,946.866223
0.0,2,946.899387
0.0,2,946.934069
0.0,4,947.002171
0.0,3,947.046948
0.0,3,947.100725
0.0,6,947.210476
0.0,2,950.842128
0.0,2,950.88091
0.0,2,950.915224
0.0,3,950.970763
0.0,2,951.011724
0.0,2,951.049666
0.0,4,951.120719
0.0,2,951.15616
0.0,2,951.192565
0.0,4,951.267842
0.0,2,951.305765
0.0,4,951.380763
0.0,2,951.417156
0.0,2,951.453333
0.0,2,951.488752
0.0,2,951.525495
0.0,2,951.559588
0.0,2,951.59467
0.0,5,951.683188
