#{"t_start": 1667421450.556274, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,653.917374
0.0,4,653.991234
0.0,2,654.026993
0.0,4,654.094093
0.0,2,654.142724
0.0,2,654.177908
0.0,2,654.21407
0.0,2,654.249525
0.0,4,654.317365
0.0,2,654.354129
0.0,2,654.390836
0.0,2,654.425928
0.0,6,654.535109
0.0,2,654.56714
0.0,4,654.637872
0.0,4,654.704353
0.0,2,654.736205
0.0,2,654.768572
0.0,2,654.802164
0.0,2,654.836029
0.0,2,654.866991
0.0,2,654.899044
0.0,4,654.970243
0.0,2,655.006056
0.0,2,655.041973
0.0,2,655.074075
0.0,4,655.139225
0.0,2,655.175705
0.0,2,655.214383
0.0,2,655.249777
0.0,2,655.284159
0.0,2,655.315104
0.0,4,655.38048
0.0,2,655.418066
0.0,2,655.455285
0.0,2,655.491709
0.0,2,655.528906
0.0,2,655.562471
0.0,2,655.595904
0.0,2,655.629553
0.0,3,655.682544
0.0,2,655.716608
0.0,2,655.749725
0.0,2,655.790143
0.0,2,655.823742
0.0,2,655.862891
0.0,2,655.897182
0.0,2,655.933856
0.0,2,655.967217
0.0,2,656.00432
0.0,2,656.043193
0.0,3,656.100127
0.0,2,656.139514
0.0,2,659.547439
0.0,2,659.583259
0.0,2,659.619978
0.0,2,659.656642
0.0,3,659.711333
0.0,4,659.781888
0.0,2,659.813443
0.0,2,659.846036
0.0,2,659.882518
0.0,2,659.919846
0.0,2,659.954082
0.0,4,660.020455
0.0,2,660.051491
0.0,2,660.083631
0.0,2,660.116817
0.0,2,660.154522
0.0,2,660.188009
0.0,2,660.221965
0.0,3,660.272116
0.0,4,660.342442
0.0,2,660.375545
0.0,2,660.407186
0.0,6,660.504844
0.0,4,660.571795
0.0,4,660.633681
0.0,2,660.666429
0.0,2,660.701957
0.0,2,660.738805
0.0,2,660.773263
0.0,2,660.811543
0.0,2,660.845805
0.0,6,660.941567
0.0,2,660.976186
0.0,2,661.011282
0.0,2,661.046417
0.0,2,661.083349
0.0,4,661.15814
0.0,4,661.227708
0.0,2,661.258374
0.0,2,661.293685
0.0,2,661.330601
0.0,2,661.362546
0.0,2,661.394071
0.0,2,661.432055
0.0,4,661.505721
0.0,2,661.543177
0.0,2,661.577797
0.0,2,661.611794
0.0,2,661.646046
0.0,2,661.684857
0.0,2,661.724448
0.0,2,665.156994
0.0,2,665.192149
0.0,4,665.259323
0.0,2,665.297487
0.0,2,665.334635
0.0,2,665.371504
0.0,2,665.406739
0.0,2,665.441133
0.0,2,665.475813
0.0,6,665.582334
0.0,4,665.655058
0.0,2,665.691273
0.0,2,665.727837
0.0,2,665.764604
0.0,2,665.800269
0.0,2,665.837037
0.0,2,665.87289
0.0,2,665.909298
0.0,4,665.981899
0.0,2,666.018749
0.0,2,666.055521
0.0,2,666.084552
0.0,2,666.112905
0.0,2,666.145146
0.0,6,666.23805
0.0,2,666.270213
0.0,2,666.304004
0.0,2,666.338692
0.0,2,666.369975
0.0,3,666.420233
0.0,2,666.452866
0.0,2,666.48502
0.0,2,666.518651
0.0,2,666.552782
0.0,2,666.585452
0.0,4,666.643011
0.0,2,666.678478
0.0,2,666.714077
0.0,3,666.759281
0.0,3,666.813873
0.0,2,666.846182
0.0,4,666.923327
0.0,2,666.959172
0.0,2,666.991296
0.0,4,667.065766
0.0,2,667.103323
0.0,4,667.171037
0.0,2,667.208809
0.0,4,667.279355
0.0,2,667.30979
0.0,2,670.769567
0.0,2,670.803989
0.0,2,670.838837
0.0,2,670.874928
0.0,6,670.974668
0.0,2,671.004439
0.0,6,671.103492
0.0,3,671.155011
0.0,2,671.185255
0.0,2,671.221493
0.0,2,671.257931
0.0,2,671.29558
0.0,2,671.328465
0.0,2,671.364296
0.0,2,671.400656
0.0,4,671.47401
0.0,2,671.506217
0.0,2,671.538615
0.0,2,671.575427
0.0,2,671.608879
0.0,2,671.642778
0.0,4,671.711116
0.0,2,671.747277
0.0,4,671.812935
0.0,7,671.924963
0.0,2,671.955949
0.0,2,671.991429
0.0,4,672.061404
0.0,2,672.097659
0.0,4,672.16222
0.0,2,672.195673
0.0,2,672.230021
0.0,2,672.267404
0.0,2,672.302168
0.0,2,672.333452
0.0,2,672.367632
0.0,2,672.398082
0.0,2,672.429938
0.0,2,672.463867
0.0,2,672.498049
0.0,2,672.532179
0.0,4,672.603058
0.0,2,672.635114
0.0,2,672.671473
0.0,3,672.719932
0.0,2,672.754862
0.0,2,672.791017
0.0,2,672.825027
0.0,2,672.855801
0.0,4,672.948069
0.0,2,676.434339
0.0,2,676.469212
0.0,2,676.504337
0.0,2,676.538991
0.0,2,676.578169
0.0,6,676.681293
0.0,2,676.7141
0.0,2,676.746184
0.0,2,676.783229
0.0,6,676.890645
0.0,2,676.921903
0.0,2,676.952347
0.0,2,676.986915
0.0,4,677.058683
0.0,4,677.126735
0.0,2,677.162537
0.0,2,677.195324
0.0,2,677.229396
0.0,2,677.261525
0.0,2,677.297822
0.0,2,677.335641
0.0,2,677.369549
0.0,2,677.405174
0.0,4,677.4693
0.0,2,677.504777
0.0,4,677.572904
0.0,2,677.604186
0.0,3,677.658013
0.0,4,677.720701
0.0,2,677.755772
0.0,3,677.802555
0.0,2,677.832936
0.0,2,677.865287
0.0,4,678.016901
0.0,2,678.049231
0.0,4,678.114925
0.0,3,678.162044
0.0,2,678.192729
0.0,2,678.22797
0.0,4,678.289879
0.0,2,678.326135
0.0,2,678.362045
0.0,2,678.400877
0.0,2,678.438776
0.0,4,678.506435
0.0,2,678.54076
0.0,2,678.575181
0.0,2,678.609141
0.0,3,678.665096
0.0,4,682.147189
0.0,2,682.181825
0.0,2,682.21407
0.0,2,682.251259
0.0,7,682.371535
0.0,2,682.408503
0.0,2,682.445232
0.0,3,682.502359
