#{"t_start": 1667421450.5561898, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,71.145023
0.0,4,71.198641
0.0,2,71.225613
0.0,4,71.278632
0.0,2,71.304806
0.0,2,71.331699
0.0,4,71.3854
0.0,4,71.439043
0.0,2,71.46605
0.0,2,71.493978
0.0,2,71.523327
0.0,2,71.55271
0.0,2,71.578453
0.0,2,71.605106
0.0,4,71.658672
0.0,4,71.712495
0.0,2,71.739684
0.0,2,71.766594
0.0,2,71.793032
0.0,2,71.819668
0.0,2,71.846652
0.0,4,71.900451
0.0,2,71.930121
0.0,2,71.956965
0.0,2,71.983548
0.0,2,72.010755
0.0,2,72.037661
0.0,2,72.064546
0.0,2,72.090652
0.0,2,72.117875
0.0,5,72.18429
0.0,2,72.2111
0.0,2,72.238102
0.0,4,72.291621
0.0,2,72.31875
0.0,4,72.372049
0.0,2,72.399044
0.0,2,72.426228
0.0,2,72.452905
0.0,2,72.48013
0.0,2,72.506651
0.0,2,72.53318
0.0,4,72.587224
0.0,2,72.613955
0.0,2,72.640493
0.0,2,72.667502
0.0,4,72.721263
0.0,2,72.747825
0.0,2,72.774803
0.0,2,72.801748
0.0,2,72.829156
0.0,2,75.972151
0.0,2,75.996931
0.0,2,76.025367
0.0,4,76.077378
0.0,2,76.108454
0.0,2,76.135515
0.0,2,76.161915
0.0,2,76.190819
0.0,2,76.218511
0.0,2,76.245089
0.0,2,76.271478
0.0,2,76.298364
0.0,2,76.325302
0.0,2,76.349521
0.0,4,76.403062
0.0,4,76.4567
0.0,2,76.48315
0.0,2,76.511152
0.0,2,76.538622
0.0,2,76.56582
0.0,2,76.592604
0.0,2,76.619125
0.0,2,76.646025
0.0,2,76.672916
0.0,2,76.69963
0.0,2,76.726182
0.0,2,76.753144
0.0,2,76.779942
0.0,2,76.806798
0.0,2,76.833602
0.0,2,76.86041
0.0,4,76.913902
0.0,4,76.967654
0.0,2,76.994417
0.0,2,77.021304
0.0,2,77.047669
0.0,2,77.074499
0.0,2,77.101128
0.0,2,77.127945
0.0,2,77.154654
0.0,2,77.181286
0.0,2,77.208008
0.0,2,77.234735
0.0,2,77.261149
0.0,2,77.287863
0.0,2,77.314855
0.0,2,77.341426
0.0,2,77.368165
0.0,4,77.421824
0.0,2,77.44882
0.0,2,77.475156
0.0,2,77.502099
0.0,2,77.52935
0.0,2,77.556274
0.0,2,77.582927
0.0,2,77.609857
0.0,2,77.637067
0.0,2,77.663793
0.0,2,86.026613
0.0,2,86.041866
0.0,2,86.059054
0.0,4,86.09248
0.0,4,86.128037
0.0,2,86.148079
0.0,2,86.172743
0.0,2,86.19893
0.0,4,86.248371
0.0,2,86.276353
0.0,5,86.345583
0.0,2,86.372321
0.0,2,86.399176
0.0,2,86.426032
0.0,2,86.452519
0.0,4,86.50692
0.0,2,86.534934
0.0,2,86.562
0.0,2,86.588609
0.0,2,86.615494
0.0,2,86.642447
0.0,2,86.669386
0.0,6,86.74963
0.0,2,86.776721
0.0,2,86.80299
0.0,2,86.829742
0.0,6,86.91051
0.0,2,86.937025
0.0,2,86.964768
0.0,2,86.991098
0.0,2,87.016987
0.0,4,87.070863
0.0,2,87.09915
0.0,2,87.127205
0.0,2,87.155593
0.0,2,87.183724
0.0,2,87.212893
0.0,2,87.23747
0.0,2,87.263593
0.0,2,87.292008
0.0,2,87.320974
0.0,2,87.347547
0.0,2,87.373193
0.0,2,87.399207
0.0,2,87.425099
0.0,4,87.480459
0.0,2,87.507402
0.0,2,87.53226
0.0,2,87.55739
0.0,2,87.582461
0.0,2,87.607666
0.0,4,87.658595
0.0,2,90.799108
0.0,2,90.837698
0.0,2,90.853474
0.0,2,90.870602
0.0,2,90.887726
0.0,2,90.904269
0.0,2,90.922618
0.0,2,90.940833
0.0,2,90.959247
0.0,2,90.976126
0.0,2,90.993664
0.0,2,91.012184
0.0,4,91.39695
0.0,4,91.422489
0.0,4,91.446894
0.0,2,91.459816
0.0,2,91.471723
0.0,4,91.495259
0.0,4,92.080276
0.0,2,92.093016
0.0,2,92.105296
0.0,2,92.117939
0.0,2,92.130128
0.0,4,92.155253
0.0,2,92.166965
0.0,2,92.180139
0.0,2,92.192343
0.0,2,92.204455
0.0,2,92.214925
0.0,2,92.225938
0.0,2,92.237314
0.0,2,92.249964
0.0,3,92.267906
0.0,2,92.27851
0.0,2,92.290739
0.0,2,92.304243
0.0,6,92.338216
0.0,2,92.349147
0.0,2,92.359684
0.0,4,92.382223
0.0,4,92.407487
0.0,2,92.419999
0.0,4,92.443664
0.0,2,92.455852
0.0,2,92.468266
0.0,2,92.481451
0.0,2,92.495609
0.0,2,92.510365
0.0,2,92.524687
0.0,2,92.538473
0.0,2,92.553136
0.0,2,92.567888
0.0,2,97.272347
0.0,2,97.2937
0.0,2,97.312377
0.0,2,97.330657
0.0,2,97.347782
0.0,2,97.363708
0.0,2,97.379723
0.0,2,97.394555
0.0,2,97.410864
0.0,2,97.427059
0.0,2,97.441411
0.0,2,97.456869
0.0,2,97.472498
0.0,4,97.501582
0.0,2,97.51635
0.0,2,97.531021
0.0,2,97.544522
0.0,2,97.558248
0.0,2,97.573513
0.0,2,97.590287
0.0,2,97.606153
0.0,4,97.635839
0.0,2,97.650223
0.0,4,97.678543
0.0,2,97.69313
0.0,4,97.720554
0.0,2,97.736914
0.0,2,97.753355
0.0,2,97.769538
0.0,2,97.785561
0.0,2,97.802121
0.0,2,97.8174
0.0,2,97.83182
1.0,7,97.880731
0.0,2,97.893739
0.0,2,97.906095
0.0,2,97.918439
0.0,2,97.933125
0.0,2,97.944364
0.0,4,97.966066
0.0,2,97.976662
0.0,2,97.988249
0.0,2,97.999748
0.0,2,98.010859
0.0,2,98.022752
0.0,2,98.034855
0.0,2,98.047098
0.0,2,98.058125
0.0,2,98.069523
0.0,2,98.08183
0.0,4,98.105853
0.0,2,98.117868
0.0,2,98.129344
0.0,2,98.141509
0.0,2,98.153696
0.0,4,99.635804
0.0,2,99.662744
0.0,2,99.689415
0.0,2,99.715991
0.0,4,99.769946
0.0,2,99.796731
0.0,2,99.823345
0.0,3,99.864408
0.0,2,99.894465
0.0,2,99.926345
0.0,2,99.957858
0.0,2,99.988965
0.0,2,100.02006
0.0,2,100.046365
0.0,2,100.072986
0.0,2,100.099262
0.0,2,100.126754
0.0,2,100.153792
0.0,2,100.181471
0.0,2,100.208998
0.0,2,100.23722
0.0,2,100.26481
0.0,3,100.306703
0.0,2,100.333745
0.0,4,100.389589
0.0,2,100.418696
0.0,4,100.474582
0.0,2,100.50311
0.0,2,100.530991
0.0,2,100.559642
0.0,2,100.587982
0.0,3,100.630611
0.0,2,100.659482
0.0,2,100.687572
0.0,2,100.715935
0.0,2,100.744429
0.0,2,100.773774
1.0,7,100.872467
0.0,2,100.900839
0.0,2,100.929165
0.0,2,100.957355
0.0,3,100.999548
0.0,2,101.027127
0.0,2,101.055551
0.0,2,101.08436
0.0,2,101.113828
0.0,2,101.141644
0.0,2,101.17024
0.0,2,101.198524
0.0,4,101.255016
0.0,2,101.283847
0.0,4,101.340842
0.0,2,101.370624
0.0,2,101.400846
0.0,2,104.464473
0.0,4,104.517476
0.0,3,104.55758
0.0,2,104.584403
0.0,2,104.61133
0.0,2,104.638496
0.0,2,104.664788
0.0,3,104.705001
0.0,2,104.73237
0.0,6,104.813256
0.0,2,104.841088
0.0,4,104.896053
0.0,2,104.924077
0.0,2,104.951813
0.0,4,105.006771
0.0,2,105.034218
0.0,2,105.061681
0.0,2,105.089025
0.0,2,105.117183
0.0,2,105.145183
0.0,2,105.173385
0.0,2,105.202318
0.0,3,105.244723
0.0,4,105.302218
0.0,2,105.330687
0.0,2,105.359472
0.0,2,105.387349
0.0,2,105.41664
0.0,2,105.444217
0.0,2,105.472265
0.0,4,105.529785
0.0,2,105.558174
0.0,2,105.586735
0.0,4,105.643978
0.0,2,105.67227
0.0,2,105.700724
0.0,2,105.729082
0.0,2,105.757619
0.0,6,105.842614
0.0,2,105.871504
0.0,2,105.899727
0.0,4,105.95684
0.0,2,105.985632
0.0,3,106.028463
0.0,6,106.115078
0.0,2,106.143867
0.0,2,106.173583
0.0,4,106.23307
0.0,2,109.329743
0.0,2,109.358464
0.0,2,109.385292
0.0,3,109.425043
0.0,2,109.452163
0.0,4,109.506324
0.0,2,109.533238
0.0,2,109.559465
0.0,4,109.613398
0.0,2,109.641166
0.0,2,109.66794
0.0,2,109.695665
