#{"t_start": 1667421450.8471537, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,653.627704
0.0,2,653.662906
0.0,2,653.701708
0.0,3,653.754748
0.0,2,653.788056
0.0,2,653.82133
0.0,4,653.906045
0.0,2,653.942153
0.0,4,654.009569
0.0,2,654.045762
0.0,2,654.081786
0.0,2,654.117711
0.0,2,654.154381
0.0,2,654.191232
0.0,2,654.226759
0.0,4,654.294843
0.0,2,654.330601
0.0,2,654.362405
0.0,2,654.395761
0.0,2,654.429639
0.0,2,654.464105
0.0,2,654.495826
0.0,2,654.52748
0.0,2,654.562602
0.0,2,654.593995
0.0,2,654.628649
0.0,2,654.661983
0.0,2,654.69679
0.0,2,654.731842
0.0,2,654.765235
0.0,4,654.834249
0.0,2,654.86851
0.0,3,654.924517
0.0,2,654.959939
0.0,4,655.025103
0.0,2,655.055932
0.0,4,655.128324
0.0,2,655.165857
0.0,2,655.202005
0.0,4,655.272543
0.0,4,655.339763
0.0,2,655.373496
0.0,2,655.405634
0.0,2,655.443431
0.0,2,655.482244
0.0,2,655.515982
0.0,4,655.586799
0.0,2,655.624218
0.0,2,655.66279
0.0,2,655.697078
0.0,2,655.733567
0.0,2,655.771494
0.0,2,655.810398
0.0,2,655.849777
0.0,3,659.272233
0.0,2,659.311625
0.0,2,659.350067
0.0,2,659.384742
0.0,2,659.421535
0.0,2,659.456008
0.0,2,659.492161
0.0,2,659.523542
0.0,2,659.556464
0.0,2,659.592677
0.0,2,659.629983
0.0,2,659.664197
0.0,2,659.697324
0.0,2,659.730673
0.0,2,659.761558
0.0,2,659.793626
0.0,2,659.826939
0.0,4,659.898234
0.0,2,659.931975
0.0,2,659.96436
0.0,2,659.996781
0.0,2,660.033381
0.0,2,660.071692
0.0,2,660.103072
0.0,2,660.134666
0.0,2,660.165518
0.0,2,660.198355
0.0,2,660.232598
0.0,2,660.264587
0.0,2,660.295881
0.0,3,660.343931
0.0,2,660.376858
0.0,2,660.412326
0.0,2,660.448909
0.0,2,660.483482
0.0,2,660.521806
0.0,2,660.555976
0.0,2,660.589649
0.0,2,660.61859
0.0,2,660.651763
0.0,6,660.756466
0.0,2,660.793421
0.0,2,660.830173
0.0,2,660.868182
0.0,2,660.904392
0.0,2,660.937797
0.0,3,660.985018
0.0,6,661.089098
0.0,2,661.122995
0.0,4,661.196202
0.0,6,661.306197
0.0,2,661.340114
0.0,2,661.374912
0.0,2,661.413475
0.0,2,664.848966
0.0,2,664.885134
0.0,2,664.921124
0.0,4,664.987227
0.0,2,665.025167
0.0,2,665.063361
0.0,2,665.099422
0.0,4,665.168072
0.0,4,665.238927
0.0,2,665.274733
0.0,4,665.347072
0.0,2,665.383942
0.0,2,665.420745
0.0,2,665.456448
0.0,4,665.52819
0.0,4,665.600801
0.0,2,665.636446
0.0,2,665.673413
0.0,3,665.728894
0.0,2,665.765654
0.0,2,665.794722
0.0,2,665.822882
0.0,5,665.89957
0.0,2,665.931325
0.0,2,665.965429
0.0,2,665.999243
0.0,2,666.032223
0.0,2,666.063277
0.0,3,666.114122
0.0,3,666.162949
0.0,2,666.19526
0.0,4,666.263024
0.0,4,666.324406
0.0,4,666.388701
0.0,6,666.486201
0.0,4,666.556443
0.0,2,666.595546
0.0,2,666.633727
0.0,3,666.684941
0.0,4,666.756988
0.0,4,666.827995
0.0,2,666.865338
0.0,2,666.900621
0.0,2,666.938517
0.0,2,666.970738
0.0,2,667.003647
0.0,2,667.034962
0.0,2,670.496208
0.0,2,670.5316
0.0,2,670.568229
0.0,2,670.60039
0.0,2,670.634562
0.0,2,670.667902
0.0,2,670.697712
0.0,2,670.728785
0.0,2,670.759101
0.0,2,670.795368
0.0,2,670.830596
0.0,2,670.865347
0.0,2,670.895465
0.0,2,670.931806
0.0,2,670.968112
0.0,2,671.005772
0.0,3,671.055746
0.0,6,671.164707
0.0,6,671.268456
0.0,2,671.301371
0.0,2,671.333633
0.0,2,671.369918
0.0,4,671.440837
0.0,2,671.474217
0.0,2,671.506231
0.0,4,671.570304
0.0,3,671.617895
0.0,2,671.650683
0.0,4,671.719256
0.0,2,671.753167
0.0,2,671.789353
0.0,2,671.82253
0.0,2,671.855517
0.0,4,671.922197
0.0,2,671.958522
0.0,2,671.995678
0.0,2,672.027228
0.0,2,672.062154
0.0,2,672.092782
0.0,2,672.124502
0.0,2,672.156112
0.0,2,672.191494
0.0,3,672.242349
0.0,2,672.279337
0.0,2,672.31331
0.0,2,672.345233
0.0,2,672.382106
0.0,2,672.413945
0.0,2,672.444768
0.0,2,672.482606
0.0,3,672.53521
0.0,4,672.595843
0.0,5,676.161797
0.0,2,676.198211
0.0,3,676.24923
0.0,3,676.305567
0.0,7,676.424536
0.0,2,676.45636
0.0,4,676.530867
0.0,2,676.565763
0.0,2,676.600934
0.0,2,676.632321
0.0,2,676.662741
0.0,2,676.69712
0.0,3,676.749024
0.0,4,676.821252
0.0,2,676.855268
0.0,4,676.920513
0.0,4,676.991159
0.0,4,677.059644
0.0,3,677.115241
0.0,4,677.179883
0.0,2,677.214989
0.0,2,677.253919
0.0,4,677.314361
0.0,2,677.349487
0.0,3,677.395555
0.0,2,677.4307
0.0,2,677.465759
0.0,2,677.495762
0.0,2,677.528506
0.0,2,677.560553
0.0,2,677.593016
0.0,4,677.743518
0.0,2,677.776293
0.0,2,677.808155
0.0,2,677.840208
0.0,2,677.872136
0.0,2,677.902679
0.0,2,677.937912
0.0,2,677.969397
0.0,2,677.999952
0.0,3,678.054177
0.0,2,678.091166
0.0,2,678.129113
0.0,2,678.166225
0.0,2,678.200882
0.0,3,678.250841
0.0,4,678.319192
0.0,6,681.83698
0.0,2,681.875955
0.0,4,681.94283
0.0,2,681.977558
0.0,2,682.009296
0.0,2,682.043804
0.0,5,682.136887
0.0,2,682.173211
0.0,4,682.249335
0.0,6,682.358814
0.0,2,682.3957
0.0,2,682.429661
0.0,2,682.462978
0.0,2,682.500737
0.0,2,682.536055
0.0,2,682.571066
0.0,2,682.605659
0.0,2,682.691824
0.0,2,682.724404
0.0,2,682.758622
0.0,2,682.792919
0.0,2,682.828369
0.0,4,682.901555
0.0,2,682.936802
0.0,2,682.970538
0.0,2,683.00422
0.0,2,683.036789
0.0,2,683.072705
0.0,2,683.107867
0.0,2,683.144762
0.0,2,683.180925
0.0,4,683.249756
0.0,2,683.283554
0.0,2,683.316675
0.0,3,683.364004
0.0,3,683.416262
0.0,4,683.488723
0.0,2,683.524951
0.0,2,683.561167
0.0,2,683.596495
0.0,2,683.631111
0.0,2,683.665187
0.0,4,683.732442
0.0,3,683.785603
0.0,2,683.819927
0.0,4,683.891267
0.0,2,683.929326
0.0,2,683.966597
0.0,2,684.001414
0.0,2,684.034779
0.0,2,684.070331
0.0,2,687.564901
0.0,2,687.600375
0.0,2,687.674962
0.0,2,687.709337
0.0,4,687.783298
0.0,2,687.817764
0.0,3,687.872225
0.0,2,687.906818
0.0,2,687.941356
0.0,2,687.979457
0.0,2,688.012105
0.0,2,688.04856
0.0,6,688.155405
0.0,2,688.190732
0.0,2,688.227629
0.0,2,688.26035
0.0,2,688.295195
0.0,2,688.331239
0.0,2,688.362276
0.0,2,688.393536
0.0,4,688.459279
0.0,2,688.497577
0.0,2,688.536503
0.0,4,688.603915
0.0,2,688.63684
0.0,2,688.674001
0.0,2,688.713392
0.0,2,688.750194
0.0,2,688.785124
0.0,3,688.840498
0.0,2,688.874923
0.0,4,688.941744
0.0,2,688.97277
0.0,2,689.00868
0.0,7,689.1236
0.0,2,689.156792
0.0,2,689.187521
0.0,6,689.285411
0.0,5,689.37701
0.0,3,689.428192
0.0,5,689.509979
0.0,2,689.547398
0.0,2,689.584638
0.0,2,689.622992
0.0,2,689.659797
0.0,3,689.710553
0.0,3,689.766159
0.0,2,689.80518
0.0,4,693.278655
0.0,2,693.315305
0.0,2,693.348583
0.0,2,693.380254
0.0,2,693.411994
0.0,4,693.485961
0.0,2,693.524145
0.0,2,693.561159
0.0,2,693.597285
0.0,2,693.63188
0.0,2,693.670118
0.0,2,693.706616
0.0,2,693.744651
0.0,4,693.81973
0.0,2,693.8571
0.0,2,693.893847
0.0,2,693.928795
0.0,6,694.034441
0.0,2,694.07108
0.0,2,694.108324
0.0,2,694.142019
0.0,4,694.214863
0.0,2,694.249638
0.0,2,694.28623
0.0,2,694.324161
0.0,2,694.361714
0.0,4,694.433821
0.0,2,694.473542
0.0,2,694.509215
0.0,7,694.642509
0.0,4,694.71225
0.0,2,694.745584
0.0,2,694.781587
0.0,2,694.812791
0.0,2,694.844089
0.0,2,694.87599
0.0,2,694.908237
0.0,3,694.959617
0.0,2,694.995861
0.0,4,695.066445
0.0,2,695.104514
0.0,2,695.137403
0.0,4,695.208264
0.0,5,695.297754
0.0,2,695.335566
0.0,2,695.37223
0.0,4,695.440733
0.0,2,695.475152
0.0,4,698.942623
0.0,2,698.979133
0.0,2,699.014942
0.0,4,699.090025
0.0,2,699.126005
0.0,2,699.165226
0.0,2,699.202545
0.0,2,699.239865
0.0,2,699.276064
0.0,2,699.313713
0.0,2,699.350395
0.0,2,699.387203
0.0,2,699.421117
0.0,3,699.478118
0.0,2,699.511651
0.0,2,699.545547
0.0,2,699.58094
0.0,5,699.669267
0.0,2,699.704344
0.0,2,699.741648
0.0,2,699.773719
0.0,2,699.808901
0.0,3,699.861777
0.0,2,699.89469
0.0,6,700.001533
0.0,2,700.034499
0.0,2,700.070574
0.0,2,700.108426
0.0,2,700.144142
0.0,4,700.218437
0.0,2,700.253301
0.0,2,700.287958
0.0,5,700.374647
0.0,2,700.408227
0.0,2,700.440379
0.0,3,700.492808
0.0,2,700.526336
0.0,2,700.560392
0.0,2,700.592064
0.0,2,700.620936
0.0,2,700.651245
0.0,3,700.699795
0.0,2,700.734509
0.0,4,700.792964
