#{"t_start": 1667421454.0573745, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,931.576247
0.0,4,931.64391
0.0,2,931.679234
0.0,2,931.71527
0.0,4,931.787133
0.0,2,931.821026
0.0,4,931.88075
0.0,2,931.918678
0.0,2,931.951355
0.0,2,931.984575
0.0,2,932.015199
0.0,2,932.046701
0.0,2,932.085839
0.0,3,932.140699
0.0,2,932.175949
0.0,2,932.216866
0.0,5,932.303124
0.0,4,932.372511
0.0,2,932.410323
0.0,2,932.450874
0.0,3,932.499421
0.0,3,932.549065
0.0,2,932.582267
0.0,2,932.614554
0.0,2,932.648093
0.0,2,932.680532
0.0,2,932.71274
0.0,4,932.77868
0.0,2,932.812589
0.0,2,932.849029
0.0,2,932.884631
0.0,2,932.919428
0.0,2,932.956343
0.0,2,932.990916
0.0,2,933.029298
0.0,2,933.066864
0.0,2,933.101996
0.0,2,933.138863
0.0,4,933.206694
0.0,3,933.256477
0.0,6,933.351432
0.0,2,933.388225
0.0,2,933.422799
0.0,4,933.488529
0.0,2,933.518953
0.0,4,933.580187
0.0,4,933.644484
0.0,2,933.678147
0.0,2,933.709392
0.0,2,937.315142
0.0,2,937.343456
0.0,4,937.411328
0.0,2,937.444301
0.0,2,937.476058
0.0,2,937.509407
0.0,4,937.579434
0.0,3,937.631534
0.0,4,937.699924
0.0,2,937.734633
0.0,2,937.769902
0.0,2,937.804194
0.0,2,937.839456
0.0,2,937.871656
0.0,2,937.90462
0.0,2,937.937286
0.0,2,937.973187
0.0,2,938.005808
0.0,2,938.039403
0.0,2,938.077435
0.0,2,938.118142
0.0,4,938.192613
0.0,2,938.229381
0.0,2,938.266162
0.0,3,938.317044
0.0,2,938.349665
0.0,2,938.38741
0.0,2,938.425114
0.0,2,938.458987
0.0,2,938.489574
0.0,2,938.530046
0.0,2,938.569066
0.0,2,938.602649
0.0,2,938.634865
0.0,2,938.671254
0.0,2,938.705693
0.0,2,938.74036
0.0,2,938.771533
0.0,2,938.806919
0.0,2,938.842057
0.0,2,938.875911
0.0,2,938.913408
0.0,2,938.950824
0.0,2,938.982612
0.0,2,939.018713
0.0,2,939.057597
0.0,2,939.091393
0.0,3,939.137012
0.0,2,939.166418
0.0,2,939.199687
0.0,2,939.233618
0.0,2,939.268504
0.0,2,939.308619
0.0,2,939.345619
0.0,2,939.380047
0.0,3,939.433956
0.0,2,939.466798
0.0,2,939.501437
0.0,2,943.030284
0.0,2,943.060425
0.0,2,943.093203
0.0,2,943.126503
0.0,4,943.19362
0.0,2,943.228857
0.0,2,943.258026
0.0,2,943.291212
0.0,2,943.326627
0.0,2,943.363662
0.0,2,943.399591
0.0,5,943.488581
0.0,3,943.533578
0.0,4,943.604627
0.0,2,943.64247
0.0,3,943.698869
0.0,7,943.834603
0.0,2,943.87108
0.0,2,943.907893
0.0,2,943.943918
0.0,2,943.980141
0.0,4,944.049172
0.0,2,944.082294
0.0,2,944.120152
0.0,4,944.189177
0.0,2,944.223913
0.0,2,944.257629
0.0,2,944.294436
0.0,2,944.327888
0.0,3,944.380908
0.0,2,944.41711
0.0,2,944.45205
0.0,2,944.488589
0.0,2,944.525221
0.0,4,944.598321
0.0,3,944.652767
0.0,2,944.687829
0.0,4,944.756274
0.0,2,944.791993
0.0,3,944.846307
0.0,2,944.877528
0.0,2,944.909753
0.0,2,944.945931
0.0,2,944.984692
0.0,4,945.04713
0.0,2,945.086113
0.0,2,945.120391
0.0,2,945.154955
0.0,3,945.210644
1.0,7,948.967344
1.0,7,949.08979
1.0,7,949.220845
1.0,7,949.330222
1.0,7,949.446049
1.0,7,949.58119
1.0,7,949.716102
1.0,7,949.848463
1.0,7,949.974826
1.0,7,950.101548
1.0,7,950.224772
1.0,7,950.351691
1.0,7,950.4749
1.0,7,950.594651
0.0,6,950.698759
1.0,7,950.816199
1.0,7,950.929876
1.0,7,951.043275
1.0,7,954.736093
1.0,7,954.858502
1.0,7,954.968174
1.0,7,955.082018
1.0,7,955.197675
1.0,7,955.329114
1.0,7,955.453442
1.0,7,955.568901
1.0,7,955.694074
1.0,7,955.824947
1.0,7,955.960326
1.0,7,956.085914
1.0,7,956.211965
1.0,7,956.327016
1.0,7,956.44707
1.0,7,956.564102
0.0,4,956.635242
1.0,7,956.742728
1.0,7,956.865588
1.0,7,960.522398
1.0,7,960.633593
1.0,7,960.759347
1.0,7,960.877616
1.0,7,960.985881
1.0,7,961.114111
1.0,7,961.234289
1.0,7,961.361726
1.0,7,961.485394
1.0,7,961.611194
1.0,7,961.742872
1.0,7,961.873606
1.0,7,962.003787
1.0,7,962.131211
1.0,7,962.257247
1.0,7,962.381274
1.0,7,962.500496
1.0,7,962.627557
1.0,7,966.294052
1.0,7,966.418988
1.0,7,966.548228
1.0,7,966.680645
1.0,7,966.806393
1.0,7,966.931008
1.0,7,967.061383
1.0,7,967.184242
1.0,7,967.317242
1.0,7,967.448832
1.0,7,967.568694
1.0,7,967.699152
1.0,7,967.822519
1.0,7,967.941876
1.0,7,968.063695
1.0,7,968.18056
1.0,7,968.296379
1.0,7,968.421578
1.0,7,968.546918
1.0,7,972.135438
1.0,7,972.256924
1.0,7,972.385092
1.0,7,972.515045
1.0,7,972.638527
1.0,7,972.775505
1.0,7,972.902494
1.0,7,973.020563
1.0,7,973.153097
1.0,7,973.277369
1.0,7,973.409956
1.0,7,973.541738
1.0,7,973.669521
1.0,7,973.788877
1.0,7,973.915943
1.0,7,974.03744
1.0,7,974.166637
1.0,7,974.285318
1.0,7,977.997156
1.0,7,978.115016
1.0,7,978.233374
1.0,7,978.358178
1.0,7,978.483575
1.0,7,978.616729
1.0,7,978.743129
1.0,7,978.865826
1.0,7,978.987173
1.0,7,979.107911
1.0,7,979.224504
1.0,7,979.365392
1.0,7,979.497298
1.0,7,979.626643
1.0,7,979.759778
1.0,7,979.88741
1.0,7,980.018595
1.0,7,980.149459
1.0,7,983.851204
1.0,7,983.963064
0.0,5,984.051792
1.0,7,984.173393
0.0,7,984.297242
1.0,7,984.444128
0.0,6,984.552085
1.0,7,984.674896
0.0,5,984.760753
0.0,6,984.862133
1.0,7,984.987154
0.0,6,985.090111
1.0,7,985.215662
0.0,6,985.331662
0.0,6,985.440464
0.0,6,985.550707
1.0,7,985.66616
1.0,7,985.795135
1.0,7,985.915943
1.0,7,986.033685
1.0,7,989.72597
1.0,7,989.844092
1.0,7,989.971426
1.0,7,990.094848
0.0,6,990.211137
1.0,7,990.338619
1.0,7,990.469537
0.0,6,990.582249
1.0,7,990.708802
0.0,5,990.798001
1.0,7,990.937337
1.0,7,991.075951
1.0,7,991.20927
1.0,7,991.33744
1.0,7,991.469634
0.0,7,991.601686
1.0,7,991.73713
1.0,7,991.861727
1.0,7,991.979213
