#{"t_start": 1667421453.7843316, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,648.153328
0.0,2,648.185385
0.0,2,648.218163
0.0,2,648.253976
0.0,2,648.29059
0.0,2,648.325361
0.0,2,648.358197
0.0,2,648.393479
0.0,2,648.429294
0.0,2,648.462223
0.0,2,648.495182
0.0,4,648.561324
0.0,2,648.592639
0.0,2,648.626535
0.0,2,648.656765
0.0,2,648.688478
0.0,4,648.753219
0.0,2,648.785878
0.0,2,648.821821
0.0,2,648.857988
0.0,2,648.893198
0.0,2,648.924882
0.0,2,648.958632
0.0,2,648.996497
0.0,4,649.065346
0.0,2,649.099677
0.0,2,649.134113
0.0,2,649.168118
0.0,2,649.203759
0.0,3,649.25374
0.0,2,649.2859
0.0,2,649.318499
0.0,2,649.353393
0.0,2,649.389566
0.0,2,649.424904
0.0,2,649.45453
0.0,2,649.490168
0.0,2,649.521904
0.0,2,649.557759
0.0,4,649.626337
0.0,6,649.730478
0.0,6,649.829886
0.0,2,649.864416
0.0,2,649.898863
0.0,2,649.93233
0.0,2,649.968099
0.0,2,650.005042
0.0,2,650.039125
0.0,2,650.076551
0.0,2,650.113531
0.0,2,650.149942
0.0,2,650.187418
0.0,2,650.225598
0.0,4,650.298278
0.0,2,653.815856
0.0,2,653.851935
0.0,2,653.888588
0.0,6,653.996663
0.0,2,654.032776
0.0,6,654.129462
0.0,2,654.165161
0.0,4,654.235087
0.0,2,654.268932
0.0,2,654.298432
0.0,4,654.363217
0.0,2,654.395517
0.0,2,654.428274
0.0,2,654.465
0.0,2,654.497189
0.0,2,654.530663
0.0,2,654.563705
0.0,2,654.597347
0.0,4,654.662805
0.0,2,654.737241
0.0,3,654.780243
0.0,2,654.812458
0.0,2,654.84881
0.0,4,654.917562
0.0,4,654.987274
0.0,2,655.023625
0.0,2,655.05865
0.0,2,655.094702
0.0,2,655.13216
0.0,4,655.199243
0.0,3,655.250746
0.0,2,655.285276
0.0,2,655.317478
0.0,2,655.352784
0.0,2,655.388089
0.0,2,655.422624
0.0,2,655.456033
0.0,2,655.491774
0.0,2,655.526578
0.0,2,655.560381
0.0,6,655.665605
0.0,4,655.73451
0.0,2,655.768704
0.0,2,655.807416
0.0,2,655.845619
0.0,2,655.880434
0.0,2,655.916564
0.0,2,655.955448
0.0,2,655.996127
0.0,2,656.031376
0.0,2,659.536476
0.0,2,659.571351
0.0,2,659.607522
0.0,2,659.644313
0.0,2,659.731614
0.0,2,659.765411
0.0,2,659.799393
0.0,3,659.849044
0.0,7,659.96902
0.0,2,660.00367
0.0,4,660.069283
0.0,2,660.105171
0.0,3,660.160269
0.0,2,660.196805
0.0,2,660.233546
0.0,2,660.268393
0.0,2,660.302214
0.0,2,660.338492
0.0,2,660.373173
0.0,3,660.419176
0.0,3,660.470839
0.0,6,660.565522
0.0,2,660.602654
0.0,4,660.664677
0.0,2,660.69412
0.0,2,660.724407
0.0,4,660.798036
0.0,2,660.834351
0.0,2,660.870184
0.0,2,660.906704
0.0,2,660.941327
0.0,2,660.972659
0.0,2,661.005922
0.0,2,661.038393
0.0,2,661.071569
0.0,2,661.107557
0.0,2,661.144871
0.0,5,661.224992
0.0,4,661.293983
0.0,4,661.368651
0.0,3,661.425111
0.0,2,661.46295
0.0,2,661.493854
0.0,2,661.532892
0.0,2,661.569269
0.0,3,661.62414
0.0,2,661.656341
0.0,2,661.691797
0.0,2,661.731394
0.0,2,661.767452
1.0,7,665.416773
1.0,7,665.531144
1.0,7,665.636809
1.0,7,665.744739
1.0,7,665.866629
1.0,7,665.984563
1.0,7,666.096958
1.0,7,666.208974
1.0,7,666.335589
1.0,7,666.458856
1.0,7,666.579478
1.0,7,666.697666
1.0,7,666.810304
1.0,7,666.932447
1.0,7,667.049096
1.0,7,667.168461
1.0,7,667.294274
1.0,7,667.415595
1.0,7,670.988492
1.0,7,671.11131
1.0,7,671.229748
1.0,7,671.347896
1.0,7,671.465522
1.0,7,671.588879
1.0,7,671.712242
1.0,7,671.842953
1.0,7,671.96342
1.0,7,672.087754
1.0,7,672.21444
1.0,7,672.337271
1.0,7,672.457392
1.0,7,672.568097
1.0,7,672.686589
1.0,7,672.814633
1.0,7,672.939501
1.0,7,673.061593
1.0,7,676.537066
1.0,7,676.657756
1.0,7,676.775451
1.0,7,676.895871
1.0,7,677.003749
1.0,7,677.116572
1.0,7,677.236475
1.0,7,677.345232
1.0,7,677.455112
1.0,7,677.560975
1.0,7,677.674917
1.0,7,677.783075
0.0,6,677.882141
1.0,7,678.002336
0.0,2,678.036733
1.0,7,678.153475
1.0,7,678.272833
1.0,7,678.378822
1.0,7,678.506047
1.0,7,682.123119
1.0,7,682.231662
1.0,7,682.34744
1.0,7,682.455287
1.0,7,682.568107
1.0,7,682.683682
1.0,7,682.805944
1.0,7,682.928199
1.0,7,683.045436
1.0,7,683.16659
1.0,7,683.277132
1.0,7,683.396053
1.0,7,683.511287
1.0,7,683.624883
1.0,7,683.739323
1.0,7,683.851805
1.0,7,683.960504
1.0,7,684.067668
1.0,7,684.180172
1.0,7,687.78011
1.0,7,687.89803
1.0,7,688.024621
1.0,7,688.146784
1.0,7,688.269508
1.0,7,688.380288
1.0,7,688.504379
1.0,7,688.633085
1.0,7,688.750801
1.0,7,688.872736
1.0,7,688.984372
1.0,7,689.103646
1.0,7,689.220164
1.0,7,689.344992
1.0,7,689.464233
1.0,7,689.586495
1.0,7,689.706484
1.0,7,689.820991
1.0,7,693.489987
1.0,7,693.616419
1.0,7,693.727489
1.0,7,693.839711
1.0,7,693.953763
0.0,6,694.051755
1.0,7,694.162098
1.0,7,694.27946
1.0,7,694.400431
1.0,7,694.514772
1.0,7,694.629041
1.0,7,694.736077
1.0,7,694.862751
1.0,7,694.986242
1.0,7,695.114867
0.0,4,695.189271
1.0,7,695.30987
1.0,7,695.427864
1.0,7,695.545807
1.0,7,699.237983
1.0,7,699.355128
1.0,7,699.476341
1.0,7,699.600823
1.0,7,699.718497
1.0,7,699.861708
1.0,7,699.987875
1.0,7,700.115954
1.0,7,700.23595
1.0,7,700.354414
1.0,7,700.477456
1.0,7,700.597875
1.0,7,700.723131
1.0,7,700.842383
1.0,7,700.961276
1.0,7,701.081436
1.0,7,701.207889
1.0,7,701.339262
1.0,7,705.027331
1.0,7,705.14134
1.0,7,705.257417
1.0,7,705.376273
