#{"t_start": 1667421453.5113451, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,932.104207
0.0,2,932.137928
0.0,4,932.205021
0.0,2,932.240317
0.0,2,932.277055
0.0,2,932.313755
0.0,2,932.350316
0.0,3,932.394938
0.0,2,932.424981
0.0,2,932.462634
0.0,2,932.495746
0.0,2,932.529046
0.0,3,932.575277
0.0,2,932.611257
0.0,2,932.650298
0.0,2,932.684924
0.0,2,932.720143
0.0,2,932.760441
0.0,2,932.798275
0.0,2,932.831208
0.0,6,932.935171
0.0,2,932.97575
0.0,2,933.011314
0.0,5,933.093307
0.0,2,933.126463
0.0,2,933.159011
0.0,4,933.225017
0.0,4,933.292254
0.0,4,933.356884
0.0,6,933.463647
0.0,2,933.500638
0.0,2,933.535163
0.0,4,933.611074
0.0,2,933.646129
0.0,3,933.700892
0.0,6,933.800662
0.0,2,933.832295
0.0,2,933.863804
0.0,2,933.895553
0.0,2,933.931531
0.0,2,933.966733
0.0,2,933.998865
0.0,2,934.03232
0.0,2,934.062912
0.0,2,934.093648
0.0,2,934.124491
0.0,2,934.155152
0.0,3,934.206059
0.0,4,937.840933
0.0,2,937.873178
0.0,2,937.903975
0.0,2,937.938217
0.0,7,938.053685
0.0,2,938.090679
0.0,2,938.123957
0.0,2,938.157814
0.0,2,938.19136
0.0,2,938.22484
0.0,3,938.27876
0.0,2,938.314177
0.0,2,938.34858
0.0,2,938.383842
0.0,2,938.416165
0.0,2,938.448829
0.0,2,938.481552
0.0,2,938.51765
0.0,2,938.549999
0.0,2,938.583514
0.0,5,938.681888
0.0,2,938.719684
0.0,3,938.773847
0.0,2,938.810532
0.0,2,938.842962
0.0,2,938.876143
0.0,2,938.910642
0.0,4,938.988907
0.0,3,939.033557
0.0,3,939.093252
0.0,3,939.146577
0.0,2,939.179033
0.0,2,939.215445
0.0,2,939.250005
0.0,2,939.284462
0.0,2,939.315666
0.0,2,939.35115
0.0,2,939.38591
0.0,2,939.420158
0.0,3,939.477654
0.0,4,939.543127
0.0,2,939.581151
0.0,2,939.619335
0.0,2,939.650623
0.0,2,939.681394
0.0,3,939.726575
0.0,7,939.85276
0.0,2,939.889822
0.0,2,939.924188
0.0,7,940.045209
0.0,2,943.573522
0.0,4,943.637403
0.0,2,943.670326
0.0,2,943.704431
0.0,3,943.756567
0.0,2,943.789245
0.0,2,943.817913
0.0,4,943.88878
0.0,2,943.925701
0.0,2,943.963139
0.0,2,943.999523
0.0,2,944.032778
0.0,6,944.129676
0.0,2,944.168597
0.0,2,944.203368
0.0,2,944.242965
0.0,2,944.282253
0.0,2,944.319376
0.0,2,944.358993
0.0,2,944.398961
0.0,4,944.472126
0.0,2,944.508788
0.0,2,944.541646
0.0,4,944.610008
0.0,2,944.643929
0.0,6,944.749751
0.0,2,944.786757
0.0,4,944.855115
0.0,4,944.925146
0.0,2,944.961335
0.0,2,944.996161
0.0,2,945.03291
0.0,2,945.069438
0.0,2,945.104384
0.0,2,945.142646
0.0,2,945.177562
0.0,2,945.212406
0.0,2,945.247646
0.0,2,945.28233
0.0,2,945.316994
0.0,2,945.352461
0.0,2,945.390706
0.0,2,945.421906
0.0,2,945.453908
