#{"t_start": 1667421453.5115907, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,68.197211
0.0,2,68.223896
0.0,2,68.250457
0.0,2,68.277134
0.0,2,68.30353
0.0,2,68.329915
0.0,2,68.356593
0.0,2,68.383345
0.0,2,68.409884
0.0,2,68.437002
0.0,2,68.463748
0.0,2,68.490821
0.0,4,68.542142
0.0,2,68.569397
0.0,2,68.596251
0.0,2,68.624749
0.0,2,68.651783
0.0,2,68.67857
0.0,2,68.705463
0.0,2,68.732177
0.0,4,68.785918
0.0,2,68.812466
0.0,2,68.839326
0.0,2,68.866294
0.0,2,68.893001
0.0,2,68.91991
0.0,4,68.97363
0.0,2,69.000304
0.0,2,69.027183
0.0,2,69.05409
0.0,2,69.081471
0.0,4,69.134436
0.0,2,69.161692
0.0,2,69.188167
0.0,2,69.21502
0.0,5,69.28196
0.0,2,69.308774
0.0,2,69.335701
0.0,2,69.362455
0.0,2,69.3893
0.0,2,69.415968
0.0,2,69.442844
0.0,2,69.469758
0.0,2,69.496546
0.0,2,69.523411
0.0,2,69.550199
0.0,2,69.576896
0.0,2,69.603786
0.0,2,69.630889
0.0,2,69.657699
0.0,2,69.684495
0.0,2,69.711379
0.0,2,69.738155
0.0,2,69.765052
0.0,2,69.791639
0.0,2,69.818499
0.0,2,69.84549
0.0,2,69.87298
0.0,2,73.029007
0.0,2,73.05495
0.0,4,73.106074
0.0,2,73.13392
0.0,2,73.159856
0.0,2,73.186669
0.0,2,73.213464
0.0,2,73.239531
0.0,2,73.266271
0.0,2,73.294463
0.0,2,73.320815
0.0,2,73.34782
0.0,3,73.387884
0.0,4,73.441699
0.0,7,73.537277
0.0,2,73.567358
0.0,2,73.595913
0.0,2,73.622745
0.0,2,73.649826
0.0,2,73.676097
0.0,2,73.703307
0.0,2,73.730253
0.0,2,73.757152
0.0,2,73.783775
0.0,2,73.810248
0.0,4,73.864104
0.0,2,73.891409
0.0,2,73.918187
0.0,2,73.945196
0.0,2,73.971785
0.0,2,73.998671
0.0,2,74.025628
0.0,2,74.051992
0.0,2,74.079339
0.0,2,74.110821
0.0,2,74.137718
0.0,2,74.164353
0.0,2,74.19084
0.0,2,74.217676
0.0,2,74.244341
0.0,2,74.271041
0.0,2,74.297479
0.0,2,74.324235
0.0,2,74.350829
0.0,2,74.377718
0.0,2,74.404398
0.0,2,74.431369
0.0,2,74.458136
0.0,2,74.484906
0.0,2,74.511793
0.0,2,74.538501
0.0,2,74.565479
0.0,2,74.592285
0.0,2,74.61927
0.0,4,74.673172
0.0,2,74.700175
0.0,2,74.727423
0.0,2,83.20613
0.0,3,83.245382
0.0,4,83.297065
0.0,2,83.326648
0.0,2,83.354906
0.0,2,83.381019
0.0,2,83.408154
0.0,2,83.436013
0.0,2,83.462045
0.0,4,83.51855
0.0,2,83.547728
0.0,2,83.575854
0.0,2,83.60285
0.0,2,83.629703
0.0,2,83.65643
0.0,2,83.68318
0.0,2,83.710246
1.0,7,83.804284
0.0,2,83.830668
0.0,2,83.857454
0.0,2,83.884478
0.0,2,83.910789
0.0,2,83.937972
0.0,3,83.97784
0.0,2,84.004345
0.0,3,84.044129
0.0,4,84.095726
0.0,3,84.13651
0.0,2,84.165417
0.0,2,84.193207
0.0,2,84.221719
0.0,4,84.279005
0.0,4,84.335707
0.0,2,84.364703
0.0,2,84.391545
0.0,2,84.417126
0.0,2,84.443144
0.0,2,84.469281
0.0,6,84.551657
0.0,2,84.576248
0.0,6,84.651517
0.0,3,84.68905
0.0,3,84.729757
0.0,2,84.756634
0.0,3,84.796625
0.0,2,84.823635
0.0,4,84.877604
0.0,6,90.752467
0.0,2,90.76594
0.0,4,90.790615
0.0,2,90.804455
0.0,2,90.816677
0.0,3,90.834516
0.0,2,90.848208
0.0,4,90.873164
0.0,3,90.892349
0.0,2,90.904568
0.0,2,90.9168
0.0,2,90.927953
0.0,2,90.941492
0.0,2,90.953137
0.0,2,90.964934
0.0,2,90.977652
0.0,2,90.991467
0.0,2,91.005155
0.0,2,91.017488
0.0,2,91.029748
0.0,2,91.04165
0.0,2,91.055469
0.0,2,91.069781
0.0,2,91.083608
0.0,2,91.096516
0.0,4,91.121909
0.0,4,91.148536
0.0,2,91.161509
0.0,4,91.193986
0.0,4,91.219723
0.0,2,91.231151
0.0,2,91.243705
0.0,2,91.257388
0.0,4,91.283277
0.0,2,91.297353
0.0,2,91.311688
0.0,2,91.325423
0.0,2,91.339196
0.0,6,91.388028
0.0,2,91.406405
0.0,2,91.424957
0.0,3,91.457286
0.0,4,91.498163
0.0,3,91.532755
0.0,2,91.555659
0.0,3,91.586188
0.0,4,91.628988
0.0,2,91.650453
0.0,4,91.695917
0.0,2,95.915618
0.0,2,95.933195
0.0,2,95.947859
0.0,2,95.965958
0.0,2,95.981947
0.0,2,95.99946
0.0,2,96.01565
0.0,2,96.031827
0.0,2,96.053349
0.0,2,96.068864
0.0,4,96.098088
0.0,4,96.126681
0.0,2,96.14413
0.0,2,96.157566
0.0,2,96.175425
0.0,4,96.209324
0.0,2,96.230821
0.0,4,96.271661
0.0,2,96.293266
0.0,2,96.315823
0.0,2,96.339262
0.0,2,96.359332
0.0,2,96.380995
0.0,2,96.403183
0.0,2,96.424827
0.0,2,96.447436
0.0,2,96.469034
0.0,2,96.490571
