#{"t_start": 1667421453.2361283, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,68.471542
0.0,2,68.498237
0.0,2,68.524937
0.0,2,68.551606
0.0,2,68.578008
0.0,2,68.604298
0.0,2,68.63093
0.0,2,68.657786
0.0,4,68.711437
0.0,2,68.738221
0.0,2,68.765141
0.0,2,68.790174
0.0,2,68.81657
0.0,2,68.843624
0.0,2,68.870385
0.0,4,68.926018
0.0,2,68.953007
0.0,2,68.979724
0.0,2,69.006519
0.0,2,69.033389
0.0,2,69.060268
0.0,4,69.113819
0.0,2,69.140729
0.0,2,69.16748
0.0,2,69.194291
0.0,2,69.221145
0.0,2,69.247951
0.0,2,69.274817
0.0,2,69.301634
0.0,2,69.32858
0.0,2,69.355689
0.0,2,69.382246
0.0,4,69.436009
0.0,4,69.489443
0.0,2,69.516363
0.0,2,69.543122
0.0,2,69.569987
0.0,6,69.650603
0.0,2,69.677234
0.0,2,69.704198
0.0,4,69.757771
0.0,2,69.78467
0.0,2,69.811419
0.0,2,69.838352
0.0,4,69.892175
0.0,2,69.918911
0.0,2,69.945681
0.0,2,69.972572
0.0,2,69.999355
0.0,4,70.052968
0.0,2,70.079829
0.0,2,70.106805
0.0,2,70.133725
0.0,4,73.314859
0.0,2,73.34313
0.0,3,73.380447
0.0,2,73.40817
0.0,4,73.461046
0.0,2,73.487658
0.0,4,73.54042
0.0,2,73.568685
0.0,2,73.595133
0.0,2,73.622111
0.0,4,73.675836
0.0,2,73.702785
0.0,2,73.729216
0.0,2,73.756091
0.0,4,73.811207
0.0,2,73.841297
0.0,2,73.87039
0.0,4,73.924009
0.0,4,73.977748
0.0,2,74.004474
0.0,2,74.03144
0.0,2,74.05816
0.0,4,74.111835
0.0,4,74.165634
0.0,2,74.192422
0.0,2,74.219359
0.0,2,74.24599
0.0,2,74.272866
0.0,2,74.299754
0.0,4,74.353507
0.0,2,74.385084
0.0,2,74.411965
0.0,2,74.43868
0.0,3,74.478865
0.0,2,74.505749
0.0,2,74.532332
0.0,2,74.559214
0.0,2,74.58547
0.0,2,74.612356
0.0,2,74.638954
0.0,2,74.665705
0.0,2,74.692583
0.0,2,74.719377
0.0,2,74.746253
0.0,2,74.773038
0.0,2,74.799847
0.0,2,74.826606
0.0,2,74.853447
0.0,2,74.880494
0.0,2,74.907306
0.0,2,74.934256
0.0,2,74.961373
0.0,2,74.988502
0.0,2,75.015674
0.0,2,83.493818
0.0,2,83.51974
0.0,4,83.571255
0.0,2,83.600819
0.0,2,83.629266
0.0,4,83.682451
0.0,2,83.710302
0.0,4,83.762567
0.0,2,83.792933
0.0,2,83.821923
0.0,2,83.850358
0.0,6,83.93088
0.0,3,83.97122
0.0,2,83.99788
0.0,3,84.038068
0.0,3,84.078434
0.0,2,84.105056
0.0,2,84.131953
0.0,6,84.212479
0.0,6,84.292606
0.0,4,84.345651
0.0,2,84.370294
0.0,2,84.39718
0.0,2,84.425554
0.0,2,84.453919
0.0,2,84.482579
0.0,2,84.510638
0.0,4,84.567402
0.0,2,84.596506
0.0,2,84.625422
0.0,4,84.678606
0.0,3,84.717632
0.0,2,84.743587
0.0,2,84.771479
0.0,4,84.825779
0.0,2,84.850641
0.0,2,84.8758
0.0,2,84.900979
0.0,4,84.951409
0.0,2,84.976866
0.0,2,85.00413
0.0,2,85.031019
0.0,2,85.057923
0.0,2,85.084815
0.0,4,85.138636
0.0,2,85.165784
0.0,3,90.735381
0.0,2,91.026805
0.0,2,91.040386
0.0,2,91.051689
0.0,2,91.065207
0.0,4,91.091268
0.0,2,91.102428
0.0,4,91.130652
0.0,4,91.154531
0.0,2,91.166858
0.0,3,91.185332
0.0,4,91.209595
0.0,4,91.233413
0.0,3,91.252137
0.0,2,91.265961
0.0,2,91.279648
0.0,4,91.304221
0.0,6,91.344255
0.0,4,91.371006
0.0,2,91.383444
0.0,4,91.410163
0.0,2,91.423025
0.0,3,91.442452
