#{"t_start": 1667421457.2943873, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,64.339316
0.0,2,64.355685
0.0,2,64.377421
0.0,2,64.402757
0.0,2,64.430139
0.0,2,64.456907
0.0,2,64.482987
0.0,2,64.509775
0.0,2,64.535665
0.0,4,64.589131
0.0,2,64.61584
0.0,2,64.642818
0.0,2,64.669326
0.0,4,64.72331
0.0,2,64.74852
0.0,4,64.802047
0.0,2,64.830545
0.0,2,64.857897
0.0,2,64.884756
0.0,2,64.911577
0.0,2,64.938234
0.0,2,64.965249
0.0,2,64.992279
0.0,2,65.01827
0.0,2,65.045336
0.0,4,65.098537
0.0,2,65.125183
0.0,2,65.15195
0.0,4,65.205559
0.0,2,65.232718
0.0,2,65.259947
0.0,2,65.286411
0.0,2,65.313186
0.0,6,65.393932
0.0,2,65.420606
0.0,2,65.447387
0.0,4,65.500838
0.0,2,65.527766
0.0,2,65.554546
0.0,4,65.608366
0.0,2,65.634884
0.0,2,65.661729
0.0,2,65.688656
0.0,2,65.716428
0.0,2,65.74236
0.0,2,65.769257
0.0,2,65.795815
0.0,4,65.849406
0.0,4,65.903225
0.0,2,65.930002
0.0,2,65.956943
0.0,2,65.984833
0.0,2,66.010802
0.0,2,69.142179
0.0,2,69.156857
0.0,4,69.185791
0.0,2,69.201618
0.0,2,69.224069
0.0,2,69.251493
0.0,4,69.303094
0.0,4,69.353444
0.0,4,69.406257
0.0,6,69.485505
0.0,2,69.514086
0.0,2,69.540585
0.0,4,69.593594
0.0,3,69.633978
0.0,2,69.660614
0.0,2,69.687147
0.0,2,69.713984
0.0,2,69.742132
0.0,2,69.768249
0.0,2,69.793483
0.0,2,69.82086
0.0,2,69.84776
0.0,4,69.900695
0.0,2,69.92759
0.0,4,69.981211
0.0,2,70.007883
0.0,2,70.034782
0.0,5,70.101591
0.0,2,70.128787
0.0,2,70.155021
0.0,2,70.181861
0.0,6,70.262383
0.0,2,70.289323
0.0,6,70.369853
0.0,2,70.397102
0.0,2,70.42401
0.0,6,70.504665
0.0,2,70.533066
0.0,2,70.559831
0.0,2,70.586638
0.0,2,70.612821
0.0,4,70.666766
0.0,2,70.693156
0.0,2,70.720451
0.0,4,70.773216
0.0,2,79.386945
0.0,2,79.407824
0.0,2,79.431535
0.0,2,79.457673
0.0,2,79.480951
0.0,2,79.508654
0.0,2,79.53393
0.0,2,79.560671
0.0,2,79.586808
0.0,2,79.613847
0.0,2,79.640612
0.0,2,79.667605
0.0,2,79.694736
0.0,2,79.720777
0.0,2,79.747092
0.0,2,79.773041
0.0,2,79.800707
0.0,2,79.827135
0.0,2,79.853902
0.0,2,79.880892
0.0,4,79.934252
0.0,2,79.961473
0.0,4,80.01594
0.0,2,80.041642
0.0,2,80.068535
0.0,2,80.094879
0.0,6,80.175592
0.0,2,80.202248
0.0,3,80.24199
0.0,2,80.268806
0.0,4,80.323086
0.0,2,80.350383
0.0,2,80.378954
0.0,2,80.407777
0.0,2,80.435647
0.0,2,80.464165
0.0,2,80.492828
0.0,2,80.521595
0.0,4,80.578237
0.0,2,80.605337
0.0,4,80.656977
0.0,2,80.685673
0.0,2,80.713894
0.0,2,80.741387
0.0,5,80.808029
0.0,4,80.857455
0.0,4,80.908316
0.0,2,80.934857
0.0,2,80.962144
0.0,4,81.015174
0.0,2,81.042759
0.0,2,81.06936
0.0,2,85.744934
0.0,2,85.758846
0.0,2,85.772843
0.0,2,85.787292
0.0,2,85.800909
0.0,2,85.813712
0.0,4,85.840321
0.0,2,85.856139
0.0,2,85.87229
0.0,3,85.89337
0.0,4,85.919601
0.0,2,85.934678
0.0,2,85.950234
0.0,2,85.965139
0.0,2,85.979935
0.0,2,85.994725
0.0,2,86.009152
0.0,4,86.037536
0.0,4,86.068834
0.0,2,86.0854
0.0,2,86.103017
0.0,6,86.808957
0.0,2,86.820916
0.0,2,86.832437
0.0,2,86.841643
0.0,2,86.851279
0.0,2,86.862889
0.0,2,86.873275
0.0,2,86.884492
0.0,2,86.895718
0.0,2,86.905693
0.0,2,86.915884
0.0,4,86.936121
0.0,2,86.94716
0.0,2,86.959138
0.0,6,87.002223
0.0,4,87.030488
0.0,2,87.045056
0.0,2,87.05935
0.0,2,87.07592
0.0,2,87.090562
0.0,2,87.104765
0.0,2,87.118473
0.0,2,87.130332
0.0,2,87.146006
0.0,2,87.159558
0.0,2,87.171939
0.0,2,87.183922
0.0,4,87.210137
0.0,2,87.22372
0.0,4,87.248517
0.0,2,91.494483
0.0,6,91.529828
0.0,2,91.54178
0.0,4,91.566304
0.0,4,91.594089
0.0,2,91.606488
0.0,2,91.619666
0.0,4,91.647402
0.0,2,91.662587
