#{"t_start": 1667421456.7387862, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,64.892716
0.0,7,64.970491
0.0,4,65.023627
0.0,2,65.050142
0.0,4,65.102901
0.0,2,65.129159
0.0,4,65.183044
0.0,2,65.209815
0.0,6,65.288529
0.0,2,65.315044
0.0,2,65.34196
0.0,6,65.424738
0.0,2,65.451662
0.0,2,65.478436
0.0,3,65.518433
0.0,2,65.545377
0.0,4,65.598771
0.0,3,65.639423
0.0,4,65.692655
0.0,2,65.719527
0.0,2,65.746495
0.0,2,65.773608
0.0,3,65.813523
0.0,3,65.854175
0.0,2,65.880893
0.0,2,65.907804
0.0,6,65.988466
0.0,4,66.041982
0.0,2,66.068569
0.0,2,66.095631
0.0,2,66.122322
0.0,2,66.149285
0.0,2,66.175938
0.0,2,66.202789
0.0,2,66.229646
0.0,4,66.283254
0.0,2,66.310017
0.0,2,66.33703
0.0,4,66.390788
0.0,4,66.444196
0.0,2,66.471125
0.0,2,66.497837
0.0,2,66.524738
0.0,2,66.551385
0.0,2,69.689466
0.0,2,69.702898
0.0,2,69.717699
0.0,4,69.7471
0.0,2,69.763989
0.0,2,69.79171
0.0,2,69.815204
0.0,2,69.842201
0.0,4,69.89364
0.0,2,69.919782
0.0,2,69.946189
0.0,2,69.972719
0.0,3,70.012947
0.0,4,70.067499
0.0,2,70.093892
0.0,4,70.147468
0.0,2,70.174394
0.0,2,70.201548
0.0,2,70.227802
0.0,2,70.254733
0.0,4,70.30969
0.0,3,70.347194
0.0,2,70.374454
0.0,2,70.401315
0.0,2,70.427737
0.0,2,70.454324
0.0,2,70.481182
0.0,2,70.507878
0.0,2,70.534834
0.0,2,70.561548
0.0,2,70.588416
0.0,2,70.615255
0.0,2,70.642157
0.0,2,70.669031
0.0,2,70.69543
0.0,2,70.722238
0.0,2,70.74901
0.0,2,70.776014
0.0,2,70.802888
0.0,2,70.829718
0.0,4,70.883162
0.0,2,70.910297
0.0,2,70.937024
0.0,4,70.991024
0.0,2,71.017693
0.0,3,71.058152
0.0,2,71.08681
0.0,2,71.113381
0.0,2,71.140196
0.0,2,71.166644
0.0,2,71.193678
0.0,2,71.220518
0.0,4,71.274163
0.0,2,71.300929
0.0,2,71.327271
0.0,2,79.940569
0.0,2,79.961454
0.0,4,80.011297
0.0,2,80.034779
0.0,2,80.061525
0.0,2,80.087813
0.0,2,80.114456
0.0,4,80.167644
0.0,2,80.194509
0.0,2,80.221575
0.0,2,80.248579
0.0,2,80.274251
0.0,2,80.300998
0.0,4,80.354528
0.0,4,80.407826
0.0,2,80.434773
0.0,2,80.461797
0.0,4,80.515134
0.0,2,80.54161
0.0,2,80.56935
0.0,2,80.595444
0.0,2,80.622276
0.0,4,80.676294
0.0,2,80.702883
0.0,4,80.75596
0.0,4,80.809647
0.0,2,80.836473
0.0,2,80.863511
0.0,2,80.891071
0.0,2,80.919114
0.0,2,80.947296
0.0,2,80.975765
0.0,2,81.004544
0.0,2,81.03251
0.0,4,81.08972
0.0,2,81.118897
0.0,4,81.172352
0.0,4,81.224249
0.0,3,81.267603
0.0,2,81.295264
0.0,2,81.322093
0.0,2,81.349087
0.0,2,81.373986
0.0,2,81.399146
0.0,2,81.424367
0.0,4,81.475144
0.0,2,81.502283
0.0,2,81.529121
0.0,2,81.556018
0.0,2,81.583047
0.0,2,81.609943
0.0,2,86.292336
0.0,2,86.305641
0.0,2,86.319764
0.0,2,86.33368
0.0,2,86.348201
0.0,2,86.361455
0.0,2,86.373617
0.0,3,86.394363
0.0,4,86.426306
0.0,2,86.44118
0.0,2,86.454025
0.0,2,86.466789
0.0,2,86.481346
0.0,2,86.496921
0.0,2,86.511694
0.0,2,86.526783
0.0,4,86.555986
