#{"t_start": 1667421457.0225766, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,64.609983
0.0,2,64.626562
0.0,2,64.648217
0.0,4,64.701058
0.0,2,64.727686
0.0,2,64.753888
0.0,2,64.780699
0.0,4,64.833362
0.0,2,64.860061
0.0,2,64.886763
0.0,2,64.913727
0.0,2,64.940247
0.0,2,64.967555
0.0,2,64.9942
0.0,2,65.019291
0.0,2,65.045916
0.0,2,65.072837
0.0,2,65.101264
0.0,2,65.128208
0.0,2,65.155074
0.0,2,65.181926
0.0,4,65.235816
0.0,2,65.262902
0.0,2,65.289062
0.0,2,65.31602
0.0,2,65.34263
0.0,2,65.369337
0.0,3,65.409903
0.0,2,65.436785
0.0,2,65.46373
0.0,2,65.491093
0.0,2,65.517393
0.0,2,65.544581
0.0,2,65.571435
0.0,4,65.625021
0.0,4,65.678627
0.0,2,65.705839
0.0,4,65.759511
0.0,2,65.78583
0.0,2,65.812894
0.0,3,65.852406
0.0,2,65.879238
0.0,3,65.919983
0.0,2,65.946818
0.0,2,65.97339
0.0,2,66.000467
0.0,2,66.027244
0.0,2,66.054203
0.0,2,66.080585
0.0,2,66.107933
0.0,2,66.134507
0.0,2,66.161294
0.0,2,66.188231
0.0,3,66.227911
0.0,2,66.255502
0.0,2,66.281609
0.0,2,69.412543
0.0,2,69.427347
0.0,2,69.442441
0.0,2,69.456263
0.0,2,69.472129
0.0,2,69.494523
0.0,2,69.522028
0.0,2,69.54546
0.0,2,69.573199
0.0,4,69.624076
0.0,2,69.650935
0.0,2,69.676963
0.0,2,69.703044
0.0,2,69.730191
0.0,2,69.755978
0.0,2,69.784776
0.0,2,69.811258
0.0,6,69.891623
0.0,2,69.918897
0.0,2,69.944925
0.0,4,69.998604
0.0,2,70.026972
0.0,2,70.051406
0.0,4,70.104827
0.0,2,70.131787
0.0,4,70.184617
0.0,2,70.211899
0.0,2,70.238581
0.0,2,70.265535
0.0,4,70.318865
0.0,2,70.345936
0.0,4,70.399651
0.0,3,70.439504
0.0,2,70.466221
0.0,2,70.493224
0.0,6,70.573459
0.0,2,70.600559
0.0,4,70.654498
0.0,2,70.681296
0.0,4,70.735129
0.0,2,70.761716
0.0,2,70.790195
0.0,2,70.816926
0.0,4,70.87017
0.0,4,70.923943
0.0,2,70.950585
0.0,2,70.977433
0.0,2,71.003986
0.0,2,71.030878
0.0,2,79.648124
0.0,2,79.667794
0.0,4,79.714882
0.0,2,79.739766
0.0,2,79.765124
0.0,2,79.791716
0.0,2,79.818872
0.0,4,79.870854
0.0,2,79.897597
0.0,2,79.925525
0.0,2,79.951985
0.0,2,79.978178
0.0,2,80.005304
0.0,2,80.031702
0.0,2,80.057556
0.0,2,80.084571
0.0,2,80.111417
0.0,2,80.138345
0.0,2,80.164825
0.0,6,80.245572
0.0,2,80.272008
0.0,4,80.325588
0.0,2,80.353434
0.0,5,80.420023
0.0,2,80.446292
0.0,2,80.473099
0.0,2,80.500378
0.0,2,80.526868
0.0,2,80.553657
0.0,2,80.580694
0.0,2,80.608235
0.0,2,80.636251
0.0,2,80.664442
0.0,2,80.693103
0.0,4,80.749724
0.0,2,80.778109
0.0,2,80.807004
0.0,2,80.83613
0.0,2,80.863748
0.0,2,80.88961
0.0,2,80.915344
0.0,2,80.941815
0.0,2,80.970739
0.0,2,80.998649
0.0,4,81.051957
0.0,2,81.078727
0.0,3,81.116326
0.0,2,81.141561
0.0,3,81.179222
0.0,2,81.205705
0.0,2,81.233048
0.0,2,81.259857
0.0,4,81.313654
0.0,3,86.009775
0.0,2,86.022778
0.0,2,86.036828
0.0,2,86.050851
0.0,2,86.06528
0.0,2,86.078548
0.0,2,86.090784
0.0,4,86.119214
0.0,2,86.135435
0.0,2,86.15075
0.0,2,86.164242
0.0,2,86.17681
0.0,2,86.190432
0.0,2,86.20554
0.0,2,86.22114
0.0,7,86.273366
0.0,2,86.287293
0.0,6,86.332059
0.0,2,86.348741
0.0,2,86.366508
0.0,4,86.397791
0.0,2,87.072685
0.0,2,87.086414
0.0,2,87.097676
0.0,6,87.128024
0.0,2,87.13939
0.0,2,87.150187
0.0,2,87.161546
0.0,3,87.176712
0.0,2,87.186738
0.0,4,87.206986
0.0,2,87.218045
0.0,2,87.229629
0.0,2,87.243436
0.0,2,87.257708
0.0,2,87.272937
0.0,4,87.301171
0.0,2,87.315816
0.0,4,87.346719
0.0,2,87.36156
0.0,2,87.375682
0.0,2,87.389107
0.0,2,87.401241
0.0,4,87.43043
0.0,2,87.442944
0.0,2,87.454879
0.0,4,87.481045
0.0,4,87.507573
0.0,2,87.519451
0.0,2,91.764991
0.0,2,91.778072
0.0,2,91.789805
0.0,4,91.812807
0.0,2,91.824127
0.0,2,91.837307
0.0,2,91.851705
0.0,2,91.865086
0.0,2,91.877497
0.0,2,91.890538
0.0,2,91.903705
0.0,2,91.917704
0.0,4,91.946359
0.0,2,91.959859
0.0,2,91.974516
0.0,2,91.988412
0.0,2,92.001217
0.0,3,92.02106
0.0,4,92.051067
0.0,2,92.065943
0.0,2,92.153523
0.0,2,92.166688
0.0,2,92.179535
0.0,2,92.192826
0.0,2,92.205595
0.0,4,92.233231
0.0,2,92.246679
0.0,2,92.260493
0.0,2,92.272888
0.0,2,92.286771
0.0,2,92.301442
0.0,2,92.314629
0.0,2,92.326577
0.0,2,92.341728
0.0,2,92.355419
0.0,2,92.368426
0.0,2,92.380527
0.0,4,92.409118
0.0,2,92.426523
0.0,3,92.451053
0.0,2,92.468658
0.0,4,92.499681
0.0,2,92.514427
0.0,2,92.531053
0.0,2,92.545886
0.0,4,92.57504
0.0,2,92.589066
0.0,2,92.600975
0.0,2,92.616886
0.0,2,92.636132
0.0,2,92.656142
0.0,4,92.693079
0.0,2,92.710588
0.0,2,92.72697
0.0,2,92.747348
0.0,4,95.368101
0.0,2,95.400403
0.0,4,95.462135
0.0,6,95.55389
0.0,2,95.588258
0.0,2,95.621882
0.0,2,95.652922
0.0,2,95.686758
0.0,2,95.717364
0.0,2,95.752952
0.0,2,95.787236
0.0,2,95.817067
0.0,2,95.845666
0.0,2,95.874418
0.0,2,95.90153
0.0,2,95.930556
0.0,4,95.993237
0.0,6,96.093519
0.0,2,96.128284
0.0,3,96.171343
0.0,4,96.233758
0.0,2,96.271265
0.0,2,96.305141
0.0,2,96.338842
0.0,2,96.372866
0.0,2,96.406563
0.0,2,96.445135
0.0,2,96.475343
0.0,2,96.505998
0.0,2,96.540778
0.0,2,96.57432
0.0,2,96.60827
0.0,2,96.640233
0.0,2,96.673469
0.0,2,96.704984
0.0,2,96.735912
0.0,2,96.76229
0.0,2,96.788878
0.0,2,96.817314
0.0,4,96.880435
0.0,3,96.926056
0.0,2,96.960599
0.0,2,96.990257
0.0,2,97.020728
0.0,4,97.090627
0.0,4,97.166425
0.0,2,97.196294
0.0,2,97.224726
0.0,2,97.252865
0.0,2,97.280921
0.0,4,97.334164
0.0,2,99.970429
0.0,2,100.003291
0.0,2,100.035326
0.0,2,100.066952
0.0,6,100.18034
0.0,2,100.20782
0.0,2,100.236287
0.0,2,100.265824
0.0,2,100.296078
0.0,2,100.327438
0.0,2,100.359305
0.0,2,100.390659
0.0,2,100.421525
0.0,2,100.454028
0.0,2,100.486807
0.0,3,100.538309
0.0,5,100.618685
0.0,6,100.750929
0.0,2,100.782869
0.0,2,100.81835
0.0,2,100.853744
0.0,2,100.886328
0.0,4,100.953101
0.0,2,100.988934
0.0,2,101.047724
0.0,2,101.078151
0.0,6,101.177541
0.0,2,101.2145
