#{"t_start": 1667421456.4578311, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,65.172508
0.0,2,65.18944
0.0,4,65.236915
0.0,2,65.263477
0.0,2,65.290048
0.0,2,65.316636
0.0,2,65.343453
0.0,2,65.369488
0.0,2,65.396027
0.0,2,65.422775
0.0,2,65.449564
0.0,2,65.476411
0.0,4,65.530202
0.0,2,65.557005
0.0,2,65.581959
0.0,2,65.608626
0.0,2,65.635516
0.0,3,65.677698
0.0,2,65.704489
0.0,2,65.731417
0.0,2,65.758192
0.0,2,65.784894
0.0,2,65.811882
0.0,2,65.838652
0.0,2,65.865557
0.0,2,65.892308
0.0,2,65.919226
0.0,2,65.946002
0.0,6,66.026391
0.0,2,66.053361
0.0,2,66.080149
0.0,2,66.107136
0.0,2,66.13393
0.0,2,66.160675
0.0,2,66.187623
0.0,4,66.241369
0.0,2,66.268101
0.0,2,66.294903
0.0,2,66.321693
0.0,2,66.348492
0.0,2,66.375509
0.0,2,66.40222
0.0,2,66.429153
0.0,2,66.455789
0.0,2,66.482687
0.0,2,66.509537
0.0,2,66.536275
0.0,2,66.563193
0.0,2,66.58992
0.0,2,66.616829
0.0,2,66.643596
0.0,2,66.67065
0.0,2,66.697381
0.0,2,66.724148
0.0,2,66.751065
0.0,2,66.777795
0.0,2,66.804674
0.0,2,66.831361
0.0,2,69.969085
0.0,4,69.997244
0.0,4,70.02692
0.0,2,70.043865
0.0,2,70.071226
0.0,2,70.094903
0.0,2,70.121712
0.0,3,70.161593
0.0,2,70.186594
0.0,2,70.213255
0.0,2,70.239679
0.0,4,70.292744
0.0,4,70.347157
0.0,2,70.373619
0.0,2,70.400469
0.0,2,70.427291
0.0,2,70.454283
0.0,2,70.481275
0.0,2,70.507761
0.0,2,70.534599
0.0,2,70.56138
0.0,2,70.589509
0.0,2,70.614157
0.0,2,70.641003
0.0,2,70.667814
0.0,2,70.694637
0.0,2,70.721006
0.0,4,70.774765
0.0,2,70.801525
0.0,2,70.828425
0.0,2,70.85522
0.0,4,70.908895
0.0,2,70.935666
0.0,2,70.962585
0.0,2,70.989085
0.0,2,71.015855
0.0,2,71.042654
0.0,2,71.069479
0.0,2,71.096437
0.0,4,71.149976
0.0,2,71.176866
0.0,2,71.203711
0.0,2,71.230615
0.0,2,71.257477
0.0,2,71.284295
0.0,4,71.337748
0.0,2,71.366629
0.0,4,71.419987
0.0,4,71.473587
0.0,2,71.500379
0.0,2,71.527287
0.0,2,71.554008
0.0,2,71.580864
0.0,4,80.22051
0.0,2,80.241271
0.0,4,80.290983
0.0,2,80.314619
0.0,2,80.340879
0.0,2,80.367673
0.0,2,80.394271
0.0,6,80.474449
0.0,2,80.501553
0.0,2,80.528441
0.0,2,80.553976
0.0,2,80.581028
0.0,2,80.60725
0.0,4,80.661118
0.0,2,80.68778
0.0,2,80.71468
0.0,2,80.741829
0.0,2,80.768383
0.0,2,80.794921
0.0,4,80.849092
0.0,4,80.90216
0.0,4,80.956283
0.0,2,80.982868
0.0,2,81.009224
0.0,2,81.035945
0.0,2,81.063306
0.0,4,81.116362
0.0,4,81.171044
0.0,2,81.199136
0.0,2,81.227289
0.0,2,81.25554
0.0,2,81.284336
0.0,4,81.340942
0.0,2,81.36952
0.0,2,81.398688
0.0,2,81.426548
0.0,2,81.452186
0.0,2,81.478182
0.0,2,81.504128
0.0,4,81.561349
0.0,4,81.614357
0.0,4,81.666722
0.0,4,81.717184
0.0,2,81.742143
0.0,4,81.796064
0.0,2,81.822944
0.0,4,81.876731
0.0,2,81.903586
0.0,2,86.579398
0.0,2,86.593194
0.0,2,86.607031
0.0,2,86.621522
0.0,2,86.635189
0.0,2,86.647984
0.0,2,86.66014
0.0,2,86.674305
0.0,2,86.690019
0.0,2,86.706289
0.0,4,86.734022
0.0,2,86.746861
0.0,2,86.761364
0.0,2,86.77691
0.0,4,86.806841
0.0,2,86.821477
0.0,2,86.836045
0.0,4,86.864522
0.0,2,86.879794
0.0,2,86.89503
0.0,2,86.911628
0.0,2,86.929483
0.0,2,86.945553
0.0,2,86.960593
0.0,2,86.976489
0.0,2,87.649043
0.0,4,87.671697
0.0,4,87.691111
0.0,2,87.702299
0.0,2,87.713262
0.0,2,87.724626
0.0,4,87.7451
0.0,2,87.755354
0.0,2,87.765028
0.0,2,87.776202
0.0,2,87.786978
0.0,2,87.79979
0.0,2,87.814009
0.0,2,87.828137
0.0,2,87.843692
0.0,2,87.857661
0.0,2,87.872108
0.0,2,87.887116
0.0,3,87.9066
0.0,2,87.924694
0.0,2,87.938917
0.0,3,87.958842
0.0,2,87.970779
0.0,2,87.987261
0.0,2,88.000387
0.0,2,88.011699
0.0,2,88.02442
0.0,2,88.037155
0.0,2,88.051118
0.0,4,88.076485
0.0,2,88.08915
0.0,2,92.335276
0.0,2,92.347281
0.0,2,92.358702
0.0,5,92.387141
0.0,2,92.400324
0.0,2,92.414414
0.0,4,92.440392
0.0,4,92.466673
0.0,2,92.480407
0.0,3,92.50355
0.0,2,92.516719
0.0,2,92.530747
0.0,4,92.558551
0.0,2,92.57091
0.0,2,92.584168
0.0,4,92.613919
0.0,4,92.716481
0.0,3,92.736205
0.0,2,92.749689
0.0,2,92.762502
0.0,2,92.776531
0.0,2,92.790097
0.0,2,92.803112
0.0,2,92.817403
0.0,2,92.830268
0.0,2,92.842905
0.0,6,92.884618
0.0,2,92.897223
0.0,2,92.9123
0.0,2,92.925455
0.0,2,92.937739
0.0,2,92.951127
1.0,7,93.006398
0.0,2,93.022679
0.0,2,93.041475
0.0,3,93.062638
0.0,4,93.093963
0.0,2,93.108936
0.0,4,93.138116
0.0,6,93.179796
0.0,2,93.198882
0.0,2,93.218807
0.0,2,93.238447
0.0,2,93.25613
0.0,2,93.27316
0.0,2,93.289978
0.0,2,93.309705
0.0,2,95.899406
0.0,2,95.930787
0.0,2,95.962862
0.0,2,95.993631
0.0,2,96.024776
0.0,2,96.056722
0.0,2,96.088172
0.0,2,96.117049
0.0,3,96.168399
0.0,2,96.198388
0.0,2,96.232468
0.0,4,96.298957
0.0,2,96.333197
0.0,2,96.364067
0.0,2,96.393939
0.0,2,96.422601
0.0,2,96.451021
0.0,2,96.478914
0.0,2,96.507403
0.0,4,96.574295
0.0,2,96.60601
0.0,2,96.638161
0.0,5,96.72014
0.0,4,96.77816
0.0,2,96.814769
0.0,2,96.851973
0.0,2,96.886903
0.0,6,96.989151
0.0,2,97.022906
0.0,4,97.084156
0.0,2,97.121234
0.0,3,97.170906
0.0,2,97.203175
0.0,2,97.236659
0.0,2,97.267716
0.0,2,97.298743
0.0,4,97.351771
0.0,2,97.380164
0.0,4,97.443148
0.0,3,97.488967
0.0,2,97.523443
0.0,4,97.583862
0.0,2,97.618708
0.0,2,97.653559
0.0,2,97.687941
0.0,2,97.717664
0.0,5,97.80246
0.0,2,97.831336
0.0,2,97.856632
0.0,2,97.884658
0.0,4,100.550976
0.0,4,100.613947
0.0,4,100.676572
0.0,2,100.708352
0.0,2,100.757023
0.0,4,100.813484
0.0,2,100.844613
0.0,2,100.875162
0.0,2,100.906367
0.0,2,100.9377
0.0,2,100.969596
0.0,2,101.001486
0.0,4,101.066394
0.0,2,101.101028
0.0,2,101.132714
0.0,4,101.227437
0.0,2,101.260837
0.0,4,101.331885
0.0,2,101.364266
0.0,2,101.398901
0.0,3,101.449042
0.0,2,101.484043
0.0,2,101.516031
0.0,2,101.551848
0.0,4,101.641154
0.0,4,101.709504
0.0,2,101.740212
0.0,2,101.777431
0.0,2,101.811408
0.0,2,101.849106
0.0,2,101.886386
0.0,2,101.921695
0.0,2,101.956729
0.0,2,101.991441
0.0,2,102.026467
0.0,2,102.058954
0.0,2,102.088683
0.0,4,102.147094
0.0,2,102.176088
0.0,2,102.205614
0.0,2,102.238067
0.0,2,102.269652
0.0,2,102.304216
0.0,2,102.338277
0.0,4,102.406446
0.0,4,102.474205
0.0,6,102.566979
0.0,4,102.626186
0.0,2,102.65374
0.0,2,105.282026
0.0,2,105.314054
0.0,2,105.345673
0.0,2,105.377014
0.0,4,105.440333
0.0,4,105.50152
0.0,3,105.549862
0.0,4,105.611246
0.0,2,105.643804
0.0,2,105.674899
0.0,2,105.708416
0.0,2,105.737335
0.0,4,105.800597
0.0,2,105.833923
0.0,2,105.868568
0.0,2,105.90328
0.0,4,105.972535
0.0,2,106.008524
0.0,2,106.043724
0.0,2,106.078634
0.0,2,106.114808
0.0,4,106.182454
0.0,2,106.217364
0.0,2,106.252727
0.0,2,106.285151
0.0,4,106.353381
0.0,2,106.3889
0.0,2,106.424996
0.0,2,106.46159
0.0,4,106.53052
0.0,6,106.687975
0.0,2,106.720325
0.0,2,106.75135
0.0,2,106.784584
0.0,2,106.814915
0.0,2,106.845384
0.0,2,106.874498
0.0,2,106.899914
0.0,2,106.926511
0.0,2,106.953525
0.0,4,107.006108
0.0,2,107.035494
0.0,3,107.07884
0.0,3,107.122006
0.0,2,107.151066
0.0,3,107.190686
0.0,2,107.217004
0.0,2,107.244444
0.0,2,107.272336
0.0,4,107.326092
0.0,2,109.860195
0.0,2,109.888845
0.0,2,109.918248
0.0,4,109.97716
0.0,2,110.006583
0.0,2,110.037018
0.0,2,110.067863
0.0,2,110.098697
0.0,2,110.12968
0.0,4,110.193117
0.0,2,110.222637
0.0,2,110.251709
0.0,2,110.281838
0.0,2,110.311476
0.0,2,110.341442
0.0,2,110.373459
0.0,2,110.405705
0.0,2,110.434858
0.0,2,110.466642
0.0,2,110.499305
0.0,2,110.532453
0.0,4,110.596218
0.0,2,110.628682
0.0,2,110.662513
0.0,2,110.695567
0.0,2,110.725677
0.0,2,110.75953
0.0,2,110.790512
0.0,2,110.826442
0.0,2,110.86149
0.0,2,110.893496
0.0,2,110.929001
0.0,2,110.968489
0.0,2,111.003923
0.0,2,111.040025
0.0,2,111.075299
0.0,2,111.108407
0.0,2,111.1445
0.0,2,111.180051
0.0,2,111.2253
0.0,2,111.271274
0.0,2,111.308735
0.0,4,111.376826
0.0,2,111.413766
0.0,2,111.449376
0.0,2,111.485825
0.0,2,111.521632
0.0,2,111.555071
0.0,6,111.675761
0.0,2,111.71081
0.0,2,111.74421
0.0,2,111.77844
0.0,2,111.809473
0.0,3,111.857443
0.0,2,111.888786
0.0,2,111.918524
0.0,2,111.944879
0.0,2,111.974602
0.0,2,117.161543
0.0,2,117.174007
0.0,3,117.189604
0.0,2,117.200267
0.0,2,117.2098
0.0,2,117.220648
0.0,2,117.231065
0.0,2,117.241647
0.0,2,117.252036
0.0,2,117.262467
0.0,4,117.283626
0.0,2,117.294233
0.0,2,117.304916
0.0,2,117.315392
0.0,2,117.326513
0.0,2,117.336703
0.0,2,117.346444
0.0,4,117.365556
0.0,2,117.375477
0.0,2,117.38501
0.0,2,117.394511
0.0,2,117.404109
0.0,2,117.41358
0.0,2,117.423456
0.0,2,117.432891
0.0,2,117.442452
0.0,4,117.461712
0.0,3,117.47605
0.0,2,117.490601
0.0,2,117.504731
0.0,2,117.520107
0.0,2,117.534942
0.0,4,117.569284
0.0,2,117.584267
0.0,4,117.615776
0.0,2,117.632142
0.0,2,117.6459
0.0,2,117.660413
0.0,2,117.676888
0.0,2,117.691319
0.0,2,117.706674
0.0,2,117.721128
0.0,2,117.735783
0.0,2,117.751427
0.0,2,117.765951
0.0,2,117.778538
0.0,7,117.825359
0.0,2,117.83992
0.0,2,117.853127
0.0,2,117.867092
0.0,4,117.895841
0.0,2,117.909952
0.0,3,117.93374
0.0,2,117.948694
0.0,2,123.561196
0.0,4,123.605971
0.0,2,123.629064
0.0,2,123.646735
0.0,2,123.671461
0.0,3,123.706736
0.0,2,123.729784
0.0,2,123.752961
0.0,2,123.776585
0.0,2,123.797657
0.0,4,123.845909
0.0,2,123.867739
0.0,2,123.892245
0.0,3,123.924605
0.0,2,123.948316
0.0,2,123.968346
0.0,4,124.011437
0.0,2,124.032611
0.0,2,124.054484
0.0,2,124.086146
0.0,2,124.12836
0.0,2,124.153863
0.0,2,124.178547
0.0,2,124.204127
0.0,2,124.227979
0.0,2,124.250597
0.0,2,124.273643
0.0,4,124.319781
0.0,4,124.366273
0.0,2,124.390376
0.0,2,124.413499
0.0,2,124.435664
0.0,2,124.45907
0.0,3,124.494311
0.0,4,124.54027
0.0,6,124.609866
0.0,4,124.657089
0.0,2,124.680347
0.0,3,124.715653
0.0,3,124.753902
0.0,4,124.801825
0.0,2,124.826814
0.0,2,124.854071
0.0,2,124.881471
0.0,2,124.906032
0.0,3,124.942961
0.0,4,124.99455
0.0,2,125.019842
0.0,2,125.044956
0.0,2,125.070005
0.0,2,129.601762
0.0,2,129.634923
0.0,3,129.685472
0.0,2,129.717623
0.0,2,129.749797
0.0,5,129.819256
0.0,4,129.873003
0.0,2,129.898182
0.0,2,129.925399
0.0,2,129.952947
0.0,2,129.980615
0.0,2,130.00838
0.0,2,130.035987
0.0,2,130.064056
0.0,7,130.161819
0.0,2,130.189013
0.0,2,130.215125
0.0,3,130.251175
0.0,4,130.299046
0.0,2,130.323243
0.0,2,130.347721
0.0,6,130.425013
0.0,2,130.452918
0.0,2,130.480847
0.0,2,130.508689
0.0,2,130.536381
0.0,6,130.62753
0.0,2,130.658872
0.0,2,130.689852
0.0,2,130.721221
0.0,2,130.752824
0.0,4,130.817528
0.0,2,130.84865
0.0,2,130.879873
0.0,2,130.910938
0.0,4,130.973381
0.0,4,131.035539
0.0,2,131.066727
0.0,2,131.097953
0.0,3,131.144923
0.0,4,131.207252
0.0,2,131.238149
0.0,4,131.295528
