#{"t_start": 1667421457.0227396, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,369.977447
0.0,2,370.013362
0.0,2,370.047102
0.0,2,370.084042
0.0,2,370.121698
0.0,2,370.158348
0.0,2,370.191963
0.0,2,370.226646
0.0,2,370.262767
0.0,4,370.327161
0.0,2,370.358819
0.0,2,370.394042
0.0,2,370.42843
0.0,4,370.498605
0.0,2,370.534847
0.0,4,370.608423
0.0,2,370.647475
0.0,2,370.681888
0.0,2,370.719342
0.0,2,370.756617
0.0,2,370.792449
0.0,2,370.827892
0.0,4,370.897161
0.0,2,370.933528
0.0,2,370.968216
0.0,4,371.038836
0.0,2,371.074173
0.0,3,371.130594
0.0,2,371.165364
0.0,4,371.236079
0.0,2,371.27343
0.0,2,371.309864
0.0,3,371.361603
0.0,2,371.395355
0.0,3,371.443901
0.0,2,371.47216
0.0,2,371.500012
0.0,2,371.527268
0.0,2,371.555493
0.0,2,371.581983
0.0,2,371.608874
0.0,2,371.636813
0.0,2,371.664651
0.0,4,371.72545
0.0,2,371.755
0.0,3,371.801363
0.0,2,371.832353
0.0,2,371.863437
0.0,2,371.89519
0.0,4,371.96072
0.0,2,371.991858
0.0,2,372.023519
0.0,2,372.054957
0.0,2,372.086742
0.0,2,375.565847
0.0,2,375.59854
0.0,2,375.63327
0.0,2,375.667326
0.0,2,375.702341
0.0,2,375.739832
0.0,2,375.77668
0.0,2,375.81024
0.0,7,375.927775
0.0,4,375.996909
0.0,3,376.047862
0.0,2,376.086652
0.0,2,376.121329
0.0,2,376.15237
0.0,2,376.187551
0.0,2,376.224855
0.0,2,376.263047
0.0,2,376.295874
0.0,2,376.332124
0.0,2,376.369356
0.0,2,376.406577
0.0,3,376.45994
0.0,2,376.497793
0.0,2,376.535226
0.0,2,376.57354
0.0,2,376.609467
0.0,4,376.684061
0.0,2,376.72112
0.0,2,376.757479
0.0,2,376.791155
0.0,2,376.829835
0.0,2,376.866984
0.0,2,376.901374
0.0,2,376.937854
0.0,2,376.974518
0.0,2,377.009783
0.0,2,377.044719
0.0,2,377.076422
0.0,2,377.105452
0.0,2,377.133662
0.0,2,377.160444
0.0,2,377.186142
0.0,4,377.240544
0.0,2,377.268642
0.0,2,377.296475
0.0,2,377.323224
0.0,4,377.379078
0.0,2,377.404603
0.0,2,377.43134
0.0,2,377.459307
0.0,2,377.485487
0.0,2,377.511501
0.0,2,377.537076
0.0,4,377.589948
0.0,2,377.618203
0.0,2,380.911993
0.0,2,380.941373
0.0,2,380.971285
0.0,2,381.002469
0.0,2,381.034734
0.0,2,381.068432
0.0,2,381.103226
0.0,2,381.137157
0.0,2,381.171803
0.0,2,381.206762
0.0,3,381.259043
0.0,2,381.295895
0.0,2,381.330674
0.0,2,381.366858
0.0,4,381.436341
0.0,4,381.507425
0.0,2,381.543923
0.0,2,381.579312
0.0,2,381.616436
0.0,2,381.648099
0.0,2,381.683498
0.0,5,381.779449
0.0,2,381.816594
0.0,2,381.85393
0.0,2,381.890811
0.0,2,381.927644
0.0,2,381.966307
0.0,2,382.003649
0.0,2,382.041284
0.0,2,382.07812
0.0,6,382.184801
0.0,2,382.22096
0.0,2,382.257908
0.0,2,382.291978
0.0,4,382.367721
0.0,2,382.405025
0.0,2,382.443248
0.0,2,382.481284
0.0,2,382.515283
0.0,2,382.552228
0.0,3,382.605658
0.0,2,382.644315
0.0,2,382.683007
0.0,2,382.721074
0.0,2,382.756915
0.0,6,382.858356
0.0,2,382.893484
0.0,2,382.931977
0.0,3,382.983917
0.0,2,383.018496
0.0,2,383.054207
0.0,2,383.088785
0.0,2,383.122922
0.0,2,383.156979
0.0,2,386.423325
0.0,2,386.453353
0.0,2,386.483192
0.0,2,386.512583
0.0,4,386.577116
0.0,2,386.610324
0.0,2,386.644294
0.0,2,386.679458
0.0,2,386.715011
0.0,2,386.749599
0.0,2,386.781246
0.0,2,386.816425
0.0,2,386.849125
0.0,2,386.885687
0.0,2,386.920766
0.0,2,386.95297
0.0,2,386.985889
0.0,4,387.052249
0.0,2,387.086396
0.0,2,387.120859
0.0,2,387.157863
0.0,2,387.190092
0.0,2,387.22144
0.0,2,387.255987
0.0,4,387.331491
0.0,4,387.39929
0.0,2,387.437118
0.0,2,387.475459
0.0,2,387.510897
0.0,2,387.547796
0.0,2,387.585296
0.0,4,387.657522
0.0,2,387.690645
0.0,2,387.723475
0.0,2,387.761538
