#{"t_start": 1667421456.7390344, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1681.393752
0.0,2,1681.427012
0.0,2,1681.460047
0.0,2,1681.493756
0.0,2,1681.527553
0.0,2,1681.564005
0.0,2,1681.596505
0.0,2,1681.632573
0.0,2,1681.664476
0.0,2,1681.694087
0.0,4,1681.822843
0.0,3,1681.871308
0.0,4,1681.938956
0.0,2,1681.971997
0.0,2,1682.009547
0.0,2,1682.044816
0.0,2,1682.076031
0.0,2,1682.111826
0.0,2,1682.150413
0.0,2,1682.191978
0.0,4,1682.267166
0.0,2,1682.303043
0.0,4,1682.377747
0.0,2,1682.410417
0.0,7,1682.544652
0.0,2,1682.580954
0.0,2,1682.622939
0.0,2,1682.657436
0.0,2,1682.695409
0.0,2,1682.73275
0.0,2,1682.767555
0.0,7,1682.899489
0.0,2,1682.940023
0.0,2,1682.983281
0.0,2,1683.02202
0.0,2,1683.058722
0.0,2,1683.094915
0.0,2,1683.130006
0.0,4,1683.202883
0.0,2,1683.23711
0.0,4,1683.312156
0.0,2,1683.350941
0.0,2,1683.388569
0.0,2,1683.425847
0.0,4,1683.498965
0.0,2,1683.532012
0.0,2,1683.565027
0.0,2,1683.606146
0.0,2,1683.643904
0.0,2,1683.677086
0.0,2,1683.710938
0.0,2,1687.515681
0.0,2,1687.555987
0.0,2,1687.591348
0.0,2,1687.622847
0.0,2,1687.65763
0.0,2,1687.693164
0.0,4,1687.754644
0.0,2,1687.792526
0.0,2,1687.831615
0.0,2,1687.865939
0.0,2,1687.901148
0.0,2,1687.936176
0.0,2,1687.97446
0.0,2,1688.011561
0.0,2,1688.043663
0.0,2,1688.072205
0.0,2,1688.111695
0.0,4,1688.179818
0.0,2,1688.216994
0.0,4,1688.290492
0.0,2,1688.325782
0.0,2,1688.361146
0.0,2,1688.396339
0.0,4,1688.468106
0.0,4,1688.545743
0.0,2,1688.578667
0.0,2,1688.616523
0.0,4,1688.687225
0.0,2,1688.723123
0.0,2,1688.756636
0.0,6,1688.868801
0.0,2,1688.900456
0.0,2,1688.93674
0.0,4,1689.009542
0.0,2,1689.047077
0.0,5,1689.14319
0.0,7,1689.278571
0.0,4,1689.351694
0.0,3,1689.408899
0.0,2,1689.443923
0.0,2,1689.476891
0.0,2,1689.510928
0.0,2,1689.544037
0.0,2,1689.576933
0.0,7,1689.696131
0.0,2,1689.72917
0.0,3,1689.778804
0.0,2,1693.644173
0.0,2,1693.68323
0.0,2,1693.715345
0.0,4,1693.77958
0.0,7,1693.900671
0.0,2,1693.934146
0.0,2,1693.969258
0.0,4,1694.039528
0.0,2,1694.080388
0.0,4,1694.150108
0.0,4,1694.214687
0.0,4,1694.276477
0.0,2,1694.313938
0.0,4,1694.381581
0.0,3,1694.431572
0.0,2,1694.464623
0.0,2,1694.501852
0.0,2,1694.535186
0.0,4,1694.599382
0.0,7,1694.728541
1.0,7,1694.852873
0.0,5,1694.938539
0.0,2,1694.973881
0.0,2,1695.007918
0.0,2,1695.038961
0.0,2,1695.070217
0.0,2,1695.10112
0.0,3,1695.154136
0.0,2,1695.194089
0.0,2,1695.230779
0.0,4,1695.299172
0.0,2,1695.333561
0.0,4,1695.401473
0.0,3,1695.456792
0.0,2,1695.492307
0.0,2,1695.528267
0.0,2,1695.562771
0.0,2,1695.598495
0.0,2,1695.636831
0.0,6,1695.740606
0.0,4,1695.809885
1.0,7,1699.871189
1.0,7,1699.995872
1.0,7,1700.108333
1.0,7,1700.221224
1.0,7,1700.341749
1.0,7,1700.46646
1.0,7,1700.5956
1.0,7,1700.720172
1.0,7,1700.833532
1.0,7,1700.960946
1.0,7,1701.087735
1.0,7,1701.220826
1.0,7,1701.344612
1.0,7,1701.466548
1.0,7,1701.602227
1.0,7,1701.737536
1.0,7,1701.938312
1.0,7,1702.065785
0.0,5,1705.974556
0.0,5,1706.062106
0.0,5,1706.144534
0.0,3,1706.19038
1.0,7,1706.306653
0.0,3,1706.360072
0.0,5,1706.448827
0.0,3,1706.50064
0.0,5,1706.59072
0.0,3,1706.638099
0.0,3,1706.68924
0.0,3,1706.736315
1.0,7,1706.892594
1.0,7,1707.012727
1.0,7,1707.139682
0.0,3,1707.193369
0.0,3,1707.244424
1.0,7,1707.363507
1.0,7,1707.492029
0.0,5,1707.57601
0.0,5,1707.660068
0.0,5,1707.754157
0.0,3,1707.8101
1.0,7,1707.938515
1.0,7,1708.058293
1.0,7,1708.185881
1.0,7,1712.132768
0.0,3,1712.188494
1.0,7,1712.308969
0.0,3,1712.356111
1.0,7,1712.48063
0.0,3,1712.536859
1.0,7,1712.664998
1.0,7,1712.793452
1.0,7,1712.918754
1.0,7,1713.044399
0.0,3,1713.104412
1.0,7,1713.235261
0.0,5,1713.331542
1.0,7,1713.465959
0.0,5,1713.555589
0.0,5,1713.64722
1.0,7,1713.769097
0.0,3,1713.825717
0.0,3,1713.881539
1.0,7,1714.015892
1.0,7,1714.146305
1.0,7,1714.272026
1.0,7,1718.196025
1.0,7,1718.32916
1.0,7,1718.450472
1.0,7,1718.574368
0.0,5,1718.65738
0.0,5,1718.744862
1.0,7,1718.879678
1.0,7,1719.005393
1.0,7,1719.130814
1.0,7,1719.261029
1.0,7,1719.39102
1.0,7,1719.517863
1.0,7,1719.651767
1.0,7,1719.778547
1.0,7,1719.908478
1.0,7,1720.034331
1.0,7,1720.166466
1.0,7,1720.297407
1.0,7,1720.430205
1.0,7,1724.369383
1.0,7,1724.49035
1.0,7,1724.60948
1.0,7,1724.732686
1.0,7,1724.861179
1.0,7,1724.989512
1.0,7,1725.107571
1.0,7,1725.24447
0.0,3,1725.29481
1.0,7,1725.424088
1.0,7,1725.558663
1.0,7,1725.685106
1.0,7,1725.818721
1.0,7,1725.953843
1.0,7,1726.083328
1.0,7,1726.212405
1.0,7,1726.34648
1.0,7,1726.482878
1.0,7,1726.613258
1.0,7,1730.516811
1.0,7,1730.639778
1.0,7,1730.753424
1.0,7,1730.874165
1.0,7,1731.003778
1.0,7,1731.127359
1.0,7,1731.24858
1.0,7,1731.383707
1.0,7,1731.519378
1.0,7,1731.653523
0.0,3,1731.707149
1.0,7,1731.866105
1.0,7,1732.006272
1.0,7,1732.127314
1.0,7,1732.24782
1.0,7,1732.376355
1.0,7,1732.498192
1.0,7,1732.6287
1.0,7,1732.752763
1.0,7,1736.69084
1.0,7,1736.818634
1.0,7,1736.941949
1.0,7,1737.075404
1.0,7,1737.206619
1.0,7,1737.334805
1.0,7,1737.45984
1.0,7,1737.586536
1.0,7,1737.716605
1.0,7,1737.85891
1.0,7,1737.985289
1.0,7,1738.116357
1.0,7,1738.254238
1.0,7,1738.383389
1.0,7,1738.513379
1.0,7,1738.631254
1.0,7,1738.755728
0.0,7,1738.876158
1.0,7,1742.791827
1.0,7,1742.919914
1.0,7,1743.042807
1.0,7,1743.169796
1.0,7,1743.305746
1.0,7,1743.433343
1.0,7,1743.566986
1.0,7,1743.700454
1.0,7,1743.83185
1.0,7,1743.96239
1.0,7,1744.093737
1.0,7,1744.216077
1.0,7,1744.355371
1.0,7,1744.472235
1.0,7,1744.597498
1.0,7,1744.724019
1.0,7,1744.848234
1.0,7,1744.981658
1.0,7,1749.312849
1.0,7,1749.430733
1.0,7,1749.54857
1.0,7,1749.676411
1.0,7,1749.799476
1.0,7,1749.919037
1.0,7,1750.043902
1.0,7,1750.176079
1.0,7,1750.294928
1.0,7,1750.429392
1.0,7,1750.562379
1.0,7,1750.68901
1.0,7,1750.820131
1.0,7,1750.941906
1.0,7,1751.068936
1.0,7,1751.19832
1.0,7,1751.325984
1.0,7,1751.450474
1.0,7,1751.561365
1.0,7,1755.300619
1.0,7,1755.425941
1.0,7,1755.560748
1.0,7,1755.691211
1.0,7,1755.810338
1.0,7,1755.941657
1.0,7,1756.076212
1.0,7,1756.215092
1.0,7,1756.35426
1.0,7,1756.486541
1.0,7,1756.611282
1.0,7,1756.745373
1.0,7,1757.049155
1.0,7,1757.177146
1.0,7,1757.307102
1.0,7,1757.430219
1.0,7,1757.555431
1.0,7,1757.683956
1.0,7,1761.550317
1.0,7,1761.682228
1.0,7,1761.828223
1.0,7,1761.967442
1.0,7,1762.112421
1.0,7,1762.244911
1.0,7,1762.384709
1.0,7,1762.520419
1.0,7,1762.658641
1.0,7,1762.788692
1.0,7,1762.922302
