#{"t_start": 1667421457.2946346, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1680.839873
0.0,4,1680.906407
0.0,2,1680.940063
0.0,2,1680.973665
0.0,2,1681.010364
0.0,2,1681.042916
0.0,2,1681.078957
0.0,2,1681.110819
0.0,2,1681.140156
0.0,4,1681.269513
0.0,2,1681.303033
0.0,2,1681.336472
0.0,6,1681.435255
0.0,2,1681.474761
0.0,3,1681.522248
0.0,2,1681.557906
0.0,2,1681.597102
0.0,2,1681.639049
0.0,2,1681.678455
0.0,2,1681.713254
0.0,2,1681.749468
0.0,2,1681.786858
0.0,4,1681.856619
0.0,4,1681.930861
0.0,2,1681.970109
0.0,2,1682.010315
0.0,2,1682.046463
0.0,4,1682.119416
0.0,2,1682.159808
0.0,2,1682.198914
0.0,2,1682.238091
0.0,2,1682.273276
0.0,2,1682.308997
0.0,2,1682.345894
0.0,2,1682.386301
0.0,2,1682.429541
0.0,2,1682.468129
0.0,2,1682.504918
0.0,4,1682.576113
0.0,2,1682.614558
0.0,2,1682.649052
0.0,2,1682.683297
0.0,2,1682.722199
0.0,2,1682.758364
0.0,2,1682.797328
0.0,2,1682.834733
0.0,2,1682.872269
0.0,2,1682.908614
0.0,2,1682.945
0.0,2,1682.978138
0.0,2,1683.011102
0.0,2,1683.052353
0.0,2,1683.090098
0.0,2,1683.122958
0.0,3,1683.174393
0.0,2,1686.984501
0.0,2,1687.018104
0.0,2,1687.052528
0.0,2,1687.08496
0.0,3,1687.139781
0.0,4,1687.201092
0.0,2,1687.23893
0.0,4,1687.312222
0.0,2,1687.347557
0.0,3,1687.403855
0.0,2,1687.440543
0.0,2,1687.47183
0.0,3,1687.518142
0.0,2,1687.557792
0.0,4,1687.625885
0.0,3,1687.678986
0.0,2,1687.71507
0.0,4,1687.790261
0.0,2,1687.827652
0.0,2,1687.86381
0.0,2,1687.896348
0.0,2,1687.933091
0.0,2,1687.969249
0.0,2,1688.005738
1.0,7,1688.133961
0.0,2,1688.16901
0.0,2,1688.202691
0.0,2,1688.241556
0.0,2,1688.277991
0.0,2,1688.314815
0.0,2,1688.346333
0.0,7,1688.478101
0.0,2,1688.516655
0.0,2,1688.552417
0.0,2,1688.589556
0.0,3,1688.648773
0.0,2,1688.685486
0.0,2,1688.724702
0.0,2,1688.762795
0.0,2,1688.797757
0.0,2,1688.836645
0.0,2,1688.874348
0.0,2,1688.906623
0.0,6,1689.00668
0.0,2,1689.039715
0.0,2,1689.074266
0.0,2,1689.107646
0.0,2,1689.142345
0.0,2,1689.175068
0.0,4,1693.072862
0.0,5,1693.161872
0.0,2,1693.193729
0.0,6,1693.296955
0.0,2,1693.328737
0.0,2,1693.361256
0.0,2,1693.397443
0.0,2,1693.433641
0.0,6,1693.541683
0.0,2,1693.574664
0.0,2,1693.612244
0.0,2,1693.645259
0.0,2,1693.678815
0.0,2,1693.708654
0.0,2,1693.74234
0.0,3,1693.794145
0.0,2,1693.82767
0.0,6,1693.932525
0.0,4,1693.998449
0.0,2,1694.029881
0.0,5,1694.113655
0.0,2,1694.153621
0.0,3,1694.212065
0.0,2,1694.247026
0.0,6,1694.349692
0.0,2,1694.384963
0.0,2,1694.420211
0.0,2,1694.454177
0.0,5,1694.532984
0.0,2,1694.564868
0.0,2,1694.601132
0.0,4,1694.676995
0.0,4,1694.745333
0.0,2,1694.779726
0.0,2,1694.81366
0.0,2,1694.847777
0.0,3,1694.90334
0.0,3,1694.954089
0.0,2,1694.989775
0.0,2,1695.027066
0.0,2,1695.06425
0.0,2,1695.102973
0.0,2,1695.137227
0.0,3,1695.186731
0.0,3,1695.240005
0.0,2,1695.2748
1.0,7,1699.338933
1.0,7,1699.462426
1.0,7,1699.570368
1.0,7,1699.684222
1.0,7,1699.805803
1.0,7,1699.931698
1.0,7,1700.059601
1.0,7,1700.18019
1.0,7,1700.301656
1.0,7,1700.427241
1.0,7,1700.554287
1.0,7,1700.685347
1.0,7,1700.810874
1.0,7,1700.934165
0.0,6,1701.048581
1.0,7,1701.184073
1.0,7,1701.38499
1.0,7,1701.512788
0.0,5,1705.420649
0.0,3,1705.472348
0.0,3,1705.525986
0.0,3,1705.572243
0.0,3,1705.622588
1.0,7,1705.734082
0.0,5,1705.825511
0.0,5,1705.908577
0.0,5,1706.000802
1.0,7,1706.116755
0.0,5,1706.2023
0.0,3,1706.289728
0.0,3,1706.339141
1.0,7,1706.459296
0.0,3,1706.51312
1.0,7,1706.639707
0.0,3,1706.690524
0.0,5,1706.775166
1.0,7,1706.900181
0.0,3,1706.955722
0.0,3,1707.005348
0.0,3,1707.056414
0.0,3,1707.106453
0.0,3,1707.165477
0.0,3,1707.21614
1.0,7,1707.345338
0.0,5,1707.439142
0.0,3,1707.488181
0.0,3,1707.536542
0.0,5,1707.632875
0.0,3,1711.514323
0.0,5,1711.597937
0.0,5,1711.690231
0.0,5,1711.772314
1.0,7,1711.889309
0.0,3,1711.946708
0.0,3,1712.00324
1.0,7,1712.1315
0.0,3,1712.189722
1.0,7,1712.311408
1.0,7,1712.442433
1.0,7,1712.570513
1.0,7,1712.700207
0.0,5,1712.795966
1.0,7,1712.926837
1.0,7,1713.054836
1.0,7,1713.180394
0.0,3,1713.235308
0.0,5,1713.327892
0.0,3,1713.382706
1.0,7,1713.517251
0.0,5,1713.611946
0.0,3,1713.66525
1.0,7,1713.785765
1.0,7,1717.717333
1.0,7,1717.845158
1.0,7,1717.964796
1.0,7,1718.08638
1.0,7,1718.213471
1.0,7,1718.347695
0.0,3,1718.402583
1.0,7,1718.522677
1.0,7,1718.651682
1.0,7,1718.783895
1.0,7,1718.914593
1.0,7,1719.049349
0.0,5,1719.139666
1.0,7,1719.266024
1.0,7,1719.393607
1.0,7,1719.522542
1.0,7,1719.65225
1.0,7,1719.786942
1.0,7,1719.910848
1.0,7,1723.849284
0.0,5,1723.937169
1.0,7,1724.056512
1.0,7,1724.179853
1.0,7,1724.308589
1.0,7,1724.4366
1.0,7,1724.554383
1.0,7,1724.691776
1.0,7,1724.809804
1.0,7,1724.944378
1.0,7,1725.078081
1.0,7,1725.205801
1.0,7,1725.33843
1.0,7,1725.47107
1.0,7,1725.603297
1.0,7,1725.729765
1.0,7,1725.868232
1.0,7,1725.998479
0.0,3,1726.059898
1.0,7,1729.96315
1.0,7,1730.086102
1.0,7,1730.199752
1.0,7,1730.32057
1.0,7,1730.450483
0.0,5,1730.535874
1.0,7,1730.658968
1.0,7,1730.791422
1.0,7,1730.926489
1.0,7,1731.058219
1.0,7,1731.186327
1.0,7,1731.349642
1.0,7,1731.488261
1.0,7,1731.605716
1.0,7,1731.734321
1.0,7,1731.856555
1.0,7,1731.980342
1.0,7,1732.109928
1.0,7,1732.235501
1.0,7,1736.171431
1.0,7,1736.298785
1.0,7,1736.426062
1.0,7,1736.561577
1.0,7,1736.688141
1.0,7,1736.817306
1.0,7,1736.943285
1.0,7,1737.073373
1.0,7,1737.20311
1.0,7,1737.342506
1.0,7,1737.468524
1.0,7,1737.600906
1.0,7,1737.73544
1.0,7,1737.866672
1.0,7,1737.995735
1.0,7,1738.115472
1.0,7,1738.235522
1.0,7,1738.355928
1.0,7,1742.274994
1.0,7,1742.402654
1.0,7,1742.524498
1.0,7,1742.656093
1.0,7,1742.787136
1.0,7,1742.915109
1.0,7,1743.049315
1.0,7,1743.182688
1.0,7,1743.3146
1.0,7,1743.445553
1.0,7,1743.576933
1.0,7,1743.705682
1.0,7,1743.833983
1.0,7,1743.951964
1.0,7,1744.082784
1.0,7,1744.207348
1.0,7,1744.331941
1.0,7,1744.468135
1.0,7,1748.793507
1.0,7,1748.908561
1.0,7,1749.030939
1.0,7,1749.162707
1.0,7,1749.2843
1.0,7,1749.397938
1.0,7,1749.527412
1.0,7,1749.656354
1.0,7,1749.779872
1.0,7,1749.915737
1.0,7,1750.050608
1.0,7,1750.17314
1.0,7,1750.301109
1.0,7,1750.418623
1.0,7,1750.554973
1.0,7,1750.680738
1.0,7,1750.810881
1.0,7,1750.9293
1.0,7,1754.659473
1.0,7,1754.780763
1.0,7,1754.909395
1.0,7,1755.04488
1.0,7,1755.171372
1.0,7,1755.299567
1.0,7,1755.426929
1.0,7,1755.561631
1.0,7,1755.700933
1.0,7,1755.842503
1.0,7,1755.966965
1.0,7,1756.097136
1.0,7,1756.395971
1.0,7,1756.534968
1.0,7,1756.660722
1.0,7,1756.792748
1.0,7,1756.910982
1.0,7,1757.04061
1.0,7,1757.167633
1.0,7,1761.033112
1.0,7,1761.166638
1.0,7,1761.317965
1.0,7,1761.458635
1.0,7,1761.599997
1.0,7,1761.73181
1.0,7,1761.871473
1.0,7,1762.004892
1.0,7,1762.142392
1.0,7,1762.275291
1.0,7,1762.40837
1.0,7,1762.541078
1.0,7,1762.666306
1.0,7,1762.794528
1.0,7,1762.92084
1.0,7,1763.053964
1.0,7,1763.187241
1.0,7,1763.303913
1.0,7,1767.075074
1.0,7,1767.205317
1.0,7,1767.339861
1.0,7,1767.473512
1.0,7,1767.60321
1.0,7,1767.736145
1.0,7,1767.877713
1.0,7,1768.013845
1.0,7,1768.139479
1.0,7,1768.279511
1.0,7,1768.40904
1.0,7,1768.548118
1.0,7,1768.685596
1.0,7,1768.814245
1.0,7,1768.937884
1.0,7,1769.067596
1.0,7,1769.195542
1.0,7,1769.318074
1.0,7,1773.08068
1.0,7,1773.200697
1.0,7,1773.3279
