#{"t_start": 1667421461.4665632, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,60.132809
0.0,2,60.161102
0.0,4,60.21469
0.0,2,60.240836
0.0,2,60.267539
0.0,2,60.293761
0.0,2,60.320448
0.0,2,60.346909
0.0,2,60.373591
0.0,2,60.400379
0.0,4,60.45369
0.0,2,60.480173
0.0,2,60.50654
0.0,2,60.533265
0.0,2,60.558905
0.0,2,60.587258
0.0,2,60.613766
0.0,2,60.640091
0.0,2,60.666844
0.0,2,60.693505
0.0,2,60.720239
0.0,2,60.746987
0.0,2,60.773654
0.0,2,60.799726
0.0,2,60.826524
0.0,3,60.866533
0.0,4,60.920113
0.0,2,60.946544
0.0,4,60.99992
0.0,2,61.026792
0.0,2,61.053413
0.0,2,61.079913
0.0,2,61.106234
0.0,2,61.132904
0.0,2,61.159637
0.0,2,61.18586
0.0,2,61.212508
0.0,2,61.239184
0.0,2,61.265839
0.0,2,61.292623
0.0,4,61.345954
0.0,2,61.372599
0.0,2,61.401376
0.0,2,61.42803
0.0,2,61.454675
0.0,2,61.48128
0.0,2,61.50791
0.0,4,61.560865
0.0,4,61.614208
0.0,2,61.640957
0.0,2,61.667507
0.0,2,61.694357
0.0,2,61.721088
0.0,2,61.747798
0.0,2,61.774859
0.0,2,61.801435
0.0,2,64.927108
0.0,2,64.955178
0.0,6,65.03741
0.0,2,65.0641
0.0,2,65.091712
0.0,2,65.118068
0.0,2,65.145065
0.0,2,65.1715
0.0,2,65.199751
0.0,2,65.226384
0.0,4,65.279599
0.0,2,65.306416
0.0,2,65.33329
0.0,2,65.358221
0.0,2,65.384611
0.0,2,65.411532
0.0,4,65.46444
0.0,3,65.504465
0.0,2,65.531103
0.0,3,65.571137
0.0,2,65.596422
0.0,6,65.672966
0.0,7,65.766627
0.0,2,65.793012
0.0,2,65.819741
0.0,2,65.846414
0.0,2,65.873061
0.0,2,65.899743
0.0,4,65.953115
0.0,2,65.979785
0.0,2,66.006525
0.0,2,66.03319
0.0,4,66.086805
0.0,2,66.113575
0.0,4,66.166886
0.0,2,66.19359
0.0,2,66.22019
0.0,2,66.246895
0.0,4,66.300261
0.0,2,66.327126
0.0,4,66.380515
0.0,2,66.407115
0.0,6,66.487333
0.0,3,66.527967
0.0,2,66.55473
0.0,6,74.169955
0.0,2,74.186631
0.0,2,74.1992
0.0,2,74.213095
0.0,6,74.256996
0.0,2,74.271814
0.0,2,74.287856
0.0,2,74.30476
0.0,2,74.323224
0.0,4,74.361072
0.0,2,74.37818
0.0,2,74.396688
0.0,2,74.414098
0.0,2,74.432319
0.0,2,74.450692
0.0,2,74.469934
0.0,2,74.487888
0.0,2,74.507329
0.0,6,74.562769
0.0,2,74.583524
0.0,2,74.60193
0.0,2,74.619397
0.0,4,74.657882
0.0,2,74.676269
0.0,2,74.692099
0.0,2,74.710284
0.0,4,74.745358
0.0,2,74.764917
0.0,2,74.781193
0.0,2,74.799359
0.0,2,74.817405
0.0,2,74.837408
0.0,2,74.850467
0.0,4,74.88391
0.0,4,74.916799
0.0,2,74.934027
0.0,2,74.948463
0.0,2,74.965251
0.0,2,74.98173
0.0,4,75.013705
0.0,2,75.030689
0.0,2,75.047097
0.0,2,75.062761
0.0,2,75.078409
0.0,2,75.094136
0.0,2,75.111673
0.0,2,75.127709
0.0,2,75.142793
0.0,3,75.1673
0.0,2,75.183182
0.0,2,75.199246
0.0,2,75.215376
0.0,2,75.23308
0.0,2,75.251136
0.0,2,77.649381
0.0,2,77.679154
0.0,2,77.707253
0.0,3,77.751822
0.0,2,77.783442
0.0,4,77.835206
0.0,2,77.857643
0.0,4,77.89951
0.0,4,77.940939
0.0,2,77.962049
0.0,2,77.983432
0.0,2,78.004601
0.0,6,78.071048
0.0,2,78.094647
0.0,2,78.182744
0.0,2,78.210218
0.0,4,78.264795
0.0,2,78.29257
0.0,2,78.32006
0.0,2,78.347423
0.0,2,78.374922
0.0,2,78.402743
0.0,2,78.430124
0.0,2,78.45737
0.0,2,78.485039
0.0,3,78.52651
0.0,2,78.554574
0.0,2,78.583293
0.0,2,78.611447
0.0,2,78.63936
0.0,2,78.667533
0.0,2,78.696396
0.0,4,78.752316
0.0,3,78.795237
0.0,2,78.823682
0.0,4,78.882015
0.0,2,78.910609
0.0,2,78.939819
0.0,2,78.968485
0.0,2,78.997976
0.0,2,79.026531
0.0,4,79.086496
0.0,4,79.150872
0.0,2,79.182626
0.0,2,79.214474
0.0,2,79.247591
0.0,2,79.279551
0.0,2,79.311382
0.0,4,79.376294
0.0,4,79.440297
0.0,2,85.750396
0.0,2,85.771663
0.0,2,85.794641
0.0,2,85.817981
0.0,2,85.842147
0.0,2,85.862774
0.0,2,85.885648
0.0,2,85.908288
0.0,2,85.929811
0.0,2,85.953293
0.0,2,85.974179
0.0,2,85.995598
0.0,2,86.017484
0.0,2,86.038987
0.0,2,86.063314
0.0,2,86.084592
0.0,2,86.10611
0.0,2,86.127775
0.0,2,86.152613
0.0,2,86.174345
0.0,2,86.195078
0.0,2,86.216763
0.0,2,86.240283
0.0,2,86.264241
0.0,2,86.287395
0.0,2,86.310444
0.0,4,86.353649
0.0,2,86.376656
0.0,2,86.3959
0.0,2,86.417459
0.0,4,86.460487
0.0,2,86.483361
0.0,2,86.521632
0.0,2,86.542821
0.0,2,86.563375
0.0,2,86.585301
0.0,2,86.618531
0.0,4,86.677398
0.0,2,86.699079
0.0,2,86.720468
0.0,2,86.742432
0.0,4,86.787669
0.0,2,86.810592
0.0,2,86.833928
0.0,4,86.88099
0.0,2,86.904387
0.0,2,86.928028
0.0,2,86.95148
0.0,2,86.975285
0.0,2,86.998982
0.0,2,87.022331
0.0,2,87.046015
0.0,4,87.093575
0.0,2,87.115721
0.0,2,87.138383
0.0,2,87.161987
0.0,4,87.210715
0.0,3,90.721797
0.0,2,90.750063
0.0,2,90.779902
0.0,2,90.808414
0.0,2,90.837444
0.0,2,90.866422
0.0,2,90.896906
0.0,2,90.925194
0.0,2,90.950514
0.0,2,90.97701
0.0,2,91.003831
0.0,2,91.030513
0.0,4,91.086648
0.0,4,91.143378
0.0,4,91.198515
0.0,2,91.224551
0.0,4,91.27604
0.0,2,91.302262
0.0,2,91.330155
0.0,4,91.384658
0.0,4,91.437762
0.0,2,91.464917
0.0,3,91.508606
0.0,2,91.535562
0.0,2,91.56291
0.0,2,91.595822
0.0,2,91.635348
0.0,2,91.664227
