#{"t_start": 1667421462.320265, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,642.667619
0.0,2,642.701402
0.0,2,642.731715
0.0,2,642.764612
0.0,2,642.797108
0.0,2,642.832281
0.0,2,642.863576
0.0,2,642.894483
0.0,2,642.926264
0.0,2,642.95958
0.0,4,643.023478
0.0,2,643.057764
0.0,2,643.088976
0.0,2,643.118749
0.0,2,643.151696
0.0,2,643.184101
0.0,4,643.246514
0.0,2,643.278224
0.0,2,643.313065
0.0,4,643.377493
0.0,2,643.410213
0.0,5,643.495681
0.0,2,643.528865
0.0,2,643.561737
0.0,6,643.663704
0.0,6,643.770602
0.0,2,643.802918
0.0,2,643.835
0.0,2,643.866264
0.0,2,643.901047
0.0,2,643.938661
0.0,3,643.987138
0.0,2,644.025665
0.0,2,644.065349
0.0,2,644.10179
0.0,2,644.140492
0.0,2,644.175693
0.0,2,644.20798
0.0,2,644.245116
0.0,2,644.282098
0.0,2,644.323184
0.0,2,644.360101
0.0,2,644.396622
0.0,5,644.494768
0.0,2,644.530821
0.0,2,644.566666
0.0,2,644.606276
0.0,2,644.639756
0.0,3,644.696468
0.0,2,644.735673
0.0,6,644.845566
0.0,3,648.299092
0.0,4,648.367748
0.0,4,648.430871
0.0,2,648.46255
0.0,2,648.493844
0.0,2,648.52935
0.0,2,648.565635
0.0,2,648.601622
0.0,3,648.650688
0.0,2,648.683001
0.0,2,648.71314
0.0,2,648.743707
0.0,6,648.835707
0.0,2,648.868619
0.0,2,648.903496
0.0,4,648.966553
0.0,2,648.998451
0.0,2,649.03196
0.0,4,649.097311
0.0,2,649.133136
0.0,4,649.203087
0.0,2,649.237807
0.0,4,649.297578
0.0,3,649.347814
0.0,4,649.417833
0.0,2,649.452143
0.0,2,649.485826
0.0,2,649.52017
0.0,6,649.619065
0.0,2,649.657152
0.0,2,649.691514
0.0,4,649.761215
0.0,2,649.795507
0.0,4,649.86426
0.0,4,649.929396
0.0,2,649.962785
0.0,3,650.018771
0.0,2,650.051848
0.0,2,650.083347
0.0,3,650.137777
0.0,2,650.17087
0.0,2,650.203671
0.0,7,650.325764
0.0,2,650.358596
0.0,2,650.393286
1.0,7,654.118456
1.0,7,654.22992
1.0,7,654.341513
1.0,7,654.451407
1.0,7,654.558037
1.0,7,654.670405
1.0,7,654.783911
1.0,7,654.905997
1.0,7,655.023933
1.0,7,655.135934
1.0,7,655.256745
1.0,7,655.382005
1.0,7,655.513137
1.0,7,655.639617
1.0,7,655.768352
1.0,7,655.891116
1.0,7,656.007521
1.0,7,656.123453
1.0,7,659.700854
1.0,7,659.807024
1.0,7,659.926228
1.0,7,660.044127
1.0,7,660.158895
1.0,7,660.275102
1.0,7,660.386093
0.0,4,660.445865
1.0,7,660.551692
1.0,7,660.675427
0.0,4,660.746284
0.0,4,660.813131
1.0,7,660.931304
1.0,7,661.055627
0.0,4,661.125349
0.0,4,661.213161
1.0,7,661.337492
1.0,7,661.459326
1.0,7,661.595737
0.0,4,661.672338
0.0,4,661.74443
0.0,4,661.817981
0.0,4,665.546363
0.0,4,665.613847
1.0,7,665.720976
0.0,4,665.787204
1.0,7,665.901439
1.0,7,666.003944
1.0,7,666.111395
1.0,7,666.30237
0.0,4,666.36933
1.0,7,666.481925
1.0,7,666.607497
0.0,4,666.677677
1.0,7,666.798669
0.0,7,666.925009
0.0,4,667.003274
1.0,7,667.119319
1.0,7,667.247257
0.0,4,667.314748
0.0,4,667.385942
0.0,2,667.423432
0.0,4,667.490575
0.0,2,667.520546
0.0,4,667.58661
0.0,4,667.649772
1.0,7,671.255421
1.0,7,671.375076
1.0,7,671.486203
0.0,4,671.550111
0.0,4,671.616362
1.0,7,671.740585
0.0,7,671.857595
1.0,7,671.979076
1.0,7,672.094716
1.0,7,672.213439
1.0,7,672.338958
1.0,7,672.456134
1.0,7,672.586592
1.0,7,672.717892
0.0,4,672.799957
1.0,7,672.921661
0.0,2,672.95489
1.0,7,673.072245
0.0,4,673.142591
1.0,7,673.259983
0.0,7,673.381989
1.0,7,676.842179
1.0,7,676.9694
1.0,7,677.08442
1.0,7,677.191458
1.0,7,677.307895
1.0,7,677.425027
1.0,7,677.539613
1.0,7,677.652463
1.0,7,677.767499
1.0,7,677.886105
1.0,7,678.012245
1.0,7,678.137036
1.0,7,678.260389
1.0,7,678.397153
1.0,7,678.527267
0.0,4,678.596853
1.0,7,678.718703
1.0,7,678.828987
1.0,7,682.369575
1.0,7,682.493701
1.0,7,682.61217
1.0,7,682.72877
1.0,7,682.837658
1.0,7,682.948463
1.0,7,683.062542
1.0,7,683.182666
1.0,7,683.299115
0.0,7,683.419549
1.0,7,683.542379
1.0,7,683.668664
1.0,7,683.79906
1.0,7,683.921413
1.0,7,684.048092
1.0,7,684.174458
1.0,7,684.297369
1.0,7,684.42797
1.0,7,684.545901
1.0,7,688.057178
1.0,7,688.180919
1.0,7,688.294151
1.0,7,688.408811
