#{"t_start": 1667421461.7547324, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3102.612171
0.0,2,3102.648023
0.0,4,3102.725325
0.0,6,3102.842392
0.0,2,3102.880764
0.0,2,3102.919629
0.0,2,3102.958418
0.0,2,3102.997173
0.0,2,3103.034634
0.0,2,3103.073566
0.0,2,3103.111766
0.0,2,3103.150716
0.0,4,3103.240462
0.0,4,3103.331402
0.0,2,3103.376925
0.0,2,3103.419549
0.0,2,3103.462089
0.0,2,3103.503906
0.0,2,3103.550989
0.0,2,3103.595949
0.0,3,3103.658583
0.0,2,3103.70017
0.0,3,3103.763852
0.0,4,3103.845719
0.0,2,3103.887968
0.0,4,3103.976182
0.0,2,3104.020441
0.0,2,3104.065781
0.0,2,3104.110807
0.0,2,3104.153432
0.0,6,3104.284203
0.0,4,3104.367331
0.0,2,3104.410028
0.0,4,3104.487963
0.0,2,3104.526588
0.0,2,3104.566437
0.0,2,3104.612053
0.0,2,3104.655055
0.0,2,3104.697613
0.0,2,3104.737908
0.0,2,3104.776693
0.0,2,3104.812252
0.0,3,3104.875475
0.0,2,3104.912089
0.0,2,3104.948003
0.0,2,3104.984736
0.0,2,3105.022768
0.0,2,3105.065905
0.0,2,3105.105141
0.0,2,3105.141068
0.0,2,3105.175729
0.0,2,3109.377755
0.0,2,3109.41919
0.0,4,3109.493086
0.0,2,3109.532903
0.0,2,3109.57217
0.0,3,3109.630638
0.0,4,3109.713677
0.0,2,3109.751642
0.0,2,3109.786972
0.0,2,3109.824739
0.0,2,3109.865392
0.0,4,3109.948721
0.0,2,3109.991947
0.0,2,3110.03584
0.0,2,3110.081062
0.0,2,3110.126905
0.0,2,3110.175101
0.0,2,3110.218603
0.0,2,3110.260067
0.0,4,3110.346752
0.0,2,3110.391682
0.0,2,3110.437582
0.0,2,3110.476495
0.0,2,3110.515384
0.0,4,3110.594032
0.0,2,3110.632185
0.0,4,3110.717359
0.0,2,3110.7613
0.0,2,3110.803286
0.0,5,3110.90335
1.0,7,3111.046812
0.0,4,3111.132111
0.0,4,3111.21132
0.0,2,3111.252811
0.0,7,3111.394055
0.0,2,3111.430517
0.0,2,3111.46775
0.0,2,3111.505389
0.0,3,3111.560296
0.0,2,3111.600162
0.0,5,3111.699221
0.0,4,3111.776909
0.0,2,3111.819267
0.0,7,3111.952685
0.0,4,3116.245083
0.0,2,3116.279139
