#{"t_start": 1667421462.3203402, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2052.480369
0.0,2,2052.51797
0.0,2,2052.575032
0.0,3,2052.627467
0.0,2,2052.667594
0.0,2,2052.706741
0.0,2,2052.747789
0.0,5,2052.848742
0.0,2,2052.886879
0.0,2,2052.928565
0.0,4,2053.003264
0.0,6,2053.109669
0.0,2,2053.146057
0.0,2,2053.187218
0.0,4,2053.256947
0.0,2,2053.2943
0.0,3,2053.352008
0.0,6,2053.466343
0.0,2,2053.501732
0.0,4,2053.578046
0.0,2,2053.617489
0.0,2,2053.654179
0.0,2,2053.695966
0.0,2,2053.739846
0.0,2,2053.776887
0.0,2,2053.81241
0.0,2,2053.847594
0.0,2,2053.884654
0.0,2,2053.92224
0.0,2,2053.961983
0.0,2,2053.998071
0.0,2,2054.036791
0.0,4,2054.110392
0.0,2,2054.149648
0.0,2,2054.186443
0.0,2,2054.226076
0.0,4,2054.311616
0.0,2,2054.352888
0.0,2,2054.390139
0.0,4,2054.465367
0.0,2,2054.507861
0.0,4,2054.594337
0.0,2,2054.637835
0.0,2,2054.675624
0.0,4,2054.75706
0.0,2,2054.794958
0.0,2,2054.835873
0.0,2,2054.875745
0.0,2,2054.913971
0.0,2,2058.824369
0.0,2,2058.860848
0.0,2,2058.899215
0.0,2,2058.939735
0.0,2,2058.977607
0.0,2,2059.016824
0.0,4,2059.08636
0.0,2,2059.120297
0.0,2,2059.158109
0.0,2,2059.199192
0.0,2,2059.242569
0.0,2,2059.283252
0.0,2,2059.32359
0.0,4,2059.398273
0.0,2,2059.434984
0.0,3,2059.494932
0.0,2,2059.531192
0.0,4,2059.606037
0.0,6,2059.710448
0.0,2,2059.746807
0.0,7,2059.863261
0.0,3,2059.913265
0.0,2,2059.949384
0.0,4,2060.013453
0.0,2,2060.043192
0.0,2,2060.075982
0.0,3,2060.123469
0.0,2,2060.154212
0.0,4,2060.218941
0.0,2,2060.247357
0.0,4,2060.312832
0.0,2,2060.344757
0.0,2,2060.379655
0.0,2,2060.42015
0.0,2,2060.458275
0.0,4,2060.52901
0.0,2,2060.565616
0.0,6,2060.67654
0.0,2,2060.722032
0.0,2,2060.764154
0.0,2,2060.804755
