#{"t_start": 1667421465.3303654, "env_id": "CTgraph-v0"}
r,l,t
0.0,6,3102.150513
0.0,2,3102.185704
0.0,2,3102.220022
0.0,2,3102.254122
0.0,2,3102.29128
0.0,2,3102.331826
0.0,2,3102.370931
0.0,2,3102.405947
0.0,2,3102.449314
0.0,2,3102.490158
0.0,2,3102.530339
0.0,4,3102.610361
0.0,2,3102.646997
0.0,2,3102.688836
0.0,2,3102.731286
0.0,3,3102.790437
0.0,3,3102.857993
0.0,2,3102.897662
0.0,2,3102.937336
0.0,2,3102.977819
0.0,6,3103.098767
0.0,3,3103.158709
0.0,2,3103.201228
0.0,2,3103.244313
0.0,2,3103.28859
0.0,4,3103.377415
0.0,2,3103.422201
0.0,2,3103.462943
0.0,4,3103.545387
0.0,2,3103.586919
0.0,2,3103.627924
0.0,4,3103.71053
0.0,2,3103.751012
0.0,2,3103.79164
0.0,2,3103.89975
0.0,4,3103.98619
0.0,2,3104.02927
0.0,2,3104.071555
0.0,2,3104.110506
0.0,2,3104.150135
0.0,2,3104.190045
0.0,2,3104.240682
0.0,2,3104.28182
0.0,2,3104.322799
0.0,2,3104.368936
0.0,4,3104.449944
0.0,4,3104.527405
0.0,2,3104.565532
0.0,2,3104.604506
0.0,2,3104.643401
0.0,2,3104.682226
0.0,2,3108.87175
0.0,2,3108.904429
0.0,3,3108.956655
0.0,2,3108.99123
0.0,4,3109.059052
0.0,6,3109.17534
0.0,4,3109.251209
0.0,2,3109.286183
0.0,2,3109.32547
0.0,4,3109.398576
0.0,4,3109.47467
0.0,2,3109.512591
0.0,2,3109.55086
0.0,4,3109.625983
0.0,2,3109.664231
0.0,4,3109.742629
0.0,2,3109.783538
0.0,2,3109.821183
0.0,2,3109.858733
0.0,2,3109.89609
0.0,2,3109.932895
0.0,2,3109.974167
0.0,4,3110.057386
0.0,2,3110.098827
0.0,2,3110.140566
0.0,2,3110.182109
0.0,2,3110.222839
0.0,2,3110.261998
0.0,2,3110.302027
0.0,2,3110.341654
0.0,2,3110.383376
0.0,4,3110.466589
0.0,4,3110.549767
0.0,2,3110.591512
0.0,2,3110.634249
0.0,2,3110.677952
0.0,2,3110.721669
0.0,6,3110.850362
0.0,2,3110.896008
0.0,2,3110.938312
0.0,2,3110.982231
0.0,2,3111.025148
0.0,2,3111.065767
0.0,2,3111.106853
0.0,2,3111.155527
0.0,2,3111.192357
0.0,4,3111.269089
0.0,2,3111.307888
0.0,2,3111.34662
0.0,3,3115.561317
0.0,2,3115.593689
0.0,2,3115.626783
0.0,6,3115.724684
0.0,2,3115.761189
0.0,2,3115.801066
0.0,4,3115.879795
0.0,3,3115.939208
0.0,2,3115.979667
0.0,2,3116.01515
0.0,5,3116.113849
0.0,2,3116.148225
0.0,3,3116.207131
0.0,6,3116.325223
0.0,2,3116.362148
0.0,2,3116.399193
0.0,2,3116.43619
0.0,2,3116.476669
0.0,4,3116.550751
0.0,2,3116.588241
0.0,2,3116.628941
0.0,2,3116.669505
0.0,2,3116.712454
0.0,4,3116.792265
0.0,2,3116.83423
0.0,4,3116.917233
0.0,4,3116.999374
0.0,7,3117.143609
0.0,4,3117.227405
0.0,2,3117.268859
0.0,2,3117.311397
0.0,2,3117.355216
0.0,2,3117.398809
0.0,7,3117.551125
0.0,2,3117.594281
0.0,2,3117.638137
0.0,2,3117.67957
0.0,2,3117.719261
0.0,2,3117.758352
0.0,3,3117.819305
0.0,4,3117.901671
0.0,4,3117.977541
0.0,2,3118.021127
0.0,2,3118.065838
0.0,2,3122.235074
0.0,2,3122.267124
0.0,2,3122.300592
0.0,2,3122.330381
0.0,2,3122.366833
0.0,2,3122.404838
0.0,2,3122.442055
0.0,2,3122.47612
0.0,2,3122.511773
0.0,2,3122.548547
0.0,2,3122.590303
0.0,4,3122.669184
0.0,4,3122.741122
0.0,6,3122.854719
0.0,2,3122.888739
0.0,2,3122.922952
0.0,2,3122.95675
0.0,4,3123.022801
0.0,2,3123.062868
0.0,2,3123.0973
0.0,2,3123.132728
0.0,2,3123.167289
0.0,2,3123.203468
0.0,2,3123.240922
0.0,3,3123.297235
0.0,2,3123.339532
0.0,2,3123.380942
0.0,3,3123.441946
0.0,3,3123.503829
0.0,3,3123.565087
0.0,4,3123.651711
0.0,4,3123.736948
0.0,2,3123.774758
0.0,6,3123.918993
0.0,4,3124.002646
0.0,2,3124.044683
0.0,2,3124.088307
0.0,4,3124.175876
0.0,2,3124.219412
0.0,2,3124.26332
0.0,4,3124.350287
0.0,2,3124.393566
0.0,2,3124.436177
0.0,2,3124.475814
0.0,2,3124.515416
0.0,2,3124.556683
0.0,2,3124.597905
0.0,2,3124.638708
0.0,4,3124.721358
1.0,7,3129.241978
1.0,7,3129.379197
1.0,7,3129.510274
1.0,7,3129.642049
1.0,7,3129.773977
1.0,7,3129.90854
1.0,7,3130.044945
1.0,7,3130.181171
1.0,7,3130.316156
1.0,7,3130.454655
1.0,7,3130.583629
1.0,7,3130.726263
1.0,7,3130.870151
1.0,7,3131.012191
1.0,7,3131.155355
1.0,7,3131.302903
1.0,7,3131.446669
1.0,7,3131.589895
1.0,7,3136.062749
1.0,7,3136.181154
1.0,7,3136.298287
1.0,7,3136.432704
1.0,7,3136.566955
1.0,7,3136.695773
1.0,7,3136.820777
1.0,7,3136.962319
0.0,4,3137.040287
1.0,7,3137.171868
1.0,7,3137.311581
1.0,7,3137.458188
1.0,7,3137.612405
1.0,7,3137.767014
1.0,7,3137.925869
1.0,7,3138.08294
1.0,7,3138.233699
1.0,7,3138.381005
1.0,7,3138.5254
1.0,7,3142.87937
1.0,7,3143.007604
1.0,7,3143.135245
1.0,7,3143.268626
1.0,7,3143.408005
1.0,7,3143.532217
1.0,7,3143.657762
