#{"t_start": 1667421465.330442, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2769.563963
0.0,2,2769.594113
0.0,2,2769.626311
0.0,2,2769.660438
0.0,2,2769.69685
0.0,2,2769.730056
0.0,6,2769.823182
0.0,2,2769.85549
0.0,2,2769.887309
0.0,2,2769.922479
0.0,2,2769.956814
0.0,2,2769.991447
0.0,3,2770.041977
0.0,2,2770.077945
0.0,2,2770.113542
0.0,2,2770.149797
0.0,2,2770.186738
0.0,4,2770.259912
0.0,2,2770.296812
0.0,2,2770.334001
0.0,2,2770.376884
0.0,2,2770.414757
0.0,2,2770.458703
0.0,2,2770.504586
0.0,2,2770.545373
0.0,2,2770.590143
0.0,4,2770.673571
0.0,2,2770.716885
0.0,2,2770.759583
0.0,2,2770.804124
0.0,4,2770.90344
0.0,2,2770.948377
0.0,2,2770.993214
0.0,2,2771.038512
0.0,4,2771.126211
0.0,2,2771.168512
0.0,2,2771.210872
0.0,2,2771.253614
0.0,4,2771.336951
0.0,2,2771.385387
0.0,2,2771.434981
0.0,2,2771.4821
0.0,2,2771.52837
0.0,2,2771.569782
0.0,2,2771.608129
0.0,2,2771.646061
0.0,2,2771.684547
0.0,2,2771.724389
0.0,3,2771.779343
0.0,2,2771.81956
0.0,2,2771.859123
0.0,2,2771.898585
0.0,2,2771.938243
0.0,4,2772.016727
0.0,2,2772.055825
0.0,2,2776.122105
0.0,4,2776.187177
0.0,2,2776.22272
0.0,2,2776.255865
0.0,2,2776.288514
0.0,2,2776.3228
0.0,2,2776.354257
0.0,2,2776.389169
0.0,4,2776.461791
0.0,2,2776.49565
0.0,2,2776.530098
0.0,2,2776.567484
0.0,2,2776.605703
0.0,2,2776.643879
0.0,2,2776.680428
0.0,4,2776.755355
0.0,2,2776.798481
0.0,2,2776.843025
0.0,2,2776.884634
0.0,2,2776.925337
0.0,2,2776.972054
0.0,2,2777.012416
0.0,2,2777.053623
0.0,2,2777.094273
0.0,2,2777.135179
0.0,2,2777.175956
0.0,2,2777.218473
0.0,2,2777.257496
0.0,4,2777.344113
0.0,2,2777.384603
0.0,4,2777.466954
0.0,6,2777.588632
0.0,2,2777.631489
0.0,2,2777.680134
0.0,2,2777.724689
0.0,2,2777.765859
0.0,4,2777.851506
