#{"t_start": 1667421465.051706, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,3102.35602
0.0,2,3102.392265
0.0,3,3102.442274
0.0,4,3102.516769
0.0,2,3102.553011
0.0,2,3102.590366
0.0,2,3102.626531
0.0,2,3102.664711
0.0,2,3102.700698
0.0,2,3102.744575
0.0,2,3102.787777
0.0,3,3102.848521
0.0,2,3102.888097
0.0,4,3102.966415
0.0,2,3103.008877
0.0,2,3103.052535
0.0,2,3103.095088
0.0,2,3103.135596
0.0,2,3103.175286
0.0,2,3103.214944
0.0,2,3103.255423
0.0,2,3103.293098
0.0,2,3103.333931
0.0,6,3103.462675
0.0,3,3103.521859
0.0,3,3103.584917
0.0,2,3103.626944
0.0,3,3103.699817
0.0,2,3103.740532
0.0,2,3103.782037
0.0,2,3103.823155
0.0,2,3103.864509
0.0,4,3103.947411
0.0,2,3103.988171
0.0,2,3104.028655
0.0,4,3104.177217
0.0,2,3104.221254
0.0,2,3104.263885
0.0,2,3104.30699
0.0,2,3104.349233
0.0,2,3104.388186
0.0,2,3104.427911
0.0,2,3104.467787
0.0,2,3104.518357
0.0,2,3104.559515
0.0,2,3104.600489
0.0,2,3104.646624
0.0,2,3104.690315
0.0,2,3104.72761
0.0,2,3104.766103
0.0,2,3104.805033
0.0,4,3104.882171
0.0,2,3104.921067
0.0,4,3109.149216
0.0,4,3109.216387
0.0,2,3109.251671
0.0,4,3109.321302
0.0,2,3109.359173
0.0,2,3109.396029
0.0,2,3109.432204
0.0,2,3109.468509
0.0,2,3109.505377
0.0,4,3109.583368
0.0,2,3109.61932
0.0,2,3109.657319
0.0,2,3109.695093
0.0,2,3109.732948
0.0,4,3109.808757
0.0,2,3109.846595
0.0,4,3109.922192
0.0,3,3109.979632
0.0,2,3110.020341
0.0,2,3110.061225
0.0,4,3110.136396
0.0,2,3110.173682
0.0,3,3110.232804
0.0,4,3110.314951
0.0,2,3110.356207
0.0,2,3110.397831
0.0,2,3110.43925
0.0,2,3110.480069
0.0,2,3110.517673
0.0,6,3110.638417
0.0,6,3110.762863
0.0,2,3110.804558
0.0,2,3110.846447
0.0,2,3110.888266
0.0,3,3110.955486
0.0,2,3110.999195
0.0,2,3111.042629
0.0,2,3111.086452
0.0,4,3111.173579
0.0,2,3111.215901
0.0,2,3111.260053
0.0,4,3111.343562
0.0,2,3111.384146
0.0,2,3111.432834
0.0,2,3111.469839
0.0,2,3111.508113
0.0,2,3111.546742
0.0,3,3111.606551
0.0,4,3115.838756
0.0,2,3115.871288
0.0,6,3115.970647
0.0,2,3116.002295
0.0,2,3116.038671
0.0,2,3116.078635
0.0,3,3116.131866
0.0,2,3116.17744
0.0,4,3116.256933
0.0,2,3116.292613
0.0,2,3116.331693
0.0,2,3116.373023
0.0,5,3116.461725
0.0,4,3116.540951
0.0,2,3116.581475
0.0,2,3116.618058
0.0,2,3116.654889
0.0,2,3116.691907
0.0,4,3116.771594
0.0,2,3116.808291
0.0,4,3116.889094
0.0,2,3116.931286
0.0,2,3116.973244
0.0,3,3117.029855
0.0,2,3117.069834
0.0,2,3117.111748
0.0,2,3117.153265
0.0,2,3117.194848
0.0,3,3117.259739
0.0,2,3117.298175
0.0,2,3117.33843
0.0,3,3117.39933
0.0,2,3117.441278
0.0,2,3117.48332
0.0,2,3117.52504
0.0,5,3117.632873
0.0,2,3117.676376
0.0,2,3117.719993
0.0,2,3117.763574
0.0,6,3117.893714
0.0,2,3117.936325
0.0,2,3117.975884
0.0,2,3118.015701
0.0,5,3118.118348
0.0,2,3118.159681
0.0,2,3118.199825
0.0,2,3118.238111
0.0,2,3118.276096
0.0,2,3118.319025
0.0,2,3118.36149
0.0,2,3122.527042
0.0,2,3122.560944
0.0,5,3122.644325
0.0,2,3122.682345
0.0,2,3122.719675
0.0,2,3122.753751
0.0,2,3122.789328
0.0,2,3122.826164
0.0,2,3122.867768
0.0,4,3122.946887
0.0,2,3122.984142
0.0,2,3123.01805
0.0,2,3123.054909
0.0,3,3123.112919
0.0,3,3123.166365
0.0,2,3123.20049
0.0,2,3123.234306
0.0,2,3123.267741
0.0,2,3123.300413
0.0,2,3123.340362
0.0,2,3123.37484
0.0,2,3123.410154
0.0,2,3123.444893
0.0,2,3123.480725
0.0,2,3123.518581
0.0,2,3123.55628
0.0,2,3123.599215
0.0,2,3123.641574
0.0,3,3123.696867
0.0,4,3123.781423
0.0,2,3123.82139
0.0,2,3123.861389
0.0,2,3123.908748
0.0,4,3123.997082
0.0,2,3124.035222
0.0,3,3124.090778
0.0,2,3124.129723
0.0,2,3124.196604
0.0,4,3124.280314
0.0,2,3124.322287
0.0,4,3124.410084
0.0,2,3124.45347
0.0,2,3124.497056
0.0,2,3124.540898
0.0,2,3124.584434
0.0,2,3124.627897
0.0,2,3124.671203
0.0,2,3124.713879
0.0,2,3124.753492
0.0,6,3124.875577
0.0,2,3124.916396
0.0,4,3124.998878
1.0,7,3129.51906
1.0,7,3129.656423
1.0,7,3129.787686
1.0,7,3129.919223
1.0,7,3130.051509
1.0,7,3130.186012
1.0,7,3130.322199
1.0,7,3130.458398
1.0,7,3130.59324
1.0,7,3130.731745
1.0,7,3130.860778
1.0,7,3131.003414
1.0,7,3131.147496
1.0,7,3131.289
1.0,7,3131.43236
1.0,7,3131.580206
1.0,7,3131.723884
1.0,7,3131.867128
1.0,7,3136.34019
1.0,7,3136.458564
0.0,7,3136.575673
1.0,7,3136.710002
1.0,7,3136.844194
1.0,7,3136.973047
1.0,7,3137.09797
1.0,7,3137.239597
1.0,7,3137.378072
1.0,7,3137.509503
