#{"t_start": 1667421467.7825394, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,917.74099
0.0,4,917.803647
0.0,2,917.833544
0.0,4,917.898521
0.0,3,917.948062
0.0,2,917.982102
0.0,2,918.013788
0.0,2,918.048551
0.0,2,918.079365
0.0,2,918.109924
0.0,2,918.144271
0.0,2,918.178345
0.0,2,918.210427
0.0,2,918.244931
0.0,6,918.345514
0.0,4,918.416097
0.0,2,918.448097
0.0,2,918.480896
0.0,5,918.564927
0.0,2,918.599232
0.0,2,918.633683
0.0,3,918.68526
0.0,2,918.715711
0.0,5,918.800683
0.0,2,918.835526
0.0,2,918.870792
0.0,2,918.907647
0.0,2,918.941677
0.0,2,918.974181
0.0,2,919.00754
0.0,2,919.041182
0.0,2,919.078015
0.0,2,919.117144
0.0,2,919.151963
0.0,7,919.278932
0.0,2,919.309925
0.0,3,919.360045
0.0,2,919.400445
0.0,6,919.509607
0.0,2,919.547248
0.0,2,919.581341
0.0,2,919.613322
0.0,2,919.65116
0.0,4,919.72548
0.0,2,919.761745
0.0,2,919.79829
0.0,2,919.835496
0.0,2,919.872652
0.0,2,919.909458
0.0,2,923.683128
0.0,4,923.741311
0.0,3,923.788256
0.0,4,923.851313
0.0,2,923.880264
0.0,6,923.976565
0.0,5,924.058462
0.0,2,924.092334
0.0,4,924.159647
0.0,2,924.195004
0.0,2,924.228802
0.0,2,924.257842
0.0,2,924.291692
0.0,3,924.341091
0.0,2,924.371841
0.0,3,924.424801
0.0,4,924.489891
0.0,2,924.52489
0.0,2,924.560869
0.0,2,924.591698
0.0,2,924.622216
0.0,4,924.687316
0.0,2,924.725122
0.0,3,924.780908
0.0,6,924.889347
0.0,2,924.927685
0.0,2,924.966458
0.0,2,925.001803
0.0,2,925.037466
0.0,2,925.075095
0.0,2,925.114002
0.0,2,925.151337
0.0,3,925.209237
0.0,2,925.241252
0.0,2,925.275666
0.0,2,925.310176
0.0,6,925.418243
0.0,4,925.495572
0.0,2,925.532405
0.0,2,925.570693
0.0,2,925.607925
0.0,2,925.644887
0.0,2,925.683735
0.0,2,925.722078
0.0,2,925.760323
0.0,2,925.797536
0.0,2,925.834088
0.0,2,925.870863
0.0,2,929.468362
0.0,2,929.505349
0.0,2,929.542098
0.0,5,929.628378
0.0,2,929.660607
0.0,2,929.691672
0.0,2,929.723448
0.0,2,929.754247
0.0,2,929.784829
0.0,3,929.833499
0.0,2,929.867938
0.0,4,929.937843
0.0,4,930.0032
0.0,2,930.03537
0.0,2,930.068804
0.0,2,930.103617
0.0,2,930.138409
0.0,2,930.172607
0.0,3,930.224782
0.0,2,930.259041
0.0,2,930.294027
0.0,2,930.3293
0.0,2,930.364229
0.0,3,930.414844
0.0,2,930.447433
0.0,2,930.483961
0.0,2,930.519945
0.0,5,930.606836
0.0,2,930.640578
0.0,2,930.672709
0.0,4,930.75043
0.0,5,930.84453
0.0,4,930.923203
0.0,2,930.95764
0.0,2,930.992014
0.0,2,931.02691
0.0,2,931.062219
0.0,2,931.096824
0.0,2,931.1317
0.0,6,931.239859
0.0,2,931.278635
0.0,2,931.319155
0.0,2,931.356141
0.0,6,931.463272
0.0,2,931.49738
0.0,2,931.534651
0.0,4,931.606972
0.0,2,931.641284
0.0,2,931.67899
1.0,7,935.498272
1.0,7,935.626051
1.0,7,935.734482
1.0,7,935.844287
1.0,7,935.959146
1.0,7,936.080416
1.0,7,936.191567
1.0,7,936.307668
1.0,7,936.428618
1.0,7,936.553397
1.0,7,936.688368
1.0,7,936.813511
1.0,7,936.945681
1.0,7,937.08911
1.0,7,937.224431
1.0,7,937.357629
1.0,7,937.491245
1.0,7,937.614453
1.0,7,941.310912
1.0,7,941.429275
1.0,7,941.538222
1.0,7,941.64776
1.0,7,941.763247
1.0,7,941.881191
1.0,7,941.998276
1.0,7,942.116481
1.0,7,942.240223
1.0,7,942.367159
1.0,7,942.480967
1.0,7,942.606406
1.0,7,942.738234
1.0,7,942.875526
1.0,7,943.009427
1.0,7,943.141879
1.0,7,943.273484
1.0,7,943.405029
1.0,7,947.096358
1.0,7,947.204859
1.0,7,947.314601
1.0,7,947.42108
1.0,7,947.537137
1.0,7,947.655323
1.0,7,947.769294
1.0,7,947.88744
1.0,7,948.014779
1.0,7,948.141848
1.0,7,948.266146
1.0,7,948.394085
1.0,7,948.525499
1.0,7,948.657852
1.0,7,948.790348
1.0,7,948.922013
1.0,7,949.0459
1.0,7,949.176722
1.0,7,952.851345
1.0,7,952.969539
1.0,7,953.07585
1.0,7,953.1866
1.0,7,953.297258
1.0,7,953.409377
1.0,7,953.532662
1.0,7,953.647328
1.0,7,953.771141
1.0,7,953.893653
1.0,7,954.014861
1.0,7,954.140498
1.0,7,954.271896
1.0,7,954.38677
1.0,7,954.519589
1.0,7,954.650747
1.0,7,954.775831
1.0,7,954.911362
1.0,7,955.031204
1.0,7,958.723993
1.0,7,958.838784
1.0,7,958.940538
1.0,7,959.041582
1.0,7,959.152966
1.0,7,959.267911
