#{"t_start": 1667421467.508725, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,634.503147
0.0,2,634.535126
0.0,2,634.569778
0.0,2,634.60366
0.0,2,634.638274
0.0,2,634.672397
0.0,2,634.704603
0.0,2,634.74015
0.0,2,634.771799
0.0,2,634.804932
0.0,2,634.837612
0.0,2,634.87075
0.0,3,634.917208
0.0,6,635.012558
0.0,5,635.090014
0.0,2,635.120708
0.0,4,635.185256
0.0,2,635.218446
0.0,2,635.249443
0.0,2,635.280525
0.0,4,635.34677
0.0,2,635.38106
0.0,2,635.415085
0.0,3,635.463559
0.0,2,635.496236
0.0,2,635.528287
0.0,2,635.559755
0.0,2,635.595779
0.0,2,635.632477
0.0,2,635.661999
0.0,2,635.695834
0.0,2,635.729415
0.0,4,635.795787
0.0,4,635.866624
0.0,2,635.901387
0.0,2,635.932451
0.0,2,635.979273
0.0,4,636.049647
0.0,2,636.08103
0.0,2,636.112865
0.0,2,636.14415
0.0,2,636.180501
0.0,4,636.253183
0.0,2,636.292687
0.0,2,636.333471
0.0,2,636.365677
0.0,2,636.398763
0.0,2,636.431839
0.0,2,636.463867
0.0,2,636.496421
0.0,2,636.534645
0.0,2,636.57158
0.0,2,636.606822
0.0,2,640.112769
0.0,2,640.146401
0.0,2,640.176047
0.0,2,640.209521
0.0,2,640.245433
0.0,2,640.273598
0.0,2,640.309333
0.0,3,640.359316
0.0,2,640.392223
0.0,2,640.428318
0.0,2,640.45865
0.0,2,640.491495
0.0,2,640.523477
0.0,2,640.554854
0.0,2,640.587337
0.0,2,640.618784
0.0,3,640.669324
0.0,2,640.702463
0.0,6,640.79769
0.0,2,640.830221
0.0,5,640.907949
0.0,2,640.940347
0.0,2,641.017171
0.0,4,641.086802
0.0,2,641.12352
0.0,4,641.187287
0.0,4,641.25984
0.0,2,641.296844
0.0,2,641.333185
0.0,2,641.37154
0.0,2,641.406256
0.0,4,641.475465
0.0,2,641.512245
0.0,4,641.58003
0.0,2,641.621502
0.0,2,641.658311
0.0,2,641.694558
0.0,2,641.730878
0.0,2,641.767134
0.0,2,641.80317
0.0,2,641.83941
0.0,2,641.877108
0.0,2,641.918636
0.0,4,641.992881
0.0,2,642.034065
0.0,2,642.076247
0.0,2,642.116997
0.0,2,642.152396
0.0,4,642.224914
0.0,6,642.342103
0.0,2,642.378291
0.0,2,645.881688
0.0,2,645.916368
0.0,2,645.951832
0.0,2,646.022987
0.0,2,646.057583
0.0,4,646.124635
0.0,2,646.155049
0.0,4,646.218033
0.0,2,646.251491
0.0,2,646.285101
0.0,2,646.318424
0.0,2,646.352099
0.0,2,646.384551
0.0,4,646.448508
0.0,2,646.480793
0.0,2,646.51395
0.0,2,646.546597
0.0,2,646.579722
0.0,2,646.614542
0.0,3,646.666872
0.0,4,646.738194
0.0,2,646.774502
0.0,2,646.804487
0.0,4,646.877647
0.0,6,646.973859
0.0,2,647.007825
0.0,2,647.041883
0.0,4,647.107121
