#{"t_start": 1667421467.782349, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,634.230711
0.0,2,634.262795
0.0,2,634.297283
0.0,6,634.400018
0.0,2,634.432024
0.0,2,634.467824
0.0,2,634.499761
0.0,2,634.532606
0.0,2,634.565073
0.0,4,634.628877
0.0,4,634.691201
0.0,7,634.802394
0.0,3,634.848334
0.0,2,634.880005
0.0,4,634.946064
0.0,4,635.008058
0.0,2,635.040156
0.0,2,635.074231
0.0,2,635.108603
0.0,2,635.142425
0.0,6,635.240752
0.0,2,635.272965
0.0,2,635.30582
0.0,2,635.341578
0.0,3,635.389467
0.0,2,635.42334
0.0,3,635.47433
0.0,2,635.50831
0.0,2,635.54231
0.0,2,635.576157
0.0,2,635.609743
0.0,2,635.643491
0.0,2,635.689429
0.0,2,635.725942
0.0,2,635.760689
0.0,2,635.791849
0.0,4,635.855433
0.0,2,635.887318
0.0,2,635.926133
0.0,2,635.965486
0.0,2,636.001209
0.0,2,636.041519
0.0,2,636.07733
0.0,2,636.109543
0.0,2,636.142918
0.0,2,636.175112
0.0,2,636.207031
0.0,2,636.242563
0.0,2,636.279482
0.0,2,636.317379
0.0,2,636.35396
0.0,2,639.855747
0.0,4,639.92008
0.0,4,639.986828
0.0,2,640.018463
0.0,6,640.119666
0.0,2,640.155599
0.0,2,640.185979
0.0,2,640.218965
0.0,2,640.251019
0.0,2,640.282264
0.0,2,640.314818
0.0,2,640.34611
0.0,2,640.379699
0.0,2,640.412826
0.0,2,640.446184
0.0,4,640.508094
0.0,3,640.557935
0.0,2,640.589079
0.0,2,640.619374
0.0,2,640.651344
0.0,2,640.726844
0.0,2,640.761188
0.0,2,640.796287
0.0,2,640.832837
0.0,2,640.867011
0.0,2,640.900299
0.0,2,640.934005
0.0,3,640.987343
0.0,2,641.024538
0.0,2,641.060879
0.0,2,641.09897
0.0,4,641.167876
0.0,2,641.202914
0.0,2,641.239736
0.0,4,641.307856
0.0,2,641.349012
0.0,2,641.385866
0.0,4,641.458347
0.0,4,641.530638
0.0,2,641.5669
0.0,2,641.604676
0.0,4,641.682992
0.0,2,641.720352
0.0,3,641.783285
0.0,4,641.863077
0.0,3,641.914152
0.0,2,641.952677
0.0,4,642.029238
0.0,3,642.089615
0.0,2,645.593307
0.0,4,645.660685
0.0,2,645.732305
0.0,2,645.768668
0.0,2,645.802194
0.0,3,645.85219
0.0,2,645.882661
0.0,2,645.913743
0.0,2,645.945559
0.0,4,646.012861
0.0,4,646.079679
0.0,2,646.11194
0.0,2,646.14415
0.0,2,646.176049
0.0,2,646.208762
0.0,4,646.274264
0.0,4,646.342301
0.0,2,646.377208
0.0,4,646.447122
0.0,2,646.483288
0.0,3,646.531886
0.0,3,646.58613
0.0,5,646.669012
0.0,4,646.735212
0.0,4,646.802826
0.0,2,646.834452
0.0,2,646.864989
0.0,2,646.895903
0.0,6,647.007203
0.0,2,647.044939
0.0,4,647.11783
0.0,4,647.187065
0.0,2,647.226653
0.0,2,647.267596
0.0,6,647.375321
0.0,4,647.449353
0.0,4,647.518106
0.0,2,647.555098
0.0,2,647.590709
0.0,2,647.628921
0.0,2,647.667359
0.0,3,647.722111
0.0,2,647.758122
0.0,2,647.794285
0.0,2,647.829888
1.0,7,651.486824
1.0,7,651.598065
1.0,7,651.709362
1.0,7,651.818859
1.0,7,651.924533
1.0,7,652.037999
1.0,7,652.160187
1.0,7,652.282727
1.0,7,652.404807
1.0,7,652.529583
1.0,7,652.649971
1.0,7,652.788215
0.0,7,652.917848
1.0,7,653.048371
1.0,7,653.172312
1.0,7,653.302536
1.0,7,653.419401
1.0,7,653.546463
1.0,7,657.11357
0.0,4,657.175852
1.0,7,657.296474
1.0,7,657.409349
1.0,7,657.513677
1.0,7,657.620233
1.0,7,657.734472
1.0,7,657.855167
1.0,7,657.974278
1.0,7,658.100358
1.0,7,658.224193
1.0,7,658.348597
1.0,7,658.478698
1.0,7,658.606727
1.0,7,658.742177
1.0,7,658.879037
1.0,7,659.014806
1.0,7,659.137541
1.0,7,659.266806
1.0,7,662.733366
1.0,7,662.840109
1.0,7,662.949443
1.0,7,663.056435
1.0,7,663.162792
1.0,7,663.275307
1.0,7,663.386438
1.0,7,663.500473
1.0,7,663.617734
1.0,7,663.736447
0.0,7,663.865095
1.0,7,663.983085
1.0,7,664.10788
1.0,7,664.232952
1.0,7,664.357992
1.0,7,664.497782
1.0,7,664.621363
1.0,7,664.754779
1.0,7,668.28834
1.0,7,668.399818
1.0,7,668.505116
1.0,7,668.606723
1.0,7,668.702647
1.0,7,668.801883
1.0,7,668.907045
1.0,7,669.023343
1.0,7,669.14142
1.0,7,669.258351
1.0,7,669.378883
1.0,7,669.505024
1.0,7,669.627303
1.0,7,669.756027
1.0,7,669.8905
1.0,7,670.023531
1.0,7,670.155957
1.0,7,670.276589
1.0,7,673.847747
1.0,7,673.963937
1.0,7,674.079988
1.0,7,674.198885
1.0,7,674.308082
1.0,7,674.41515
1.0,7,674.515054
1.0,7,674.626424
1.0,7,674.743135
1.0,7,674.86156
1.0,7,674.984858
1.0,7,675.106899
1.0,7,675.227885
1.0,7,675.357188
1.0,7,675.478053
1.0,7,675.609047
1.0,7,675.755914
1.0,7,675.885918
1.0,7,679.500372
1.0,7,679.616212
1.0,7,679.735162
1.0,7,679.857629
1.0,7,679.970364
1.0,7,680.080506
1.0,7,680.179425
