#{"t_start": 1667421468.0735145, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2038.247711
0.0,3,2038.296689
0.0,4,2038.369907
0.0,2,2038.40714
0.0,4,2038.479608
0.0,4,2038.548635
0.0,2,2038.582511
0.0,2,2038.619312
0.0,2,2038.656247
0.0,2,2038.691422
0.0,2,2038.726906
0.0,2,2038.764899
0.0,2,2038.799363
0.0,2,2038.832904
0.0,2,2038.867498
0.0,2,2038.902168
0.0,2,2038.933253
0.0,2,2038.964522
0.0,2,2038.99552
0.0,2,2039.034088
0.0,2,2039.068665
0.0,2,2039.102377
0.0,2,2039.136161
0.0,2,2039.172763
0.0,4,2039.249044
0.0,7,2039.372671
0.0,2,2039.40686
0.0,2,2039.441684
0.0,4,2039.508067
0.0,2,2039.544949
0.0,2,2039.580691
0.0,2,2039.615098
0.0,3,2039.667083
0.0,2,2039.701955
0.0,2,2039.743896
0.0,2,2039.780742
0.0,2,2039.820346
0.0,2,2039.856479
0.0,2,2039.894083
0.0,2,2039.933082
0.0,6,2040.04026
0.0,2,2040.074896
0.0,2,2040.10956
0.0,2,2040.144241
0.0,2,2040.17957
0.0,2,2040.214619
0.0,4,2040.286792
0.0,2,2040.322453
0.0,2,2040.357596
0.0,2,2040.393218
0.0,2,2040.426173
0.0,4,2044.453763
0.0,2,2044.486498
0.0,2,2044.517351
0.0,4,2044.589692
0.0,2,2044.622193
0.0,2,2044.656742
0.0,2,2044.690835
0.0,2,2044.723758
0.0,2,2044.757687
0.0,2,2044.794011
0.0,2,2044.829229
0.0,2,2044.864854
0.0,2,2044.902215
0.0,2,2044.936397
0.0,4,2045.010753
0.0,2,2045.045741
0.0,4,2045.116731
0.0,2,2045.150567
0.0,2,2045.186801
0.0,2,2045.22243
0.0,2,2045.257451
0.0,2,2045.292326
0.0,2,2045.326024
0.0,2,2045.359925
0.0,2,2045.395088
0.0,2,2045.429567
0.0,3,2045.48322
0.0,4,2045.558256
0.0,2,2045.595175
0.0,2,2045.631906
0.0,2,2045.665084
0.0,2,2045.699937
0.0,2,2045.735873
0.0,3,2045.792344
0.0,2,2045.827684
0.0,2,2045.863263
0.0,2,2045.900645
0.0,3,2045.957672
0.0,2,2045.994181
0.0,2,2046.027257
0.0,2,2046.060989
0.0,2,2046.093765
0.0,2,2046.12916
0.0,2,2046.167917
0.0,6,2046.278037
0.0,2,2046.312808
0.0,3,2046.374635
0.0,2,2046.41577
0.0,2,2046.454078
0.0,2,2046.488478
0.0,4,2046.552035
0.0,2,2046.583767
0.0,2,2046.614777
0.0,4,2046.679997
0.0,2,2050.97561
0.0,6,2051.084871
0.0,2,2051.123585
0.0,2,2051.160058
0.0,4,2051.232545
0.0,3,2051.282294
0.0,2,2051.313845
0.0,2,2051.349391
0.0,2,2051.386986
0.0,2,2051.425375
0.0,2,2051.46226
0.0,4,2051.537551
0.0,2,2051.575817
0.0,2,2051.612401
0.0,2,2051.645585
0.0,2,2051.683743
0.0,2,2051.722248
0.0,2,2051.760394
0.0,4,2051.823721
0.0,2,2051.850991
0.0,2,2051.878025
0.0,2,2051.913502
0.0,2,2051.950079
0.0,2,2051.984441
0.0,2,2052.021144
0.0,2,2052.0617
0.0,2,2052.099883
