#{"t_start": 1667421468.0734372, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,53.52607
0.0,4,53.578604
0.0,2,53.604945
0.0,2,53.631463
0.0,2,53.657608
0.0,4,53.710585
0.0,2,53.737386
0.0,2,53.763855
0.0,4,53.817002
0.0,3,53.856563
0.0,4,53.909356
0.0,4,53.963713
0.0,2,53.99001
0.0,2,54.016837
0.0,2,54.042571
0.0,2,54.069529
0.0,2,54.096301
0.0,2,54.122938
0.0,2,54.14956
0.0,2,54.176203
0.0,2,54.202983
0.0,2,54.229656
0.0,2,54.256842
0.0,2,54.282991
0.0,2,54.309856
0.0,2,54.33674
0.0,2,54.365962
0.0,4,54.419224
0.0,2,54.446001
0.0,2,54.47479
0.0,2,54.501112
0.0,4,54.554628
0.0,2,54.580957
0.0,2,54.607427
0.0,3,54.647524
0.0,2,54.674616
0.0,2,54.701599
0.0,2,54.727309
0.0,2,54.754328
0.0,2,54.780733
0.0,2,54.807389
0.0,2,54.834523
0.0,4,54.890357
0.0,2,54.916693
0.0,2,54.943479
0.0,4,54.999292
0.0,2,55.025836
0.0,2,55.052426
0.0,2,55.078971
0.0,2,55.10571
0.0,2,55.132476
0.0,2,55.159418
0.0,2,55.186551
0.0,2,58.304649
0.0,4,58.363227
0.0,2,58.38791
0.0,2,58.414336
0.0,2,58.440544
0.0,2,58.466886
0.0,2,58.494224
0.0,4,58.547206
0.0,4,58.5976
0.0,2,58.624688
0.0,2,58.651291
0.0,2,58.677852
0.0,4,58.728676
0.0,2,58.753765
0.0,2,58.77999
0.0,2,58.80672
0.0,4,58.859674
0.0,2,58.886586
0.0,2,58.913273
0.0,2,58.939621
0.0,2,58.966866
0.0,2,58.994788
0.0,2,59.021046
0.0,2,59.047817
0.0,2,59.074235
0.0,2,59.10102
0.0,2,59.127703
0.0,2,59.154425
0.0,2,59.181092
0.0,2,59.207677
0.0,2,59.234089
0.0,2,59.260772
0.0,2,59.287468
0.0,2,59.314101
0.0,4,59.367474
0.0,2,59.394046
0.0,2,59.42097
0.0,4,59.474011
0.0,2,59.500813
0.0,2,59.527448
0.0,4,59.581099
0.0,2,59.607722
0.0,5,59.674717
0.0,2,59.70172
0.0,2,59.728053
0.0,2,59.755348
0.0,2,59.781944
0.0,2,59.808795
0.0,2,59.835102
0.0,2,59.862
0.0,2,59.888701
0.0,2,59.915612
0.0,2,59.942467
0.0,4,67.687501
0.0,2,67.70466
0.0,2,67.723661
0.0,2,67.746113
0.0,2,67.766238
0.0,2,67.784179
0.0,4,67.821547
0.0,2,67.837361
0.0,2,67.856192
0.0,2,67.873215
0.0,2,67.891308
0.0,2,67.908632
0.0,2,67.925467
0.0,2,67.94441
0.0,3,67.968732
0.0,2,67.987276
0.0,2,68.006317
0.0,4,68.042664
0.0,2,68.063349
0.0,2,68.081878
0.0,2,68.09779
0.0,2,68.115931
0.0,2,68.134949
0.0,2,68.154478
0.0,2,68.172331
0.0,2,68.192104
0.0,2,68.211876
0.0,2,68.232135
0.0,2,68.249987
0.0,4,68.279829
0.0,2,68.295385
0.0,6,68.340956
0.0,2,68.356913
0.0,2,68.372211
0.0,2,68.388394
0.0,2,68.404257
0.0,2,68.420212
0.0,2,68.435198
0.0,3,68.458805
0.0,2,68.474119
0.0,2,68.489876
0.0,2,68.506409
0.0,2,68.522552
0.0,2,68.537957
0.0,2,68.55462
0.0,2,68.571435
0.0,2,68.589494
0.0,3,68.615639
0.0,2,68.631718
0.0,2,68.649925
0.0,3,68.677509
0.0,2,68.69487
0.0,3,68.720505
0.0,2,68.739548
0.0,2,68.757501
0.0,4,68.800439
0.0,2,71.565728
0.0,2,71.594012
0.0,2,71.621909
1.0,7,71.718289
0.0,2,71.745561
0.0,4,71.800786
0.0,4,71.855305
0.0,2,71.882847
0.0,2,71.910291
0.0,4,71.966411
0.0,2,71.994775
0.0,2,72.023494
0.0,3,72.065409
0.0,4,72.12279
0.0,2,72.151083
0.0,4,72.207643
0.0,2,72.236523
0.0,2,72.265347
0.0,2,72.294236
0.0,6,72.381227
0.0,4,72.439379
0.0,2,72.469227
0.0,2,72.500178
0.0,2,72.532338
0.0,2,72.565558
0.0,2,72.597715
0.0,2,72.629476
0.0,2,72.661414
0.0,2,72.694297
