#{"t_start": 1667421467.5089982, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,54.063203
0.0,2,54.088385
0.0,2,54.116216
0.0,2,54.141035
0.0,2,54.167434
0.0,2,54.194023
0.0,2,54.220195
0.0,2,54.24666
0.0,2,54.273222
0.0,2,54.299646
0.0,2,54.326118
0.0,2,54.352811
0.0,2,54.379482
0.0,2,54.406108
0.0,2,54.432586
0.0,2,54.458869
0.0,4,54.512404
0.0,2,54.53968
0.0,4,54.592212
0.0,2,54.618887
0.0,2,54.645555
0.0,2,54.672389
0.0,2,54.698956
0.0,2,54.725803
0.0,2,54.752484
0.0,2,54.779255
0.0,2,54.805883
0.0,2,54.832535
0.0,2,54.859353
0.0,2,54.885941
0.0,2,54.912706
0.0,4,54.96886
0.0,2,54.995511
0.0,2,55.022246
0.0,4,55.077348
0.0,2,55.10399
0.0,2,55.130155
0.0,2,55.156899
0.0,4,55.210274
0.0,2,55.236916
0.0,3,55.277225
0.0,2,55.303809
0.0,2,55.330539
0.0,2,55.35678
0.0,2,55.383429
0.0,2,55.412529
0.0,2,55.439126
0.0,2,55.465755
0.0,2,55.492336
0.0,2,55.521385
0.0,2,55.548027
0.0,6,55.628158
0.0,2,55.654961
0.0,4,55.70857
0.0,2,55.735679
0.0,2,58.853454
0.0,2,58.882644
0.0,2,58.912868
0.0,2,58.938334
0.0,2,58.963659
0.0,4,59.016508
0.0,2,59.042788
0.0,7,59.134356
0.0,2,59.160167
0.0,2,59.186933
0.0,2,59.213772
0.0,2,59.240412
0.0,4,59.291089
0.0,2,59.316206
0.0,2,59.342526
0.0,2,59.3693
0.0,2,59.395948
0.0,2,59.422343
0.0,2,59.448965
0.0,2,59.475709
0.0,4,59.529114
0.0,2,59.557254
0.0,2,59.583488
0.0,2,59.610283
0.0,2,59.636715
0.0,2,59.663469
0.0,2,59.690145
0.0,2,59.716877
0.0,2,59.743527
0.0,2,59.770116
0.0,5,59.836872
0.0,2,59.863498
0.0,2,59.890282
0.0,2,59.916911
0.0,2,59.943654
0.0,2,59.970338
0.0,2,59.997094
0.0,2,60.023868
0.0,2,60.050425
0.0,2,60.077181
0.0,2,60.10383
0.0,2,60.130708
0.0,4,60.184103
0.0,2,60.210636
0.0,2,60.237226
0.0,2,60.264008
0.0,2,60.290588
0.0,2,60.317382
0.0,2,60.34402
0.0,2,60.370878
0.0,4,60.424206
0.0,2,60.450997
0.0,2,60.477831
0.0,2,60.504676
0.0,2,60.531318
0.0,2,68.249618
0.0,2,68.266968
0.0,2,68.285963
0.0,3,68.318871
0.0,2,68.337413
0.0,4,68.37487
0.0,3,68.39999
0.0,2,68.419032
0.0,2,68.435805
0.0,4,68.471321
0.0,2,68.488457
0.0,2,68.506989
0.0,4,68.541247
0.0,2,68.559816
0.0,2,68.577086
0.0,2,68.595636
0.0,2,68.615605
0.0,2,68.635776
0.0,2,68.653043
0.0,2,68.669034
0.0,2,68.688358
0.0,2,68.707824
0.0,2,68.726587
0.0,2,68.74608
0.0,2,68.765602
0.0,2,68.785333
0.0,2,68.804451
0.0,2,68.821159
0.0,2,68.835147
0.0,2,68.850703
0.0,2,68.866403
0.0,2,68.881343
0.0,2,68.895181
0.0,2,68.912028
0.0,2,68.927399
0.0,2,68.943337
0.0,2,68.95929
0.0,3,68.983072
0.0,6,69.029102
0.0,2,69.04507
0.0,2,69.06019
0.0,2,69.077762
0.0,2,69.093253
0.0,2,69.108816
0.0,2,69.124997
0.0,2,69.142469
0.0,2,69.161211
0.0,2,69.177684
0.0,2,69.19389
0.0,2,69.211955
0.0,2,69.231498
0.0,2,69.249664
0.0,3,69.27379
0.0,2,69.291968
0.0,2,69.311705
0.0,2,69.328294
0.0,2,69.352134
0.0,2,72.054859
0.0,2,72.143043
0.0,4,72.197883
0.0,2,72.225299
0.0,2,72.253082
0.0,2,72.280385
0.0,2,72.308015
0.0,4,72.363176
0.0,2,72.390507
0.0,3,72.431897
0.0,4,72.487013
0.0,2,72.515082
0.0,6,72.60005
0.0,6,72.68488
0.0,2,72.713268
0.0,2,72.741479
0.0,2,72.769964
0.0,2,72.798509
0.0,2,72.827582
0.0,2,72.856471
0.0,2,72.885905
0.0,2,72.914582
0.0,2,72.943717
0.0,4,73.001844
0.0,6,73.09478
0.0,2,73.127734
0.0,2,73.159973
0.0,2,73.191685
0.0,2,73.223913
0.0,6,73.320601
0.0,2,73.352595
0.0,4,73.417608
0.0,2,73.449447
0.0,2,73.481226
0.0,2,73.514259
0.0,2,73.546324
0.0,4,73.606824
0.0,2,73.63708
0.0,2,73.667063
0.0,2,73.696463
0.0,2,73.725915
0.0,2,73.756243
0.0,2,73.78613
0.0,2,73.815624
0.0,2,73.844981
0.0,2,73.876957
0.0,2,73.908715
0.0,4,73.965724
0.0,2,73.997465
0.0,2,79.557342
0.0,5,79.588656
0.0,2,79.602192
0.0,2,79.618813
0.0,2,79.637754
0.0,2,79.65594
0.0,2,79.674655
0.0,2,79.694623
0.0,4,79.736719
0.0,2,79.761292
0.0,2,79.781608
0.0,2,79.804545
0.0,2,79.827514
0.0,4,79.868289
0.0,2,79.889825
0.0,4,79.932092
0.0,2,79.955492
0.0,2,79.977466
0.0,2,79.998598
0.0,2,80.018785
0.0,2,80.040171
0.0,2,80.061752
0.0,2,80.0831
0.0,2,80.103426
0.0,2,80.126057
0.0,2,80.149045
0.0,2,80.172431
0.0,2,80.195687
0.0,2,80.217275
0.0,2,80.238717
0.0,3,80.2748
0.0,2,80.296865
0.0,2,80.317719
0.0,3,80.35015
0.0,2,80.369222
0.0,2,80.389411
0.0,2,80.409459
0.0,2,80.432412
0.0,2,80.453988
0.0,2,80.476149
0.0,2,80.498147
0.0,4,80.543227
0.0,2,80.566183
0.0,3,80.596919
0.0,2,80.617834
0.0,2,80.638657
0.0,2,80.663286
0.0,2,80.687189
0.0,6,80.75423
0.0,7,80.836719
0.0,6,83.77705
0.0,2,83.805822
0.0,4,83.851347
0.0,2,83.869587
0.0,2,83.905991
0.0,2,83.930528
0.0,2,83.947457
0.0,6,83.995038
0.0,4,84.027812
0.0,2,84.040927
0.0,4,84.073482
0.0,2,84.088011
0.0,2,84.104052
0.0,2,84.12079
0.0,2,84.13771
0.0,2,84.152836
0.0,4,84.1834
0.0,2,84.199878
0.0,2,84.216629
0.0,4,84.250257
0.0,2,84.267113
0.0,2,84.28609
0.0,2,84.302366
0.0,2,84.319592
0.0,4,84.356669
0.0,2,84.374261
0.0,2,84.391631
0.0,2,84.412506
0.0,4,84.448777
0.0,4,84.485394
0.0,3,84.511546
0.0,2,84.530658
0.0,2,84.554319
0.0,2,84.576696
0.0,2,84.595986
0.0,3,84.63394
0.0,2,84.662382
0.0,5,84.734901
0.0,2,84.763622
0.0,3,84.80754
0.0,4,84.865577
0.0,2,84.892901
0.0,2,84.919286
0.0,4,84.972085
0.0,2,84.999737
0.0,3,85.042066
0.0,2,85.070606
0.0,4,85.1267
0.0,2,88.109498
0.0,2,88.141865
0.0,4,88.204736
0.0,2,88.241495
0.0,2,88.276336
0.0,2,88.314162
0.0,2,88.347734
0.0,4,88.425152
0.0,4,88.49709
0.0,2,88.530725
0.0,2,88.569266
0.0,3,88.621373
0.0,2,88.656092
0.0,2,88.691319
0.0,2,88.726201
0.0,2,88.757128
0.0,2,88.796599
0.0,2,88.831207
0.0,2,88.86436
0.0,2,88.896523
0.0,2,88.932344
0.0,2,88.966705
0.0,4,89.030211
0.0,2,89.063659
0.0,5,89.145559
0.0,3,89.195525
0.0,2,89.227203
0.0,2,89.259197
0.0,4,89.325976
0.0,2,89.360588
0.0,2,89.392238
0.0,2,89.420454
0.0,2,89.454882
0.0,2,89.485446
0.0,2,89.518837
0.0,2,89.546504
0.0,4,89.592546
0.0,2,89.612352
0.0,2,89.632832
0.0,4,89.670606
0.0,2,89.767456
0.0,2,89.782065
0.0,3,89.804379
0.0,2,89.817625
0.0,2,89.832106
0.0,2,89.846496
0.0,2,89.86226
0.0,2,89.877898
0.0,6,89.918381
0.0,2,89.931473
0.0,2,89.944967
0.0,4,92.410327
0.0,2,92.442466
0.0,2,92.47503
0.0,2,92.507849
0.0,4,92.571816
0.0,3,92.620414
0.0,3,92.669544
0.0,3,92.718751
0.0,4,92.780033
