#{"t_start": 1667421468.3608527, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,53.214409
0.0,2,53.239638
0.0,2,53.267603
0.0,2,53.292269
0.0,2,53.318438
0.0,2,53.345067
0.0,2,53.371405
0.0,2,53.397507
0.0,2,53.424122
0.0,4,53.477471
0.0,2,53.503701
0.0,2,53.530602
0.0,2,53.557148
0.0,2,53.583472
0.0,2,53.610103
0.0,2,53.636424
0.0,2,53.664297
0.0,4,53.717605
0.0,2,53.743077
0.0,2,53.770369
0.0,2,53.797167
0.0,2,53.824012
0.0,2,53.850116
0.0,2,53.877085
0.0,6,53.957234
0.0,4,54.010465
0.0,4,54.064537
0.0,4,54.120393
0.0,2,54.146196
0.0,2,54.173607
0.0,2,54.202305
0.0,4,54.255314
0.0,2,54.28144
0.0,4,54.334591
1.0,7,54.428406
0.0,2,54.454788
0.0,2,54.481105
0.0,2,54.507655
0.0,2,54.534587
0.0,4,54.590562
0.0,2,54.617154
0.0,4,54.672433
0.0,2,54.699039
0.0,2,54.725793
0.0,2,54.752205
0.0,2,54.778768
0.0,4,54.832139
0.0,2,54.859691
0.0,2,54.886628
0.0,2,58.005558
0.0,2,58.034162
0.0,4,58.089314
0.0,2,58.114316
0.0,4,58.167438
0.0,2,58.195244
0.0,2,58.221464
0.0,2,58.2477
0.0,4,58.297987
0.0,2,58.324399
0.0,4,58.377739
0.0,2,58.404473
0.0,4,58.454428
0.0,2,58.479944
0.0,2,58.506643
0.0,2,58.533364
0.0,2,58.559637
0.0,2,58.586385
0.0,4,58.639507
0.0,2,58.666552
0.0,2,58.694645
0.0,2,58.721225
0.0,2,58.747833
0.0,2,58.774591
0.0,2,58.801006
0.0,6,58.881033
0.0,2,58.907361
0.0,2,58.93407
0.0,2,58.961115
0.0,2,58.988043
0.0,2,59.014766
0.0,2,59.041538
0.0,2,59.068008
0.0,2,59.094906
0.0,2,59.121419
0.0,2,59.148364
0.0,2,59.175081
0.0,2,59.2012
0.0,2,59.227809
0.0,2,59.254429
0.0,2,59.281892
0.0,2,59.308293
0.0,2,59.335452
0.0,3,59.374306
0.0,2,59.401108
0.0,2,59.428111
0.0,4,59.481268
0.0,2,59.508194
0.0,2,59.534922
0.0,2,59.561608
0.0,2,59.588225
0.0,4,59.641546
0.0,2,59.668118
