#{"t_start": 1667421468.36059, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,633.654739
0.0,2,633.686276
0.0,2,633.721222
0.0,2,633.754918
0.0,2,633.789709
0.0,2,633.824035
0.0,3,633.872454
0.0,2,633.907328
0.0,2,633.939653
0.0,2,633.972861
0.0,2,634.004095
0.0,2,634.035762
0.0,2,634.068373
0.0,4,634.130193
0.0,4,634.194982
0.0,4,634.255543
0.0,2,634.2867
0.0,2,634.319317
0.0,2,634.352703
0.0,4,634.415801
0.0,2,634.447446
0.0,2,634.480309
0.0,2,634.514037
0.0,2,634.548512
0.0,2,634.582896
0.0,2,634.614691
0.0,2,634.646877
0.0,2,634.678918
0.0,2,634.710703
0.0,2,634.746832
0.0,2,634.783472
0.0,2,634.813199
0.0,2,634.847072
0.0,2,634.880195
0.0,2,634.91345
0.0,4,634.983174
0.0,2,635.017269
0.0,2,635.052347
0.0,2,635.095905
0.0,2,635.130219
0.0,2,635.168032
0.0,2,635.20066
0.0,2,635.232053
0.0,2,635.263832
0.0,4,635.331781
0.0,2,635.36975
0.0,2,635.403961
0.0,2,635.443721
0.0,2,635.484636
0.0,2,635.516563
0.0,2,635.549925
0.0,2,635.58283
0.0,4,635.647357
0.0,4,635.722286
0.0,2,635.758017
0.0,2,639.264616
0.0,2,639.297352
0.0,2,639.326527
0.0,2,639.360199
0.0,2,639.396042
0.0,4,639.460805
0.0,4,639.525437
0.0,2,639.560453
0.0,2,639.594596
0.0,2,639.624976
0.0,2,639.658862
0.0,2,639.690207
0.0,2,639.721394
0.0,4,639.785995
0.0,2,639.820238
0.0,2,639.853776
0.0,2,639.884766
0.0,2,639.915584
0.0,2,639.948611
0.0,3,639.996835
0.0,3,640.043239
0.0,2,640.07507
0.0,4,640.184824
0.0,2,640.220074
0.0,2,640.25683
0.0,2,640.291022
0.0,4,640.358148
0.0,4,640.428729
0.0,2,640.467323
0.0,2,640.50316
0.0,2,640.537717
0.0,2,640.57174
0.0,2,640.609697
0.0,2,640.644796
0.0,5,640.731203
0.0,2,640.772459
0.0,2,640.809242
0.0,4,640.88176
0.0,3,640.938908
0.0,4,641.007709
0.0,2,641.049038
0.0,2,641.089241
0.0,2,641.127131
0.0,2,641.164903
0.0,2,641.206997
0.0,2,641.246854
0.0,2,641.28682
0.0,6,641.396734
0.0,2,641.431785
0.0,2,641.471789
0.0,3,641.529475
0.0,2,645.032663
0.0,2,645.067676
0.0,3,645.156139
0.0,4,645.22591
0.0,2,645.258459
0.0,3,645.306638
0.0,2,645.337469
0.0,2,645.368926
0.0,2,645.401841
0.0,4,645.469487
0.0,2,645.503262
0.0,2,645.535353
0.0,2,645.568378
0.0,4,645.632988
0.0,2,645.665007
0.0,2,645.697786
0.0,2,645.730741
0.0,2,645.766179
0.0,2,645.801
0.0,2,645.835439
0.0,2,645.870664
0.0,6,645.971528
0.0,2,646.010251
0.0,4,646.076511
0.0,2,646.107837
0.0,2,646.139217
0.0,2,646.176337
0.0,2,646.21143
0.0,4,646.273094
0.0,2,646.303543
0.0,2,646.338284
0.0,4,646.410769
0.0,5,646.507936
0.0,2,646.541436
0.0,2,646.577065
0.0,2,646.610591
0.0,2,646.650504
0.0,4,646.731379
0.0,2,646.764484
0.0,2,646.798976
0.0,2,646.835971
0.0,2,646.872927
0.0,3,646.92303
0.0,2,646.960794
0.0,2,646.995961
0.0,4,647.071328
0.0,4,647.146085
0.0,2,647.181899
0.0,7,650.842205
1.0,7,650.957263
1.0,7,651.069693
1.0,7,651.177288
1.0,7,651.285372
1.0,7,651.397257
1.0,7,651.511786
1.0,7,651.634743
1.0,7,651.760934
1.0,7,651.881722
1.0,7,652.00687
1.0,7,652.132049
1.0,7,652.261862
1.0,7,652.395418
1.0,7,652.524845
1.0,7,652.6496
1.0,7,652.774079
1.0,7,652.892766
1.0,7,656.474862
1.0,7,656.583163
1.0,7,656.702554
1.0,7,656.817398
1.0,7,656.922988
1.0,7,657.026862
1.0,7,657.14101
1.0,7,657.260429
1.0,7,657.379644
0.0,5,657.469653
1.0,7,657.592023
1.0,7,657.72091
1.0,7,657.843104
1.0,7,657.972123
1.0,7,658.107325
1.0,7,658.246208
1.0,7,658.381049
1.0,7,658.511892
1.0,7,658.641704
1.0,7,662.111932
1.0,7,662.218836
1.0,7,662.324885
1.0,7,662.436487
1.0,7,662.539933
1.0,7,662.649906
0.0,4,662.714748
1.0,7,662.823652
1.0,7,662.940493
1.0,7,663.05869
1.0,7,663.179024
1.0,7,663.307966
1.0,7,663.426243
1.0,7,663.547598
1.0,7,663.67286
1.0,7,663.802632
1.0,7,663.941716
1.0,7,664.066044
1.0,7,664.194834
1.0,7,667.727962
1.0,7,667.83736
1.0,7,667.943662
1.0,7,668.042982
1.0,7,668.140306
1.0,7,668.240236
1.0,7,668.347504
1.0,7,668.463434
1.0,7,668.582389
0.0,6,668.682083
1.0,7,668.802723
1.0,7,668.929089
1.0,7,669.051393
1.0,7,669.180177
1.0,7,669.31465
0.0,4,669.390785
1.0,7,669.522142
1.0,7,669.646301
1.0,7,669.774572
1.0,7,673.337721
1.0,7,673.453618
1.0,7,673.572763
1.0,7,673.686247
1.0,7,673.793306
1.0,7,673.894517
1.0,7,673.998322
1.0,7,674.118691
1.0,7,674.231027
1.0,7,674.357654
1.0,7,674.475583
1.0,7,674.597417
1.0,7,674.725116
1.0,7,674.848714
1.0,7,674.975748
1.0,7,675.108528
1.0,7,675.258401
1.0,7,675.387589
1.0,7,678.992094
1.0,7,679.105885
1.0,7,679.228496
1.0,7,679.3459
1.0,7,679.459516
1.0,7,679.561122
1.0,7,679.659259
1.0,7,679.758914
1.0,7,679.87926
1.0,7,680.002137
1.0,7,680.162115
1.0,7,680.282988
1.0,7,680.4026
1.0,7,680.542612
1.0,7,680.676458
1.0,7,680.810652
1.0,7,680.931469
1.0,7,681.065642
1.0,7,684.662429
1.0,7,684.783582
1.0,7,684.901274
1.0,7,685.016674
1.0,7,685.166986
1.0,7,685.288735
1.0,7,685.397232
1.0,7,685.512798
1.0,7,685.640073
1.0,7,685.760028
1.0,7,685.881884
1.0,7,686.008629
1.0,7,686.136958
1.0,7,686.262395
1.0,7,686.391341
1.0,7,686.515143
1.0,7,686.646219
1.0,7,686.774689
1.0,7,690.375172
1.0,7,690.494774
1.0,7,690.606479
1.0,7,690.718291
1.0,7,690.836791
1.0,7,690.941255
1.0,7,691.047254
1.0,7,691.159383
1.0,7,691.282625
1.0,7,691.411411
1.0,7,691.533259
1.0,7,691.661331
1.0,7,691.797492
1.0,7,691.923466
1.0,7,692.05704
1.0,7,692.188898
1.0,7,692.310801
1.0,7,692.441583
1.0,7,692.576324
1.0,7,696.033102
1.0,7,696.159648
1.0,7,696.273989
1.0,7,696.389969
1.0,7,696.499218
1.0,7,696.610155
1.0,7,696.717289
1.0,7,696.836374
1.0,7,696.963486
1.0,7,697.089529
1.0,7,697.211854
1.0,7,697.340643
1.0,7,697.463298
1.0,7,697.580516
1.0,7,697.710423
1.0,7,697.827679
1.0,7,697.949853
1.0,7,698.078015
1.0,7,701.601937
1.0,7,701.718066
1.0,7,701.828366
1.0,7,701.942176
1.0,7,702.057508
1.0,7,702.167058
1.0,7,702.26983
1.0,7,702.374869
1.0,7,702.49307
1.0,7,702.614073
1.0,7,702.721179
1.0,7,702.840022
1.0,7,702.950763
1.0,7,703.083828
1.0,7,703.210227
1.0,7,703.342144
1.0,7,703.477059
1.0,7,703.597897
1.0,7,707.178983
1.0,7,707.293087
