#{"t_start": 1667421471.8770385, "env_id": "CTgraph-v0"}
r,l,t
0.0,3,904.25282
0.0,2,904.287465
0.0,4,904.354982
0.0,4,904.421597
0.0,4,904.486552
0.0,4,904.556123
0.0,2,904.590214
0.0,2,904.625787
0.0,2,904.660716
0.0,2,904.69388
0.0,2,904.728441
0.0,3,904.780168
0.0,3,904.830551
0.0,2,904.866344
0.0,2,904.899169
0.0,2,904.929722
0.0,2,904.971253
0.0,5,905.06072
0.0,2,905.099207
0.0,6,905.209961
0.0,4,905.281593
0.0,2,905.315573
0.0,2,905.345136
0.0,2,905.376744
0.0,2,905.408696
0.0,3,905.454492
0.0,2,905.488115
0.0,2,905.520647
0.0,2,905.554174
0.0,2,905.589133
0.0,2,905.624836
0.0,2,905.657008
0.0,2,905.693218
0.0,2,905.728436
0.0,4,905.79695
0.0,2,905.832791
0.0,2,905.866997
0.0,2,905.901164
0.0,2,905.93535
0.0,2,905.971763
0.0,4,906.041663
0.0,2,906.073689
0.0,2,906.106833
0.0,2,906.143938
0.0,2,906.178076
0.0,2,906.212364
0.0,2,906.247037
0.0,2,906.279155
0.0,3,906.328878
0.0,2,906.362425
0.0,2,906.396753
0.0,2,909.839345
0.0,4,909.910714
0.0,2,909.949749
0.0,2,909.981677
0.0,2,910.013611
0.0,2,910.046865
0.0,2,910.078802
0.0,2,910.111643
0.0,2,910.144141
0.0,3,910.191377
0.0,2,910.221709
0.0,2,910.25508
0.0,2,910.292389
0.0,2,910.328281
0.0,2,910.360081
0.0,2,910.391227
0.0,4,910.457898
0.0,3,910.510041
0.0,2,910.544502
0.0,3,910.590828
0.0,2,910.627651
0.0,2,910.658615
0.0,2,910.697844
0.0,2,910.736606
0.0,2,910.774263
0.0,2,910.81381
0.0,2,910.850478
0.0,2,910.886752
0.0,2,910.923756
0.0,2,910.959228
0.0,2,910.996433
0.0,4,911.061123
0.0,2,911.093482
0.0,3,911.143415
0.0,4,911.215951
0.0,2,911.247421
0.0,2,911.280961
0.0,3,911.331108
0.0,2,911.364409
0.0,5,911.447964
0.0,2,911.485031
0.0,2,911.522667
0.0,4,911.587464
0.0,6,911.690866
0.0,4,911.896435
0.0,4,911.969438
0.0,4,912.044783
0.0,2,912.082381
0.0,6,915.646842
0.0,2,915.679434
0.0,3,915.737744
0.0,2,915.775486
0.0,4,915.847964
0.0,2,915.884433
0.0,2,915.92503
0.0,2,915.961684
0.0,2,915.999312
0.0,2,916.033289
0.0,2,916.067031
0.0,4,916.141994
0.0,2,916.172387
0.0,2,916.208565
0.0,4,916.277764
0.0,2,916.315767
0.0,2,916.35365
0.0,2,916.390707
0.0,4,916.466529
0.0,2,916.5049
0.0,4,916.58032
0.0,4,916.65192
0.0,2,916.686952
0.0,4,916.757745
0.0,2,916.789622
0.0,3,916.837817
0.0,2,916.868168
0.0,2,916.904307
0.0,2,916.940514
0.0,4,917.006422
0.0,4,917.070372
0.0,2,917.105997
0.0,2,917.142673
0.0,4,917.21139
0.0,2,917.24913
0.0,2,917.28696
0.0,2,917.324271
0.0,4,917.395695
0.0,2,917.431742
0.0,5,917.523955
0.0,2,917.562429
0.0,6,917.672213
0.0,4,917.749027
0.0,2,917.787309
0.0,3,917.842083
0.0,2,917.876998
0.0,3,921.369561
0.0,4,921.451848
0.0,2,921.490108
0.0,6,921.603296
0.0,2,921.64092
0.0,4,921.715194
0.0,2,921.753242
0.0,2,921.789228
0.0,5,921.880529
0.0,2,921.914654
0.0,2,921.954449
0.0,3,922.007128
0.0,2,922.043236
0.0,2,922.079207
0.0,3,922.135657
0.0,2,922.174202
0.0,2,922.213342
0.0,2,922.247955
0.0,3,922.302552
1.0,7,922.4375
0.0,2,922.474855
0.0,2,922.513219
0.0,2,922.550894
0.0,2,922.586041
0.0,4,922.652446
0.0,4,922.720568
0.0,2,922.753206
0.0,2,922.787024
0.0,3,922.835316
0.0,2,922.866669
0.0,2,922.903621
0.0,2,922.936834
0.0,6,923.034525
0.0,2,923.068729
0.0,2,923.104406
0.0,2,923.137975
0.0,4,923.206599
0.0,3,923.259105
0.0,2,923.296198
0.0,2,923.328815
0.0,2,923.362792
0.0,2,923.396994
0.0,5,923.482705
0.0,2,923.520009
0.0,4,923.593114
0.0,7,927.278929
0.0,3,927.335299
0.0,2,927.373825
0.0,2,927.411109
0.0,6,927.517177
0.0,2,927.552029
0.0,2,927.589833
0.0,4,927.658438
0.0,2,927.689233
0.0,6,927.796209
0.0,7,927.923233
0.0,2,927.956151
0.0,5,928.043973
0.0,2,928.078466
0.0,2,928.112486
0.0,3,928.167652
0.0,3,928.220932
0.0,3,928.274251
0.0,2,928.311568
0.0,2,928.347324
0.0,6,928.439559
0.0,4,928.510092
0.0,2,928.545548
0.0,2,928.577484
0.0,7,928.69686
0.0,2,928.734036
0.0,4,928.80281
0.0,2,928.831028
0.0,3,928.877147
0.0,4,928.940969
0.0,2,928.976573
0.0,2,929.115064
0.0,7,929.230966
0.0,2,929.266095
0.0,2,929.301849
0.0,2,929.336788
0.0,4,929.413163
0.0,4,929.479795
0.0,5,933.246336
1.0,7,933.378153
1.0,7,933.505183
1.0,7,933.631883
1.0,7,933.761115
1.0,7,933.882731
1.0,7,934.010348
1.0,7,934.131066
1.0,7,934.260184
1.0,7,934.375504
0.0,2,934.4088
1.0,7,934.526315
1.0,7,934.635031
1.0,7,934.743748
1.0,7,934.864998
1.0,7,934.989146
1.0,7,935.112341
1.0,7,935.233008
1.0,7,935.355628
1.0,7,939.019104
1.0,7,939.154327
1.0,7,939.285161
1.0,7,939.412439
1.0,7,939.5363
1.0,7,939.658234
1.0,7,939.779866
1.0,7,939.899004
1.0,7,940.021317
1.0,7,940.142271
1.0,7,940.262708
1.0,7,940.37882
1.0,7,940.494122
1.0,7,940.615176
1.0,7,940.7286
1.0,7,940.845975
1.0,7,940.96885
1.0,7,941.091648
1.0,7,941.222463
1.0,7,944.918433
1.0,7,945.048972
1.0,7,945.170677
1.0,7,945.300293
1.0,7,945.432
1.0,7,945.555454
1.0,7,945.682362
1.0,7,945.80603
1.0,7,945.928717
1.0,7,946.050752
1.0,7,946.171568
1.0,7,946.283517
1.0,7,946.398954
1.0,7,946.556073
1.0,7,946.673712
1.0,7,946.789671
1.0,7,946.916171
1.0,7,947.040376
1.0,7,950.715955
1.0,7,950.834027
1.0,7,950.954796
1.0,7,951.068899
1.0,7,951.188276
1.0,7,951.307776
1.0,7,951.431883
1.0,7,951.606952
1.0,7,951.729389
1.0,7,951.8465
1.0,7,951.965971
1.0,7,952.075249
1.0,7,952.187075
1.0,7,952.306685
1.0,7,952.421742
1.0,7,952.542982
1.0,7,952.671583
1.0,7,952.795851
1.0,7,956.615233
1.0,7,956.739318
1.0,7,956.873442
1.0,7,957.00077
1.0,7,957.125335
1.0,7,957.256036
1.0,7,957.377577
1.0,7,957.495857
1.0,7,957.606708
1.0,7,957.723657
1.0,7,957.835269
1.0,7,957.952595
1.0,7,958.077209
1.0,7,958.193115
1.0,7,958.303528
1.0,7,958.42101
1.0,7,958.555745
1.0,7,958.682031
1.0,7,962.404783
1.0,7,962.531606
1.0,7,962.651423
1.0,7,962.780609
1.0,7,962.904516
1.0,7,963.025362
1.0,7,963.149757
1.0,7,963.276527
1.0,7,963.400844
1.0,7,963.509013
1.0,7,963.615503
1.0,7,963.727217
1.0,7,963.851108
1.0,7,963.967582
1.0,7,964.082734
1.0,7,964.205012
0.0,7,964.326804
1.0,7,964.455301
1.0,7,964.596771
1.0,7,968.299366
1.0,7,968.427462
1.0,7,968.550198
1.0,7,968.675508
1.0,7,968.798323
1.0,7,968.926113
1.0,7,969.056637
1.0,7,969.182002
1.0,7,969.289875
1.0,7,969.392315
1.0,7,969.503556
1.0,7,969.616722
1.0,7,969.731404
1.0,7,969.852973
1.0,7,969.979658
1.0,7,970.101717
1.0,7,970.221952
1.0,7,970.353549
1.0,7,974.075429
1.0,7,974.199982
1.0,7,974.31056
1.0,7,974.43179
1.0,7,974.541641
1.0,7,974.652704
1.0,7,974.763433
1.0,7,974.878107
1.0,7,975.001032
1.0,7,975.122152
1.0,7,975.23403
1.0,7,975.335848
1.0,7,975.453758
1.0,7,975.568656
1.0,7,975.68904
1.0,7,975.800484
1.0,7,975.92566
1.0,7,976.038386
1.0,7,979.765421
0.0,4,979.836197
1.0,7,979.962038
1.0,7,980.085206
1.0,7,980.212125
1.0,7,980.334464
1.0,7,980.455026
1.0,7,980.572571
1.0,7,980.693107
1.0,7,980.813812
1.0,7,980.930896
1.0,7,981.042147
1.0,7,981.146953
1.0,7,981.252185
0.0,4,981.31378
1.0,7,981.424581
1.0,7,981.573906
0.0,4,981.641988
1.0,7,981.761312
1.0,7,981.881695
1.0,7,985.585469
1.0,7,985.716676
1.0,7,985.835835
1.0,7,985.947316
1.0,7,986.054182
1.0,7,986.176289
1.0,7,986.296462
1.0,7,986.408338
0.0,6,986.509794
0.0,4,986.576068
1.0,7,986.691322
1.0,7,986.799731
1.0,7,986.903448
1.0,7,987.002068
1.0,7,987.09608
1.0,7,987.195428
1.0,7,987.300924
0.0,4,987.381989
1.0,7,987.497042
1.0,7,991.188885
1.0,7,991.321975
1.0,7,991.456502
1.0,7,991.588241
1.0,7,991.717126
1.0,7,991.838252
1.0,7,991.970131
1.0,7,992.095693
1.0,7,992.223183
1.0,7,992.342087
1.0,7,992.467609
1.0,7,992.595574
1.0,7,992.710111
1.0,7,992.822858
1.0,7,992.952039
1.0,7,993.060901
1.0,7,993.167426
1.0,7,993.275571
1.0,7,996.946875
1.0,7,997.076531
1.0,7,997.212582
1.0,7,997.347389
1.0,7,997.479436
1.0,7,997.603449
1.0,7,997.730798
1.0,7,997.857124
0.0,4,997.928016
1.0,7,998.049582
1.0,7,998.174214
1.0,7,998.294069
0.0,4,998.364083
1.0,7,998.48259
1.0,7,998.606786
1.0,7,998.730182
0.0,4,998.799348
1.0,7,998.908349
1.0,7,999.018377
1.0,7,999.13491
1.0,7,1002.829163
1.0,7,1002.961946
1.0,7,1003.090989
1.0,7,1003.220219
1.0,7,1003.340077
1.0,7,1003.462829
1.0,7,1003.57867
1.0,7,1003.702129
1.0,7,1003.822788
1.0,7,1003.949857
1.0,7,1004.065643
1.0,7,1004.185314
1.0,7,1004.306319
1.0,7,1004.424192
1.0,7,1004.544791
1.0,7,1004.654362
1.0,7,1004.76291
1.0,7,1004.868987
1.0,7,1008.521054
1.0,7,1008.647408
1.0,7,1008.777632
1.0,7,1008.904736
1.0,7,1009.042246
1.0,7,1009.176425
