#{"t_start": 1667421471.5876644, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,904.523462
0.0,4,904.593035
0.0,2,904.625639
0.0,2,904.663052
0.0,2,904.695153
0.0,2,904.727402
0.0,4,904.794679
0.0,2,904.827959
0.0,2,904.860911
0.0,4,904.928896
0.0,2,904.967249
0.0,2,905.000449
0.0,2,905.036411
0.0,2,905.068671
0.0,4,905.135442
0.0,2,905.174275
0.0,2,905.204219
0.0,5,905.298019
0.0,2,905.331969
0.0,2,905.367738
0.0,4,905.443226
0.0,3,905.497928
0.0,2,905.536466
0.0,2,905.570084
0.0,2,905.603781
0.0,2,905.633416
0.0,2,905.665046
0.0,2,905.697064
0.0,4,905.759207
0.0,2,905.792617
0.0,4,905.861072
0.0,2,905.895377
0.0,4,905.963881
0.0,2,905.998777
0.0,2,906.033205
0.0,2,906.068132
0.0,2,906.104407
0.0,2,906.138695
0.0,2,906.171951
0.0,2,906.207053
0.0,2,906.242649
0.0,4,906.31126
0.0,2,906.347082
0.0,2,906.379896
0.0,2,906.415032
0.0,3,906.466505
0.0,3,906.517397
0.0,2,906.553329
0.0,2,906.586102
0.0,2,906.617241
0.0,3,906.66925
0.0,2,910.108294
0.0,5,910.19907
0.0,4,910.270063
0.0,4,910.335193
0.0,4,910.399991
0.0,2,910.432556
0.0,4,910.495727
0.0,4,910.563936
0.0,4,910.632356
0.0,2,910.664061
0.0,2,910.694323
0.0,6,910.798358
0.0,4,910.862758
0.0,4,910.930425
0.0,3,910.985717
0.0,2,911.024815
0.0,2,911.062422
0.0,2,911.101983
0.0,3,911.156877
0.0,2,911.195045
0.0,2,911.228245
0.0,2,911.264616
0.0,2,911.3014
0.0,2,911.334419
0.0,2,911.365757
0.0,5,911.448845
0.0,4,911.521996
0.0,5,911.60395
0.0,2,911.636635
0.0,2,911.669924
0.0,2,911.701747
0.0,4,911.773193
0.0,2,911.810864
0.0,2,911.843492
0.0,2,911.875778
0.0,2,911.909858
0.0,2,911.944332
0.0,2,911.979146
0.0,4,912.18462
0.0,2,912.220104
0.0,3,912.276822
0.0,2,912.314474
0.0,2,912.351546
0.0,2,912.389639
0.0,2,912.426429
0.0,2,915.916202
0.0,2,915.951974
0.0,2,915.985489
0.0,4,916.063707
0.0,2,916.100001
0.0,2,916.136237
0.0,2,916.172721
0.0,4,916.249991
0.0,4,916.321592
0.0,3,916.3764
0.0,4,916.445552
0.0,2,916.478787
0.0,4,916.547723
0.0,2,916.585453
0.0,2,916.622631
0.0,2,916.660712
0.0,2,916.698744
0.0,5,916.793221
0.0,4,916.86852
0.0,6,916.975066
0.0,2,917.01082
0.0,2,917.046099
0.0,7,917.156316
0.0,2,917.192567
0.0,2,917.228723
0.0,4,917.294676
0.0,4,917.358659
0.0,2,917.394192
0.0,2,917.430825
0.0,2,917.465283
0.0,4,917.537366
0.0,2,917.575225
0.0,4,917.648174
0.0,2,917.683975
0.0,2,917.72001
0.0,2,917.757619
0.0,4,917.83266
0.0,2,917.869991
0.0,2,917.903537
0.0,2,917.941298
0.0,2,917.979552
0.0,2,918.018789
0.0,4,918.095155
0.0,2,918.130296
0.0,7,921.698102
0.0,2,921.739984
0.0,2,921.778327
0.0,4,921.853882
0.0,2,921.891585
0.0,2,921.929228
0.0,2,921.970673
0.0,3,922.022231
0.0,2,922.0593
0.0,3,922.115848
0.0,4,922.187352
0.0,2,922.222366
0.0,2,922.261248
0.0,2,922.295275
0.0,2,922.331524
0.0,5,922.423757
0.0,2,922.462394
0.0,7,922.590718
0.0,2,922.62958
0.0,4,922.706658
0.0,2,922.743999
0.0,2,922.783084
