#{"t_start": 1667421471.3108158, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,622.645858
0.0,6,622.74176
0.0,2,622.774863
0.0,2,622.809325
0.0,2,622.843584
0.0,3,622.892396
0.0,4,622.95974
0.0,2,622.993664
0.0,2,623.023515
0.0,2,623.055096
0.0,4,623.118346
0.0,2,623.153041
0.0,2,623.188709
0.0,2,623.220869
0.0,2,623.253135
0.0,2,623.286358
0.0,2,623.318637
0.0,4,623.38707
0.0,7,623.504664
0.0,2,623.538272
0.0,2,623.572087
0.0,2,623.607162
0.0,2,623.643568
0.0,2,623.681049
0.0,2,623.717159
0.0,3,623.768107
0.0,2,623.804689
0.0,2,623.837426
0.0,2,623.87529
0.0,2,623.909886
0.0,2,623.942901
0.0,2,623.975965
0.0,2,624.009109
0.0,2,624.042999
0.0,6,624.15437
0.0,2,624.185265
0.0,2,624.216967
0.0,2,624.251824
0.0,5,624.341825
0.0,2,624.37725
0.0,2,624.413169
0.0,7,624.538369
0.0,4,624.601836
0.0,2,624.635734
0.0,2,624.670262
0.0,2,624.701439
0.0,2,624.736893
0.0,2,624.769677
0.0,2,628.138134
0.0,2,628.173692
0.0,2,628.205661
0.0,4,628.27118
0.0,2,628.303454
0.0,2,628.340387
0.0,4,628.409262
0.0,6,628.506228
0.0,2,628.537146
0.0,2,628.568675
0.0,4,628.634251
0.0,4,628.702847
0.0,2,628.734069
0.0,4,628.799673
0.0,2,628.83223
0.0,4,628.89727
0.0,4,628.966607
0.0,2,629.000608
0.0,2,629.034515
0.0,4,629.102273
0.0,2,629.137467
0.0,2,629.169121
0.0,2,629.204907
0.0,2,629.241035
0.0,2,629.277133
0.0,6,629.388429
0.0,4,629.456578
0.0,2,629.49068
0.0,2,629.528825
0.0,2,629.567082
0.0,2,629.604519
0.0,2,629.641915
0.0,2,629.677652
0.0,2,629.717717
0.0,2,629.756925
0.0,2,629.792514
0.0,2,629.826769
0.0,2,629.861731
0.0,2,629.897833
0.0,2,629.937465
0.0,7,630.0574
0.0,4,630.127371
0.0,2,630.161806
0.0,2,630.196915
0.0,2,630.231731
0.0,2,630.259674
0.0,4,630.328863
0.0,2,633.765374
0.0,2,633.797705
0.0,3,633.846299
0.0,2,633.881046
0.0,2,633.915223
0.0,2,633.948264
0.0,4,634.015831
0.0,2,634.048597
0.0,2,634.080583
0.0,4,634.143183
0.0,2,634.17479
0.0,4,634.243725
0.0,2,634.276319
0.0,3,634.325106
0.0,2,634.358691
0.0,2,634.387749
0.0,2,634.420356
0.0,3,634.470486
0.0,2,634.504466
0.0,4,634.576033
0.0,3,634.629685
0.0,2,634.664076
0.0,2,634.698495
0.0,2,634.735411
0.0,4,634.810082
0.0,2,634.847232
0.0,2,634.885617
0.0,2,634.923879
0.0,2,634.957385
0.0,2,634.991229
0.0,4,635.06079
0.0,3,635.116004
0.0,4,635.1912
0.0,2,635.2289
0.0,2,635.265774
0.0,2,635.302891
0.0,2,635.339382
0.0,3,635.397161
0.0,4,635.476559
0.0,6,635.587096
0.0,4,635.65871
0.0,2,635.696163
0.0,4,635.771134
0.0,2,635.805137
0.0,2,635.838259
0.0,2,635.869632
0.0,3,635.92082
0.0,2,635.955749
0.0,2,639.431536
0.0,2,639.466904
0.0,2,639.501004
0.0,2,639.536103
0.0,2,639.56873
0.0,2,639.601505
0.0,2,639.636444
0.0,2,639.667554
0.0,2,639.699808
0.0,3,639.745565
0.0,2,639.775035
0.0,4,639.836658
0.0,5,639.919428
0.0,2,639.951373
0.0,2,639.982918
0.0,2,640.016233
0.0,2,640.049459
0.0,3,640.101785
0.0,2,640.137128
0.0,2,640.172261
0.0,3,640.224795
0.0,2,640.259469
0.0,2,640.290772
0.0,2,640.323117
0.0,2,640.358549
0.0,2,640.391748
0.0,6,640.500347
0.0,2,640.535029
0.0,2,640.569598
0.0,2,640.604375
0.0,2,640.641865
0.0,2,640.678662
0.0,2,640.708668
0.0,2,640.748336
0.0,6,640.857063
1.0,7,640.987688
0.0,2,641.026489
0.0,4,641.099495
0.0,2,641.136408
0.0,2,641.173968
0.0,2,641.211176
0.0,3,641.266719
0.0,2,641.304023
0.0,2,641.340896
0.0,2,641.376369
0.0,2,641.415413
0.0,2,641.451027
0.0,2,641.486589
0.0,2,641.522066
0.0,2,641.553275
0.0,2,641.585337
0.0,2,641.619952
1.0,7,645.291132
1.0,7,645.398398
1.0,7,645.507357
1.0,7,645.616526
1.0,7,645.728899
1.0,7,645.846588
1.0,7,645.969476
1.0,7,646.082394
1.0,7,646.204351
1.0,7,646.323694
1.0,7,646.453473
1.0,7,646.58252
1.0,7,646.707643
1.0,7,646.830064
1.0,7,646.952174
1.0,7,647.069705
1.0,7,647.189802
1.0,7,647.31447
1.0,7,650.8777
1.0,7,650.98953
1.0,7,651.105778
1.0,7,651.219535
1.0,7,651.336249
1.0,7,651.441389
1.0,7,651.552918
1.0,7,651.673233
1.0,7,651.790184
1.0,7,651.914831
0.0,2,651.951505
1.0,7,652.069957
1.0,7,652.195563
1.0,7,652.321402
1.0,7,652.447755
1.0,7,652.579126
1.0,7,652.70853
1.0,7,652.828939
1.0,7,652.954288
1.0,7,656.64189
1.0,7,656.764222
1.0,7,656.878169
1.0,7,656.989345
1.0,7,657.09667
1.0,7,657.2077
1.0,7,657.296343
1.0,7,657.415646
1.0,7,657.531468
1.0,7,657.657817
1.0,7,657.790987
1.0,7,657.922248
1.0,7,658.050852
1.0,7,658.178595
1.0,7,658.306963
1.0,7,658.432066
1.0,7,658.553581
1.0,7,658.675871
1.0,7,662.229063
1.0,7,662.348851
1.0,7,662.462349
1.0,7,662.576716
1.0,7,662.689799
1.0,7,662.808086
1.0,7,662.91731
1.0,7,663.047535
1.0,7,663.175767
1.0,7,663.296643
1.0,7,663.426868
1.0,7,663.562052
1.0,7,663.693447
1.0,7,663.82311
1.0,7,663.955329
1.0,7,664.079656
1.0,7,664.206498
1.0,7,664.334676
1.0,7,664.464247
1.0,7,667.977075
1.0,7,668.092021
1.0,7,668.201891
1.0,7,668.315817
1.0,7,668.432694
1.0,7,668.547214
1.0,7,668.668019
1.0,7,668.785702
1.0,7,668.912922
1.0,7,669.028028
1.0,7,669.157026
1.0,7,669.288837
1.0,7,669.404999
1.0,7,669.520437
1.0,7,669.638219
1.0,7,669.762827
1.0,7,669.882402
1.0,7,670.01122
1.0,7,673.552184
1.0,7,673.670842
1.0,7,673.784034
1.0,7,673.896492
1.0,7,674.002144
1.0,7,674.116506
1.0,7,674.232268
1.0,7,674.349617
1.0,7,674.469699
1.0,7,674.586609
1.0,7,674.712246
1.0,7,674.847557
1.0,7,674.980076
1.0,7,675.110901
1.0,7,675.23524
1.0,7,675.36365
1.0,7,675.487841
1.0,7,675.618359
1.0,7,679.118673
1.0,7,679.24139
1.0,7,679.355143
1.0,7,679.469047
1.0,7,679.574603
1.0,7,679.686978
1.0,7,679.801019
0.0,7,679.917864
1.0,7,680.032971
1.0,7,680.148299
0.0,4,680.217926
1.0,7,680.33978
1.0,7,680.461267
1.0,7,680.586749
1.0,7,680.712169
1.0,7,680.836427
1.0,7,680.959228
1.0,7,681.088694
1.0,7,681.207963
1.0,7,684.783142
1.0,7,684.901841
1.0,7,685.018209
1.0,7,685.140264
1.0,7,685.248323
1.0,7,685.348123
1.0,7,685.461141
1.0,7,685.585558
1.0,7,685.702627
1.0,7,685.823758
1.0,7,685.948661
1.0,7,686.079487
1.0,7,686.213398
1.0,7,686.343116
1.0,7,686.463023
1.0,7,686.585528
1.0,7,686.705599
1.0,7,686.823946
1.0,7,690.352887
1.0,7,690.469775
1.0,7,690.586108
1.0,7,690.699039
1.0,7,690.821859
1.0,7,690.9317
1.0,7,691.04081
1.0,7,691.163167
1.0,7,691.284827
1.0,7,691.411417
1.0,7,691.527555
1.0,7,691.649383
1.0,7,691.762307
1.0,7,691.887508
1.0,7,692.021011
1.0,7,692.153039
1.0,7,692.317474
1.0,7,692.444803
1.0,7,696.044109
1.0,7,696.157091
1.0,7,696.275203
1.0,7,696.390842
1.0,7,696.50064
1.0,7,696.614687
1.0,7,696.727123
1.0,7,696.841313
1.0,7,696.962574
1.0,7,697.086848
1.0,7,697.24606
1.0,7,697.374156
1.0,7,697.502923
1.0,7,697.629357
1.0,7,697.754566
1.0,7,697.887525
1.0,7,698.013719
1.0,7,698.140097
1.0,7,698.268256
1.0,7,701.801066
