#{"t_start": 1667421472.1709986, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,903.942082
0.0,4,904.011631
0.0,2,904.043796
0.0,2,904.081173
0.0,6,904.178096
0.0,2,904.213034
0.0,2,904.246289
0.0,2,904.279201
0.0,2,904.312417
0.0,2,904.347207
0.0,2,904.385512
0.0,2,904.418725
0.0,2,904.454686
0.0,4,904.517924
0.0,2,904.553782
0.0,2,904.592483
0.0,2,904.622472
0.0,2,904.658587
0.0,3,904.716983
0.0,2,904.751363
0.0,2,904.786489
0.0,2,904.823189
0.0,2,904.862039
0.0,2,904.8987
0.0,2,904.934482
0.0,2,904.971565
0.0,6,905.068733
0.0,2,905.099472
0.0,4,905.161601
0.0,2,905.195374
0.0,2,905.227875
0.0,2,905.261309
0.0,2,905.296285
0.0,2,905.331989
0.0,2,905.364058
0.0,2,905.400366
0.0,3,905.451771
0.0,2,905.486694
0.0,2,905.523004
0.0,2,905.557285
0.0,2,905.59066
0.0,2,905.625607
0.0,2,905.661203
0.0,2,905.69625
0.0,2,905.729704
0.0,3,905.780823
0.0,2,905.813966
0.0,2,905.850828
0.0,2,905.884966
0.0,4,905.954027
0.0,2,905.986159
0.0,2,906.018918
0.0,3,906.069384
0.0,4,909.546354
0.0,2,909.581666
0.0,6,909.688651
0.0,3,909.736278
0.0,2,909.768717
0.0,3,909.818625
0.0,2,909.851113
0.0,2,909.882886
0.0,2,909.914089
0.0,3,909.962084
0.0,2,909.999392
0.0,2,910.03527
0.0,4,910.098219
0.0,2,910.131779
0.0,2,910.164918
0.0,2,910.198929
0.0,2,910.230564
0.0,2,910.264867
0.0,2,910.297883
0.0,2,910.33456
0.0,2,910.365625
0.0,2,910.405332
0.0,2,910.443555
0.0,5,910.537278
0.0,2,910.575658
0.0,2,910.613725
0.0,4,910.683279
0.0,2,910.720225
0.0,2,910.752934
0.0,3,910.800744
0.0,3,910.850739
0.0,2,910.886887
0.0,4,910.954582
0.0,2,910.988057
0.0,4,911.055241
0.0,2,911.088536
0.0,2,911.12044
0.0,6,911.229991
0.0,2,911.262051
0.0,4,911.328539
0.0,3,911.37973
0.0,4,911.584728
0.0,4,911.658493
0.0,2,911.695498
0.0,6,911.808502
0.0,2,911.845166
0.0,2,915.335151
0.0,2,915.370548
0.0,2,915.404061
0.0,2,915.444901
0.0,4,915.518625
0.0,2,915.555116
0.0,2,915.59158
0.0,6,915.70654
0.0,2,915.740404
0.0,4,915.813788
0.0,2,915.849018
0.0,6,915.948294
