#{"t_start": 1667421471.8767972, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,622.081946
0.0,6,622.177744
0.0,2,622.210821
0.0,2,622.24546
0.0,2,622.279722
0.0,2,622.311379
0.0,2,622.344154
0.0,2,622.378935
0.0,2,622.412721
0.0,4,622.474861
0.0,2,622.506597
0.0,2,622.538462
0.0,2,622.570609
0.0,2,622.606627
0.0,4,622.673578
0.0,2,622.705698
0.0,2,622.738341
0.0,2,622.771543
0.0,2,622.80597
0.0,2,622.839805
0.0,2,622.874972
0.0,2,622.909552
0.0,2,622.941465
0.0,2,622.974714
0.0,3,623.025611
0.0,2,623.061229
0.0,2,623.097639
0.0,2,623.135048
0.0,2,623.17146
0.0,2,623.204232
0.0,2,623.240958
0.0,6,623.346071
0.0,2,623.378972
0.0,4,623.44505
0.0,6,623.551479
0.0,7,623.672177
0.0,2,623.71123
0.0,2,623.745851
0.0,2,623.777658
0.0,2,623.813048
0.0,2,623.848903
0.0,2,623.886434
0.0,4,623.954389
0.0,4,624.021902
0.0,2,624.052472
0.0,4,624.122953
0.0,3,624.173206
0.0,2,624.205585
0.0,2,627.574494
0.0,2,627.610196
0.0,5,627.691251
0.0,2,627.722161
0.0,2,627.757982
0.0,2,627.793972
0.0,2,627.828686
0.0,2,627.86153
0.0,5,627.942022
0.0,2,627.97305
0.0,2,628.004622
0.0,2,628.037806
0.0,2,628.070238
0.0,2,628.103797
0.0,2,628.13864
0.0,3,628.184028
0.0,2,628.218444
0.0,2,628.251856
0.0,2,628.284536
0.0,3,628.333151
0.0,2,628.367945
0.0,4,628.436557
0.0,2,628.470729
0.0,3,628.521515
0.0,4,628.590373
0.0,2,628.623409
0.0,3,628.67704
0.0,4,628.749796
0.0,4,628.824472
0.0,2,628.859147
0.0,2,628.89243
0.0,2,628.926507
0.0,2,628.964707
0.0,2,629.003048
0.0,2,629.040493
0.0,2,629.077834
0.0,2,629.11362
0.0,2,629.153714
0.0,4,629.228611
0.0,2,629.262637
0.0,2,629.297473
0.0,4,629.373233
0.0,2,629.408521
0.0,2,629.442489
0.0,2,629.474655
0.0,2,629.509681
0.0,4,629.581097
0.0,2,629.615635
0.0,2,629.649326
0.0,4,629.710239
0.0,2,629.746604
0.0,2,633.184849
0.0,3,633.233728
0.0,2,633.266378
0.0,2,633.299203
0.0,2,633.334739
0.0,4,633.402736
0.0,3,633.451637
0.0,4,633.516333
0.0,2,633.546754
0.0,2,633.579012
0.0,4,633.644189
0.0,2,633.679727
0.0,2,633.712379
0.0,3,633.76212
0.0,4,633.823867
0.0,2,633.856527
0.0,2,633.889433
0.0,3,633.940437
0.0,2,633.976643
0.0,2,634.012065
0.0,2,634.046446
0.0,2,634.082592
0.0,2,634.117985
0.0,2,634.153573
0.0,2,634.18975
0.0,5,634.283131
0.0,2,634.321417
0.0,2,634.359758
0.0,2,634.393318
0.0,3,634.446729
0.0,6,634.552251
0.0,2,634.58824
0.0,2,634.62755
0.0,2,634.6653
0.0,2,634.702065
0.0,2,634.739215
0.0,2,634.775349
0.0,2,634.811797
0.0,2,634.852375
0.0,4,634.933051
0.0,5,635.023156
0.0,2,635.060749
0.0,2,635.094723
0.0,2,635.132008
0.0,2,635.166735
0.0,2,635.2073
0.0,2,635.241185
0.0,2,635.274185
0.0,2,635.305847
0.0,2,635.337183
0.0,2,635.37353
0.0,2,635.410649
0.0,2,638.883271
0.0,2,638.919813
0.0,2,638.956018
0.0,2,638.987449
0.0,2,639.018899
0.0,2,639.053382
0.0,2,639.088776
0.0,2,639.120541
0.0,2,639.150596
0.0,2,639.182204
0.0,3,639.225845
0.0,4,639.28844
0.0,2,639.32228
0.0,2,639.355353
0.0,4,639.419022
0.0,2,639.452708
0.0,2,639.485495
0.0,2,639.519995
0.0,3,639.573306
0.0,2,639.608192
0.0,2,639.642967
0.0,2,639.678123
0.0,2,639.712643
0.0,2,639.741819
0.0,2,639.776934
0.0,4,639.845912
0.0,6,639.952798
0.0,2,639.985842
0.0,2,640.0207
0.0,2,640.058617
0.0,2,640.096184
0.0,2,640.130378
0.0,2,640.165694
0.0,2,640.204348
0.0,5,640.293211
0.0,2,640.332024
0.0,2,640.366098
0.0,2,640.402361
0.0,2,640.442001
0.0,4,640.516269
0.0,5,640.609939
0.0,3,640.662601
0.0,2,640.703115
0.0,2,640.740365
0.0,3,640.794566
0.0,2,640.833239
0.0,2,640.867943
0.0,2,640.902678
0.0,2,640.937412
0.0,2,640.972113
0.0,4,641.038723
0.0,2,641.074459
1.0,7,644.744884
1.0,7,644.850399
1.0,7,644.958436
1.0,7,645.068623
1.0,7,645.180055
1.0,7,645.29977
1.0,7,645.423338
1.0,7,645.53666
1.0,7,645.658584
1.0,7,645.778859
1.0,7,645.908671
1.0,7,646.037952
1.0,7,646.163721
1.0,7,646.286276
1.0,7,646.406348
1.0,7,646.524833
1.0,7,646.643631
1.0,7,646.769289
1.0,7,650.330369
1.0,7,650.442915
1.0,7,650.559285
1.0,7,650.671632
1.0,7,650.788113
1.0,7,650.89251
1.0,7,651.005627
1.0,7,651.127111
1.0,7,651.245013
1.0,7,651.37034
1.0,7,651.490267
1.0,7,651.609897
1.0,7,651.73899
1.0,7,651.862661
1.0,7,651.993661
1.0,7,652.126634
1.0,7,652.247734
1.0,7,652.372192
1.0,7,656.061059
1.0,7,656.183077
1.0,7,656.296747
1.0,7,656.408715
1.0,7,656.515901
1.0,7,656.633013
1.0,7,656.714763
1.0,7,656.830451
1.0,7,656.946657
1.0,7,657.071706
1.0,7,657.205637
1.0,7,657.338344
1.0,7,657.468842
1.0,7,657.599023
1.0,7,657.728585
1.0,7,657.849319
1.0,7,657.972582
1.0,7,658.094015
1.0,7,661.615433
1.0,7,661.76835
1.0,7,661.881409
1.0,7,661.993227
1.0,7,662.109747
1.0,7,662.227215
1.0,7,662.335644
1.0,7,662.464752
1.0,7,662.59393
1.0,7,662.716179
1.0,7,662.842751
0.0,6,662.960536
1.0,7,663.091749
0.0,6,663.206362
1.0,7,663.33956
1.0,7,663.464947
1.0,7,663.588517
1.0,7,663.714341
1.0,7,663.846717
1.0,7,667.357061
1.0,7,667.481194
0.0,6,667.576768
1.0,7,667.686393
1.0,7,667.80422
1.0,7,667.9168
1.0,7,668.036911
1.0,7,668.153584
1.0,7,668.278646
1.0,7,668.394644
1.0,7,668.521895
1.0,7,668.654009
0.0,6,668.757601
1.0,7,668.87441
1.0,7,668.992598
1.0,7,669.115999
1.0,7,669.2342
1.0,7,669.355503
1.0,7,669.485706
1.0,7,673.022747
1.0,7,673.138705
1.0,7,673.252503
1.0,7,673.361886
1.0,7,673.470194
1.0,7,673.587117
1.0,7,673.703801
1.0,7,673.820456
1.0,7,673.937526
1.0,7,674.056315
1.0,7,674.184998
1.0,7,674.320287
1.0,7,674.451325
1.0,7,674.582461
1.0,7,674.70488
1.0,7,674.835237
1.0,7,674.962881
1.0,7,675.092157
1.0,7,678.592171
1.0,7,678.707549
1.0,7,678.823653
1.0,7,678.936392
1.0,7,679.040187
1.0,7,679.156684
1.0,7,679.269744
1.0,7,679.386706
1.0,7,679.504204
1.0,7,679.616368
1.0,7,679.738406
1.0,7,679.859669
0.0,4,679.932905
1.0,7,680.058591
1.0,7,680.185133
1.0,7,680.310441
1.0,7,680.433546
1.0,7,680.559426
1.0,7,680.681479
1.0,7,684.254128
1.0,7,684.369585
1.0,7,684.488746
1.0,7,684.610639
1.0,7,684.71287
1.0,7,684.81758
1.0,7,684.932906
1.0,7,685.052903
1.0,7,685.174216
1.0,7,685.294753
1.0,7,685.420888
1.0,7,685.555265
1.0,7,685.689102
1.0,7,685.81601
1.0,7,685.936493
1.0,7,686.060493
1.0,7,686.176982
1.0,7,686.295852
1.0,7,689.825874
1.0,7,689.938256
1.0,7,690.055152
1.0,7,690.169404
1.0,7,690.292687
1.0,7,690.397268
1.0,7,690.511235
1.0,7,690.633688
1.0,7,690.757246
1.0,7,690.882654
1.0,7,690.999529
1.0,7,691.119877
1.0,7,691.236149
1.0,7,691.36076
1.0,7,691.497066
1.0,7,691.663637
0.0,6,691.773634
1.0,7,691.900772
1.0,7,695.498665
1.0,7,695.610252
1.0,7,695.728145
1.0,7,695.84429
1.0,7,695.953073
1.0,7,696.067402
1.0,7,696.179189
0.0,2,696.210126
1.0,7,696.325006
1.0,7,696.4523
1.0,7,696.577716
1.0,7,696.737598
1.0,7,696.864406
1.0,7,696.996212
1.0,7,697.112903
1.0,7,697.251324
1.0,7,697.377746
1.0,7,697.50845
1.0,7,697.627256
1.0,7,701.171503
1.0,7,701.284564
1.0,7,701.398336
1.0,7,701.519864
1.0,7,701.651035
1.0,7,701.768323
1.0,7,701.88554
1.0,7,702.006075
1.0,7,702.130025
1.0,7,702.258994
1.0,7,702.385204
1.0,7,702.507902
1.0,7,702.631521
1.0,7,702.761555
1.0,7,702.890736
1.0,7,703.014932
1.0,7,703.140687
1.0,7,703.268731
1.0,7,703.400095
1.0,7,707.273222
1.0,7,707.375849
1.0,7,707.488077
1.0,7,707.605406
1.0,7,707.728366
1.0,7,707.8407
1.0,7,707.958458
1.0,7,708.074105
1.0,7,708.195009
1.0,7,708.309683
1.0,7,708.432761
1.0,7,708.549414
1.0,7,708.666362
1.0,7,708.786972
1.0,7,708.907573
1.0,7,709.027766
1.0,7,709.148556
1.0,7,709.266892
1.0,7,712.769513
1.0,7,712.889461
1.0,7,712.998487
1.0,7,713.109262
1.0,7,713.230507
1.0,7,713.346979
1.0,7,713.471444
1.0,7,713.599936
1.0,7,713.726134
1.0,7,713.852738
1.0,7,713.982336
1.0,7,714.123705
1.0,7,714.23772
1.0,7,714.358398
1.0,7,714.488728
1.0,7,714.616338
1.0,7,714.729673
1.0,7,714.854928
1.0,7,718.32547
1.0,7,718.447242
1.0,7,718.566481
1.0,7,718.677294
1.0,7,718.789952
1.0,7,718.908731
1.0,7,719.028113
1.0,7,719.15886
1.0,7,719.285839
1.0,7,719.413594
