84,11,tensor(2),{25: 0.010638, 2: 0.959795},117000,tensor([ 0.0008, -0.0283,  0.0227,  ..., -0.0164, -0.0237, -0.0003])
94,11,tensor(2),{25: 0.010638, 2: 1.0},117000,tensor([ 0.0028, -0.0295,  0.0228,  ..., -0.0180, -0.0237, -0.0003])
104,16,tensor(10),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199},117000,tensor([-0.0273, -0.0046,  0.0442,  ..., -0.0218, -0.0155,  0.0117])
155,6,tensor(30),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698},117000,tensor([-0.0518, -0.0509,  0.0706,  ...,  0.0560, -0.0503,  0.0190])
205,18,tensor(17),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0},117000,tensor([-0.0126, -0.0633,  0.0750,  ...,  0.0401, -0.0670,  0.0190])
215,7,tensor(17),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0},117000,tensor([-0.0125, -0.0649,  0.0767,  ...,  0.0401, -0.0670,  0.0190])
226,18,tensor(17),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0},117000,tensor([-0.0126, -0.0633,  0.0750,  ...,  0.0401, -0.0670,  0.0190])
246,18,tensor(17),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0},117000,tensor([-0.0126, -0.0633,  0.0750,  ...,  0.0401, -0.0670,  0.0190])
256,3,tensor(12),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
266,3,tensor(12),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
276,3,tensor(12),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
286,3,tensor(12),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
296,3,tensor(12),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
306,9,tensor(29),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0},117000,tensor([-0.0170, -0.0423,  0.0515,  ...,  0.0355, -0.0697,  0.0190])
337,9,tensor(29),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0},117000,tensor([-0.0170, -0.0423,  0.0515,  ...,  0.0355, -0.0697,  0.0190])
347,9,tensor(29),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0},117000,tensor([-0.0170, -0.0423,  0.0515,  ...,  0.0355, -0.0697,  0.0190])
357,6,tensor(8),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0},117000,tensor([ 0.0683, -0.0487,  0.0509,  ..., -0.0354, -0.0478,  0.0642])
367,6,tensor(8),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0},117000,tensor([ 0.0683, -0.0487,  0.0509,  ..., -0.0354, -0.0478,  0.0642])
