#{"t_start": 1667421477.3507597, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,349.034349
0.0,2,349.065044
0.0,2,349.097132
0.0,2,349.131494
0.0,4,349.199187
0.0,2,349.23176
0.0,2,349.263916
0.0,2,349.298353
0.0,2,349.334063
0.0,2,349.369065
0.0,2,349.403898
0.0,6,349.511857
0.0,2,349.547697
0.0,2,349.583905
0.0,2,349.620637
0.0,2,349.657971
0.0,2,349.691942
0.0,6,349.794335
0.0,4,349.861735
0.0,2,349.89836
0.0,2,349.931608
0.0,2,349.969832
0.0,2,350.002785
0.0,2,350.034843
0.0,2,350.06513
0.0,4,350.126223
0.0,4,350.188972
0.0,2,350.22333
0.0,2,350.257225
0.0,2,350.292416
0.0,2,350.326294
0.0,2,350.357384
0.0,2,350.392219
0.0,2,350.425762
0.0,2,350.460306
0.0,2,350.494192
0.0,2,350.529545
0.0,2,350.563745
0.0,2,350.597802
0.0,2,350.631682
0.0,2,350.665953
0.0,4,350.736574
0.0,2,350.770123
0.0,4,350.836031
0.0,2,350.870655
0.0,2,350.906745
0.0,2,350.942653
0.0,2,350.977595
0.0,2,351.012478
0.0,2,351.047102
0.0,2,351.080798
0.0,4,351.140735
0.0,2,351.174893
0.0,2,354.690125
0.0,2,354.720202
0.0,2,354.75259
0.0,2,354.786835
0.0,3,354.836774
0.0,2,354.871361
0.0,2,354.905688
0.0,4,354.975735
0.0,2,355.00996
0.0,2,355.044844
0.0,2,355.078949
0.0,2,355.112252
0.0,2,355.143589
0.0,2,355.171857
0.0,4,355.239313
0.0,4,355.308422
0.0,2,355.347093
0.0,3,355.396557
0.0,2,355.429915
0.0,2,355.459992
0.0,2,355.489377
0.0,2,355.519787
0.0,2,355.550287
0.0,2,355.581294
0.0,2,355.613111
0.0,2,355.645139
0.0,2,355.680041
0.0,2,355.714192
0.0,4,355.774068
0.0,2,355.805529
0.0,3,355.852989
0.0,4,355.923359
0.0,2,355.958342
0.0,4,356.024081
0.0,2,356.057059
0.0,4,356.124542
0.0,4,356.19158
0.0,2,356.225011
0.0,4,356.297458
0.0,2,356.332257
0.0,2,356.367496
0.0,2,356.403565
0.0,2,356.439346
0.0,2,356.471714
0.0,2,356.507984
0.0,2,356.539537
0.0,2,356.574342
0.0,2,356.608983
0.0,2,356.645585
0.0,2,356.682338
0.0,2,356.719572
0.0,2,356.756077
0.0,2,356.789342
0.0,2,360.022306
0.0,2,360.053614
0.0,4,360.121058
0.0,2,360.157589
0.0,4,360.2268
0.0,2,360.261256
0.0,2,360.295157
0.0,2,360.32762
0.0,2,360.361253
0.0,2,360.396558
0.0,2,360.432542
0.0,2,360.469058
0.0,2,360.504531
0.0,2,360.539056
0.0,2,360.57205
0.0,2,360.605877
0.0,2,360.638983
0.0,2,360.67152
0.0,2,360.704239
0.0,2,360.739196
0.0,2,360.774313
0.0,2,360.807621
0.0,2,360.840264
0.0,4,360.907456
0.0,2,360.937218
0.0,2,360.966856
0.0,2,360.996526
0.0,2,361.026275
0.0,2,361.058586
0.0,2,361.092638
0.0,4,361.161664
0.0,2,361.196419
0.0,6,361.304733
0.0,2,361.337306
0.0,2,361.369578
0.0,2,361.404527
0.0,2,361.441359
0.0,2,361.478227
0.0,2,361.514717
0.0,2,361.551656
0.0,2,361.589855
0.0,2,361.626785
0.0,2,361.659084
0.0,4,361.727698
0.0,2,361.765407
0.0,2,361.798613
0.0,2,361.835128
0.0,2,361.868567
0.0,2,361.902298
0.0,3,361.951406
0.0,2,361.984137
0.0,2,362.018104
0.0,2,362.052675
0.0,2,362.089639
0.0,2,362.125633
0.0,4,362.195306
1.0,7,365.657873
0.0,4,365.724695
0.0,5,365.806409
0.0,7,365.93158
1.0,7,366.048407
0.0,4,366.113132
0.0,4,366.177597
0.0,3,366.227366
0.0,6,366.318738
0.0,7,366.433759
0.0,4,366.501173
0.0,4,366.561632
0.0,2,366.592412
1.0,7,366.710854
0.0,4,366.777583
0.0,6,366.88002
0.0,6,366.983119
1.0,7,367.100905
0.0,6,367.211388
0.0,7,367.333231
0.0,4,367.398796
1.0,7,367.512413
0.0,6,367.618352
0.0,4,367.687826
0.0,4,371.029295
1.0,7,371.146271
0.0,6,371.249125
0.0,2,371.284809
0.0,4,371.355959
0.0,6,371.453886
1.0,7,371.580282
0.0,4,371.650754
0.0,4,371.719648
0.0,4,371.785573
0.0,4,371.847217
0.0,4,371.90905
1.0,7,372.02569
0.0,6,372.118869
0.0,4,372.184191
1.0,7,372.297289
0.0,6,372.388226
0.0,6,372.494312
0.0,2,372.527151
0.0,4,372.596197
1.0,7,372.725688
0.0,4,372.794105
0.0,4,372.863047
0.0,4,372.921038
0.0,6,373.013815
0.0,4,373.075728
1.0,7,376.503791
1.0,7,376.620157
0.0,6,376.716368
0.0,4,376.785259
0.0,4,376.852919
0.0,6,376.946328
1.0,7,377.067182
1.0,7,377.190392
0.0,4,377.259622
1.0,7,377.37001
0.0,5,377.446507
0.0,6,377.537255
0.0,4,377.596591
0.0,6,377.691858
0.0,6,377.791663
0.0,4,377.855733
0.0,4,377.925155
0.0,2,377.958166
0.0,4,378.030878
0.0,4,378.093507
0.0,3,378.144022
0.0,4,378.245814
1.0,7,378.359171
0.0,6,378.455193
1.0,7,381.847677
1.0,7,381.972783
0.0,6,382.078374
0.0,4,382.143961
0.0,2,382.179358
0.0,6,382.284281
1.0,7,382.400835
1.0,7,382.520182
1.0,7,382.644556
0.0,6,382.748151
0.0,4,382.82024
0.0,4,382.887604
0.0,6,382.98754
0.0,4,383.051699
0.0,4,383.111361
1.0,7,383.260334
0.0,4,383.329073
0.0,6,383.433906
0.0,6,383.535229
0.0,7,383.660754
0.0,2,383.691134
0.0,2,383.724849
0.0,4,383.795141
0.0,4,383.860989
0.0,4,383.930362
0.0,4,383.999274
0.0,6,387.297371
1.0,7,387.410456
1.0,7,387.52504
0.0,7,387.644866
0.0,2,387.680535
0.0,4,387.752719
1.0,7,387.876117
0.0,4,387.941847
0.0,7,388.058502
0.0,4,388.130618
1.0,7,388.248485
0.0,4,388.315804
0.0,4,388.385246
1.0,7,388.502156
0.0,4,388.56766
0.0,6,388.662011
1.0,7,388.775873
0.0,2,388.807432
0.0,4,388.877109
0.0,7,389.000307
0.0,4,389.060233
0.0,2,389.092425
0.0,4,389.159236
1.0,7,389.268525
0.0,7,392.718613
0.0,4,392.790864
0.0,6,392.892638
0.0,4,392.966289
0.0,7,393.08739
1.0,7,393.284003
0.0,3,393.335174
1.0,7,393.456612
0.0,3,393.509116
0.0,4,393.576722
0.0,4,393.647248
1.0,7,393.772291
0.0,4,393.839036
0.0,4,393.904545
0.0,6,394.003946
0.0,2,394.035733
0.0,5,394.116464
0.0,4,394.178129
0.0,7,394.295315
0.0,4,394.364142
0.0,7,394.479604
0.0,7,394.594685
1.0,7,394.707712
0.0,4,394.767447
0.0,4,394.827005
0.0,4,394.892812
0.0,7,398.382631
1.0,7,398.498671
1.0,7,398.618749
0.0,5,398.697606
0.0,6,398.804254
0.0,4,398.868508
0.0,4,398.937667
0.0,4,399.003643
0.0,2,399.036398
0.0,4,399.102127
0.0,6,399.203526
0.0,4,399.264758
1.0,7,399.381928
1.0,7,399.498292
0.0,6,399.591873
1.0,7,399.706258
0.0,6,399.800309
0.0,6,399.896885
0.0,4,399.968292
0.0,4,400.035728
0.0,4,400.101482
0.0,4,400.169109
0.0,4,400.233301
0.0,4,400.299063
0.0,4,400.367317
1.0,7,403.764798
0.0,4,403.833339
0.0,6,403.932992
0.0,7,404.064033
0.0,6,404.166628
1.0,7,404.290905
0.0,2,404.325253
1.0,7,404.447959
0.0,3,404.503028
0.0,6,404.607622
0.0,4,404.673302
0.0,4,404.740191
0.0,3,404.795878
0.0,7,404.916237
0.0,4,404.982719
0.0,4,405.046405
1.0,7,405.165726
0.0,4,405.231898
0.0,4,405.29568
0.0,7,405.413733
0.0,7,405.535018
0.0,4,405.598177
1.0,7,405.716743
1.0,7,405.825822
1.0,7,409.271976
0.0,6,409.368873
0.0,4,409.442538
0.0,7,409.563752
0.0,4,409.636736
0.0,4,409.705133
0.0,4,409.770383
0.0,6,409.872309
0.0,5,409.952539
0.0,4,410.025093
1.0,7,410.142399
0.0,7,410.262969
0.0,4,410.33242
0.0,4,410.396812
1.0,7,410.512063
0.0,6,410.612684
0.0,4,410.683353
0.0,4,410.75177
0.0,6,410.849391
1.0,7,410.965883
1.0,7,411.07968
0.0,7,411.19786
0.0,4,411.256662
0.0,7,414.72868
1.0,7,414.846127
1.0,7,414.970448
0.0,6,415.076534
0.0,6,415.17259
0.0,7,415.287687
0.0,4,415.354033
0.0,4,415.417911
0.0,4,415.486723
1.0,7,415.603228
0.0,6,415.709351
0.0,7,415.825854
0.0,4,415.894382
1.0,7,415.99667
0.0,4,416.066859
0.0,3,416.121048
0.0,4,416.1908
0.0,2,416.218988
0.0,4,416.28595
0.0,4,416.346602
0.0,6,416.442469
0.0,7,416.557759
0.0,4,416.620851
0.0,5,416.702901
0.0,7,416.817617
0.0,4,420.226159
0.0,4,420.296789
0.0,7,420.421393
0.0,4,420.484672
0.0,6,420.593704
0.0,7,420.717129
0.0,3,420.769339
0.0,4,420.840895
0.0,7,420.957159
0.0,4,421.028464
0.0,4,421.096704
0.0,7,421.219199
0.0,6,421.320486
0.0,4,421.383404
0.0,6,421.47741
1.0,7,421.601397
0.0,7,421.722337
0.0,4,421.79179
0.0,6,421.886431
0.0,4,421.951238
1.0,7,422.066863
0.0,7,422.181593
0.0,4,422.249606
0.0,7,425.621933
0.0,2,425.655705
0.0,5,425.737363
0.0,6,425.847024
0.0,6,425.943604
0.0,7,426.066935
0.0,3,426.119329
0.0,7,426.243478
0.0,4,426.312264
0.0,4,426.377014
0.0,3,426.431004
0.0,4,426.493573
0.0,7,426.614672
0.0,4,426.678913
1.0,7,426.79498
0.0,7,426.911639
0.0,4,426.985902
1.0,7,427.108419
0.0,6,427.205567
0.0,4,427.274215
0.0,2,427.309968
0.0,7,427.428196
1.0,7,427.543328
0.0,4,427.611307
0.0,4,427.682415
0.0,2,427.718251
1.0,7,431.13264
0.0,4,431.204829
0.0,6,431.310133
0.0,6,431.419651
0.0,7,431.541313
1.0,7,431.662477
0.0,7,431.786799
0.0,6,431.888139
1.0,7,432.009184
0.0,3,432.060317
0.0,2,432.097974
0.0,6,432.197558
0.0,4,432.264196
0.0,6,432.370276
1.0,7,432.482647
0.0,4,432.551784
0.0,7,432.671062
1.0,7,432.796154
0.0,4,432.860041
0.0,7,432.975073
0.0,4,433.038744
0.0,6,433.132589
0.0,4,433.229928
0.0,5,436.620437
0.0,4,436.689941
0.0,3,436.744136
1.0,7,436.870439
0.0,4,436.938783
0.0,2,436.974063
0.0,3,437.029731
1.0,7,437.156131
0.0,4,437.223643
0.0,6,437.320623
1.0,7,437.444841
1.0,7,437.564891
0.0,6,437.669691
0.0,2,437.706278
0.0,4,437.778474
0.0,4,437.851321
0.0,2,437.888383
0.0,4,437.961702
1.0,7,438.082414
1.0,7,438.196778
0.0,7,438.388346
0.0,4,438.451804
1.0,7,438.569533
1.0,7,438.683315
0.0,4,438.754492
1.0,7,438.871444
1.0,7,442.274901
0.0,4,442.345859
0.0,7,442.462586
0.0,7,442.580468
0.0,4,442.647618
0.0,6,442.750533
0.0,6,442.855618
0.0,6,442.956545
0.0,7,443.077698
0.0,6,443.1749
0.0,3,443.233656
0.0,4,443.302042
0.0,6,443.406657
0.0,4,443.475443
0.0,4,443.550052
1.0,7,443.679158
1.0,7,443.792512
1.0,7,443.908906
0.0,4,443.971906
0.0,6,444.074888
1.0,7,444.18967
0.0,3,444.239909
0.0,4,444.305183
0.0,4,447.65872
0.0,7,447.779022
0.0,5,447.869615
0.0,4,447.942779
0.0,5,448.024905
1.0,7,448.154494
0.0,7,448.29377
0.0,5,448.379327
0.0,6,448.482816
1.0,7,448.603458
1.0,7,448.716399
0.0,6,448.825794
0.0,6,448.925949
0.0,6,449.025366
0.0,6,449.132073
0.0,4,449.199549
0.0,4,449.269202
0.0,7,449.379947
0.0,7,449.488893
0.0,4,449.551511
0.0,4,449.62143
1.0,7,449.738679
0.0,6,449.839201
0.0,7,453.363475
1.0,7,453.47811
0.0,4,453.550478
0.0,4,453.623742
0.0,6,453.730397
0.0,4,453.797992
0.0,7,453.919929
0.0,3,453.974611
0.0,6,454.076847
0.0,7,454.197957
0.0,6,454.298528
0.0,2,454.334475
1.0,7,454.462106
0.0,4,454.536415
1.0,7,454.662265
0.0,6,454.766327
0.0,6,454.871151
0.0,4,454.934484
0.0,7,455.046549
0.0,6,455.145148
0.0,4,455.210309
1.0,7,455.322891
1.0,7,455.446746
0.0,6,458.915291
0.0,2,458.948664
0.0,2,458.982126
0.0,4,459.058159
0.0,6,459.170472
0.0,7,459.291306
0.0,2,459.326315
0.0,6,459.434438
0.0,6,459.545225
0.0,7,459.661578
1.0,7,459.785927
0.0,6,459.892035
0.0,3,459.945429
0.0,7,460.064625
0.0,7,460.183139
0.0,4,460.251526
0.0,4,460.317017
1.0,7,460.440301
0.0,6,460.535789
0.0,7,460.652268
0.0,4,460.718399
1.0,7,460.831713
0.0,6,460.935106
0.0,4,461.008682
0.0,7,464.490698
0.0,5,464.579244
1.0,7,464.703901
0.0,6,464.80018
0.0,6,464.907172
0.0,5,464.990801
0.0,7,465.11468
0.0,4,465.183012
0.0,6,465.283104
0.0,4,465.355719
0.0,5,465.441899
0.0,4,465.507034
1.0,7,465.627239
1.0,7,465.746884
0.0,5,465.831566
0.0,7,465.952172
0.0,7,466.07246
1.0,7,466.187588
0.0,7,466.305146
0.0,6,466.404999
0.0,4,466.472291
0.0,4,466.548473
0.0,7,470.017349
1.0,7,470.140363
0.0,7,470.256519
0.0,6,470.361205
0.0,6,470.467763
0.0,4,470.537813
0.0,6,470.647304
0.0,6,470.756271
0.0,4,470.829364
0.0,6,470.937256
0.0,6,471.046055
0.0,4,471.113031
1.0,7,471.22856
1.0,7,471.350119
0.0,4,471.416369
0.0,4,471.486242
1.0,7,471.605049
0.0,4,471.665995
0.0,7,471.782259
0.0,4,471.84718
0.0,7,471.961997
1.0,7,472.082411
1.0,7,475.593727
0.0,4,475.66094
0.0,4,475.726395
1.0,7,475.846016
0.0,5,475.93414
0.0,4,476.007282
1.0,7,476.133401
1.0,7,476.259511
0.0,4,476.331302
0.0,6,476.436733
0.0,7,476.562573
1.0,7,476.682334
0.0,6,476.780739
0.0,4,476.848945
0.0,6,476.952593
1.0,7,477.0775
0.0,4,477.146178
0.0,4,477.215199
0.0,7,477.325625
0.0,7,477.436291
0.0,3,477.490314
1.0,7,477.61428
0.0,7,477.73343
1.0,7,481.163227
0.0,4,481.229443
0.0,6,481.332009
0.0,7,481.450017
1.0,7,481.568598
0.0,4,481.630164
0.0,7,481.737691
0.0,6,481.835942
0.0,4,481.901962
0.0,7,482.009447
0.0,2,482.047316
0.0,4,482.117438
0.0,4,482.18566
0.0,2,482.220693
0.0,4,482.2912
0.0,4,482.349408
0.0,2,482.3802
0.0,4,482.446717
0.0,4,482.513645
0.0,4,482.570198
1.0,7,482.68762
0.0,4,482.75954
0.0,7,482.877306
0.0,4,482.937391
0.0,2,482.969236
0.0,4,483.030783
0.0,7,483.155384
0.0,6,486.531677
0.0,4,486.599207
0.0,2,486.633182
0.0,4,486.698974
1.0,7,486.812115
0.0,2,486.848045
1.0,7,486.969621
0.0,6,487.071934
0.0,4,487.145365
0.0,2,487.178518
0.0,2,487.214883
0.0,4,487.282898
0.0,2,487.319957
0.0,6,487.422024
1.0,7,487.540722
0.0,4,487.604353
0.0,6,487.709506
0.0,2,487.743903
0.0,7,487.864521
0.0,7,487.988676
0.0,4,488.049135
0.0,2,488.083104
0.0,2,488.118322
0.0,6,488.221627
0.0,4,488.341217
0.0,4,488.403952
0.0,4,488.473012
0.0,4,488.54124
1.0,7,488.657735
0.0,6,492.050246
0.0,2,492.083828
0.0,7,492.208145
0.0,2,492.242315
0.0,4,492.312007
0.0,2,492.347686
0.0,4,492.409868
0.0,4,492.475833
0.0,4,492.540673
0.0,6,492.647144
0.0,4,492.719676
0.0,7,492.836184
0.0,4,492.90515
0.0,6,493.014571
0.0,2,493.046305
0.0,4,493.112559
0.0,4,493.180625
0.0,6,493.279899
0.0,2,493.314332
0.0,6,493.420193
0.0,6,493.516872
0.0,2,493.551873
1.0,7,493.673862
1.0,7,493.793529
0.0,4,493.85974
0.0,2,493.893483
1.0,7,494.004022
0.0,7,494.121319
0.0,7,497.568548
0.0,4,497.637474
0.0,7,497.749535
0.0,4,497.818609
1.0,7,497.943868
0.0,4,498.007422
0.0,4,498.077236
1.0,7,498.198438
0.0,4,498.266766
1.0,7,498.388002
1.0,7,498.51217
1.0,7,498.63297
0.0,2,498.670352
0.0,5,498.757951
0.0,2,498.793803
0.0,2,498.829606
0.0,7,498.949142
0.0,5,499.042483
0.0,4,499.107877
0.0,2,499.145298
1.0,7,499.262269
0.0,4,499.325295
0.0,7,499.442784
0.0,7,499.559424
0.0,2,499.591779
1.0,7,503.019894
1.0,7,503.133932
0.0,4,503.204829
0.0,4,503.279513
0.0,4,503.347752
0.0,5,503.43602
1.0,7,503.552419
0.0,6,503.652262
0.0,5,503.743137
0.0,7,503.866686
0.0,7,503.982594
0.0,7,504.094997
0.0,2,504.131761
0.0,6,504.227394
0.0,4,504.292283
0.0,5,504.369967
0.0,4,504.439067
0.0,6,504.543843
0.0,7,504.666195
1.0,7,504.784115
0.0,7,504.896844
1.0,7,505.01651
0.0,5,505.091371
0.0,6,508.511132
0.0,7,508.627236
0.0,2,508.662314
0.0,4,508.733083
0.0,7,508.851571
0.0,4,508.921139
0.0,4,508.988759
0.0,4,509.058296
0.0,5,509.149172
0.0,7,509.266258
0.0,6,509.364527
0.0,4,509.428119
0.0,4,509.497087
0.0,4,509.561447
0.0,6,509.660096
1.0,7,509.786392
0.0,4,509.854313
0.0,6,509.961414
0.0,7,510.09021
0.0,7,510.203717
0.0,7,510.317331
1.0,7,510.446508
0.0,4,510.515142
0.0,6,510.616778
0.0,7,514.026542
0.0,4,514.092306
0.0,6,514.188029
0.0,4,514.259395
1.0,7,514.385167
0.0,4,514.457664
0.0,4,514.530185
0.0,4,514.598644
0.0,6,514.700281
0.0,2,514.737291
0.0,7,514.861444
0.0,6,514.9594
0.0,2,514.994361
1.0,7,515.107752
0.0,4,515.173901
1.0,7,515.288336
0.0,4,515.352613
0.0,4,515.423619
1.0,7,515.535094
1.0,7,515.647006
0.0,7,515.763164
0.0,6,515.86376
0.0,6,515.970939
0.0,4,516.036102
0.0,4,519.444148
0.0,7,519.553515
1.0,7,519.671839
1.0,7,519.781899
0.0,2,519.815835
0.0,4,519.88702
0.0,7,520.015136
0.0,6,520.114433
0.0,7,520.238356
0.0,4,520.308384
0.0,4,520.376736
1.0,7,520.48921
1.0,7,520.606415
0.0,7,520.713949
0.0,5,520.799798
0.0,6,520.905998
0.0,4,520.978227
1.0,7,521.085605
0.0,7,521.204427
0.0,4,521.276227
0.0,4,521.348652
1.0,7,521.469219
0.0,6,521.562875
0.0,6,524.978703
0.0,4,525.043278
0.0,2,525.076556
1.0,7,525.198344
1.0,7,525.315626
0.0,4,525.383232
0.0,2,525.421011
0.0,4,525.489423
1.0,7,525.612754
0.0,6,525.71802
0.0,2,525.754229
0.0,4,525.827499
0.0,6,525.928302
0.0,2,525.964309
0.0,7,526.08378
1.0,7,526.199189
0.0,6,526.29843
0.0,5,526.38255
0.0,4,526.450298
0.0,5,526.524938
1.0,7,526.637382
0.0,4,526.707597
0.0,4,526.77606
0.0,4,526.839736
0.0,7,526.958622
0.0,7,530.493293
0.0,6,530.588051
1.0,7,530.709018
0.0,6,530.803381
0.0,4,530.866024
0.0,4,530.931317
0.0,4,531.000182
