#{"t_start": 1667421477.649733, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,1646.076284
0.0,3,1646.127988
0.0,3,1646.185083
0.0,2,1646.224822
0.0,4,1646.297613
0.0,4,1646.376028
0.0,2,1646.414357
0.0,2,1646.447534
0.0,2,1646.484311
0.0,2,1646.522403
0.0,2,1646.559388
0.0,4,1646.633299
0.0,2,1646.66542
0.0,2,1646.701812
0.0,2,1646.739023
0.0,2,1646.775918
0.0,2,1646.812429
0.0,4,1646.879276
0.0,4,1646.949093
0.0,2,1646.980841
0.0,3,1647.029805
0.0,2,1647.06433
0.0,4,1647.134562
0.0,2,1647.170686
0.0,2,1647.205671
0.0,2,1647.239172
0.0,2,1647.273489
0.0,2,1647.309452
0.0,2,1647.344894
0.0,2,1647.376426
0.0,2,1647.407636
0.0,2,1647.445069
0.0,4,1647.521433
0.0,2,1647.556801
0.0,2,1647.591676
0.0,3,1647.64734
0.0,5,1647.740967
0.0,2,1647.778157
0.0,4,1647.846926
0.0,2,1647.883418
0.0,2,1647.91662
0.0,2,1647.950503
0.0,2,1647.986317
0.0,4,1648.05575
0.0,2,1648.094959
0.0,2,1648.127499
0.0,2,1648.165742
0.0,3,1648.219388
0.0,2,1648.256269
0.0,2,1648.296048
0.0,2,1648.332488
0.0,4,1652.111062
0.0,2,1652.147983
0.0,7,1652.279867
0.0,2,1652.318793
0.0,2,1652.356956
0.0,2,1652.393363
0.0,2,1652.429536
0.0,2,1652.467397
0.0,3,1652.51718
0.0,4,1652.590358
0.0,4,1652.65605
0.0,2,1652.693679
0.0,2,1652.729923
0.0,4,1652.801732
0.0,2,1652.834966
0.0,4,1652.895697
0.0,4,1652.955171
0.0,2,1652.986964
0.0,3,1653.039321
0.0,2,1653.072481
0.0,6,1653.176282
0.0,2,1653.212484
0.0,2,1653.248558
0.0,4,1653.321557
0.0,2,1653.353074
0.0,2,1653.389047
0.0,2,1653.422909
0.0,2,1653.461154
0.0,2,1653.496531
0.0,4,1653.565597
0.0,2,1653.598778
0.0,2,1653.638596
0.0,2,1653.673906
0.0,2,1653.70951
0.0,2,1653.744922
0.0,2,1653.778671
0.0,2,1653.810152
0.0,2,1653.844396
0.0,2,1653.878697
0.0,4,1653.944347
0.0,4,1654.010067
0.0,2,1654.043353
0.0,2,1654.076558
0.0,4,1654.146415
0.0,4,1654.211521
0.0,2,1654.242461
0.0,2,1658.046221
0.0,2,1658.084186
0.0,2,1658.12186
0.0,2,1658.162264
0.0,2,1658.200515
0.0,2,1658.240683
0.0,2,1658.285101
0.0,4,1658.370599
0.0,2,1658.410517
0.0,2,1658.449201
0.0,2,1658.485224
0.0,4,1658.56348
0.0,2,1658.60095
0.0,2,1658.641382
0.0,2,1658.677328
0.0,6,1658.786707
0.0,4,1658.852099
0.0,2,1658.886357
0.0,2,1658.920437
0.0,2,1658.954902
0.0,2,1658.990704
0.0,2,1659.022732
0.0,2,1659.054749
0.0,2,1659.087143
0.0,2,1659.120267
0.0,2,1659.157575
0.0,2,1659.194002
0.0,3,1659.252788
0.0,2,1659.289434
0.0,2,1659.322035
0.0,4,1659.39747
0.0,2,1659.432725
0.0,2,1659.467609
0.0,2,1659.503742
0.0,2,1659.537592
0.0,4,1659.608996
0.0,2,1659.645036
0.0,2,1659.685489
0.0,2,1659.725358
0.0,7,1659.860706
0.0,4,1659.928471
0.0,2,1659.968716
0.0,2,1660.00438
0.0,2,1660.039561
0.0,2,1660.076531
0.0,2,1660.112028
0.0,2,1660.148066
0.0,6,1660.255239
0.0,2,1660.291538
0.0,2,1660.328264
0.0,2,1660.367454
0.0,2,1664.220525
0.0,2,1664.261769
0.0,2,1664.30187
0.0,2,1664.345588
0.0,4,1664.420795
0.0,2,1664.460737
0.0,4,1664.540633
0.0,4,1664.616016
0.0,2,1664.653942
0.0,2,1664.697125
0.0,2,1664.735816
0.0,2,1664.773796
0.0,4,1664.849027
0.0,2,1664.88493
0.0,2,1664.923493
0.0,2,1664.962923
0.0,4,1665.037903
0.0,3,1665.097587
0.0,2,1665.127955
0.0,2,1665.15917
0.0,4,1665.223852
0.0,2,1665.258931
0.0,7,1665.379457
0.0,2,1665.415816
0.0,2,1665.44824
0.0,4,1665.520919
0.0,2,1665.559358
0.0,2,1665.598604
0.0,2,1665.639356
0.0,2,1665.670338
0.0,2,1665.706172
0.0,2,1665.743932
0.0,3,1665.799159
0.0,2,1665.835484
0.0,2,1665.874775
0.0,2,1665.910317
0.0,4,1665.982935
0.0,2,1666.020139
0.0,2,1666.051523
0.0,2,1666.087319
0.0,2,1666.122546
0.0,2,1666.157865
0.0,4,1666.232009
0.0,2,1666.269276
0.0,2,1666.306744
0.0,4,1666.371515
0.0,2,1666.403613
0.0,2,1666.436646
0.0,2,1666.472553
0.0,2,1666.509328
0.0,2,1666.546781
0.0,2,1670.395905
0.0,4,1670.46718
0.0,4,1670.540937
0.0,4,1670.614248
0.0,2,1670.650789
0.0,2,1670.687058
0.0,4,1670.753604
0.0,2,1670.787809
1.0,7,1670.902625
0.0,2,1670.934682
0.0,2,1670.967131
0.0,4,1671.032718
0.0,2,1671.066774
0.0,2,1671.100835
0.0,2,1671.134526
0.0,5,1671.221551
0.0,4,1671.288358
0.0,2,1671.320842
0.0,2,1671.352397
0.0,4,1671.420097
0.0,2,1671.452505
0.0,2,1671.485977
0.0,2,1671.525811
0.0,4,1671.600245
0.0,2,1671.638095
0.0,2,1671.673671
0.0,2,1671.712139
0.0,2,1671.75035
0.0,2,1671.786161
0.0,2,1671.819852
0.0,2,1671.853427
0.0,2,1671.892204
0.0,4,1671.970095
0.0,2,1672.007821
0.0,2,1672.043012
0.0,4,1672.122097
0.0,5,1672.218265
0.0,3,1672.275298
0.0,2,1672.312626
0.0,2,1672.349922
0.0,2,1672.385442
0.0,2,1672.419958
0.0,4,1672.491372
0.0,2,1672.524504
0.0,2,1672.55528
0.0,2,1672.586771
0.0,2,1672.619775
1.0,7,1676.784516
1.0,7,1676.925338
1.0,7,1677.061941
1.0,7,1677.191613
1.0,7,1677.312735
1.0,7,1677.448043
1.0,7,1677.577053
1.0,7,1677.694739
1.0,7,1677.820627
1.0,7,1677.949899
1.0,7,1678.071901
1.0,7,1678.195617
1.0,7,1678.327011
1.0,7,1678.455619
1.0,7,1678.586365
1.0,7,1678.705453
1.0,7,1678.827983
1.0,7,1678.960913
1.0,7,1682.848911
1.0,7,1682.966503
0.0,2,1683.005627
1.0,7,1683.144823
0.0,2,1683.183481
1.0,7,1683.315524
1.0,7,1683.450679
1.0,7,1683.584937
0.0,6,1683.69198
1.0,7,1683.814009
1.0,7,1683.933975
1.0,7,1684.059538
1.0,7,1684.1802
0.0,4,1684.259207
0.0,4,1684.337153
1.0,7,1684.464489
1.0,7,1684.594752
1.0,7,1684.726559
0.0,4,1684.795002
1.0,7,1684.921242
1.0,7,1685.037678
1.0,7,1689.024518
1.0,7,1689.155862
1.0,7,1689.285745
1.0,7,1689.414834
1.0,7,1689.548912
1.0,7,1689.68303
1.0,7,1689.804195
1.0,7,1689.920019
1.0,7,1690.034531
1.0,7,1690.158749
1.0,7,1690.279286
1.0,7,1690.389892
1.0,7,1690.5137
0.0,6,1690.61389
1.0,7,1690.750738
1.0,7,1690.890337
1.0,7,1691.011429
1.0,7,1691.140123
1.0,7,1695.091979
1.0,7,1695.227081
1.0,7,1695.361381
1.0,7,1695.489691
1.0,7,1695.622719
1.0,7,1695.755148
1.0,7,1695.897337
1.0,7,1696.017815
1.0,7,1696.133424
1.0,7,1696.2609
1.0,7,1696.388154
1.0,7,1696.513482
1.0,7,1696.650456
1.0,7,1696.783474
1.0,7,1696.911832
1.0,7,1697.033276
1.0,7,1697.151748
1.0,7,1697.273979
1.0,7,1697.399503
1.0,7,1701.322393
1.0,7,1701.44819
1.0,7,1701.577791
1.0,7,1701.713781
1.0,7,1701.850737
1.0,7,1701.977557
1.0,7,1702.114154
1.0,7,1702.240614
1.0,7,1702.367734
1.0,7,1702.49639
1.0,7,1702.616876
1.0,7,1702.745986
0.0,7,1702.869992
1.0,7,1702.997263
1.0,7,1703.124595
1.0,7,1703.245444
1.0,7,1703.374326
1.0,7,1703.495493
1.0,7,1707.427816
1.0,7,1707.554028
1.0,7,1707.675255
1.0,7,1707.808448
1.0,7,1707.941845
1.0,7,1708.077149
1.0,7,1708.195417
1.0,7,1708.318592
1.0,7,1708.445641
1.0,7,1708.574281
1.0,7,1708.70492
1.0,7,1708.824675
1.0,7,1708.949887
1.0,7,1709.079697
1.0,7,1709.206042
1.0,7,1709.327778
1.0,7,1709.445482
1.0,7,1709.557671
1.0,7,1713.486575
1.0,7,1713.621736
1.0,7,1713.745034
1.0,7,1713.867929
1.0,7,1713.997808
1.0,7,1714.120263
1.0,7,1714.250986
1.0,7,1714.377475
1.0,7,1714.496734
1.0,7,1714.619911
1.0,7,1714.746252
1.0,7,1714.870888
1.0,7,1714.997665
1.0,7,1715.131123
1.0,7,1715.263874
1.0,7,1715.383258
1.0,7,1715.503612
1.0,7,1715.626462
1.0,7,1715.758085
1.0,7,1719.657078
1.0,7,1719.783316
1.0,7,1719.90486
1.0,7,1720.02612
1.0,7,1720.147073
1.0,7,1720.273238
1.0,7,1720.399098
1.0,7,1720.533643
1.0,7,1720.663242
1.0,7,1720.795241
1.0,7,1720.910927
1.0,7,1721.079471
1.0,7,1721.190551
1.0,7,1721.314625
1.0,7,1721.44067
1.0,7,1721.563096
1.0,7,1721.681968
1.0,7,1721.7918
1.0,7,1725.664786
1.0,7,1725.801495
1.0,7,1725.959733
1.0,7,1726.072618
1.0,7,1726.198076
1.0,7,1726.334005
1.0,7,1726.463204
1.0,7,1726.598502
1.0,7,1726.733845
1.0,7,1726.866872
1.0,7,1727.004649
1.0,7,1727.142364
1.0,7,1727.262733
1.0,7,1727.388191
1.0,7,1727.507371
1.0,7,1727.62593
1.0,7,1727.741862
1.0,7,1727.858133
