#{"t_start": 1667421477.9531734, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,623.69001
0.0,2,623.723472
0.0,2,623.760343
0.0,2,623.797038
0.0,2,623.830038
0.0,2,623.863149
0.0,4,623.928503
0.0,2,623.962036
0.0,2,623.993022
0.0,2,624.023172
0.0,5,624.107145
0.0,4,624.175924
0.0,4,624.244742
0.0,2,624.280069
0.0,3,624.33102
0.0,2,624.363612
0.0,2,624.397118
0.0,2,624.429471
0.0,2,624.46035
0.0,2,624.491477
0.0,2,624.522812
0.0,2,624.554678
0.0,2,624.587229
0.0,2,624.617764
0.0,2,624.648016
0.0,2,624.678828
0.0,4,624.743562
0.0,4,624.807695
0.0,2,624.838853
0.0,2,624.871346
0.0,2,624.905659
0.0,3,624.956589
0.0,2,624.990888
0.0,2,625.025935
0.0,2,625.058037
0.0,4,625.125397
0.0,2,625.157432
0.0,2,625.191122
0.0,2,625.224459
0.0,2,625.261247
0.0,2,625.294064
0.0,2,625.324011
0.0,3,625.369462
0.0,2,625.39932
0.0,2,625.429932
0.0,2,625.460193
0.0,2,625.545093
0.0,2,625.581149
0.0,2,625.61994
0.0,4,625.694596
0.0,4,625.770336
0.0,2,625.808488
0.0,2,625.84428
0.0,2,629.38379
0.0,2,629.421076
0.0,2,629.454826
0.0,2,629.487966
0.0,6,629.591401
0.0,2,629.622714
0.0,2,629.65743
0.0,2,629.690082
0.0,2,629.721043
0.0,4,629.787396
0.0,2,629.82172
0.0,2,629.855985
0.0,4,629.926276
0.0,2,629.95891
0.0,2,629.990126
0.0,2,630.022747
0.0,3,630.070113
0.0,2,630.100416
0.0,2,630.132523
0.0,2,630.164141
0.0,2,630.193756
0.0,2,630.227983
0.0,2,630.260543
0.0,2,630.292208
0.0,2,630.323302
0.0,5,630.40122
0.0,2,630.43213
0.0,4,630.539776
0.0,2,630.575997
0.0,4,630.6459
0.0,2,630.682623
0.0,2,630.72121
0.0,2,630.75877
0.0,2,630.793162
0.0,4,630.867765
0.0,2,630.904771
0.0,2,630.939509
0.0,3,630.992514
0.0,2,631.030466
0.0,2,631.064265
0.0,2,631.098372
0.0,2,631.134465
0.0,2,631.170639
0.0,2,631.208494
0.0,2,631.24616
0.0,2,631.281843
0.0,2,631.317909
0.0,3,631.375884
0.0,6,631.489225
0.0,3,631.543647
0.0,3,631.596845
0.0,3,635.065439
0.0,4,635.135756
0.0,3,635.185308
0.0,4,635.254553
0.0,2,635.288771
0.0,4,635.356233
0.0,2,635.388204
0.0,2,635.41836
0.0,2,635.45154
0.0,2,635.486215
0.0,2,635.563611
0.0,2,635.599848
0.0,4,635.666432
0.0,2,635.698343
0.0,2,635.728797
0.0,4,635.793193
0.0,2,635.826662
0.0,2,635.860364
0.0,3,635.911255
0.0,2,635.942865
0.0,2,635.974992
0.0,2,636.006868
0.0,2,636.039104
0.0,3,636.085758
0.0,7,636.201517
0.0,2,636.235432
0.0,4,636.300529
0.0,2,636.336627
0.0,2,636.371447
0.0,6,636.474749
0.0,2,636.508153
0.0,2,636.540349
0.0,4,636.610918
0.0,2,636.642052
0.0,3,636.68939
0.0,2,636.722909
0.0,2,636.752937
0.0,6,636.863087
0.0,2,636.894795
