#{"t_start": 1667421480.0323355, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,624.886448
0.0,2,624.918246
0.0,2,624.951383
0.0,2,624.985352
0.0,2,625.019646
0.0,2,625.052705
0.0,2,625.0846
0.0,4,625.155047
0.0,3,625.207854
0.0,4,625.272656
0.0,4,625.332183
0.0,4,625.395821
0.0,2,625.426901
0.0,2,625.458279
0.0,2,625.491986
0.0,2,625.524725
0.0,2,625.557134
0.0,2,625.588765
0.0,2,625.618996
0.0,2,625.651135
0.0,2,625.685177
0.0,2,625.718421
0.0,2,625.750778
0.0,4,625.817925
0.0,2,625.853793
0.0,2,625.885694
0.0,2,625.920385
0.0,2,625.954256
0.0,2,625.990598
0.0,2,626.023868
0.0,2,626.057369
0.0,2,626.094118
0.0,2,626.131163
0.0,4,626.200407
0.0,4,626.271705
0.0,5,626.36221
0.0,4,626.432898
0.0,3,626.48863
0.0,3,626.547015
0.0,2,626.584214
0.0,2,626.620323
0.0,2,626.656823
0.0,2,626.693668
0.0,2,626.733316
0.0,3,626.785538
0.0,2,626.822503
0.0,2,626.86257
0.0,2,626.898382
0.0,2,626.935684
0.0,2,626.968673
0.0,2,627.007391
0.0,2,627.046162
0.0,2,630.481479
0.0,2,630.51493
0.0,2,630.545837
0.0,4,630.606963
0.0,2,630.637288
0.0,2,630.664582
0.0,2,630.692493
0.0,2,630.724915
0.0,2,630.756653
0.0,2,630.792447
0.0,2,630.820585
0.0,4,630.88219
0.0,3,630.933734
0.0,2,630.965449
0.0,4,631.037015
0.0,2,631.065108
0.0,2,631.095407
0.0,2,631.126919
0.0,2,631.159781
0.0,2,631.191116
0.0,2,631.222529
0.0,2,631.254513
0.0,2,631.286539
0.0,3,631.337538
0.0,2,631.371696
0.0,2,631.403417
0.0,2,631.438879
0.0,2,631.473992
0.0,2,631.508685
0.0,2,631.54374
0.0,2,631.579526
0.0,4,631.647399
0.0,4,631.716069
0.0,2,631.754898
0.0,4,631.823819
0.0,4,631.899545
0.0,2,631.937087
0.0,4,632.002084
0.0,4,632.073043
0.0,2,632.109591
0.0,2,632.148955
0.0,2,632.189727
0.0,2,632.227488
0.0,2,632.268389
0.0,2,632.303549
0.0,2,632.340404
0.0,2,632.37987
0.0,2,632.416922
0.0,4,632.491862
0.0,2,632.528452
0.0,2,632.562892
0.0,2,632.598862
0.0,2,632.63524
1.0,7,636.334695
1.0,7,636.442645
1.0,7,636.554467
1.0,7,636.676275
1.0,7,636.782954
1.0,7,636.89223
1.0,7,636.994697
1.0,7,637.111232
1.0,7,637.235779
1.0,7,637.355466
1.0,7,637.481904
1.0,7,637.609217
1.0,7,637.734515
1.0,7,637.858899
1.0,7,637.980784
1.0,7,638.106966
1.0,7,638.229375
1.0,7,638.350616
1.0,7,641.888142
1.0,7,641.995841
1.0,7,642.108917
1.0,7,642.22806
1.0,7,642.342874
1.0,7,642.460382
0.0,3,642.510072
1.0,7,642.62196
1.0,7,642.725772
1.0,7,642.840332
1.0,7,642.956818
1.0,7,643.082085
0.0,3,643.134132
1.0,7,643.253202
0.0,3,643.307941
1.0,7,643.431775
0.0,3,643.48667
0.0,3,643.540165
1.0,7,643.667024
0.0,7,643.783063
1.0,7,643.906808
0.0,3,643.956718
1.0,7,647.590396
1.0,7,647.692887
1.0,7,647.798772
0.0,3,647.84543
1.0,7,647.967089
1.0,7,648.081535
1.0,7,648.195008
1.0,7,648.304337
1.0,7,648.412662
1.0,7,648.590647
1.0,7,648.714042
1.0,7,648.839148
1.0,7,648.971076
1.0,7,649.09619
1.0,7,649.217327
1.0,7,649.346804
1.0,7,649.476281
1.0,7,649.599689
1.0,7,649.732879
1.0,7,653.239018
1.0,7,653.354098
1.0,7,653.46332
1.0,7,653.609141
1.0,7,653.723791
1.0,7,653.83921
1.0,7,653.95473
1.0,7,654.062461
0.0,7,654.180159
1.0,7,654.30099
