#{"t_start": 1667421479.4611247, "env_id": "CTgraph-v0"}
r,l,t
0.0,7,42.01796
0.0,2,42.036008
0.0,2,42.051893
0.0,2,42.069229
0.0,7,42.146553
0.0,2,42.171631
0.0,2,42.197955
0.0,6,42.279182
0.0,2,42.305238
0.0,3,42.345081
0.0,2,42.371465
0.0,2,42.398054
0.0,2,42.424813
0.0,2,42.451429
0.0,2,42.478094
0.0,2,42.50468
0.0,2,42.531492
0.0,2,42.558902
0.0,2,42.585009
0.0,2,42.611761
0.0,6,42.691386
0.0,2,42.718189
0.0,2,42.744868
0.0,2,42.771605
0.0,2,42.797953
0.0,2,42.82461
0.0,2,42.851408
0.0,2,42.878079
0.0,4,42.931449
0.0,2,42.958256
0.0,2,42.984656
0.0,2,43.011266
0.0,4,43.064723
0.0,4,43.117938
0.0,2,43.144707
0.0,2,43.171273
0.0,2,43.197439
0.0,2,43.224006
0.0,2,43.250593
0.0,2,43.277346
0.0,2,43.304039
0.0,3,43.344065
0.0,2,43.370741
0.0,2,43.39658
0.0,4,43.449847
0.0,2,43.476418
0.0,4,43.529795
0.0,4,43.583066
0.0,2,46.66595
0.0,2,46.701149
0.0,2,46.736991
0.0,2,46.771945
0.0,2,46.799227
0.0,2,46.820852
0.0,2,46.837351
0.0,2,46.850989
0.0,3,46.873296
0.0,2,46.891516
0.0,2,46.914718
0.0,2,46.941632
0.0,2,46.968945
0.0,2,46.996844
0.0,3,47.04076
0.0,2,47.067347
0.0,2,47.092927
0.0,2,47.119116
0.0,4,47.173029
0.0,2,47.19839
0.0,2,47.224895
0.0,2,47.251872
0.0,5,47.316221
0.0,2,47.345371
0.0,2,47.369498
0.0,4,47.422919
0.0,2,47.449506
0.0,4,47.502267
0.0,2,47.529049
0.0,2,47.555706
0.0,2,47.581355
0.0,2,47.607949
0.0,2,47.634461
0.0,2,47.661097
0.0,4,47.714498
0.0,2,47.741088
0.0,2,47.767895
0.0,2,47.794474
0.0,2,47.821187
0.0,2,47.847858
0.0,2,47.874459
0.0,2,47.90129
0.0,2,47.927944
0.0,2,47.954442
0.0,2,47.981168
0.0,2,48.007927
0.0,2,48.034563
0.0,2,48.061439
0.0,4,48.114814
0.0,2,48.141585
0.0,2,48.168096
0.0,3,48.208086
0.0,2,48.234807
0.0,2,48.261423
0.0,2,48.288176
0.0,2,48.314779
0.0,2,51.422812
0.0,2,51.458539
0.0,2,51.495192
0.0,2,51.526384
0.0,2,51.554504
0.0,4,51.603744
0.0,4,51.633299
0.0,7,51.676641
0.0,2,51.688612
0.0,2,51.700504
0.0,4,51.721802
0.0,2,51.733954
0.0,4,51.758351
0.0,2,51.791691
0.0,2,51.803845
0.0,2,51.816424
0.0,2,51.826158
0.0,2,51.836249
0.0,2,51.847073
0.0,2,51.858961
0.0,4,51.88249
0.0,2,51.894022
0.0,4,51.916139
0.0,2,51.927359
0.0,2,51.937541
0.0,2,51.947443
0.0,2,51.958962
0.0,2,51.979307
0.0,2,51.988915
0.0,2,51.999113
0.0,2,52.010582
0.0,4,52.033959
0.0,2,52.045084
0.0,2,52.055455
0.0,2,52.067409
0.0,2,52.079016
0.0,2,52.088854
0.0,2,52.101067
0.0,2,52.1129
0.0,2,52.125676
0.0,2,52.137877
0.0,2,52.149702
0.0,2,52.161162
0.0,2,52.175671
0.0,4,52.20071
0.0,2,52.21386
0.0,2,52.226507
0.0,2,52.239177
0.0,3,52.254911
0.0,2,52.264974
0.0,2,52.276858
0.0,2,52.289515
0.0,2,52.301906
0.0,2,58.225701
0.0,2,58.259546
0.0,2,58.293221
0.0,2,58.325998
0.0,2,58.359558
0.0,2,58.393743
0.0,2,58.428215
0.0,2,58.458596
0.0,2,58.492191
0.0,2,58.526061
0.0,2,58.55688
0.0,2,58.587659
0.0,2,58.621195
0.0,4,58.685464
0.0,2,58.719578
0.0,2,58.753565
0.0,2,58.786133
0.0,2,58.820041
0.0,2,58.854632
0.0,4,58.918415
0.0,4,58.979234
0.0,2,59.013334
0.0,2,59.044469
0.0,2,59.075531
0.0,2,59.105907
0.0,2,59.136065
0.0,2,59.165104
0.0,4,59.224371
0.0,2,59.253502
0.0,2,59.283567
0.0,2,59.316759
0.0,2,59.346084
0.0,2,59.376234
0.0,4,59.439929
0.0,4,59.494469
0.0,4,59.550273
0.0,2,59.577028
0.0,4,59.631413
0.0,4,59.685157
0.0,2,59.7132
0.0,2,59.740443
0.0,2,59.769448
0.0,2,59.799293
0.0,2,59.823925
0.0,2,59.846064
0.0,2,59.867918
0.0,2,59.88779
0.0,2,59.907487
0.0,2,59.927979
0.0,2,59.947218
0.0,2,59.968201
0.0,2,59.989587
0.0,2,60.010809
0.0,2,60.03164
0.0,2,60.054806
0.0,4,67.661823
0.0,2,67.678759
0.0,2,67.697178
0.0,3,67.725615
0.0,6,67.78992
0.0,4,67.832043
0.0,2,67.855122
0.0,2,67.87601
0.0,2,67.900228
0.0,4,67.942477
0.0,2,67.964018
0.0,2,67.989238
0.0,2,68.011381
0.0,2,68.032782
0.0,2,68.055652
0.0,2,68.075975
0.0,2,68.099325
0.0,2,68.122909
0.0,2,68.144347
0.0,4,68.1847
0.0,2,68.206068
0.0,2,68.227028
0.0,4,68.270357
0.0,4,68.312407
0.0,2,68.332853
0.0,2,68.353778
0.0,4,68.408235
0.0,2,68.427608
0.0,2,68.449188
0.0,2,68.469938
0.0,2,68.491477
0.0,2,68.512961
0.0,2,68.531425
0.0,2,68.553387
0.0,2,68.576192
0.0,2,68.597989
0.0,2,68.618367
0.0,2,68.641206
0.0,2,68.66229
0.0,2,68.69541
0.0,5,68.75317
0.0,4,68.819553
0.0,2,68.845052
0.0,2,68.870827
0.0,2,68.896356
0.0,2,68.920048
0.0,2,68.943534
0.0,2,68.967038
0.0,4,69.014436
0.0,2,69.038113
0.0,2,69.061677
0.0,4,72.686153
0.0,2,72.713828
0.0,2,72.742386
0.0,2,72.770655
0.0,2,72.799794
0.0,2,72.829645
0.0,2,72.858562
0.0,3,72.903056
0.0,4,72.956792
0.0,2,72.983364
0.0,2,73.010191
0.0,2,73.036875
0.0,2,73.064606
0.0,2,73.092829
0.0,2,73.121624
0.0,2,73.149598
0.0,2,73.17781
0.0,6,73.256738
0.0,2,73.282526
0.0,4,73.336663
0.0,4,73.391111
0.0,2,73.419287
0.0,4,73.473837
0.0,4,73.528283
0.0,2,73.555895
0.0,3,73.602226
0.0,2,73.641443
0.0,2,73.670527
0.0,2,73.699042
0.0,2,73.728381
0.0,2,73.757766
0.0,2,73.787545
0.0,2,73.816344
0.0,2,73.844408
0.0,2,73.876034
0.0,6,73.958937
0.0,2,73.984469
0.0,2,74.010998
0.0,2,74.03795
0.0,2,74.066317
0.0,2,74.093802
0.0,2,74.121383
0.0,2,74.149892
0.0,2,74.178813
0.0,2,74.207791
0.0,2,74.237579
0.0,2,74.267321
0.0,2,74.297428
0.0,2,74.32715
0.0,2,74.35776
0.0,2,74.385294
0.0,2,74.414726
0.0,2,74.445502
0.0,4,78.090925
0.0,2,78.117829
0.0,2,78.140395
0.0,2,78.16625
0.0,2,78.227703
0.0,2,78.274865
0.0,2,78.304561
0.0,2,78.330813
0.0,2,78.357565
0.0,2,78.386914
0.0,2,78.413253
0.0,2,78.439845
0.0,2,78.465692
0.0,2,78.493321
0.0,4,78.547034
0.0,2,78.603274
0.0,2,78.627068
0.0,2,78.654108
0.0,2,78.681482
0.0,2,78.709049
1.0,7,78.808481
0.0,2,78.83621
0.0,2,78.864377
0.0,2,78.892947
0.0,6,78.977553
0.0,2,79.006034
0.0,2,79.034336
0.0,2,79.062356
0.0,2,79.090539
0.0,2,79.118834
0.0,2,79.147055
0.0,4,79.203666
0.0,4,79.260364
0.0,4,79.317323
0.0,2,79.34654
0.0,3,79.390155
0.0,2,79.419739
0.0,2,79.448611
0.0,2,79.474559
0.0,4,79.530241
0.0,2,79.562736
0.0,2,79.59505
0.0,2,79.627033
0.0,4,79.688638
0.0,2,79.721568
0.0,4,79.786223
0.0,2,79.819332
0.0,6,79.916453
0.0,2,79.949372
0.0,2,83.300025
0.0,6,83.385665
0.0,2,83.413555
0.0,2,83.441368
0.0,2,83.470457
0.0,2,83.50001
0.0,4,83.559759
0.0,2,83.647688
0.0,2,83.675304
0.0,2,83.702004
0.0,2,83.730445
0.0,2,83.760877
0.0,2,83.790709
0.0,2,83.820769
0.0,2,83.85084
0.0,4,83.910396
0.0,2,83.940623
0.0,2,83.970971
0.0,2,84.001117
0.0,6,84.086454
0.0,2,84.118364
0.0,2,84.150775
0.0,2,84.183254
0.0,2,84.212838
0.0,2,84.245448
0.0,2,84.278374
0.0,2,84.311249
0.0,2,84.343611
0.0,4,84.405118
0.0,2,84.437772
0.0,3,84.486178
0.0,2,84.519022
0.0,2,84.550971
0.0,2,84.58345
0.0,2,84.616427
0.0,2,84.649169
0.0,7,84.76324
0.0,2,84.800389
0.0,2,84.834981
0.0,2,84.870184
0.0,4,84.935026
0.0,2,84.967117
0.0,2,84.999727
0.0,2,85.033629
0.0,2,85.067783
0.0,4,85.134255
0.0,2,85.169101
0.0,2,85.203882
0.0,2,85.234999
0.0,2,85.26573
0.0,3,85.309388
0.0,2,88.857074
0.0,2,88.882479
0.0,4,88.931762
0.0,2,88.957621
0.0,2,88.983766
0.0,4,89.035417
0.0,2,89.06119
0.0,2,89.088005
0.0,2,89.115167
0.0,2,89.139615
0.0,4,89.18984
0.0,2,89.21547
0.0,2,89.240401
0.0,2,89.265922
0.0,4,89.318237
0.0,2,89.343753
0.0,2,89.369593
0.0,2,89.396086
0.0,2,89.4221
0.0,4,89.472799
0.0,2,89.499186
0.0,2,89.525065
0.0,2,89.550845
0.0,2,89.576622
0.0,5,89.642164
0.0,2,89.670422
0.0,4,89.725246
0.0,2,89.752987
0.0,2,89.781053
0.0,2,89.808378
0.0,2,89.835791
0.0,2,89.863763
0.0,2,89.891913
