#{"t_start": 1667421480.3316877, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,624.588409
0.0,2,624.619926
0.0,2,624.652988
0.0,2,624.686973
0.0,2,624.721251
0.0,2,624.75432
0.0,6,624.85679
0.0,2,624.890925
0.0,6,624.989979
0.0,2,625.019705
0.0,2,625.050524
0.0,4,625.111305
0.0,2,625.143717
0.0,2,625.176919
0.0,3,625.226537
0.0,4,625.290528
0.0,2,625.320748
0.0,2,625.352891
0.0,4,625.420096
0.0,2,625.452496
0.0,2,625.486638
0.0,2,625.519666
0.0,2,625.555654
0.0,2,625.587347
0.0,2,625.62223
0.0,3,625.673676
0.0,2,625.706542
0.0,6,625.815301
0.0,2,625.84924
0.0,2,625.883053
0.0,2,625.916903
0.0,2,625.954768
0.0,2,625.993822
0.0,2,626.028534
0.0,2,626.063882
0.0,2,626.098227
0.0,2,626.134548
0.0,4,626.21199
0.0,2,626.248759
0.0,2,626.285916
0.0,6,626.39543
0.0,2,626.435074
0.0,2,626.471411
0.0,2,626.504513
0.0,2,626.545439
0.0,2,626.581231
0.0,2,626.618165
0.0,2,626.655264
0.0,3,626.709012
0.0,4,630.183337
0.0,2,630.216503
0.0,4,630.277349
0.0,2,630.308456
0.0,2,630.338905
0.0,2,630.366045
0.0,2,630.394108
0.0,2,630.426439
0.0,2,630.458109
0.0,2,630.494141
0.0,4,630.550494
0.0,4,630.618968
0.0,2,630.649505
0.0,2,630.681407
0.0,2,630.712559
0.0,2,630.75139
0.0,2,630.781323
0.0,2,630.812949
0.0,2,630.84531
0.0,2,630.876056
0.0,2,630.908689
0.0,3,630.956136
0.0,2,630.988237
0.0,2,631.021517
0.0,2,631.055864
0.0,2,631.090476
0.0,2,631.122824
0.0,2,631.157198
0.0,2,631.193022
0.0,2,631.227873
0.0,2,631.263201
0.0,2,631.298303
0.0,2,631.331068
0.0,2,631.366936
0.0,2,631.39993
0.0,2,631.438064
0.0,2,631.471428
0.0,2,631.505562
0.0,2,631.544624
0.0,2,631.583044
0.0,2,631.620232
0.0,2,631.652764
0.0,2,631.684347
0.0,2,631.719383
0.0,2,631.754658
0.0,4,631.831028
0.0,2,631.872118
0.0,2,631.90842
0.0,2,631.948426
0.0,2,631.988095
0.0,3,632.042075
0.0,4,632.118703
0.0,2,632.156373
0.0,2,632.193638
0.0,4,632.264546
0.0,2,632.300448
0.0,2,632.336906
1.0,7,636.036605
1.0,7,636.144553
1.0,7,636.256371
1.0,7,636.37834
1.0,7,636.484916
1.0,7,636.594186
1.0,7,636.696565
1.0,7,636.813135
1.0,7,636.937699
1.0,7,637.057414
1.0,7,637.183833
1.0,7,637.311235
1.0,7,637.436409
1.0,7,637.560803
1.0,7,637.682554
1.0,7,637.808838
1.0,7,637.931258
1.0,7,638.052503
1.0,7,641.590088
1.0,7,641.697767
1.0,7,641.810851
1.0,7,641.930047
1.0,7,642.044911
1.0,7,642.16234
1.0,7,642.2744
1.0,7,642.381258
1.0,7,642.48946
1.0,7,642.610387
0.0,7,642.728619
1.0,7,642.855267
1.0,7,642.973197
1.0,7,643.097657
1.0,7,643.225084
1.0,7,643.351268
1.0,7,643.465439
1.0,7,643.589267
1.0,7,647.226399
1.0,7,647.336823
0.0,4,647.394663
1.0,7,647.500934
