#{"t_start": 1667421479.7441723, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,625.172907
0.0,4,625.238447
0.0,2,625.272266
0.0,2,625.306831
0.0,2,625.339715
0.0,2,625.371679
0.0,2,625.407282
0.0,2,625.442197
0.0,2,625.476319
0.0,2,625.512012
0.0,7,625.619247
0.0,2,625.6514
0.0,2,625.682878
0.0,2,625.713982
0.0,2,625.745374
0.0,2,625.779186
0.0,2,625.811765
0.0,2,625.84425
0.0,3,625.892893
0.0,2,625.923625
0.0,4,625.98804
0.0,2,626.021389
0.0,2,626.056354
0.0,2,626.088341
0.0,2,626.122497
0.0,2,626.157107
0.0,2,626.189826
0.0,2,626.225816
0.0,2,626.259619
0.0,4,626.328836
0.0,2,626.362652
0.0,2,626.400814
0.0,4,626.468712
0.0,2,626.502417
0.0,2,626.540315
0.0,2,626.57926
0.0,2,626.614147
0.0,4,626.683854
0.0,2,626.720068
0.0,2,626.759324
0.0,2,626.797095
0.0,2,626.833991
0.0,2,626.871269
0.0,2,626.907385
0.0,2,626.943865
0.0,2,626.980646
0.0,2,627.020302
0.0,2,627.05705
0.0,2,627.090197
0.0,4,627.166847
0.0,2,627.203965
0.0,2,627.241048
0.0,2,627.275962
0.0,2,627.315732
0.0,4,630.785108
0.0,2,630.818949
0.0,2,630.848965
0.0,2,630.87886
0.0,2,630.908674
0.0,4,630.966682
0.0,6,631.062771
0.0,2,631.09365
0.0,2,631.121888
0.0,2,631.151056
0.0,2,631.185534
0.0,4,631.252555
0.0,2,631.28273
0.0,2,631.324129
0.0,3,631.367253
0.0,2,631.398546
0.0,2,631.430929
0.0,2,631.461761
0.0,2,631.494296
0.0,4,631.558442
0.0,2,631.591147
0.0,2,631.624658
0.0,2,631.65891
0.0,2,631.690601
0.0,3,631.742917
0.0,2,631.778757
0.0,6,631.884009
0.0,2,631.916651
0.0,2,631.952475
0.0,2,631.985554
0.0,4,632.057381
0.0,4,632.130087
0.0,2,632.168634
0.0,6,632.27032
0.0,2,632.304765
0.0,2,632.340391
0.0,2,632.379874
0.0,2,632.41672
0.0,2,632.457714
0.0,3,632.514548
0.0,2,632.555261
0.0,2,632.590575
0.0,2,632.627519
0.0,3,632.68558
0.0,2,632.721943
0.0,2,632.758548
0.0,2,632.795788
0.0,2,632.834865
0.0,2,632.868769
1.0,7,636.574275
1.0,7,636.679308
1.0,7,636.793678
1.0,7,636.913771
1.0,7,637.023964
1.0,7,637.130895
1.0,7,637.239192
1.0,7,637.346129
1.0,7,637.467708
1.0,7,637.58442
1.0,7,637.711321
1.0,7,637.840318
1.0,7,637.96623
1.0,7,638.093214
1.0,7,638.215041
1.0,7,638.339953
