#{"t_start": 1667421481.928857, "env_id": "CTgraph-v0"}
r,l,t
0.0,6,344.141973
0.0,4,344.209293
0.0,2,344.242051
0.0,2,344.273626
0.0,6,344.369219
0.0,2,344.402547
0.0,2,344.435581
0.0,4,344.503592
0.0,2,344.539009
0.0,2,344.570907
0.0,2,344.603448
0.0,4,344.669716
0.0,4,344.740417
0.0,4,344.810892
0.0,4,344.882114
0.0,2,344.917727
0.0,2,344.954731
0.0,2,344.990902
0.0,2,345.027112
0.0,2,345.063128
0.0,2,345.096042
0.0,6,345.200107
0.0,2,345.233799
0.0,2,345.271961
0.0,2,345.308962
0.0,2,345.34271
0.0,6,345.443595
0.0,2,345.474768
0.0,2,345.504202
0.0,2,345.534926
0.0,2,345.567163
0.0,3,345.617863
0.0,6,345.719862
0.0,2,345.754791
0.0,2,345.789832
0.0,2,345.82388
0.0,2,345.857873
0.0,2,345.892189
0.0,2,345.927156
0.0,2,345.961414
0.0,2,345.995611
0.0,2,346.029946
0.0,4,346.098566
0.0,2,346.134266
0.0,2,346.169302
0.0,2,346.201649
0.0,2,349.411687
0.0,2,349.449684
0.0,2,349.484406
0.0,4,349.554284
0.0,4,349.624486
0.0,2,349.659105
0.0,2,349.696001
0.0,4,349.761361
0.0,2,349.791541
0.0,4,349.849894
0.0,2,349.879487
0.0,4,349.94148
0.0,4,350.000663
0.0,2,350.029664
0.0,2,350.057937
0.0,2,350.087185
0.0,2,350.117168
0.0,2,350.147844
0.0,2,350.18041
0.0,2,350.214563
0.0,6,350.31265
0.0,2,350.347144
0.0,3,350.396768
0.0,2,350.431454
0.0,2,350.466373
0.0,2,350.500306
0.0,2,350.533574
0.0,2,350.568619
0.0,2,350.60431
0.0,2,350.640024
0.0,2,350.674085
0.0,2,350.711149
0.0,2,350.749279
0.0,3,350.805061
0.0,4,350.866542
0.0,2,350.896166
0.0,3,350.941344
0.0,2,350.971683
0.0,2,351.003076
0.0,2,351.034491
0.0,4,351.101347
0.0,2,351.135894
0.0,2,351.166802
0.0,4,351.235262
0.0,4,351.305514
0.0,2,351.340597
0.0,2,351.376294
0.0,2,351.41271
0.0,2,351.448576
0.0,2,351.484786
0.0,2,351.518458
0.0,2,354.633482
0.0,2,354.67169
0.0,2,354.707219
0.0,4,354.779274
0.0,2,354.817939
0.0,3,354.872149
0.0,2,354.90687
0.0,2,354.944707
0.0,2,354.984605
0.0,2,355.0229
0.0,2,355.056861
0.0,2,355.091808
0.0,4,355.165642
0.0,2,355.201472
0.0,2,355.236304
0.0,2,355.270798
0.0,2,355.302802
0.0,2,355.33511
0.0,2,355.370612
0.0,4,355.434232
0.0,2,355.466048
0.0,3,355.514606
0.0,3,355.563281
0.0,2,355.600154
0.0,2,355.634495
0.0,2,355.668378
0.0,2,355.702229
0.0,2,355.738598
0.0,2,355.774937
0.0,6,355.878621
0.0,4,355.944093
0.0,3,355.993576
0.0,2,356.027459
0.0,2,356.060433
0.0,2,356.093048
0.0,2,356.128536
0.0,5,356.21559
0.0,2,356.248489
0.0,2,356.281113
0.0,2,356.315602
0.0,4,356.376527
0.0,2,356.405991
0.0,2,356.435501
0.0,2,356.466988
0.0,2,356.500352
0.0,2,356.534075
0.0,2,356.565325
0.0,4,356.632784
0.0,2,356.661121
0.0,2,356.694039
0.0,2,356.729571
0.0,2,356.765712
0.0,6,360.212317
0.0,4,360.278944
0.0,4,360.356301
1.0,7,360.48631
0.0,3,360.538725
0.0,2,360.573936
0.0,2,360.604105
1.0,7,360.73151
0.0,4,360.800718
0.0,7,360.914601
0.0,2,360.946095
1.0,7,361.063408
1.0,7,361.178501
1.0,7,361.301198
0.0,4,361.36948
1.0,7,361.48839
0.0,2,361.522118
0.0,6,361.615047
1.0,7,361.729663
0.0,6,361.822735
0.0,2,361.857305
0.0,2,361.892927
1.0,7,361.998875
0.0,2,362.028883
0.0,2,362.062981
1.0,7,362.18291
0.0,4,362.249484
0.0,4,365.573897
0.0,2,365.606937
0.0,6,365.713386
1.0,7,365.835753
0.0,2,365.871514
0.0,4,365.94353
0.0,4,366.020933
1.0,7,366.150717
0.0,2,366.188351
0.0,4,366.264082
1.0,7,366.384863
1.0,7,366.501139
1.0,7,366.61872
0.0,4,366.687843
1.0,7,366.809842
0.0,2,366.845569
0.0,2,366.878197
0.0,2,366.91093
0.0,7,367.036748
0.0,4,367.105528
1.0,7,367.223013
0.0,2,367.253381
0.0,4,367.314445
0.0,6,367.413604
0.0,2,367.447249
1.0,7,367.556638
0.0,4,367.621795
1.0,7,367.737989
0.0,4,371.1347
0.0,2,371.173914
0.0,3,371.231745
1.0,7,371.360347
1.0,7,371.484213
1.0,7,371.614756
1.0,7,371.739254
1.0,7,371.861186
0.0,6,371.962978
0.0,6,372.069368
0.0,4,372.135197
0.0,4,372.199801
0.0,4,372.267126
1.0,7,372.383859
1.0,7,372.506626
0.0,4,372.575133
1.0,7,372.698459
0.0,2,372.731112
1.0,7,372.843318
0.0,2,372.873635
0.0,7,372.976748
0.0,2,373.009382
0.0,4,373.070665
0.0,2,373.10283
1.0,7,373.212876
1.0,7,376.589538
1.0,7,376.704046
1.0,7,376.827556
1.0,7,376.943492
0.0,5,377.025988
0.0,6,377.122973
1.0,7,377.234793
0.0,6,377.340208
0.0,2,377.375651
0.0,4,377.442263
0.0,4,377.51154
1.0,7,377.636591
0.0,2,377.666996
0.0,4,377.729054
1.0,7,377.854562
0.0,5,377.940579
0.0,6,378.047719
1.0,7,378.1733
1.0,7,378.295696
0.0,4,378.36229
1.0,7,378.473291
1.0,7,378.583601
0.0,7,381.904737
1.0,7,382.024843
1.0,7,382.150031
1.0,7,382.26856
1.0,7,382.37782
1.0,7,382.500635
1.0,7,382.617181
0.0,6,382.712373
0.0,4,382.779628
0.0,7,382.896178
0.0,4,382.962343
1.0,7,383.086859
1.0,7,383.204489
1.0,7,383.323035
0.0,2,383.359356
1.0,7,383.472995
1.0,7,383.580977
1.0,7,383.695919
1.0,7,383.806522
1.0,7,383.922903
1.0,7,387.275371
0.0,2,387.308565
0.0,4,387.37384
1.0,7,387.490438
1.0,7,387.614462
0.0,4,387.684672
1.0,7,387.815202
0.0,4,387.884092
1.0,7,388.009931
1.0,7,388.125905
1.0,7,388.245205
0.0,6,388.352149
1.0,7,388.472708
0.0,4,388.544418
1.0,7,388.74958
0.0,2,388.784256
1.0,7,388.907619
1.0,7,389.027457
1.0,7,389.151441
1.0,7,389.267206
1.0,7,389.391821
0.0,4,389.457666
1.0,7,392.785956
0.0,4,392.847833
1.0,7,392.966293
1.0,7,393.092916
1.0,7,393.210091
1.0,7,393.33375
1.0,7,393.451364
1.0,7,393.57503
0.0,4,393.659197
0.0,5,393.745951
1.0,7,393.869827
0.0,2,393.90835
0.0,4,393.982301
1.0,7,394.108488
1.0,7,394.228469
1.0,7,394.347945
0.0,6,394.454513
1.0,7,394.575773
1.0,7,394.697428
0.0,2,394.729617
1.0,7,394.853974
1.0,7,394.971284
1.0,7,398.328761
1.0,7,398.448468
1.0,7,398.573663
1.0,7,398.712187
0.0,7,398.841226
1.0,7,398.965628
1.0,7,399.085286
1.0,7,399.207779
1.0,7,399.320598
1.0,7,399.450832
1.0,7,399.570322
1.0,7,399.690626
1.0,7,399.811693
1.0,7,399.931149
1.0,7,400.058097
1.0,7,400.180953
1.0,7,400.303044
1.0,7,400.418926
1.0,7,403.885961
1.0,7,404.005107
1.0,7,404.130716
0.0,7,404.248254
0.0,6,404.349304
1.0,7,404.474522
1.0,7,404.588004
1.0,7,404.714526
1.0,7,404.840719
1.0,7,404.953992
1.0,7,405.068918
1.0,7,405.191872
0.0,4,405.262045
1.0,7,405.384587
1.0,7,405.497498
0.0,4,405.563369
0.0,6,405.665941
1.0,7,405.784985
1.0,7,405.905581
1.0,7,409.25646
1.0,7,409.37412
1.0,7,409.491269
1.0,7,409.613044
1.0,7,409.736243
1.0,7,409.859819
1.0,7,409.985228
1.0,7,410.102474
0.0,7,410.228592
1.0,7,410.345943
1.0,7,410.46571
1.0,7,410.591038
1.0,7,410.709034
1.0,7,410.822869
1.0,7,410.940434
1.0,7,411.057426
1.0,7,411.178179
1.0,7,411.298816
1.0,7,411.418569
1.0,7,414.915398
1.0,7,415.029388
1.0,7,415.13799
1.0,7,415.253422
1.0,7,415.370258
1.0,7,415.481395
1.0,7,415.607885
1.0,7,415.729094
1.0,7,415.845699
1.0,7,415.97553
0.0,2,416.008517
1.0,7,416.124485
1.0,7,416.248455
1.0,7,416.372905
1.0,7,416.492338
1.0,7,416.615664
1.0,7,416.735718
1.0,7,416.844725
1.0,7,416.959072
1.0,7,420.306319
1.0,7,420.425625
1.0,7,420.544987
1.0,7,420.665354
1.0,7,420.784589
1.0,7,420.904946
1.0,7,421.018891
1.0,7,421.141613
1.0,7,421.265099
1.0,7,421.392757
1.0,7,421.502864
1.0,7,421.630474
1.0,7,421.748608
1.0,7,421.863731
1.0,7,421.984162
1.0,7,422.104569
1.0,7,422.226859
1.0,7,422.348243
1.0,7,425.76008
1.0,7,425.875916
1.0,7,425.996158
1.0,7,426.112615
1.0,7,426.236213
1.0,7,426.360146
1.0,7,426.48011
1.0,7,426.593041
1.0,7,426.712638
1.0,7,426.837451
1.0,7,426.955674
1.0,7,427.071164
1.0,7,427.190604
1.0,7,427.313885
1.0,7,427.430533
1.0,7,427.54395
1.0,7,427.664334
1.0,7,427.784775
1.0,7,431.233324
1.0,7,431.343364
1.0,7,431.453721
1.0,7,431.573246
1.0,7,431.695482
1.0,7,431.818972
1.0,7,431.941074
1.0,7,432.058515
1.0,7,432.184054
1.0,7,432.308543
1.0,7,432.429655
1.0,7,432.555501
1.0,7,432.674488
1.0,7,432.795877
1.0,7,432.920246
1.0,7,433.037541
1.0,7,433.15695
1.0,7,433.273007
1.0,7,433.398982
1.0,7,436.803582
1.0,7,436.922553
1.0,7,437.04278
1.0,7,437.164099
1.0,7,437.283406
1.0,7,437.407636
1.0,7,437.529303
1.0,7,437.645551
1.0,7,437.767111
1.0,7,437.890454
1.0,7,438.017043
1.0,7,438.14262
1.0,7,438.264096
1.0,7,438.378627
1.0,7,438.499017
1.0,7,438.614214
1.0,7,438.742971
1.0,7,438.862506
1.0,7,442.292045
1.0,7,442.405421
0.0,3,442.456945
1.0,7,442.577056
1.0,7,442.690784
1.0,7,442.807008
1.0,7,442.922879
1.0,7,443.037352
1.0,7,443.159772
1.0,7,443.287409
1.0,7,443.406867
1.0,7,443.530679
1.0,7,443.664751
1.0,7,443.787711
1.0,7,443.904355
1.0,7,444.027255
1.0,7,444.148674
1.0,7,444.268272
1.0,7,444.402253
1.0,7,447.791671
1.0,7,447.91153
1.0,7,448.031312
1.0,7,448.151962
1.0,7,448.270602
1.0,7,448.39459
1.0,7,448.508144
1.0,7,448.6251
1.0,7,448.824881
1.0,7,448.949346
1.0,7,449.072397
1.0,7,449.198552
1.0,7,449.319776
1.0,7,449.447642
1.0,7,449.567419
1.0,7,449.694583
1.0,7,449.816305
1.0,7,449.939148
1.0,7,453.335228
1.0,7,453.445185
1.0,7,453.564616
1.0,7,453.67981
1.0,7,453.803971
1.0,7,453.920569
1.0,7,454.044918
1.0,7,454.154425
1.0,7,454.264466
1.0,7,454.393332
1.0,7,454.514125
1.0,7,454.634881
1.0,7,454.750975
1.0,7,454.867194
1.0,7,454.985601
1.0,7,455.101467
1.0,7,455.225289
1.0,7,455.339654
1.0,7,458.763335
1.0,7,458.872766
1.0,7,458.990291
1.0,7,459.107189
1.0,7,459.231461
1.0,7,459.356525
0.0,6,459.457683
1.0,7,459.573223
1.0,7,459.679957
1.0,7,459.788208
1.0,7,459.915419
1.0,7,460.045445
1.0,7,460.163092
1.0,7,460.284007
1.0,7,460.408739
1.0,7,460.532969
1.0,7,460.645893
1.0,7,460.770209
1.0,7,460.882943
1.0,7,464.262403
1.0,7,464.376728
1.0,7,464.496305
1.0,7,464.612491
1.0,7,464.730916
1.0,7,464.852253
1.0,7,464.980891
0.0,5,465.068139
1.0,7,465.192343
1.0,7,465.307047
1.0,7,465.422045
1.0,7,465.550477
1.0,7,465.667132
1.0,7,465.782588
0.0,2,465.819372
1.0,7,465.940951
1.0,7,466.064273
1.0,7,466.181069
1.0,7,466.30428
1.0,7,469.762794
1.0,7,469.873467
1.0,7,469.990642
1.0,7,470.099625
1.0,7,470.22226
1.0,7,470.338955
1.0,7,470.455411
1.0,7,470.572333
1.0,7,470.67961
1.0,7,470.788703
1.0,7,470.904549
1.0,7,471.026158
1.0,7,471.144337
1.0,7,471.263406
1.0,7,471.373901
1.0,7,471.501208
1.0,7,471.626877
1.0,7,471.746104
1.0,7,475.134022
1.0,7,475.245
1.0,7,475.357465
1.0,7,475.467244
1.0,7,475.587023
1.0,7,475.704279
1.0,7,475.823756
1.0,7,475.951227
1.0,7,476.069846
1.0,7,476.19121
1.0,7,476.313431
1.0,7,476.423623
1.0,7,476.54364
1.0,7,476.659343
1.0,7,476.782744
1.0,7,476.906468
1.0,7,477.034563
1.0,7,477.156142
1.0,7,477.276296
1.0,7,480.708794
1.0,7,480.825436
1.0,7,480.943294
1.0,7,481.051636
1.0,7,481.169577
1.0,7,481.286719
1.0,7,481.40278
1.0,7,481.526042
1.0,7,481.64791
1.0,7,481.764305
1.0,7,481.875548
1.0,7,481.991332
1.0,7,482.107183
1.0,7,482.227738
1.0,7,482.347345
1.0,7,482.467571
1.0,7,482.578099
1.0,7,482.698008
1.0,7,486.136455
1.0,7,486.249227
1.0,7,486.363701
1.0,7,486.473659
1.0,7,486.59065
1.0,7,486.705391
1.0,7,486.825169
1.0,7,486.948205
1.0,7,487.076374
1.0,7,487.19006
1.0,7,487.303373
1.0,7,487.419171
1.0,7,487.540927
1.0,7,487.664018
1.0,7,487.776353
1.0,7,487.897496
1.0,7,488.018061
1.0,7,488.141308
1.0,7,491.551748
1.0,7,491.662844
1.0,7,491.7769
1.0,7,491.896991
1.0,7,492.016657
1.0,7,492.132778
1.0,7,492.249914
1.0,7,492.373704
1.0,7,492.493661
0.0,4,492.566734
0.0,3,492.620097
0.0,7,492.732715
0.0,3,492.778758
1.0,7,492.894664
1.0,7,493.008354
1.0,7,493.127136
1.0,7,493.250005
1.0,7,493.367476
1.0,7,493.483893
1.0,7,493.604847
0.0,3,493.688034
1.0,7,497.143764
1.0,7,497.258947
1.0,7,497.376222
1.0,7,497.492125
1.0,7,497.613402
1.0,7,497.728623
1.0,7,497.851139
1.0,7,497.973445
1.0,7,498.095022
1.0,7,498.213148
1.0,7,498.326575
1.0,7,498.444336
1.0,7,498.564959
1.0,7,498.678507
1.0,7,498.798404
1.0,7,498.9153
1.0,7,499.040512
1.0,7,499.16112
1.0,7,502.601232
1.0,7,502.714372
1.0,7,502.824888
1.0,7,502.940678
1.0,7,503.06076
1.0,7,503.177005
1.0,7,503.296452
1.0,7,503.414204
1.0,7,503.534016
1.0,7,503.676101
1.0,7,503.787547
1.0,7,503.895393
1.0,7,504.010678
1.0,7,504.133214
1.0,7,504.25788
1.0,7,504.380433
1.0,7,504.501168
1.0,7,504.618141
1.0,7,508.082768
1.0,7,508.195028
1.0,7,508.309424
1.0,7,508.428105
1.0,7,508.544754
1.0,7,508.719257
1.0,7,508.840122
1.0,7,508.961482
1.0,7,509.075637
1.0,7,509.194401
1.0,7,509.303818
1.0,7,509.418962
1.0,7,509.534504
1.0,7,509.651393
1.0,7,509.772588
1.0,7,509.900779
1.0,7,510.024084
1.0,7,510.146993
1.0,7,513.619907
1.0,7,513.733496
1.0,7,513.847558
1.0,7,513.957941
1.0,7,514.076714
1.0,7,514.199725
1.0,7,514.324584
1.0,7,514.446674
1.0,7,514.56496
1.0,7,514.686125
1.0,7,514.798648
1.0,7,514.915127
1.0,7,515.030173
1.0,7,515.149178
1.0,7,515.269192
1.0,7,515.396064
1.0,7,515.506822
1.0,7,515.624171
1.0,7,515.747679
1.0,7,519.152349
1.0,7,519.275375
1.0,7,519.389688
1.0,7,519.510385
1.0,7,519.632456
1.0,7,519.746663
1.0,7,519.867151
1.0,7,519.984729
1.0,7,520.106194
