#{"t_start": 1667421482.49478, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,343.503419
0.0,2,343.540899
0.0,4,343.611251
0.0,2,343.645613
0.0,2,343.678053
0.0,4,343.74196
0.0,2,343.773296
0.0,2,343.805503
0.0,2,343.838604
0.0,2,343.871581
0.0,2,343.904384
0.0,2,343.939563
0.0,2,343.974988
0.0,2,344.006892
0.0,2,344.039429
0.0,2,344.071711
0.0,2,344.105678
0.0,2,344.141603
0.0,2,344.176472
0.0,2,344.211055
0.0,2,344.246999
0.0,4,344.318593
0.0,4,344.391034
0.0,2,344.427186
0.0,2,344.46388
0.0,4,344.532517
0.0,2,344.567143
0.0,2,344.600339
0.0,2,344.636252
0.0,2,344.670328
0.0,2,344.708375
0.0,2,344.745464
0.0,2,344.779114
0.0,2,344.814923
0.0,2,344.847599
0.0,2,344.880189
0.0,2,344.911077
0.0,2,344.940681
0.0,4,345.003654
0.0,2,345.035215
0.0,2,345.069961
0.0,2,345.104147
0.0,2,345.13921
0.0,2,345.173437
0.0,2,345.208081
0.0,4,345.277054
0.0,2,345.311018
0.0,4,345.379348
0.0,2,345.414478
0.0,2,345.449825
0.0,2,345.483412
0.0,2,345.516982
0.0,2,345.552891
0.0,2,345.588424
0.0,2,345.620624
0.0,2,345.653391
0.0,2,348.867386
0.0,2,348.901704
0.0,2,348.93558
0.0,2,348.970104
0.0,4,349.041938
0.0,2,349.076833
0.0,2,349.114775
0.0,2,349.148921
0.0,2,349.181315
0.0,2,349.212884
0.0,3,349.256273
0.0,2,349.28581
0.0,2,349.315316
0.0,6,349.408477
0.0,3,349.451052
0.0,2,349.479548
0.0,2,349.508111
0.0,3,349.553039
0.0,2,349.583899
0.0,2,349.616414
0.0,4,349.680203
0.0,2,349.71424
0.0,4,349.783235
0.0,3,349.8325
0.0,4,349.902434
0.0,2,349.936382
0.0,2,349.969645
0.0,2,350.004753
0.0,2,350.040407
0.0,2,350.076336
0.0,2,350.110315
0.0,4,350.185409
0.0,4,350.256586
0.0,2,350.287521
0.0,2,350.317593
0.0,2,350.346921
0.0,2,350.377373
0.0,2,350.407575
0.0,2,350.438989
0.0,2,350.470626
0.0,2,350.502447
0.0,2,350.537187
0.0,2,350.571763
0.0,4,350.635107
0.0,4,350.706334
0.0,2,350.741529
0.0,2,350.776658
0.0,2,350.81228
0.0,2,350.849155
0.0,2,350.884931
0.0,2,350.920734
0.0,2,350.954548
0.0,2,354.069619
0.0,3,354.123868
0.0,2,354.161999
0.0,2,354.200164
0.0,2,354.234645
0.0,4,354.308616
0.0,2,354.343518
0.0,2,354.381107
0.0,2,354.421
0.0,2,354.459357
0.0,2,354.493264
0.0,2,354.52813
0.0,2,354.563164
0.0,2,354.602156
0.0,2,354.637675
0.0,2,354.672414
0.0,3,354.72407
0.0,2,354.756291
0.0,2,354.789123
0.0,4,354.853821
