#{"t_start": 1667421481.928744, "env_id": "CTgraph-v0"}
r,l,t
0.0,4,1651.430063
0.0,2,1651.469884
0.0,2,1651.508348
0.0,2,1651.548069
0.0,2,1651.607565
0.0,2,1651.645163
0.0,2,1651.67543
0.0,2,1651.712356
0.0,2,1651.746731
0.0,4,1651.817177
0.0,2,1651.858322
0.0,2,1651.895367
0.0,2,1651.933177
0.0,2,1651.96665
0.0,2,1651.999237
0.0,6,1652.098533
0.0,3,1652.146598
0.0,5,1652.233835
0.0,4,1652.300981
0.0,3,1652.352164
0.0,2,1652.389436
0.0,2,1652.423851
0.0,2,1652.461531
0.0,2,1652.492175
0.0,2,1652.528566
0.0,2,1652.561849
0.0,2,1652.599404
0.0,3,1652.655099
0.0,2,1652.694406
0.0,2,1652.729023
0.0,6,1652.846078
0.0,2,1652.879336
0.0,5,1652.973639
0.0,2,1653.00769
0.0,2,1653.040998
0.0,2,1653.079956
0.0,2,1653.122038
0.0,2,1653.161044
0.0,2,1653.195713
0.0,2,1653.230723
0.0,2,1653.270632
0.0,2,1653.305521
0.0,2,1653.344827
0.0,2,1653.383297
0.0,6,1653.503797
0.0,2,1653.547905
0.0,2,1653.588602
0.0,4,1653.664859
0.0,2,1653.702461
0.0,3,1657.505948
0.0,2,1657.54123
0.0,2,1657.576002
0.0,2,1657.611473
0.0,2,1657.651025
0.0,2,1657.686076
0.0,3,1657.736308
0.0,7,1657.859074
0.0,2,1657.892599
0.0,3,1657.941895
0.0,2,1657.975559
0.0,2,1658.00929
0.0,2,1658.042807
0.0,2,1658.076782
0.0,2,1658.1107
0.0,2,1658.150252
0.0,4,1658.211336
0.0,2,1658.243881
0.0,4,1658.304791
0.0,2,1658.339924
0.0,2,1658.375842
0.0,2,1658.413551
0.0,6,1658.520783
0.0,2,1658.558132
0.0,2,1658.595531
0.0,2,1658.625717
0.0,4,1658.690503
0.0,2,1658.725034
0.0,2,1658.760687
0.0,2,1658.796365
0.0,2,1658.831808
0.0,2,1658.867606
0.0,2,1658.901821
0.0,3,1658.959589
0.0,2,1658.995628
0.0,2,1659.032666
0.0,2,1659.066713
0.0,2,1659.100838
0.0,2,1659.134174
0.0,2,1659.168359
0.0,2,1659.202306
0.0,2,1659.235954
0.0,4,1659.313995
0.0,2,1659.351343
0.0,2,1659.386357
0.0,4,1659.460962
0.0,2,1659.502381
0.0,4,1659.584085
0.0,2,1659.625965
0.0,6,1659.746271
0.0,2,1663.594558
0.0,2,1663.634583
0.0,4,1663.707433
0.0,2,1663.74655
0.0,2,1663.781685
0.0,2,1663.813768
0.0,4,1663.877425
0.0,7,1663.995503
0.0,4,1664.074378
0.0,4,1664.146742
0.0,2,1664.180816
0.0,2,1664.214797
0.0,2,1664.248303
0.0,2,1664.283538
0.0,2,1664.319776
0.0,2,1664.354237
0.0,2,1664.386535
0.0,2,1664.414944
0.0,2,1664.443226
0.0,2,1664.474373
0.0,2,1664.506941
0.0,2,1664.537857
0.0,2,1664.576505
0.0,2,1664.614426
0.0,2,1664.645871
0.0,4,1664.717466
0.0,2,1664.751002
0.0,2,1664.788661
0.0,2,1664.826658
0.0,4,1664.891173
0.0,2,1664.924981
0.0,2,1664.964512
0.0,2,1665.003254
0.0,3,1665.063723
0.0,2,1665.103912
0.0,2,1665.138973
0.0,3,1665.200907
0.0,4,1665.274038
0.0,2,1665.315164
0.0,4,1665.39517
0.0,2,1665.438946
0.0,2,1665.476492
0.0,2,1665.515365
0.0,4,1665.599879
0.0,2,1665.639576
0.0,3,1665.70194
0.0,2,1665.744803
0.0,2,1665.782239
0.0,2,1665.824183
0.0,2,1665.866019
0.0,2,1665.905453
0.0,2,1669.726757
0.0,2,1669.766174
0.0,4,1669.841163
0.0,2,1669.876765
0.0,2,1669.917757
0.0,2,1669.957137
0.0,2,1669.994699
0.0,2,1670.034783
0.0,7,1670.157456
0.0,2,1670.191051
0.0,2,1670.224669
0.0,7,1670.341699
0.0,2,1670.378803
0.0,4,1670.453074
0.0,2,1670.485523
0.0,4,1670.55373
0.0,2,1670.586828
0.0,4,1670.656613
0.0,2,1670.687728
0.0,2,1670.724643
0.0,2,1670.763022
0.0,2,1670.796732
0.0,5,1670.887101
0.0,2,1670.925234
0.0,3,1670.979252
0.0,4,1671.052993
0.0,4,1671.123816
0.0,2,1671.167259
0.0,2,1671.21009
0.0,2,1671.242764
0.0,2,1671.275409
0.0,3,1671.320868
0.0,2,1671.355228
0.0,2,1671.388507
0.0,4,1671.459804
0.0,2,1671.499119
0.0,2,1671.541863
0.0,4,1671.615006
0.0,2,1671.656355
0.0,2,1671.694339
0.0,2,1671.736441
0.0,2,1671.778651
0.0,2,1671.822274
0.0,2,1671.866503
0.0,2,1671.905609
0.0,4,1671.992714
0.0,2,1672.032454
1.0,7,1676.085159
1.0,7,1676.224451
1.0,7,1676.359739
1.0,7,1676.492821
1.0,7,1676.610613
1.0,7,1676.725932
1.0,7,1676.838488
1.0,7,1676.953845
1.0,7,1677.071898
1.0,7,1677.19873
1.0,7,1677.335871
1.0,7,1677.466016
1.0,7,1677.602452
1.0,7,1677.740595
1.0,7,1677.885137
1.0,7,1678.025867
1.0,7,1678.17125
1.0,7,1678.303576
0.0,6,1682.147294
1.0,7,1682.274825
1.0,7,1682.40501
1.0,7,1682.545552
1.0,7,1682.693099
1.0,7,1682.826475
1.0,7,1682.952474
1.0,7,1683.068537
1.0,7,1683.193489
1.0,7,1683.321276
1.0,7,1683.45886
1.0,7,1683.592733
1.0,7,1683.721533
1.0,7,1683.848274
1.0,7,1683.971358
1.0,7,1684.115329
1.0,7,1684.243098
1.0,7,1684.377351
1.0,7,1688.222664
1.0,7,1688.344569
1.0,7,1688.471403
1.0,7,1688.598484
1.0,7,1688.722358
1.0,7,1688.851021
1.0,7,1688.984261
1.0,7,1689.1105
1.0,7,1689.229696
1.0,7,1689.345021
1.0,7,1689.45241
0.0,4,1689.520033
1.0,7,1689.641891
1.0,7,1689.763711
1.0,7,1689.882051
1.0,7,1690.020791
1.0,7,1690.15101
1.0,7,1690.289655
1.0,7,1690.426302
1.0,7,1694.307775
1.0,7,1694.431797
1.0,7,1694.563781
1.0,7,1694.691978
1.0,7,1694.821409
1.0,7,1694.946714
1.0,7,1695.082929
1.0,7,1695.21277
1.0,7,1695.331642
1.0,7,1695.453672
1.0,7,1695.58213
1.0,7,1695.698687
1.0,7,1695.82526
1.0,7,1695.956631
1.0,7,1696.090407
1.0,7,1696.222589
1.0,7,1696.362149
1.0,7,1696.499303
1.0,7,1700.428812
1.0,7,1700.556106
1.0,7,1700.682937
1.0,7,1700.818526
1.0,7,1700.936454
1.0,7,1701.064291
1.0,7,1701.196826
1.0,7,1701.323707
1.0,7,1701.442108
1.0,7,1701.546009
1.0,7,1701.688315
1.0,7,1701.807203
1.0,7,1701.917972
1.0,7,1702.035584
1.0,7,1702.155451
1.0,7,1702.272916
1.0,7,1702.407204
1.0,7,1702.549865
1.0,7,1702.692168
1.0,7,1706.577156
1.0,7,1706.702416
1.0,7,1706.828218
1.0,7,1706.955243
1.0,7,1707.091249
1.0,7,1707.223571
0.0,3,1707.284724
1.0,7,1707.426739
1.0,7,1707.56913
1.0,7,1707.683835
0.0,6,1707.781628
1.0,7,1707.90141
1.0,7,1708.026411
1.0,7,1708.151968
1.0,7,1708.284938
1.0,7,1708.405766
1.0,7,1708.54022
1.0,7,1708.672298
1.0,7,1708.808306
1.0,7,1712.718753
1.0,7,1712.853593
1.0,7,1712.984258
1.0,7,1713.121154
1.0,7,1713.258054
1.0,7,1713.389888
1.0,7,1713.528497
1.0,7,1713.671205
1.0,7,1713.797123
1.0,7,1713.902702
1.0,7,1714.010537
1.0,7,1714.129776
1.0,7,1714.259589
1.0,7,1714.38603
1.0,7,1714.523498
1.0,7,1714.666109
1.0,7,1714.808789
1.0,7,1714.945021
1.0,7,1718.814562
1.0,7,1718.932633
1.0,7,1719.052234
1.0,7,1719.173514
1.0,7,1719.302578
1.0,7,1719.425021
1.0,7,1719.55434
1.0,7,1719.697696
1.0,7,1719.840712
1.0,7,1719.975662
1.0,7,1720.103616
1.0,7,1720.215969
1.0,7,1720.32953
1.0,7,1720.458035
1.0,7,1720.579272
1.0,7,1720.706416
1.0,7,1720.835633
1.0,7,1720.976566
1.0,7,1725.173078
1.0,7,1725.302762
1.0,7,1725.431712
1.0,7,1725.548209
1.0,7,1725.679372
1.0,7,1725.823661
1.0,7,1725.954321
1.0,7,1726.084062
1.0,7,1726.211136
1.0,7,1726.321305
1.0,7,1726.44551
1.0,7,1726.5745
1.0,7,1726.8167
1.0,7,1726.953142
1.0,7,1727.085239
1.0,7,1727.211959
1.0,7,1727.34341
1.0,7,1727.476831
1.0,7,1727.608959
1.0,7,1731.485488
1.0,7,1731.734725
1.0,7,1731.862406
1.0,7,1731.992591
1.0,7,1732.125485
1.0,7,1732.250897
1.0,7,1732.382202
1.0,7,1732.511971
1.0,7,1732.630009
1.0,7,1732.758641
1.0,7,1732.891065
1.0,7,1733.026128
1.0,7,1733.163093
1.0,7,1733.294539
1.0,7,1733.427311
1.0,7,1733.554726
1.0,7,1733.686469
1.0,7,1733.812295
1.0,7,1737.705343
1.0,7,1737.830377
1.0,7,1737.954483
1.0,7,1738.075289
1.0,7,1738.20465
1.0,7,1738.331155
1.0,7,1738.468759
1.0,7,1738.60037
0.0,7,1738.730319
1.0,7,1738.848031
1.0,7,1738.973465
1.0,7,1739.107741
1.0,7,1739.235009
1.0,7,1739.370626
1.0,7,1739.504949
1.0,7,1739.637023
1.0,7,1739.764774
1.0,7,1739.894416
1.0,7,1743.675766
1.0,7,1743.80287
1.0,7,1743.93669
1.0,7,1744.064399
1.0,7,1744.191847
1.0,7,1744.321191
1.0,7,1744.449361
1.0,7,1744.581484
1.0,7,1744.715909
1.0,7,1744.843237
1.0,7,1744.960845
1.0,7,1745.083415
1.0,7,1745.212068
1.0,7,1745.341907
1.0,7,1745.481568
1.0,7,1745.623351
1.0,7,1745.766046
1.0,7,1745.90393
1.0,7,1749.495115
1.0,7,1749.627397
1.0,7,1749.746795
1.0,7,1749.874381
1.0,7,1750.001916
1.0,7,1750.131864
1.0,7,1750.271133
1.0,7,1750.404998
1.0,7,1750.53421
1.0,7,1750.665718
1.0,7,1750.792241
1.0,7,1750.928777
1.0,7,1751.048247
1.0,7,1751.172976
1.0,7,1751.29118
1.0,7,1751.410822
1.0,7,1751.54645
1.0,7,1751.750261
1.0,7,1751.883369
1.0,7,1755.622714
1.0,7,1755.747089
1.0,7,1755.874389
1.0,7,1756.001017
1.0,7,1756.127041
1.0,7,1756.266511
1.0,7,1756.400438
0.0,3,1756.460306
1.0,7,1756.59621
1.0,7,1756.756728
1.0,7,1756.885391
1.0,7,1757.013147
1.0,7,1757.149899
1.0,7,1757.275233
1.0,7,1757.390631
1.0,7,1757.520413
1.0,7,1757.645373
1.0,7,1757.780355
1.0,7,1757.92003
1.0,7,1761.884297
1.0,7,1762.014079
1.0,7,1762.141836
1.0,7,1762.2676
1.0,7,1762.400431
1.0,7,1762.538003
1.0,7,1762.662878
1.0,7,1762.793459
1.0,7,1762.926067
1.0,7,1763.053306
1.0,7,1763.187819
1.0,7,1763.318879
1.0,7,1763.442984
1.0,7,1763.56822
1.0,7,1763.703162
1.0,7,1763.830378
1.0,7,1763.962192
1.0,7,1764.098202
1.0,7,1767.885388
1.0,7,1768.012882
1.0,7,1768.13964
1.0,7,1768.26711
1.0,7,1768.401124
1.0,7,1768.534679
1.0,7,1768.67305
1.0,7,1768.806712
1.0,7,1768.945274
1.0,7,1769.073438
1.0,7,1769.218117
1.0,7,1769.344205
1.0,7,1769.478814
1.0,7,1769.604578
1.0,7,1769.726905
1.0,7,1769.855126
1.0,7,1769.985199
1.0,7,1770.122202
1.0,7,1774.03303
1.0,7,1774.15353
1.0,7,1774.27773
1.0,7,1774.394979
1.0,7,1774.513503
1.0,7,1774.639778
1.0,7,1774.765719
1.0,7,1774.899998
1.0,7,1775.026053
1.0,7,1775.152323
1.0,7,1775.278824
1.0,7,1775.405529
1.0,7,1775.53944
1.0,7,1775.672674
1.0,7,1775.788161
1.0,7,1775.909653
1.0,7,1776.03212
1.0,7,1776.144742
1.0,7,1779.878711
1.0,7,1780.002934
1.0,7,1780.126252
1.0,7,1780.251234
1.0,7,1780.379112
1.0,7,1780.498737
1.0,7,1780.627498
1.0,7,1780.754821
1.0,7,1780.88024
1.0,7,1781.007889
1.0,7,1781.133412
1.0,7,1781.252271
1.0,7,1781.365479
1.0,7,1781.489756
1.0,7,1781.619321
1.0,7,1781.747043
1.0,7,1781.873029
1.0,7,1782.004299
1.0,7,1782.126595
1.0,7,1786.039473
1.0,7,1786.158961
1.0,7,1786.284504
1.0,7,1786.411983
1.0,7,1786.538996
1.0,7,1786.719873
1.0,7,1786.851703
1.0,7,1786.981141
1.0,7,1787.102282
1.0,7,1787.226655
1.0,7,1787.365849
1.0,7,1787.494222
1.0,7,1787.636959
1.0,7,1787.771875
1.0,7,1787.913404
1.0,7,1788.042267
1.0,7,1788.174587
1.0,7,1788.308568
1.0,7,1792.239115
1.0,7,1792.363604
1.0,7,1792.489853
1.0,7,1792.604052
1.0,7,1792.72154
1.0,7,1792.844678
1.0,7,1792.963469
1.0,7,1793.096135
1.0,7,1793.220774
1.0,7,1793.349951
1.0,7,1793.477908
1.0,7,1793.600671
1.0,7,1793.724357
1.0,7,1793.845939
1.0,7,1793.973711
1.0,7,1794.091232
1.0,7,1794.211931
1.0,7,1794.34025
1.0,7,1798.790159
1.0,7,1798.907377
1.0,7,1799.034312
1.0,7,1799.154728
1.0,7,1799.275113
1.0,7,1799.403031
1.0,7,1799.527113
1.0,7,1799.655532
1.0,7,1799.784328
1.0,7,1799.913655
1.0,7,1800.048864
1.0,7,1800.174421
1.0,7,1800.301811
1.0,7,1800.441931
1.0,7,1800.585662
1.0,7,1800.718295
1.0,7,1800.839758
1.0,7,1800.966949
1.0,7,1801.092563
1.0,7,1804.978248
1.0,7,1805.09671
1.0,7,1805.223065
1.0,7,1805.359006
1.0,7,1805.491834
1.0,7,1805.613052
1.0,7,1805.741522
1.0,7,1805.864415
1.0,7,1805.99747
1.0,7,1806.128984
1.0,7,1806.26186
1.0,7,1806.394083
1.0,7,1806.533758
1.0,7,1806.662873
0.0,6,1806.779321
1.0,7,1806.915227
0.0,2,1806.954527
1.0,7,1807.087017
1.0,7,1807.211584
1.0,7,1812.621803
1.0,7,1812.715551
1.0,7,1812.810458
1.0,7,1812.903675
1.0,7,1813.003247
1.0,7,1813.087599
1.0,7,1813.17137
1.0,7,1813.256887
1.0,7,1813.329167
1.0,7,1813.409524
1.0,7,1813.482714
1.0,7,1813.55759
1.0,7,1813.634859
1.0,7,1813.704501
1.0,7,1813.769548
1.0,7,1813.837211
1.0,7,1813.90311
1.0,7,1813.975029
1.0,7,1825.996389
1.0,7,1826.098635
1.0,7,1826.199445
0.0,5,1826.271863
1.0,7,1826.372366
1.0,7,1826.468114
1.0,7,1826.552499
1.0,7,1826.633068
1.0,7,1826.707087
1.0,7,1826.781672
1.0,7,1826.857495
1.0,7,1826.932132
1.0,7,1827.007202
1.0,7,1827.085176
1.0,7,1827.159621
1.0,7,1827.240023
1.0,7,1827.312762
1.0,7,1827.384999
1.0,7,1827.45529
1.0,7,1836.095547
1.0,7,1836.144009
1.0,7,1836.193436
1.0,7,1836.241571
1.0,7,1836.290702
1.0,7,1836.339715
1.0,7,1836.385116
1.0,7,1836.4324
1.0,7,1836.481936
1.0,7,1836.532756
1.0,7,1836.582477
1.0,7,1836.630958
1.0,7,1836.683101
1.0,7,1836.732694
1.0,7,1836.7818
1.0,7,1836.831815
0.0,3,1836.85146
1.0,7,1836.900383
1.0,7,1845.573138
1.0,7,1845.650396
1.0,7,1845.697082
1.0,7,1845.760466
1.0,7,1845.813795
1.0,7,1845.85559
1.0,7,1845.903875
1.0,7,1845.950379
1.0,7,1845.997017
1.0,7,1846.042794
1.0,7,1846.092961
1.0,7,1846.138664
1.0,7,1846.185974
1.0,7,1846.231267
1.0,7,1846.278762
1.0,7,1846.323788
1.0,7,1846.367979
1.0,7,1846.413897
1.0,7,1846.466459
1.0,7,1857.872776
1.0,7,1857.972326
1.0,7,1858.076911
1.0,7,1858.197048
1.0,7,1858.289248
1.0,7,1858.355587
1.0,7,1858.417884
1.0,7,1858.477424
1.0,7,1858.533544
1.0,7,1858.595582
1.0,7,1858.653558
1.0,7,1858.711494
1.0,7,1858.770179
1.0,7,1858.831654
1.0,7,1858.891587
1.0,7,1858.955521
1.0,7,1859.018512
1.0,7,1859.076937
1.0,7,1868.481103
1.0,7,1868.52487
1.0,7,1868.567176
1.0,7,1868.609055
1.0,7,1868.659827
1.0,7,1868.708294
1.0,7,1868.759933
1.0,7,1868.814709
1.0,7,1868.866914
1.0,7,1868.923509
1.0,7,1868.976249
1.0,7,1869.029227
1.0,7,1869.08199
1.0,7,1869.133945
1.0,7,1869.187551
1.0,7,1869.239617
1.0,7,1869.28954
1.0,7,1869.344375
0.0,4,1869.374668
1.0,7,1878.309687
1.0,7,1878.357949
1.0,7,1879.520258
1.0,7,1879.563318
1.0,7,1879.602852
1.0,7,1879.637299
1.0,7,1879.669908
1.0,7,1879.705695
1.0,7,1879.758342
1.0,7,1879.808481
1.0,7,1879.859667
1.0,7,1879.914698
1.0,7,1879.968024
1.0,7,1880.021495
1.0,7,1880.075981
1.0,7,1880.129906
1.0,7,1880.182152
1.0,7,1880.23618
1.0,7,1889.791203
1.0,7,1889.827165
1.0,7,1889.863034
1.0,7,1889.900181
1.0,7,1889.931134
1.0,7,1889.974223
1.0,7,1890.01068
1.0,7,1890.051853
1.0,7,1890.090842
1.0,7,1890.131523
1.0,7,1890.172058
1.0,7,1890.212733
0.0,7,1890.251221
1.0,7,1890.292172
1.0,7,1890.335129
1.0,7,1890.375496
1.0,7,1890.412858
1.0,7,1890.451879
1.0,7,1896.880686
1.0,7,1897.500508
1.0,7,1897.571447
1.0,7,1897.640757
1.0,7,1897.698102
1.0,7,1897.735677
1.0,7,1897.773049
1.0,7,1897.813764
1.0,7,1897.853675
1.0,7,1897.892712
1.0,7,1897.929172
1.0,7,1897.965049
1.0,7,1898.000698
1.0,7,1898.036433
1.0,7,1898.072449
1.0,7,1898.10881
1.0,7,1898.145132
1.0,7,1898.182289
1.0,7,1898.219625
1.0,7,1906.887954
1.0,7,1907.013692
1.0,7,1907.130886
1.0,7,1907.233816
1.0,7,1907.342999
1.0,7,1907.447222
1.0,7,1907.538922
1.0,7,1907.620193
1.0,7,1907.690205
1.0,7,1907.746929
1.0,7,1907.806564
1.0,7,1907.866247
1.0,7,1907.922017
1.0,7,1907.986029
1.0,7,1908.050193
1.0,7,1908.11436
1.0,7,1908.174419
1.0,7,1908.237743
1.0,7,1920.287906
1.0,7,1920.338138
1.0,7,1921.223025
1.0,7,1921.280471
1.0,7,1921.339457
1.0,7,1921.399649
1.0,7,1921.458913
1.0,7,1921.521088
1.0,7,1921.580395
1.0,7,1921.640291
1.0,7,1921.699731
1.0,7,1921.757638
1.0,7,1921.822396
1.0,7,1921.890291
1.0,7,1921.960887
1.0,7,1922.035235
1.0,7,1922.117314
1.0,7,1922.206952
1.0,7,1926.413738
1.0,7,1926.550615
1.0,7,1926.684427
1.0,7,1926.82298
1.0,7,1926.956638
1.0,7,1927.100312
1.0,7,1927.236733
1.0,7,1927.36934
1.0,7,1927.496548
1.0,7,1927.624412
1.0,7,1927.747458
1.0,7,1927.876833
1.0,7,1928.009055
1.0,7,1928.144125
1.0,7,1928.35243
1.0,7,1928.466173
1.0,7,1928.638011
1.0,7,1929.538338
1.0,7,1939.001897
1.0,7,1939.097682
1.0,7,1939.174626
1.0,7,1939.240708
1.0,7,1939.315581
1.0,7,1939.391634
1.0,7,1939.468335
1.0,7,1939.547427
1.0,7,1939.628909
1.0,7,1939.711169
1.0,7,1939.794527
1.0,7,1939.877776
1.0,7,1939.960478
1.0,7,1940.043031
1.0,7,1940.126103
1.0,7,1940.213583
1.0,7,1940.305465
1.0,7,1940.408407
1.0,7,1940.510008
1.0,7,1951.815731
1.0,7,1951.916209
1.0,7,1952.012679
1.0,7,1952.111411
1.0,7,1952.211447
1.0,7,1952.309335
1.0,7,1952.404466
1.0,7,1952.489417
1.0,7,1952.55127
1.0,7,1952.599733
1.0,7,1952.650806
1.0,7,1952.705706
1.0,7,1952.760424
1.0,7,1952.813066
1.0,7,1952.866134
1.0,7,1952.921986
1.0,7,1952.981038
0.0,4,1954.193675
1.0,7,1964.212221
1.0,7,1964.255606
1.0,7,1964.300328
1.0,7,1964.348068
1.0,7,1964.393987
1.0,7,1964.444243
1.0,7,1964.496057
