#{"t_start": 1667421482.4946198, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,901.386995
0.0,2,901.420939
0.0,2,901.454131
0.0,2,901.483639
0.0,2,901.521696
0.0,2,901.55869
0.0,3,901.611334
0.0,2,901.645948
0.0,3,901.69841
0.0,2,901.733071
0.0,4,901.801184
0.0,2,901.836354
0.0,2,901.86935
0.0,2,901.902358
0.0,2,901.935768
0.0,2,901.972327
0.0,2,902.008648
0.0,4,902.089904
0.0,6,902.20532
0.0,2,902.242725
0.0,2,902.280229
0.0,4,902.360326
0.0,4,902.431414
0.0,4,902.497671
0.0,2,902.5366
0.0,2,902.574416
0.0,2,902.613282
0.0,2,902.650346
0.0,6,902.747036
0.0,2,902.779538
0.0,2,902.812784
0.0,2,902.848887
0.0,2,902.885052
0.0,2,902.919361
0.0,2,902.950492
0.0,2,902.986151
0.0,4,903.049103
0.0,2,903.082692
0.0,4,903.150466
0.0,2,903.179365
0.0,2,903.208094
0.0,2,903.240741
0.0,2,903.275368
0.0,2,903.310249
0.0,4,903.376053
0.0,2,903.409636
0.0,6,903.510365
0.0,4,903.574631
0.0,2,907.066364
0.0,2,907.104717
0.0,5,907.201565
0.0,2,907.237025
0.0,3,907.290854
0.0,4,907.364514
0.0,4,907.437387
0.0,2,907.472747
0.0,2,907.505297
0.0,2,907.544638
0.0,2,907.584854
0.0,2,907.622422
0.0,2,907.678942
0.0,2,907.737174
0.0,2,907.805477
0.0,2,907.845033
0.0,2,907.882703
0.0,2,907.921078
0.0,4,907.995254
0.0,2,908.032924
0.0,6,908.138288
0.0,2,908.17874
0.0,4,908.242621
0.0,2,908.278256
0.0,5,908.373708
0.0,2,908.412198
0.0,4,908.480976
0.0,2,908.517095
0.0,2,908.549604
0.0,6,908.646757
0.0,2,908.679171
0.0,2,908.714049
0.0,4,908.782007
0.0,2,908.815261
0.0,4,908.876162
0.0,2,908.903786
0.0,5,908.978689
0.0,3,909.02606
0.0,2,909.055957
0.0,4,909.118906
0.0,2,909.146529
0.0,4,909.206043
0.0,6,909.30161
0.0,2,912.866745
0.0,2,912.899612
0.0,2,912.934407
0.0,4,913.007739
0.0,4,913.0813
0.0,6,913.190984
0.0,3,913.2518
0.0,2,913.291867
0.0,3,913.350354
0.0,4,913.427584
0.0,4,913.499874
0.0,2,913.538537
0.0,2,913.576597
0.0,7,913.705487
0.0,2,913.747098
0.0,2,913.785192
0.0,2,913.825623
0.0,4,913.901558
0.0,2,913.939793
0.0,2,913.977406
0.0,2,914.011726
0.0,2,914.04958
0.0,2,914.088077
0.0,4,914.157732
0.0,2,914.190503
0.0,2,914.227525
0.0,2,914.266487
0.0,2,914.302634
0.0,3,914.35695
0.0,5,914.445977
0.0,2,914.482888
0.0,2,914.519652
0.0,2,914.556444
0.0,2,914.592741
0.0,4,914.662045
0.0,4,914.731247
0.0,6,914.843385
0.0,3,914.894752
0.0,2,914.929065
0.0,2,914.959874
0.0,6,915.05299
0.0,2,915.084221
0.0,2,915.116871
0.0,3,915.167931
0.0,4,918.866334
0.0,4,918.941757
0.0,6,919.052507
0.0,7,919.187192
0.0,7,919.32168
0.0,7,919.461738
1.0,7,919.594039
0.0,6,919.709356
0.0,7,919.843519
0.0,2,919.876816
0.0,7,920.00188
0.0,7,920.126865
0.0,4,920.191727
0.0,4,920.257901
0.0,6,920.358706
0.0,4,920.430019
0.0,4,920.492739
0.0,6,920.598042
0.0,2,920.629855
0.0,4,920.69171
1.0,7,920.805504
1.0,7,920.91837
0.0,7,921.032235
0.0,4,924.6161
0.0,2,924.650887
0.0,7,924.780249
0.0,6,924.886397
0.0,4,924.954713
0.0,4,925.023238
1.0,7,925.142999
0.0,4,925.218946
0.0,6,925.325866
0.0,7,925.460392
0.0,4,925.539536
0.0,6,925.640903
0.0,6,925.743119
0.0,4,925.812699
0.0,7,925.947481
0.0,4,926.016421
0.0,4,926.079553
0.0,2,926.114852
1.0,7,926.23108
0.0,2,926.267376
1.0,7,926.375253
0.0,4,926.444952
0.0,6,926.542114
0.0,6,926.639587
0.0,6,926.739299
0.0,6,930.370128
0.0,7,930.490253
0.0,3,930.548852
0.0,4,930.62165
0.0,4,930.693934
0.0,4,930.77141
0.0,7,930.90608
0.0,4,930.978511
1.0,7,931.10537
0.0,2,931.143045
0.0,4,931.215132
0.0,4,931.281749
0.0,6,931.405608
0.0,4,931.474986
0.0,2,931.508596
0.0,6,931.620001
0.0,4,931.688078
0.0,4,931.759286
0.0,6,931.863402
0.0,2,931.902005
0.0,4,931.975475
0.0,4,932.038271
0.0,4,932.105345
1.0,7,932.238761
0.0,7,932.354699
0.0,2,932.385528
0.0,4,932.450601
0.0,2,932.481769
0.0,2,932.515287
1.0,7,936.181141
0.0,7,936.298949
0.0,7,936.423351
0.0,6,936.53783
0.0,4,936.604964
1.0,7,936.725819
0.0,7,936.8566
0.0,7,936.989187
1.0,7,937.118692
0.0,2,937.152788
0.0,6,937.260417
1.0,7,937.386191
0.0,6,937.494019
0.0,2,937.529596
0.0,4,937.600082
0.0,6,937.70421
1.0,7,937.832036
0.0,4,937.901804
0.0,6,938.009191
1.0,7,938.131599
0.0,2,938.166442
0.0,4,938.239456
1.0,7,938.3503
0.0,6,941.93695
1.0,7,942.055619
0.0,2,942.094687
0.0,6,942.195314
1.0,7,942.313403
1.0,7,942.434575
0.0,4,942.507529
0.0,4,942.576714
1.0,7,942.709273
0.0,4,942.781562
1.0,7,942.912876
0.0,4,942.985001
0.0,4,943.052661
0.0,7,943.176633
0.0,4,943.248601
0.0,6,943.362879
1.0,7,943.487328
0.0,4,943.561837
1.0,7,943.675282
1.0,7,943.797922
0.0,6,943.904844
0.0,4,943.971747
1.0,7,944.090975
0.0,4,944.153333
0.0,6,947.783123
0.0,6,947.890667
0.0,4,947.962588
0.0,4,948.032838
1.0,7,948.151577
0.0,4,948.221665
1.0,7,948.342782
1.0,7,948.462492
0.0,6,948.564589
0.0,4,948.638689
0.0,7,948.769578
0.0,4,948.84279
0.0,4,948.921668
1.0,7,949.04143
0.0,7,949.176291
0.0,7,949.297572
0.0,4,949.364362
0.0,4,949.431364
1.0,7,949.549922
0.0,6,949.655674
1.0,7,949.765736
0.0,2,949.799624
0.0,4,949.863237
0.0,2,949.893076
1.0,7,953.501011
0.0,4,953.572104
0.0,6,953.670182
0.0,6,953.784162
1.0,7,953.901255
0.0,6,954.014098
0.0,2,954.048502
0.0,4,954.12624
1.0,7,954.247184
0.0,4,954.326645
0.0,6,954.429808
0.0,4,954.499057
0.0,6,954.605335
0.0,4,954.671979
0.0,4,954.744714
0.0,7,954.87532
0.0,4,954.942584
0.0,6,955.044322
0.0,7,955.163041
0.0,2,955.199315
0.0,4,955.269173
0.0,6,955.374097
0.0,7,955.495585
1.0,7,955.614545
0.0,6,959.139872
0.0,5,959.232717
0.0,6,959.332503
0.0,4,959.398997
0.0,2,959.432883
0.0,4,959.500192
1.0,7,959.621141
1.0,7,959.748897
0.0,4,959.82964
0.0,7,959.973364
0.0,4,960.052797
0.0,6,960.175678
0.0,5,960.267483
0.0,5,960.364338
0.0,4,960.444712
0.0,4,960.524954
0.0,6,960.646155
1.0,7,960.787452
0.0,6,960.928821
0.0,6,961.044853
0.0,4,961.113084
0.0,6,961.217846
0.0,4,961.282651
0.0,4,961.349334
1.0,7,961.472196
0.0,6,965.05788
1.0,7,965.183825
1.0,7,965.311888
0.0,3,965.358109
0.0,6,965.467873
1.0,7,965.599616
0.0,4,965.669179
1.0,7,965.791063
0.0,4,965.865966
0.0,6,965.970259
0.0,6,966.073515
0.0,4,966.147322
1.0,7,966.267629
1.0,7,966.388176
0.0,6,966.490658
0.0,6,966.593354
0.0,4,966.666401
0.0,5,966.757808
1.0,7,966.876872
0.0,4,966.947638
0.0,7,967.057319
0.0,4,967.123934
0.0,6,970.681539
0.0,7,970.80138
1.0,7,970.920138
1.0,7,971.046205
1.0,7,971.170866
1.0,7,971.303404
1.0,7,971.43821
0.0,4,971.509473
0.0,6,971.62154
0.0,4,971.698404
0.0,6,971.806028
0.0,5,971.902306
0.0,2,971.94143
1.0,7,972.075409
0.0,4,972.153067
0.0,6,972.274493
0.0,4,972.34653
0.0,5,972.437512
0.0,4,972.510066
0.0,4,972.581598
0.0,4,972.65524
0.0,2,972.692059
0.0,5,972.783565
0.0,4,972.843021
0.0,7,972.964887
1.0,7,977.00597
1.0,7,977.137383
1.0,7,977.262338
0.0,4,977.339314
0.0,6,977.454677
0.0,4,977.526796
0.0,7,977.647656
0.0,6,977.755917
0.0,2,977.796972
0.0,6,977.914485
0.0,6,978.01865
0.0,7,978.152593
0.0,4,978.226148
1.0,7,978.359699
0.0,2,978.400668
0.0,4,978.474935
0.0,4,978.544387
0.0,4,978.614029
0.0,7,978.736612
0.0,4,978.805258
0.0,4,978.866683
0.0,6,978.966463
0.0,4,979.031986
0.0,4,979.085679
1.0,7,979.194157
0.0,4,982.735951
0.0,2,982.77176
0.0,4,982.843308
0.0,4,982.914969
0.0,4,982.986696
0.0,7,983.110107
0.0,6,983.213555
0.0,6,983.324133
1.0,7,983.451596
0.0,7,983.571951
0.0,4,983.639918
0.0,6,983.753039
0.0,7,983.871761
0.0,7,983.990491
1.0,7,984.11555
0.0,4,984.194319
0.0,3,984.246171
0.0,4,984.310119
0.0,7,984.439615
1.0,7,984.563801
0.0,4,984.639186
1.0,7,984.75816
0.0,3,984.802433
0.0,4,984.870631
0.0,4,988.337015
0.0,6,988.432063
1.0,7,988.551297
0.0,6,988.657839
0.0,4,988.731668
0.0,6,988.840733
0.0,7,988.961672
0.0,4,989.028215
0.0,6,989.140501
0.0,4,989.214743
0.0,4,989.286193
0.0,6,989.401221
0.0,4,989.472729
1.0,7,989.598931
0.0,5,989.687569
1.0,7,989.809881
0.0,6,989.910765
0.0,6,990.020412
0.0,4,990.093541
0.0,6,990.193496
0.0,4,990.261179
1.0,7,990.370893
0.0,4,990.440257
0.0,6,990.533911
0.0,5,994.145627
0.0,6,994.236699
1.0,7,994.353093
0.0,6,994.447934
0.0,2,994.480216
0.0,4,994.54485
0.0,7,994.655702
0.0,6,994.763736
0.0,7,994.880526
1.0,7,995.008844
0.0,4,995.076707
0.0,7,995.194902
0.0,6,995.312155
0.0,3,995.361871
0.0,4,995.433195
0.0,6,995.547086
0.0,4,995.614922
0.0,3,995.665339
1.0,7,995.796909
1.0,7,995.978688
0.0,4,996.048965
1.0,7,996.165609
0.0,4,996.237867
0.0,6,996.340514
0.0,6,1000.012434
0.0,6,1000.099155
0.0,7,1000.210532
0.0,4,1000.279373
1.0,7,1000.401107
0.0,7,1000.522603
0.0,6,1000.626197
0.0,6,1000.742785
0.0,4,1000.818275
0.0,2,1000.860371
1.0,7,1000.988997
0.0,6,1001.103807
0.0,7,1001.23848
1.0,7,1001.370044
1.0,7,1001.501723
0.0,6,1001.612468
1.0,7,1001.744198
1.0,7,1001.864548
1.0,7,1001.994613
0.0,4,1002.070007
0.0,4,1002.142339
1.0,7,1005.976538
0.0,4,1006.240083
1.0,7,1006.356836
1.0,7,1006.492501
0.0,4,1006.567291
1.0,7,1006.700589
0.0,4,1006.777214
0.0,7,1006.908446
0.0,3,1006.96808
0.0,4,1007.038921
0.0,7,1007.17245
0.0,7,1007.313073
0.0,4,1007.388736
0.0,4,1007.465059
0.0,4,1007.535815
0.0,6,1007.643201
0.0,6,1007.751815
0.0,2,1007.789212
0.0,4,1007.855741
0.0,2,1007.893451
1.0,7,1008.015642
1.0,7,1008.140569
1.0,7,1008.256742
0.0,4,1008.321074
0.0,6,1008.403506
1.0,7,1011.881236
0.0,7,1011.98987
0.0,4,1012.05688
1.0,7,1012.183637
1.0,7,1012.29379
1.0,7,1012.4187
0.0,7,1012.552807
1.0,7,1012.671322
0.0,7,1012.792272
0.0,4,1012.860445
0.0,6,1012.96393
1.0,7,1013.090504
0.0,4,1013.158799
0.0,4,1013.229227
1.0,7,1013.338412
0.0,5,1013.423517
0.0,4,1013.491361
1.0,7,1013.602359
0.0,3,1013.654267
0.0,6,1013.75271
0.0,7,1013.856857
1.0,7,1017.52953
0.0,4,1017.603597
0.0,6,1017.706576
