#{"t_start": 1667421482.7808728, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,343.218507
0.0,2,343.256147
0.0,2,343.293041
0.0,3,343.343126
0.0,2,343.376437
0.0,2,343.408756
0.0,2,343.440214
0.0,4,343.504872
0.0,2,343.534925
0.0,2,343.568789
0.0,2,343.603352
0.0,2,343.636888
0.0,2,343.671802
0.0,2,343.706692
0.0,2,343.738058
0.0,4,343.803688
0.0,2,343.83896
0.0,2,343.873686
0.0,6,343.979443
0.0,4,344.051145
0.0,2,344.086725
0.0,2,344.122579
0.0,2,344.159529
0.0,2,344.196231
0.0,2,344.229654
0.0,2,344.263535
0.0,2,344.298512
0.0,2,344.333347
0.0,2,344.369443
0.0,2,344.403307
0.0,2,344.440529
0.0,2,344.477395
0.0,2,344.512143
0.0,2,344.548472
0.0,2,344.577748
0.0,2,344.609132
0.0,2,344.639997
0.0,4,344.701202
0.0,2,344.732742
0.0,2,344.769176
0.0,2,344.802077
0.0,4,344.871176
0.0,2,344.906142
0.0,2,344.941093
0.0,4,345.008785
0.0,3,345.059709
0.0,2,345.094315
0.0,4,345.165006
0.0,2,345.198462
0.0,2,345.232102
0.0,4,345.303673
0.0,4,345.368639
0.0,4,348.616911
0.0,2,348.650715
0.0,2,348.68514
0.0,2,348.723047
0.0,2,348.756972
0.0,2,348.791862
0.0,4,348.864005
0.0,2,348.896464
0.0,2,348.927918
0.0,4,348.985424
0.0,2,349.015165
0.0,2,349.046044
0.0,2,349.076561
0.0,2,349.107594
0.0,6,349.194556
0.0,4,349.252948
0.0,4,349.314539
0.0,2,349.347986
0.0,4,349.412321
0.0,2,349.446334
0.0,2,349.479859
0.0,2,349.514427
0.0,2,349.547646
0.0,2,349.58203
0.0,2,349.617414
0.0,2,349.651395
0.0,2,349.684758
0.0,2,349.719772
0.0,4,349.791569
0.0,2,349.825481
0.0,2,349.862048
0.0,2,349.900569
0.0,2,349.937758
0.0,2,349.971719
0.0,4,350.032689
0.0,6,350.122537
0.0,2,350.153984
0.0,2,350.185722
0.0,2,350.217257
0.0,3,350.269222
0.0,2,350.303716
0.0,2,350.333304
0.0,2,350.367638
0.0,2,350.403151
0.0,2,350.438912
0.0,2,350.474596
0.0,2,350.509414
0.0,2,350.543936
0.0,2,350.581299
0.0,2,350.61806
0.0,2,350.651287
0.0,2,353.766006
0.0,5,353.857821
0.0,2,353.89604
0.0,3,353.949687
0.0,2,353.988676
0.0,2,354.023772
0.0,2,354.058582
0.0,2,354.096144
0.0,2,354.136024
0.0,2,354.174288
0.0,2,354.208196
0.0,2,354.242979
0.0,2,354.278127
0.0,2,354.317191
0.0,2,354.352636
0.0,2,354.387376
0.0,2,354.42209
0.0,3,354.471261
0.0,2,354.504127
0.0,3,354.553848
0.0,2,354.585097
0.0,4,354.647322
0.0,3,354.696399
0.0,2,354.732248
0.0,2,354.767413
0.0,3,354.819182
0.0,2,354.853136
0.0,4,354.92577
0.0,2,354.961502
0.0,2,354.993093
0.0,6,355.094829
0.0,4,355.160692
0.0,2,355.195057
0.0,4,355.261356
0.0,2,355.29682
0.0,2,355.331715
0.0,2,355.366319
0.0,2,355.399333
0.0,2,355.43185
0.0,2,355.466435
0.0,6,355.556537
0.0,2,355.586358
0.0,2,355.617839
0.0,3,355.668174
0.0,2,355.699233
0.0,5,355.783142
0.0,2,355.811712
0.0,2,355.845037
0.0,6,359.293909
1.0,7,359.413141
1.0,7,359.543002
0.0,6,359.654735
0.0,2,359.690016
0.0,4,359.755079
1.0,7,359.882981
0.0,2,359.918824
1.0,7,360.030497
0.0,2,360.065194
0.0,2,360.09669
0.0,3,360.142509
0.0,2,360.176179
1.0,7,360.296256
1.0,7,360.415972
0.0,4,360.484264
0.0,4,360.556861
0.0,2,360.590193
0.0,2,360.622829
0.0,2,360.655311
0.0,7,360.765765
0.0,6,360.864818
1.0,7,360.974225
1.0,7,361.087798
0.0,2,361.11848
0.0,6,361.213562
0.0,2,361.247284
0.0,2,361.28177
0.0,4,361.349835
0.0,2,361.384158
0.0,2,361.418282
0.0,4,364.744245
0.0,2,364.772573
1.0,7,364.902182
0.0,6,365.00152
0.0,7,365.132691
1.0,7,365.263198
1.0,7,365.395612
0.0,4,365.465344
0.0,7,365.584819
0.0,2,365.618143
0.0,3,365.668236
1.0,7,365.785764
0.0,4,365.856328
0.0,2,365.892413
0.0,6,365.996721
1.0,7,366.115727
0.0,2,366.151459
0.0,4,366.222465
1.0,7,366.341586
0.0,3,366.388733
0.0,4,366.449717
1.0,7,366.565201
0.0,4,366.629684
0.0,6,366.723427
0.0,2,366.755543
0.0,2,366.788328
1.0,7,370.229879
1.0,7,370.362768
1.0,7,370.490677
0.0,2,370.528587
0.0,4,370.599206
1.0,7,370.727251
0.0,4,370.804175
1.0,7,370.926509
0.0,2,370.960977
1.0,7,371.079956
0.0,6,371.185436
1.0,7,371.303056
0.0,4,371.368151
1.0,7,371.485685
1.0,7,371.602738
0.0,2,371.638777
0.0,2,371.674432
0.0,2,371.708254
0.0,4,371.776074
1.0,7,371.897782
1.0,7,372.009438
1.0,7,372.112535
1.0,7,372.221954
1.0,7,372.327019
1.0,7,375.70311
1.0,7,375.822911
0.0,3,375.872808
1.0,7,375.996189
1.0,7,376.112171
0.0,4,376.176313
1.0,7,376.288544
0.0,3,376.341407
1.0,7,376.458566
0.0,2,376.49061
1.0,7,376.609217
0.0,3,376.66228
1.0,7,376.787087
1.0,7,376.897293
0.0,2,376.93305
1.0,7,377.055873
0.0,4,377.127252
1.0,7,377.252621
1.0,7,377.378371
1.0,7,377.497049
0.0,4,377.559078
0.0,4,377.62378
0.0,4,377.683374
1.0,7,377.844907
1.0,7,381.127819
0.0,2,381.159904
0.0,2,381.194068
0.0,3,381.247852
0.0,4,381.319702
0.0,2,381.353318
1.0,7,381.465525
1.0,7,381.584991
1.0,7,381.703071
0.0,4,381.768513
1.0,7,381.881091
1.0,7,381.990827
0.0,2,382.02879
1.0,7,382.148823
1.0,7,382.271082
1.0,7,382.385724
1.0,7,382.510195
1.0,7,382.623773
1.0,7,382.740562
1.0,7,382.846829
1.0,7,382.958018
1.0,7,383.074149
0.0,4,383.13951
1.0,7,386.490527
1.0,7,386.605824
1.0,7,386.728328
1.0,7,386.855619
1.0,7,386.985754
0.0,6,387.088629
1.0,7,387.208853
1.0,7,387.333047
1.0,7,387.450118
1.0,7,387.565511
1.0,7,387.695452
1.0,7,387.901021
1.0,7,388.02234
1.0,7,388.142246
0.0,4,388.214852
1.0,7,388.33575
1.0,7,388.452392
1.0,7,388.575882
1.0,7,388.688643
1.0,7,392.013891
1.0,7,392.134135
1.0,7,392.261158
1.0,7,392.378947
1.0,7,392.502364
1.0,7,392.61735
1.0,7,392.743334
1.0,7,392.879901
0.0,4,392.94695
1.0,7,393.07801
1.0,7,393.205405
1.0,7,393.328128
1.0,7,393.44847
1.0,7,393.568352
0.0,4,393.637752
1.0,7,393.759386
1.0,7,393.880303
1.0,7,394.004879
1.0,7,394.122129
1.0,7,397.479552
1.0,7,397.60007
0.0,2,397.634258
1.0,7,397.760482
1.0,7,397.900043
1.0,7,398.029415
1.0,7,398.150064
1.0,7,398.26936
1.0,7,398.389977
1.0,7,398.508252
1.0,7,398.63588
1.0,7,398.756345
1.0,7,398.877338
0.0,6,398.980057
0.0,3,399.034816
1.0,7,399.154856
1.0,7,399.282102
1.0,7,399.40168
1.0,7,399.524212
1.0,7,402.984965
1.0,7,403.103371
1.0,7,403.226561
1.0,7,403.343455
1.0,7,403.462748
1.0,7,403.588385
1.0,7,403.702952
1.0,7,403.828915
0.0,3,403.882965
0.0,6,403.991424
0.0,4,404.057549
1.0,7,404.16982
1.0,7,404.28909
1.0,7,404.412913
1.0,7,404.535514
1.0,7,404.648479
0.0,6,404.750578
1.0,7,404.868264
1.0,7,404.98709
1.0,7,405.107241
1.0,7,408.458326
1.0,7,408.574491
1.0,7,408.693915
0.0,6,408.79898
1.0,7,408.920216
1.0,7,409.044923
1.0,7,409.171387
1.0,7,409.290002
1.0,7,409.412055
1.0,7,409.527188
1.0,7,409.652012
0.0,3,409.705303
1.0,7,409.825393
1.0,7,409.943207
1.0,7,410.058286
1.0,7,410.17212
0.0,2,410.208007
1.0,7,410.32873
1.0,7,410.449672
1.0,7,410.570487
1.0,7,414.065906
1.0,7,414.179795
1.0,7,414.288771
1.0,7,414.404244
1.0,7,414.521085
1.0,7,414.63235
