#{"t_start": 1667421482.7806606, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,901.101854
0.0,4,901.168968
0.0,2,901.198436
0.0,2,901.236637
0.0,3,901.292958
0.0,4,901.360742
0.0,2,901.392352
0.0,2,901.431303
0.0,2,901.463206
0.0,2,901.498925
0.0,6,901.600057
0.0,6,901.703794
0.0,2,901.744529
0.0,2,901.784069
0.0,2,901.822973
0.0,4,901.901161
0.0,2,901.937874
0.0,2,901.97436
0.0,2,902.014733
0.0,2,902.055043
0.0,2,902.095084
0.0,2,902.128803
0.0,2,902.161084
0.0,2,902.195123
0.0,2,902.23044
0.0,2,902.27106
0.0,2,902.310832
0.0,2,902.346502
0.0,2,902.379093
0.0,2,902.411733
0.0,2,902.445534
0.0,2,902.478209
0.0,2,902.511047
0.0,2,902.54485
0.0,2,902.582587
0.0,2,902.618267
0.0,3,902.665598
0.0,2,902.701236
0.0,4,902.764045
0.0,2,902.797656
0.0,3,902.846722
0.0,2,902.879841
0.0,4,902.939214
0.0,2,902.974383
0.0,2,903.006863
0.0,4,903.073159
0.0,3,903.124565
0.0,2,903.159403
0.0,2,903.193102
0.0,2,903.225542
0.0,2,903.255315
0.0,2,903.289512
0.0,4,906.819989
0.0,2,906.859567
0.0,2,906.897149
0.0,2,906.932096
0.0,3,906.987403
0.0,2,907.023082
0.0,2,907.060017
0.0,2,907.09829
0.0,2,907.134591
0.0,2,907.171891
0.0,3,907.220444
0.0,5,907.317164
0.0,4,907.431075
0.0,2,907.47637
0.0,2,907.541157
0.0,2,907.581778
0.0,2,907.615972
0.0,2,907.652472
0.0,3,907.710772
0.0,2,907.747733
0.0,4,907.815611
0.0,2,907.853421
0.0,2,907.89387
0.0,2,907.927072
0.0,7,908.041809
0.0,2,908.08883
0.0,2,908.127378
0.0,7,908.247964
0.0,2,908.28256
0.0,2,908.315804
0.0,2,908.345291
0.0,4,908.410818
0.0,2,908.445945
0.0,2,908.479474
0.0,2,908.512938
0.0,3,908.561693
0.0,3,908.604729
0.0,2,908.632687
0.0,2,908.662559
0.0,3,908.709414
0.0,2,908.741134
0.0,6,908.83402
0.0,2,908.861687
0.0,4,908.921277
0.0,2,908.954036
0.0,3,908.999277
0.0,2,909.035032
0.0,3,912.614744
0.0,2,912.649402
0.0,2,912.684308
0.0,2,912.722852
0.0,2,912.759918
0.0,2,912.796336
0.0,2,912.832996
0.0,4,912.906109
0.0,2,912.946606
0.0,2,912.987468
0.0,2,913.027567
0.0,2,913.065537
0.0,2,913.10216
0.0,2,913.14262
0.0,6,913.253653
0.0,2,913.291693
0.0,2,913.328909
0.0,2,913.36324
0.0,2,913.401379
0.0,2,913.44099
0.0,4,913.522593
0.0,2,913.561796
0.0,3,913.616803
0.0,4,913.692433
0.0,2,913.726763
0.0,4,913.803154
0.0,2,913.839791
0.0,2,913.872679
0.0,2,913.905583
0.0,2,913.942518
0.0,2,913.98164
0.0,2,914.017667
0.0,2,914.055081
0.0,3,914.106542
0.0,2,914.143402
0.0,2,914.179073
0.0,2,914.215051
0.0,2,914.252364
0.0,2,914.290581
0.0,2,914.324065
0.0,3,914.377126
0.0,2,914.412426
0.0,4,914.483232
0.0,2,914.520534
0.0,5,914.609628
0.0,4,914.675005
0.0,2,914.706221
0.0,4,914.768153
0.0,2,914.799255
0.0,2,914.831909
0.0,2,914.86496
0.0,2,918.525903
1.0,7,918.657098
0.0,2,918.698004
1.0,7,918.817322
0.0,6,918.93959
0.0,7,919.078887
0.0,7,919.214854
0.0,2,919.25246
0.0,7,919.38725
0.0,4,919.46276
1.0,7,919.591987
1.0,7,919.717128
0.0,4,919.7907
0.0,2,919.824494
0.0,7,919.939222
0.0,2,919.972939
0.0,4,920.039487
0.0,4,920.110636
0.0,7,920.225168
0.0,4,920.294702
0.0,6,920.392458
0.0,7,920.503525
1.0,7,920.618501
0.0,6,920.714758
0.0,2,920.747414
0.0,2,920.780627
0.0,4,924.365957
0.0,4,924.438073
0.0,6,924.547667
1.0,7,924.670025
0.0,6,924.771623
1.0,7,924.896343
1.0,7,925.023571
0.0,6,925.139803
0.0,6,925.254409
0.0,6,925.35575
1.0,7,925.4772
0.0,2,925.510466
0.0,4,925.592286
0.0,7,925.713795
1.0,7,925.829969
1.0,7,925.946325
0.0,6,926.042527
0.0,6,926.142509
0.0,4,926.203275
0.0,4,926.273611
0.0,4,926.338372
0.0,6,926.437016
0.0,6,930.067722
1.0,7,930.185919
0.0,5,930.285016
0.0,2,930.320144
0.0,2,930.353523
0.0,6,930.464256
0.0,7,930.599555
1.0,7,930.730764
0.0,6,930.840373
0.0,6,930.946194
0.0,4,931.017091
0.0,6,931.139477
1.0,7,931.264216
0.0,4,931.335032
0.0,4,931.403113
0.0,2,931.437666
0.0,6,931.541187
0.0,4,931.617076
0.0,6,931.721644
0.0,4,931.785393
0.0,6,931.895189
0.0,6,932.001755
0.0,4,932.069841
0.0,2,932.10056
0.0,6,932.196846
0.0,4,932.26167
0.0,7,935.928867
0.0,6,936.035219
1.0,7,936.159195
0.0,2,936.198848
0.0,5,936.286122
0.0,4,936.353613
0.0,6,936.461157
0.0,6,936.571681
1.0,7,936.704565
0.0,6,936.812021
0.0,6,936.923364
0.0,6,937.029057
0.0,6,937.138667
0.0,5,937.228772
1.0,7,937.348937
0.0,4,937.419253
0.0,5,937.512466
1.0,7,937.634534
0.0,2,937.671866
1.0,7,937.796531
1.0,7,937.920055
0.0,6,938.020315
1.0,7,938.126073
0.0,7,941.734434
0.0,4,941.809842
0.0,4,941.876855
0.0,6,941.977104
0.0,2,942.010641
1.0,7,942.132208
0.0,4,942.205295
1.0,7,942.325823
0.0,7,942.46222
1.0,7,942.590479
0.0,5,942.683463
1.0,7,942.801661
0.0,2,942.835304
0.0,4,942.911537
1.0,7,943.039287
0.0,4,943.111015
0.0,4,943.180264
0.0,6,943.29359
0.0,7,943.410395
0.0,2,943.445932
0.0,6,943.548334
0.0,4,943.619887
0.0,6,943.72158
0.0,7,943.837585
0.0,4,947.427683
0.0,4,947.498348
0.0,4,947.570415
0.0,6,947.677503
0.0,4,947.747751
0.0,6,947.848576
0.0,4,947.918589
0.0,4,947.987903
0.0,4,948.057869
0.0,4,948.126403
0.0,4,948.194574
0.0,2,948.228918
1.0,7,948.353932
1.0,7,948.484845
0.0,6,948.59841
0.0,4,948.66986
0.0,6,948.777435
0.0,4,948.856112
0.0,6,948.957474
0.0,2,948.99475
0.0,4,949.060636
1.0,7,949.183786
0.0,4,949.246993
0.0,4,949.318907
0.0,7,949.428504
1.0,7,949.548195
0.0,6,949.639917
0.0,6,953.233042
1.0,7,953.350682
0.0,4,953.425073
0.0,6,953.532919
1.0,7,953.651839
1.0,7,953.784722
0.0,4,953.857664
0.0,4,953.926723
0.0,4,954.004197
0.0,7,954.127482
0.0,7,954.251041
1.0,7,954.369635
0.0,7,954.50041
0.0,2,954.534575
0.0,6,954.640079
0.0,2,954.674266
0.0,6,954.775966
0.0,6,954.878219
1.0,7,954.999149
0.0,7,955.126031
0.0,4,955.19406
1.0,7,955.313092
1.0,7,958.855147
1.0,7,958.980611
0.0,5,959.065369
0.0,4,959.129829
0.0,4,959.199342
0.0,6,959.300131
0.0,6,959.402915
0.0,6,959.523627
0.0,7,959.667249
1.0,7,959.810018
0.0,4,959.890724
1.0,7,960.024213
0.0,4,960.099826
1.0,7,960.240398
0.0,4,960.319145
0.0,4,960.398586
0.0,4,960.482011
0.0,4,960.561875
0.0,6,960.705966
1.0,7,960.82866
0.0,5,960.916289
0.0,4,960.981363
1.0,7,961.099153
0.0,7,964.707124
0.0,6,964.810426
0.0,4,964.878895
0.0,4,964.953934
0.0,2,964.990678
1.0,7,965.112583
1.0,7,965.237263
0.0,3,965.294782
0.0,7,965.418981
0.0,6,965.522219
0.0,7,965.650082
0.0,4,965.718775
0.0,4,965.788876
0.0,6,965.897118
0.0,6,966.000188
0.0,4,966.068668
0.0,6,966.171314
0.0,4,966.23951
0.0,7,966.36043
1.0,7,966.489998
0.0,6,966.592029
0.0,6,966.693181
0.0,6,966.790326
0.0,6,966.890542
1.0,7,970.462834
1.0,7,970.584558
0.0,4,970.65449
0.0,7,970.781118
0.0,4,970.84946
0.0,6,970.961673
0.0,4,971.036546
0.0,4,971.114879
0.0,6,971.224464
0.0,7,971.359706
0.0,5,971.447261
0.0,4,971.521089
1.0,7,971.656767
0.0,5,971.75073
0.0,4,971.830402
0.0,7,971.967427
1.0,7,972.097602
0.0,4,972.168585
0.0,6,972.274113
0.0,2,972.315076
1.0,7,972.440169
1.0,7,972.558164
0.0,5,972.646115
0.0,6,976.665974
0.0,6,976.777679
0.0,7,976.908411
1.0,7,977.032058
0.0,2,977.074492
1.0,7,977.204631
0.0,2,977.241715
1.0,7,977.362882
0.0,5,977.453385
0.0,6,977.569605
0.0,2,977.609517
0.0,4,977.681207
0.0,4,977.7544
0.0,4,977.829446
1.0,7,977.96421
0.0,6,978.074848
0.0,4,978.154345
0.0,4,978.224636
0.0,3,978.278928
0.0,4,978.349917
0.0,2,978.381968
0.0,7,978.502907
0.0,6,978.597873
0.0,7,978.715699
0.0,7,978.816374
0.0,4,978.87804
1.0,7,982.469072
0.0,7,982.593401
1.0,7,982.717013
0.0,4,982.784507
1.0,7,982.911219
1.0,7,983.03927
0.0,2,983.076498
0.0,4,983.146364
1.0,7,983.26994
1.0,7,983.38905
0.0,4,983.46803
0.0,4,983.534451
