#{"t_start": 1667421485.9381945, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2013.679203
0.0,2,2013.719809
0.0,2,2013.75754
0.0,2,2013.796005
0.0,2,2013.832066
0.0,2,2013.867907
0.0,2,2013.903673
0.0,2,2013.939769
0.0,2,2013.976046
0.0,4,2014.048877
0.0,2,2014.084531
0.0,2,2014.120833
0.0,2,2014.156556
0.0,2,2014.192417
0.0,2,2014.228611
0.0,2,2014.262583
0.0,2,2014.297626
0.0,2,2014.328919
0.0,2,2014.363043
0.0,2,2014.395796
0.0,2,2014.430141
0.0,2,2014.465908
0.0,2,2014.503903
0.0,2,2014.538291
0.0,6,2014.648239
0.0,2,2014.680597
0.0,3,2014.733017
0.0,2,2014.767609
0.0,2,2014.801384
0.0,7,2014.914029
0.0,2,2014.944736
0.0,2,2014.97407
0.0,2,2015.150029
0.0,2,2015.259466
0.0,2,2015.287819
0.0,2,2015.315145
0.0,2,2015.345564
0.0,2,2015.37075
0.0,2,2015.396697
0.0,2,2015.424849
0.0,2,2015.454884
0.0,2,2015.482749
0.0,4,2015.54309
0.0,2,2015.574054
0.0,4,2015.639038
0.0,4,2015.695011
0.0,2,2015.727833
0.0,2,2015.760302
0.0,2,2015.795753
0.0,2,2015.829373
0.0,2,2015.861916
0.0,2,2015.898404
0.0,2,2015.930424
0.0,4,2015.998455
0.0,2,2019.758972
0.0,4,2019.837385
0.0,6,2019.960161
0.0,2,2019.997836
0.0,2,2020.036054
0.0,4,2020.106827
0.0,2,2020.139953
0.0,2,2020.167946
0.0,2,2020.199162
0.0,2,2020.232633
0.0,2,2020.267091
0.0,2,2020.302522
0.0,4,2020.368126
0.0,2,2020.400723
0.0,2,2020.436851
0.0,4,2020.505701
0.0,2,2020.543228
0.0,2,2020.579808
0.0,2,2020.61074
0.0,2,2020.645915
0.0,2,2020.676388
0.0,2,2020.711709
0.0,2,2020.748192
0.0,2,2020.785521
0.0,2,2020.823002
0.0,2,2020.859208
0.0,2,2020.896984
0.0,4,2020.962593
0.0,2,2020.99997
0.0,2,2021.038002
0.0,4,2021.109987
0.0,2,2021.147294
0.0,4,2021.218897
0.0,2,2021.257238
0.0,2,2021.291783
0.0,2,2021.328964
0.0,6,2021.437572
0.0,2,2021.474498
0.0,2,2021.512146
0.0,2,2021.546669
0.0,2,2021.581733
0.0,2,2021.616309
0.0,4,2021.684761
0.0,2,2021.725192
0.0,2,2021.759297
0.0,2,2021.799427
0.0,2,2021.833509
0.0,2,2021.867722
0.0,2,2021.900634
0.0,2,2021.937618
0.0,2,2021.978184
0.0,2,2022.01477
0.0,2,2026.043346
0.0,2,2026.08111
0.0,2,2026.122935
0.0,2,2026.157389
0.0,2,2026.190231
0.0,2,2026.228155
0.0,2,2026.269571
0.0,2,2026.307917
0.0,2,2026.341998
0.0,2,2026.374565
0.0,2,2026.413688
0.0,2,2026.446128
0.0,2,2026.475834
0.0,2,2026.512097
0.0,4,2026.58585
0.0,3,2026.638741
0.0,2,2026.673603
0.0,2,2026.708848
0.0,3,2026.759442
0.0,2,2026.796643
0.0,2,2026.829621
0.0,2,2026.866296
0.0,2,2026.905416
0.0,2,2026.940406
0.0,6,2027.040907
0.0,2,2027.074838
0.0,2,2027.111623
0.0,4,2027.183134
0.0,2,2027.220449
0.0,4,2027.289586
0.0,4,2027.359055
0.0,5,2027.444219
0.0,2,2027.480005
0.0,2,2027.517446
0.0,2,2027.555983
0.0,2,2027.590401
0.0,2,2027.626515
0.0,2,2027.663609
0.0,2,2027.7009
0.0,2,2027.740619
0.0,2,2027.775036
0.0,4,2027.850917
0.0,2,2027.883911
0.0,2,2027.91548
0.0,2,2027.953008
0.0,2,2027.992153
0.0,2,2028.030349
0.0,4,2028.107949
0.0,2,2028.141644
0.0,4,2028.208297
0.0,4,2028.276748
0.0,6,2032.396884
0.0,4,2032.471841
0.0,2,2032.511561
0.0,4,2032.583241
0.0,2,2032.615674
0.0,4,2032.688125
0.0,2,2032.72056
0.0,4,2032.785353
0.0,2,2032.816784
0.0,2,2032.851742
0.0,2,2032.884195
0.0,4,2032.94911
0.0,2,2032.981002
0.0,4,2033.042157
0.0,2,2033.077918
0.0,6,2033.18291
0.0,4,2033.260502
0.0,2,2033.296048
0.0,2,2033.331691
0.0,2,2033.368839
0.0,2,2033.407582
0.0,3,2033.461567
0.0,2,2033.49989
0.0,2,2033.534859
0.0,2,2033.570486
0.0,2,2033.606929
0.0,2,2033.64179
0.0,2,2033.676777
0.0,6,2033.792112
0.0,2,2033.829147
0.0,4,2033.89875
0.0,2,2034.02858
0.0,2,2034.062204
0.0,2,2034.096023
0.0,2,2034.133264
0.0,2,2034.168575
0.0,2,2034.205244
0.0,2,2034.248281
0.0,2,2034.282464
0.0,2,2034.317841
0.0,2,2034.358011
0.0,4,2034.433149
0.0,2,2034.469273
0.0,2,2034.505322
0.0,2,2034.542826
0.0,2,2034.584131
0.0,2,2034.624821
0.0,3,2034.68013
0.0,2,2038.586413
0.0,4,2038.663607
0.0,2,2038.698763
0.0,2,2038.730893
0.0,2,2038.764326
0.0,2,2038.797066
0.0,4,2038.864473
0.0,2,2038.900616
0.0,2,2038.986917
0.0,3,2039.047027
0.0,2,2039.084134
0.0,4,2039.160025
0.0,6,2039.265759
0.0,2,2039.302913
