#{"t_start": 1667421485.3636963, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,334.066766
0.0,2,334.102005
0.0,2,334.137151
0.0,2,334.169046
0.0,2,334.201489
0.0,2,334.234678
0.0,2,334.266145
0.0,4,334.330731
0.0,2,334.364982
0.0,2,334.399619
0.0,4,334.461438
0.0,2,334.492786
0.0,2,334.524252
0.0,3,334.574403
0.0,2,334.608439
0.0,4,334.676171
0.0,6,334.783637
0.0,2,334.817441
0.0,2,334.854469
0.0,2,334.888116
0.0,2,334.918504
0.0,2,334.955216
0.0,2,334.991381
0.0,3,335.041579
0.0,2,335.074734
0.0,2,335.139453
0.0,2,335.177066
0.0,2,335.209474
0.0,4,335.275067
0.0,2,335.311186
0.0,2,335.344703
0.0,2,335.379554
0.0,2,335.413186
0.0,2,335.445327
0.0,2,335.477724
0.0,2,335.50962
0.0,2,335.539804
0.0,2,335.571133
0.0,2,335.605377
0.0,2,335.639223
0.0,2,335.6716
0.0,2,335.705545
0.0,4,335.772652
0.0,2,335.808365
0.0,2,335.842321
0.0,2,335.874858
0.0,2,335.909069
0.0,2,335.943497
0.0,4,336.010984
0.0,2,336.045847
0.0,2,336.082459
0.0,2,336.118921
0.0,2,336.154921
0.0,4,336.220725
0.0,2,339.399605
0.0,2,339.434927
0.0,2,339.468118
0.0,4,339.5345
0.0,4,339.602352
0.0,2,339.637015
0.0,2,339.670839
0.0,2,339.702814
0.0,4,339.771642
0.0,2,339.805488
0.0,2,339.836538
0.0,2,339.871964
0.0,2,339.903052
0.0,4,339.966592
0.0,2,340.001374
0.0,2,340.033215
0.0,7,340.159705
0.0,2,340.195783
0.0,2,340.232864
0.0,2,340.270129
0.0,2,340.306925
0.0,3,340.362997
0.0,2,340.401411
0.0,2,340.438385
0.0,2,340.47321
0.0,3,340.526259
0.0,2,340.554447
0.0,2,340.588343
0.0,2,340.625442
0.0,2,340.658463
0.0,2,340.688244
0.0,4,340.754747
0.0,2,340.78805
0.0,7,340.89405
0.0,2,340.925236
0.0,2,340.957839
0.0,2,340.987164
0.0,2,341.017834
0.0,2,341.051436
0.0,2,341.086302
0.0,2,341.118186
0.0,4,341.185423
0.0,4,341.250306
0.0,2,341.281461
0.0,2,341.316838
0.0,4,341.37923
0.0,2,341.411599
0.0,2,341.444197
0.0,2,341.479891
0.0,2,341.516325
0.0,2,344.708949
0.0,2,344.744348
0.0,2,344.776566
0.0,2,344.808681
0.0,4,344.875411
0.0,3,344.92641
0.0,2,344.961287
0.0,2,344.995933
0.0,2,345.03106
0.0,2,345.065972
0.0,2,345.108472
0.0,2,345.13986
0.0,2,345.174415
0.0,3,345.228203
0.0,2,345.259701
0.0,2,345.292572
0.0,2,345.328356
0.0,4,345.400522
0.0,2,345.436232
0.0,2,345.469311
0.0,2,345.50491
0.0,2,345.540963
0.0,2,345.576861
0.0,3,345.630064
0.0,4,345.707253
0.0,2,345.746354
