#{"t_start": 1667421491.2932773, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,4492.344131
0.0,2,4492.385411
0.0,2,4492.423728
0.0,2,4492.462176
0.0,2,4492.502813
0.0,2,4492.541175
0.0,2,4492.578202
0.0,2,4492.615083
0.0,2,4492.65149
0.0,3,4492.702974
0.0,3,4492.759377
0.0,4,4492.830174
0.0,2,4492.865484
0.0,2,4492.902126
0.0,2,4492.937786
0.0,2,4492.973733
0.0,4,4493.047212
0.0,3,4493.102458
0.0,3,4493.15464
0.0,4,4493.226787
0.0,2,4493.271234
0.0,3,4493.334328
0.0,2,4493.374613
0.0,2,4493.420215
0.0,2,4493.466368
0.0,2,4493.505503
0.0,3,4493.567855
0.0,2,4493.609448
0.0,2,4493.655772
0.0,3,4493.721077
0.0,4,4493.809753
0.0,2,4493.856664
0.0,4,4493.94815
0.0,2,4493.994902
0.0,2,4494.041957
0.0,2,4494.088182
0.0,2,4494.135353
0.0,2,4494.182122
0.0,2,4494.228895
0.0,4,4494.322321
0.0,4,4494.415457
0.0,2,4494.462036
0.0,2,4494.508634
0.0,2,4494.555391
0.0,2,4494.601782
0.0,2,4494.652251
0.0,2,4494.698665
0.0,2,4494.744836
0.0,4,4494.829927
0.0,2,4494.87284
0.0,4,4494.960535
0.0,2,4499.71897
0.0,2,4499.757977
0.0,2,4499.798001
0.0,2,4499.842383
0.0,2,4499.889362
0.0,2,4499.931133
0.0,6,4500.050885
0.0,2,4500.100841
0.0,6,4500.216724
0.0,2,4500.252518
0.0,2,4500.290875
0.0,2,4500.331929
0.0,2,4500.37539
0.0,2,4500.415445
0.0,4,4500.491827
0.0,2,4500.53381
0.0,3,4500.597809
0.0,4,4500.677951
0.0,2,4500.720399
0.0,6,4500.84378
0.0,2,4500.889164
0.0,2,4500.933516
0.0,2,4500.978809
0.0,2,4501.024153
0.0,2,4501.065528
0.0,2,4501.106836
0.0,2,4501.154622
0.0,2,4501.204562
0.0,6,4501.330386
0.0,2,4501.372325
0.0,4,4501.459853
