#{"t_start": 1667421491.557048, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,335.963045
0.0,2,335.99448
0.0,4,336.062584
0.0,2,336.096797
0.0,4,336.16597
0.0,2,336.20018
0.0,2,336.23424
0.0,2,336.268732
0.0,2,336.300475
0.0,2,336.334782
0.0,2,336.36886
0.0,4,336.437598
0.0,2,336.471869
0.0,2,336.508329
0.0,2,336.545867
0.0,2,336.581346
0.0,2,336.616486
0.0,2,336.648904
0.0,2,336.683966
0.0,4,336.754524
0.0,4,336.825808
0.0,2,336.858093
0.0,2,336.890848
0.0,2,336.925087
0.0,3,336.97297
0.0,2,337.006231
0.0,2,337.03778
0.0,4,337.102488
0.0,2,337.135218
0.0,2,337.169298
0.0,2,337.200293
0.0,4,337.26416
0.0,2,337.293702
0.0,2,337.323931
0.0,6,337.413096
0.0,3,337.46041
0.0,4,337.523937
0.0,2,337.55664
0.0,4,337.622185
0.0,4,337.689094
0.0,2,337.722045
0.0,2,337.755231
0.0,2,337.788849
0.0,2,337.822639
0.0,4,337.885092
0.0,2,337.919733
0.0,2,337.950771
0.0,4,338.015777
0.0,4,341.477971
0.0,5,341.565494
0.0,2,341.600119
0.0,4,341.667625
0.0,2,341.700304
0.0,3,341.752836
0.0,2,341.788863
0.0,2,341.824742
0.0,6,341.928607
0.0,2,341.958111
0.0,2,341.991221
0.0,2,342.026413
0.0,2,342.061922
0.0,2,342.098084
0.0,2,342.133779
0.0,6,342.240984
0.0,2,342.276477
0.0,4,342.349549
0.0,2,342.383299
0.0,2,342.418939
0.0,2,342.455332
0.0,2,342.492456
0.0,2,342.528999
0.0,2,342.563543
0.0,2,342.596211
0.0,2,342.626383
0.0,2,342.657275
0.0,2,342.690521
0.0,2,342.723762
0.0,4,342.785192
0.0,2,342.815753
0.0,2,342.84681
0.0,2,342.874431
0.0,2,342.902603
0.0,4,342.959246
0.0,2,342.986767
0.0,2,343.01514
0.0,2,343.043129
0.0,2,343.07193
0.0,2,343.101023
0.0,2,343.131023
0.0,2,343.160012
0.0,3,343.206305
0.0,2,343.236036
0.0,2,343.267864
0.0,2,343.29813
0.0,2,343.330647
0.0,4,343.394181
0.0,2,343.426364
0.0,4,343.486669
0.0,4,346.850248
0.0,2,346.884056
0.0,2,346.918205
0.0,4,346.988002
0.0,2,347.023171
0.0,2,347.059533
0.0,2,347.096142
0.0,2,347.13202
0.0,2,347.167906
0.0,2,347.207486
0.0,2,347.24285
0.0,2,347.276102
0.0,2,347.313272
0.0,2,347.349414
0.0,2,347.384282
0.0,2,347.420887
0.0,4,347.490462
0.0,4,347.56028
0.0,2,347.596501
0.0,2,347.62932
0.0,2,347.663403
0.0,2,347.697236
0.0,3,347.745683
0.0,2,347.778895
0.0,2,347.812964
0.0,4,347.884371
0.0,2,347.920583
0.0,2,347.956396
0.0,2,347.989216
0.0,2,348.026188
0.0,4,348.096216
0.0,2,348.129141
0.0,2,348.164165
0.0,2,348.200755
0.0,2,348.236956
0.0,4,348.306021
0.0,2,348.338362
