#{"t_start": 1667421491.5573645, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,4492.081579
0.0,4,4492.16074
0.0,2,4492.199118
0.0,2,4492.239865
0.0,4,4492.315143
0.0,2,4492.352176
0.0,4,4492.425516
0.0,3,4492.476887
0.0,2,4492.515016
0.0,2,4492.55001
0.0,2,4492.585963
0.0,4,4492.658321
0.0,2,4492.694287
0.0,2,4492.730302
0.0,2,4492.766821
0.0,2,4492.802964
0.0,2,4492.839306
0.0,2,4492.874152
0.0,2,4492.909307
0.0,2,4492.945615
0.0,2,4492.988293
0.0,2,4493.031328
0.0,2,4493.072012
0.0,2,4493.111657
0.0,2,4493.157254
0.0,2,4493.203424
0.0,2,4493.242613
0.0,2,4493.283872
0.0,2,4493.325558
0.0,2,4493.373908
0.0,2,4493.415875
0.0,2,4493.458098
0.0,2,4493.504153
0.0,3,4493.567527
0.0,4,4493.659652
0.0,2,4493.705742
0.0,2,4493.752903
0.0,4,4493.846669
0.0,2,4493.893232
0.0,2,4493.939862
0.0,2,4493.986682
0.0,4,4494.079926
0.0,2,4494.126498
0.0,2,4494.173258
0.0,2,4494.219805
0.0,2,4494.266624
0.0,7,4494.435908
0.0,6,4494.566932
0.0,2,4494.609847
0.0,2,4494.653364
0.0,2,4494.697555
0.0,4,4499.495191
0.0,2,4499.535112
0.0,2,4499.57966
0.0,2,4499.626497
0.0,2,4499.668197
0.0,2,4499.707517
0.0,2,4499.7458
0.0,2,4499.788004
0.0,2,4499.837977
0.0,6,4499.953771
0.0,2,4499.989537
0.0,2,4500.027988
0.0,5,4500.126561
0.0,2,4500.168108
0.0,2,4500.210352
0.0,2,4500.253642
0.0,2,4500.296099
0.0,2,4500.334816
0.0,2,4500.373021
0.0,2,4500.415056
0.0,4,4500.500165
0.0,2,4500.540047
0.0,2,4500.580796
0.0,2,4500.626182
0.0,2,4500.670698
0.0,2,4500.715955
0.0,2,4500.761356
0.0,2,4500.802708
0.0,2,4500.843914
0.0,4,4500.941472
0.0,2,4500.986456
0.0,6,4501.109571
0.0,4,4501.196855
0.0,2,4501.241399
0.0,2,4501.285916
0.0,4,4501.377444
0.0,3,4501.441212
0.0,2,4501.487612
0.0,2,4501.533576
0.0,4,4501.624898
0.0,2,4501.671393
0.0,4,4501.761993
0.0,2,4501.808119
0.0,2,4501.854569
0.0,2,4501.899964
0.0,3,4501.971596
0.0,2,4502.013813
0.0,4,4502.101134
0.0,2,4502.144792
0.0,6,4506.933704
0.0,4,4507.027394
0.0,2,4507.073076
0.0,4,4507.152726
0.0,2,4507.195757
0.0,5,4507.374977
0.0,4,4507.459456
0.0,4,4507.541065
0.0,6,4507.655866
0.0,4,4507.737251
0.0,4,4507.820937
0.0,2,4507.862158
0.0,2,4507.903717
0.0,6,4508.027508
0.0,2,4508.071406
0.0,2,4508.112691
0.0,4,4508.196178
0.0,3,4508.262524
0.0,4,4508.34817
0.0,2,4508.392667
0.0,2,4508.439571
0.0,2,4508.486842
0.0,2,4508.533439
0.0,6,4508.673274
0.0,4,4508.766961
0.0,2,4508.81342
