#{"t_start": 1667421491.2932012, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,30.282459
0.0,4,30.332991
0.0,2,30.357782
0.0,2,30.38404
0.0,2,30.410535
0.0,2,30.436881
0.0,2,30.463227
0.0,3,30.502893
0.0,2,30.529465
0.0,2,30.556037
0.0,2,30.582677
0.0,4,30.636012
0.0,2,30.662366
0.0,2,30.688902
0.0,2,30.715508
0.0,2,30.743312
0.0,2,30.769774
0.0,2,30.796658
0.0,2,30.822325
0.0,2,30.849136
0.0,2,30.875858
0.0,2,30.902654
0.0,2,30.929245
0.0,2,30.955954
0.0,2,30.98274
0.0,2,31.00934
0.0,2,31.036133
0.0,3,31.076207
0.0,2,31.1028
0.0,2,31.129547
0.0,7,31.223094
0.0,2,31.249308
0.0,2,31.27573
0.0,4,31.329002
0.0,2,31.355622
0.0,2,31.384285
0.0,2,31.411077
0.0,2,31.437657
0.0,2,31.464384
0.0,2,31.491056
0.0,2,31.517814
0.0,2,31.544432
0.0,2,31.573473
0.0,2,31.60014
0.0,3,31.640071
0.0,4,31.693419
0.0,2,31.722299
0.0,2,31.751577
0.0,2,31.778285
0.0,2,31.804947
0.0,2,31.831548
0.0,2,31.858536
0.0,2,31.885138
0.0,2,31.911951
0.0,2,31.938842
0.0,2,31.96564
0.0,2,35.084845
0.0,2,35.112435
0.0,7,35.207337
0.0,2,35.233611
0.0,2,35.261467
0.0,2,35.287564
0.0,4,35.341549
0.0,2,35.369374
0.0,4,35.422764
0.0,2,35.449149
0.0,2,35.475971
0.0,2,35.500913
0.0,4,35.556752
0.0,2,35.583489
0.0,2,35.610167
0.0,2,35.639265
0.0,2,35.665851
0.0,2,35.692562
0.0,2,35.719233
0.0,2,35.74589
0.0,2,35.774013
0.0,2,35.802648
0.0,6,35.882582
0.0,4,35.935958
0.0,4,35.989319
0.0,2,36.016027
0.0,2,36.042598
0.0,2,36.069325
0.0,2,36.096079
0.0,2,36.122739
0.0,2,36.149343
0.0,4,36.202808
0.0,2,36.229556
0.0,2,36.256332
0.0,7,36.350011
0.0,2,36.376386
0.0,2,36.403101
0.0,2,36.429775
0.0,2,36.456446
0.0,4,36.509653
0.0,2,36.536453
0.0,2,36.563072
0.0,6,36.643402
0.0,2,36.670289
0.0,2,36.697479
0.0,2,36.724404
0.0,2,36.751178
0.0,3,44.441751
0.0,4,44.47571
0.0,2,44.494165
0.0,2,44.513312
0.0,2,44.531758
0.0,2,44.549322
0.0,3,44.578771
0.0,2,44.598359
0.0,2,44.624815
0.0,4,44.660588
0.0,2,44.67941
0.0,2,44.696487
0.0,2,44.71491
0.0,2,44.734047
0.0,2,44.751594
0.0,4,44.787235
0.0,7,44.852118
0.0,4,44.890297
0.0,2,44.907758
0.0,4,44.962247
0.0,2,44.981755
0.0,4,45.020454
0.0,2,45.037172
0.0,2,45.052369
0.0,2,45.068036
0.0,2,45.083159
0.0,2,45.098819
0.0,2,45.115223
0.0,2,45.13071
0.0,4,45.163358
0.0,2,45.179315
0.0,2,45.195357
0.0,2,45.212069
0.0,2,45.229789
0.0,6,45.276059
0.0,2,45.290832
0.0,2,45.306891
0.0,3,45.330562
0.0,2,45.346472
0.0,2,45.365224
0.0,4,45.396368
0.0,2,45.412777
0.0,2,45.428707
0.0,2,45.447548
0.0,2,45.465701
0.0,4,45.500303
0.0,2,45.518911
0.0,4,45.566328
0.0,2,45.586842
0.0,2,48.264126
0.0,2,48.354809
0.0,2,48.38234
0.0,2,48.409894
0.0,2,48.439508
0.0,2,48.46735
1.0,7,48.563889
0.0,2,48.591022
0.0,3,48.632187
0.0,2,48.65975
0.0,6,48.743503
0.0,2,48.771797
0.0,2,48.800123
0.0,2,48.828393
0.0,2,48.85643
0.0,2,48.884814
0.0,2,48.913146
0.0,2,48.941839
0.0,2,48.969967
0.0,2,48.998168
0.0,2,49.027052
0.0,2,49.056578
0.0,2,49.085392
0.0,2,49.114383
0.0,2,49.143271
0.0,2,49.172479
0.0,2,49.201332
0.0,3,49.246518
0.0,2,49.277178
0.0,2,49.308925
0.0,2,49.341916
0.0,2,49.374333
0.0,2,49.402939
0.0,2,49.431417
0.0,2,49.463214
0.0,2,49.496166
0.0,4,49.557217
0.0,4,49.621023
0.0,2,49.653921
0.0,2,49.685886
0.0,2,49.717705
0.0,4,49.782846
0.0,2,49.812635
0.0,2,49.842227
0.0,2,49.871586
0.0,2,49.901957
0.0,4,49.961229
0.0,2,49.990828
0.0,2,50.02084
0.0,2,50.050416
0.0,2,50.081484
0.0,7,50.186333
0.0,2,55.730294
0.0,2,55.741602
0.0,2,55.752064
0.0,2,55.762217
0.0,2,55.773261
0.0,4,55.801901
0.0,2,55.816314
0.0,2,55.833515
0.0,2,55.848405
0.0,2,55.866528
0.0,3,55.893795
0.0,2,55.915578
0.0,4,55.960019
0.0,2,55.98142
0.0,2,56.002525
0.0,4,56.044148
0.0,2,56.068382
0.0,2,56.089056
0.0,2,56.110599
0.0,7,56.185982
0.0,4,56.22788
0.0,2,56.249758
0.0,3,56.281804
0.0,2,56.303648
0.0,2,56.324541
0.0,2,56.344106
