#{"t_start": 1667421495.946041, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2731.637373
0.0,2,2731.67739
0.0,3,2731.730013
0.0,2,2731.768651
0.0,2,2731.812011
0.0,2,2731.853679
0.0,4,2731.929513
0.0,2,2731.961226
0.0,2,2731.994385
0.0,2,2732.031146
0.0,2,2732.071598
0.0,2,2732.108097
0.0,2,2732.143888
0.0,2,2732.175636
0.0,2,2732.206871
0.0,2,2732.242324
0.0,2,2732.276818
0.0,2,2732.312379
0.0,2,2732.343849
0.0,2,2732.376807
0.0,2,2732.409931
0.0,2,2732.515875
0.0,2,2732.550959
0.0,2,2732.585345
0.0,2,2732.620533
0.0,2,2732.655795
0.0,4,2732.718718
0.0,2,2732.749069
0.0,2,2732.784008
0.0,4,2732.856417
0.0,2,2732.896655
0.0,2,2732.935465
0.0,4,2733.009708
0.0,2,2733.044512
0.0,4,2733.120039
0.0,2,2733.157663
0.0,2,2733.196627
0.0,2,2733.235462
0.0,2,2733.274146
0.0,2,2733.314776
0.0,2,2733.354728
0.0,2,2733.403733
0.0,2,2733.448281
0.0,4,2733.540038
0.0,2,2733.580742
0.0,3,2733.643712
0.0,2,2733.683213
0.0,2,2733.72586
0.0,4,2733.812554
0.0,2,2733.853669
0.0,2,2733.896104
0.0,2,2733.938162
0.0,2,2733.980234
0.0,2,2734.021989
0.0,2,2734.063577
0.0,2,2734.104725
0.0,2,2738.217244
0.0,2,2738.252332
0.0,2,2738.288305
0.0,2,2738.324393
0.0,2,2738.360112
0.0,2,2738.395791
0.0,2,2738.434572
0.0,4,2738.502725
0.0,2,2738.538994
0.0,2,2738.573767
0.0,2,2738.610339
0.0,2,2738.643614
0.0,6,2738.738749
0.0,2,2738.779688
0.0,2,2738.816894
0.0,2,2738.845991
0.0,2,2738.878913
0.0,2,2738.911862
0.0,2,2738.943428
0.0,2,2738.976888
0.0,2,2739.008637
0.0,2,2739.042725
0.0,2,2739.079006
0.0,2,2739.112627
0.0,2,2739.146971
0.0,2,2739.177786
0.0,4,2739.244136
0.0,2,2739.281013
0.0,4,2739.350859
0.0,2,2739.383639
0.0,5,2739.475747
0.0,2,2739.510339
0.0,2,2739.549139
0.0,2,2739.589009
0.0,2,2739.629544
0.0,2,2739.667144
0.0,2,2739.70384
