#{"t_start": 1667421495.385144, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2732.196013
0.0,2,2732.236166
0.0,2,2732.271414
0.0,2,2732.313492
0.0,3,2732.370887
0.0,2,2732.412599
0.0,2,2732.451506
0.0,2,2732.488279
0.0,2,2732.519897
0.0,2,2732.553079
0.0,2,2732.589796
0.0,2,2732.63024
0.0,4,2732.702728
0.0,2,2732.734247
0.0,2,2732.765603
0.0,2,2732.800922
0.0,2,2732.835113
0.0,2,2732.871009
0.0,2,2732.90242
0.0,2,2732.935345
0.0,2,2732.968656
0.0,2,2733.074567
0.0,2,2733.109542
0.0,2,2733.14438
0.0,2,2733.179285
0.0,2,2733.214703
0.0,2,2733.246226
0.0,2,2733.27771
0.0,2,2733.308047
0.0,2,2733.34266
0.0,2,2733.379612
0.0,2,2733.414304
0.0,2,2733.455341
0.0,2,2733.494237
0.0,2,2733.529252
0.0,2,2733.568687
0.0,4,2733.640419
0.0,2,2733.678695
0.0,4,2733.755511
0.0,2,2733.794083
0.0,4,2733.873245
0.0,4,2733.961911
0.0,2,2734.006901
0.0,2,2734.052249
0.0,4,2734.139393
0.0,2,2734.180142
0.0,2,2734.220705
0.0,2,2734.264359
0.0,2,2734.307916
0.0,2,2734.352968
0.0,2,2734.394845
0.0,4,2734.478372
0.0,3,2734.538841
0.0,2,2734.580613
0.0,2,2734.622097
0.0,4,2738.775549
0.0,2,2738.811194
0.0,2,2738.846909
0.0,2,2738.882852
0.0,2,2738.918743
0.0,2,2738.95472
0.0,3,2739.010292
0.0,2,2739.047807
0.0,2,2739.081568
0.0,2,2739.115224
0.0,6,2739.219521
0.0,6,2739.318612
0.0,2,2739.357534
0.0,2,2739.392426
0.0,4,2739.455259
0.0,7,2739.567347
0.0,2,2739.601609
0.0,4,2739.671544
0.0,2,2739.705862
0.0,4,2739.767734
0.0,2,2739.803134
0.0,2,2739.840056
0.0,2,2739.873096
0.0,2,2739.909867
0.0,3,2739.96311
0.0,2,2740.000623
0.0,2,2740.034358
0.0,2,2740.069443
0.0,4,2740.147766
0.0,4,2740.225821
0.0,3,2740.27874
0.0,2,2740.322153
0.0,2,2740.366621
0.0,4,2740.455745
0.0,2,2740.500367
0.0,2,2740.54241
0.0,2,2740.586303
0.0,2,2740.633234
0.0,2,2740.677858
0.0,2,2740.720992
0.0,4,2740.806607
0.0,2,2740.851382
0.0,2,2740.896262
0.0,2,2740.941242
0.0,2,2740.99442
0.0,2,2741.036772
0.0,4,2741.130288
0.0,2,2741.177982
0.0,4,2745.543636
0.0,2,2745.58307
0.0,2,2745.617835
0.0,3,2745.674953
0.0,2,2745.712067
0.0,2,2745.74701
0.0,2,2745.785306
0.0,2,2745.820488
0.0,2,2745.857449
0.0,2,2745.895504
0.0,3,2745.946172
0.0,2,2745.982399
0.0,4,2746.045909
0.0,2,2746.078405
0.0,4,2746.143687
0.0,2,2746.176399
0.0,2,2746.208266
0.0,4,2746.277996
0.0,2,2746.314631
0.0,3,2746.363247
0.0,6,2746.463333
0.0,2,2746.497681
0.0,2,2746.534877
0.0,2,2746.572238
0.0,2,2746.612547
0.0,4,2746.681591
0.0,2,2746.717778
0.0,4,2746.792217
0.0,2,2746.833375
0.0,2,2746.879567
0.0,2,2746.91838
0.0,2,2746.958775
0.0,2,2746.999639
0.0,4,2747.08148
0.0,2,2747.12235
0.0,2,2747.163402
0.0,2,2747.20388
0.0,2,2747.249548
0.0,3,2747.318158
0.0,2,2747.364588
0.0,2,2747.412769
0.0,2,2747.458538
0.0,4,2747.54907
0.0,2,2747.58884
0.0,4,2747.669976
0.0,2,2747.718299
0.0,2,2747.76095
0.0,2,2747.803809
0.0,2,2747.84664
0.0,2,2747.88961
0.0,2,2747.93221
0.0,2,2752.118669
0.0,2,2752.158151
0.0,4,2752.237826
0.0,2,2752.27942
0.0,2,2752.311579
0.0,2,2752.353318
0.0,2,2752.38805
0.0,2,2752.423871
0.0,2,2752.456347
0.0,2,2752.491564
0.0,4,2752.561257
0.0,2,2752.597257
0.0,2,2752.62724
0.0,4,2752.691581
0.0,2,2752.721395
0.0,3,2752.773792
0.0,2,2752.808715
0.0,2,2752.843478
0.0,2,2752.87931
0.0,2,2752.915547
0.0,2,2752.950173
0.0,2,2752.983939
0.0,4,2753.067272
0.0,3,2753.12454
0.0,4,2753.197303
0.0,2,2753.23863
0.0,2,2753.275663
0.0,2,2753.311712
0.0,2,2753.349125
0.0,2,2753.387093
0.0,2,2753.429734
0.0,2,2753.47099
0.0,2,2753.510309
0.0,2,2753.551266
0.0,4,2753.633378
0.0,2,2753.674147
0.0,2,2753.715194
0.0,2,2753.756038
0.0,3,2753.817539
0.0,2,2753.858525
0.0,2,2753.902854
0.0,2,2753.943614
0.0,4,2754.032943
0.0,2,2754.079338
0.0,2,2754.122155
0.0,4,2754.218457
0.0,2,2754.2596
0.0,2,2754.300797
0.0,2,2754.342161
0.0,2,2754.383358
0.0,2,2754.424714
0.0,3,2754.48564
0.0,2,2754.525956
0.0,2,2754.568262
0.0,2,2758.761173
0.0,2,2758.800134
0.0,2,2758.838617
0.0,2,2758.878918
0.0,2,2758.919872
0.0,2,2758.959059
0.0,2,2758.997155
0.0,2,2759.032551
0.0,3,2759.084787
0.0,4,2759.148393
0.0,2,2759.178909
0.0,4,2759.24805
0.0,2,2759.282466
0.0,6,2759.37835
0.0,2,2759.414817
0.0,2,2759.448318
0.0,2,2759.483265
0.0,2,2759.51424
0.0,2,2759.549272
0.0,3,2759.598566
0.0,2,2759.632549
0.0,2,2759.671129
0.0,2,2759.707157
0.0,2,2759.741665
0.0,2,2759.775238
0.0,4,2759.841848
0.0,2,2759.874148
0.0,4,2759.950337
0.0,2,2759.989233
0.0,2,2760.024022
0.0,4,2760.09786
0.0,2,2760.136134
0.0,3,2760.199378
0.0,2,2760.2385
0.0,2,2760.279404
0.0,2,2760.320343
0.0,2,2760.365736
0.0,2,2760.406671
0.0,6,2760.531729
0.0,4,2760.617158
0.0,2,2760.668125
0.0,2,2760.716296
0.0,2,2760.766935
0.0,2,2760.816205
0.0,2,2760.861067
0.0,2,2760.908352
0.0,4,2760.991961
0.0,2,2761.033897
0.0,2,2761.078999
0.0,2,2761.124312
0.0,2,2761.165946
0.0,2,2765.37885
0.0,2,2765.418518
0.0,6,2765.528148
0.0,2,2765.563582
0.0,2,2765.599314
0.0,2,2765.638981
0.0,2,2765.673906
0.0,2,2765.709113
0.0,4,2765.766479
0.0,2,2765.795883
0.0,2,2765.826653
0.0,2,2765.856343
0.0,4,2765.917832
0.0,2,2765.95119
0.0,2,2765.986521
0.0,4,2766.048045
0.0,3,2766.096158
0.0,2,2766.127452
0.0,2,2766.158444
0.0,3,2766.210037
0.0,2,2766.247303
0.0,2,2766.285475
0.0,5,2766.374177
0.0,2,2766.412177
0.0,2,2766.449908
0.0,2,2766.488176
0.0,7,2766.607584
0.0,2,2766.646561
0.0,2,2766.684007
0.0,2,2766.717514
0.0,2,2766.75697
0.0,2,2766.796398
0.0,3,2766.854726
0.0,4,2766.930001
0.0,4,2767.011596
0.0,2,2767.051232
0.0,2,2767.090911
0.0,2,2767.132059
0.0,4,2767.277835
0.0,2,2767.320327
0.0,2,2767.362361
0.0,4,2767.446918
0.0,4,2767.534194
0.0,2,2767.575644
0.0,2,2767.616848
0.0,2,2767.658561
0.0,2,2767.70117
0.0,2,2767.743541
1.0,7,2772.176939
1.0,7,2772.311427
1.0,7,2772.442595
1.0,7,2772.551734
1.0,7,2772.65371
1.0,7,2772.769522
1.0,7,2772.887167
1.0,7,2773.008997
1.0,7,2773.160127
1.0,7,2773.281615
1.0,7,2773.396733
1.0,7,2773.528577
1.0,7,2773.672725
1.0,7,2773.816085
1.0,7,2773.963249
1.0,7,2774.113389
1.0,7,2774.255983
1.0,7,2774.392292
1.0,7,2778.719369
1.0,7,2778.844835
1.0,7,2778.978268
1.0,7,2779.111198
1.0,7,2779.237461
1.0,7,2779.341289
1.0,7,2779.454299
1.0,7,2779.579518
1.0,7,2779.696724
1.0,7,2779.828264
1.0,7,2779.959336
1.0,7,2780.094176
1.0,7,2780.234436
1.0,7,2780.383532
1.0,7,2780.536148
1.0,7,2780.688289
1.0,7,2780.844643
1.0,7,2781.000403
1.0,7,2785.305317
1.0,7,2785.443599
1.0,7,2785.561773
1.0,7,2785.694093
1.0,7,2785.820795
1.0,7,2785.934483
1.0,7,2786.044797
1.0,7,2786.168758
1.0,7,2786.292399
1.0,7,2786.419817
1.0,7,2786.554891
1.0,7,2786.677764
1.0,7,2786.800658
1.0,7,2786.938719
1.0,7,2787.085216
1.0,7,2787.230516
1.0,7,2787.370002
1.0,7,2787.508003
1.0,7,2787.653512
1.0,7,2791.982435
1.0,7,2792.105375
1.0,7,2792.242949
1.0,7,2792.361958
1.0,7,2792.488405
1.0,7,2792.602974
1.0,7,2792.716633
1.0,7,2792.837705
1.0,7,2792.955229
1.0,7,2793.126968
1.0,7,2793.251046
