#{"t_start": 1667421498.8762274, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,2704.870454
0.0,2,2704.916401
0.0,2,2704.957859
0.0,3,2705.019422
0.0,2,2705.061396
0.0,2,2705.102462
0.0,2,2705.143756
0.0,2,2705.185026
0.0,2,2705.226828
0.0,4,2705.309163
0.0,2,2705.35067
0.0,2,2705.391706
0.0,2,2705.432275
0.0,4,2705.514429
0.0,2,2705.552309
0.0,2,2705.590331
0.0,2,2705.628414
0.0,2,2705.667616
0.0,2,2705.706868
0.0,2,2705.746055
0.0,2,2705.785176
0.0,2,2705.823652
0.0,2,2705.863038
0.0,2,2705.901602
0.0,5,2705.998061
0.0,2,2706.037074
0.0,2,2706.075261
0.0,4,2706.147643
0.0,4,2706.223647
0.0,2,2706.25966
0.0,2,2706.293886
0.0,2,2706.325214
0.0,2,2706.361709
0.0,4,2706.432532
0.0,2,2706.461552
0.0,2,2706.492645
0.0,2,2706.52299
0.0,2,2706.55514
0.0,4,2706.612307
0.0,2,2706.644836
0.0,2,2706.676606
0.0,3,2706.722393
0.0,2,2706.757324
0.0,2,2706.796345
0.0,4,2706.861848
0.0,4,2706.925143
0.0,2,2706.952152
0.0,2,2706.978456
0.0,2,2707.011667
0.0,2,2707.047455
0.0,4,2707.114303
0.0,2,2707.14685
0.0,6,2711.362199
0.0,2,2711.403958
0.0,2,2711.44466
0.0,2,2711.485524
0.0,4,2711.567901
0.0,2,2711.608857
0.0,6,2711.73254
0.0,2,2711.773237
0.0,2,2711.813627
0.0,2,2711.854281
0.0,2,2711.894935
0.0,3,2711.955932
0.0,2,2711.993694
0.0,2,2712.034825
0.0,2,2712.073261
0.0,2,2712.11144
0.0,2,2712.150311
0.0,3,2712.211316
0.0,4,2712.288073
0.0,2,2712.326503
0.0,2,2712.365595
0.0,2,2712.404373
0.0,2,2712.443237
0.0,3,2712.49808
0.0,2,2712.536494
0.0,6,2712.655687
0.0,4,2712.731778
0.0,2,2712.766687
0.0,2,2712.79936
0.0,2,2712.836447
0.0,2,2712.875006
0.0,2,2712.909051
0.0,2,2712.94397
0.0,2,2712.981691
0.0,2,2713.017653
0.0,2,2713.051334
0.0,2,2713.085977
0.0,2,2713.12182
0.0,2,2713.159112
0.0,4,2713.224742
0.0,2,2713.257043
0.0,3,2713.303694
0.0,2,2713.339646
0.0,4,2713.406919
0.0,2,2713.436478
0.0,2,2713.467035
0.0,3,2713.517423
0.0,2,2713.553011
0.0,2,2713.584627
0.0,2,2713.615574
0.0,2,2713.647459
0.0,2,2717.676504
0.0,2,2717.724023
0.0,2,2717.767472
0.0,2,2717.817563
0.0,2,2717.863103
0.0,2,2717.911686
0.0,2,2717.96079
0.0,2,2718.002572
0.0,2,2718.047962
0.0,2,2718.092146
0.0,2,2718.137206
0.0,6,2718.264371
0.0,2,2718.305081
0.0,2,2718.346148
0.0,4,2718.428832
0.0,2,2718.47064
0.0,2,2718.516147
0.0,2,2718.561899
0.0,2,2718.604935
0.0,2,2718.647547
0.0,2,2718.689404
0.0,2,2718.727874
0.0,4,2718.80447
0.0,2,2718.843009
0.0,6,2718.959378
0.0,2,2718.998128
0.0,2,2719.036602
0.0,2,2719.075126
0.0,2,2719.11341
0.0,2,2719.152032
0.0,2,2719.189739
0.0,2,2719.227574
0.0,2,2719.264987
0.0,2,2719.299723
0.0,2,2719.331008
0.0,2,2719.362725
0.0,4,2719.425077
0.0,2,2719.460565
0.0,2,2719.640121
0.0,2,2719.671183
0.0,5,2719.748948
0.0,2,2719.780229
0.0,3,2719.823872
0.0,2,2719.855303
0.0,2,2719.883947
0.0,2,2719.917148
0.0,2,2719.948858
0.0,2,2719.982697
0.0,2,2720.014479
0.0,2,2720.04941
0.0,2,2720.08244
0.0,2,2720.114528
0.0,2,2720.145664
0.0,2,2720.185446
0.0,2,2720.224424
0.0,4,2724.379395
0.0,4,2724.463297
0.0,7,2724.617519
0.0,2,2724.660206
0.0,4,2724.749821
0.0,2,2724.794912
0.0,4,2724.87749
0.0,2,2724.918838
0.0,2,2724.960129
0.0,2,2725.001556
0.0,5,2725.101343
0.0,2,2725.13909
0.0,2,2725.176281
0.0,4,2725.253547
0.0,2,2725.291648
0.0,2,2725.331572
0.0,2,2725.370719
0.0,2,2725.410039
0.0,2,2725.448762
0.0,2,2725.488051
0.0,2,2725.526572
0.0,2,2725.56555
0.0,2,2725.604179
0.0,2,2725.642983
0.0,2,2725.681562
0.0,2,2725.719568
0.0,2,2725.758201
0.0,2,2725.795706
0.0,2,2725.831709
0.0,2,2725.87045
0.0,2,2725.912819
0.0,4,2725.989084
0.0,4,2726.055439
0.0,4,2726.116185
0.0,2,2726.145244
0.0,2,2726.175387
0.0,2,2726.207117
0.0,2,2726.241581
0.0,6,2726.331021
0.0,2,2726.361619
0.0,2,2726.391252
0.0,2,2726.420724
0.0,2,2726.451977
0.0,2,2726.485895
0.0,2,2726.521821
0.0,2,2726.55601
0.0,2,2726.589831
0.0,2,2726.624996
0.0,6,2730.916975
0.0,2,2730.9636
0.0,2,2731.009676
0.0,2,2731.056107
0.0,2,2731.097857
0.0,2,2731.13982
0.0,2,2731.180865
0.0,2,2731.223163
0.0,2,2731.2646
0.0,2,2731.304883
0.0,2,2731.345791
0.0,2,2731.38743
0.0,2,2731.428577
0.0,7,2731.573215
0.0,2,2731.615663
0.0,2,2731.659574
0.0,2,2731.702595
0.0,2,2731.741486
0.0,4,2731.820805
0.0,2,2731.861409
0.0,2,2731.904402
0.0,2,2731.943707
0.0,2,2731.982771
0.0,3,2732.042854
0.0,2,2732.082055
0.0,4,2732.167708
0.0,2,2732.209662
0.0,2,2732.248189
0.0,2,2732.286212
0.0,2,2732.331272
0.0,2,2732.366228
0.0,2,2732.403318
0.0,2,2732.440134
0.0,2,2732.477678
0.0,2,2732.515675
0.0,2,2732.550284
0.0,2,2732.586696
0.0,2,2732.62041
0.0,2,2732.655228
0.0,2,2732.69093
0.0,2,2732.723852
0.0,3,2732.777796
0.0,2,2732.809789
0.0,2,2732.839928
0.0,2,2732.872025
0.0,2,2732.902311
0.0,2,2732.931687
0.0,4,2732.991547
0.0,2,2733.022745
0.0,2,2733.053038
0.0,6,2733.146048
0.0,2,2733.180276
0.0,2,2733.219934
0.0,2,2733.257992
0.0,2,2733.294699
0.0,2,2737.356343
0.0,4,2737.446393
0.0,2,2737.491444
0.0,2,2737.537222
0.0,2,2737.583797
