#{"t_start": 1667421498.8764803, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,322.214464
0.0,2,322.249482
0.0,2,322.281227
0.0,2,322.315245
0.0,2,322.349328
0.0,2,322.382593
0.0,2,322.417059
0.0,2,322.451123
0.0,2,322.483512
0.0,2,322.519355
0.0,2,322.555337
0.0,2,322.590619
0.0,2,322.627474
0.0,2,322.663875
0.0,2,322.701637
0.0,2,322.738493
0.0,2,322.776329
0.0,2,322.811207
0.0,2,322.843696
0.0,2,322.876865
0.0,4,322.944237
0.0,2,322.98056
0.0,2,323.018197
0.0,2,323.050897
0.0,2,323.082471
0.0,2,323.113972
0.0,2,323.146042
0.0,2,323.175499
0.0,2,323.208805
0.0,2,323.238329
0.0,2,323.270434
0.0,4,323.336749
0.0,4,323.404404
0.0,2,323.438974
0.0,2,323.473515
0.0,2,323.506541
0.0,2,323.540687
0.0,2,323.574554
0.0,2,323.609348
0.0,2,323.644481
0.0,4,323.711094
0.0,2,323.74544
0.0,2,323.777244
0.0,2,323.812823
0.0,2,323.846015
0.0,2,323.877202
0.0,2,323.909801
0.0,4,323.973999
0.0,6,324.076417
0.0,2,324.112651
0.0,2,324.146695
0.0,2,324.179307
0.0,2,324.212723
0.0,2,324.246492
0.0,2,324.278019
0.0,2,324.311831
0.0,2,324.343451
0.0,2,327.585196
0.0,2,327.620811
0.0,2,327.650125
0.0,2,327.679973
0.0,2,327.711765
0.0,2,327.743882
0.0,2,327.779258
0.0,2,327.81523
0.0,2,327.849208
0.0,2,327.884156
0.0,2,327.920485
0.0,2,327.956746
0.0,4,328.028238
0.0,2,328.065109
0.0,3,328.119398
0.0,2,328.155002
0.0,4,328.227443
0.0,2,328.264385
0.0,2,328.301898
0.0,4,328.368656
0.0,2,328.402155
0.0,4,328.469846
0.0,2,328.502043
0.0,4,328.562325
0.0,2,328.593332
0.0,2,328.626061
0.0,2,328.658157
0.0,2,328.693324
0.0,2,328.724402
0.0,4,328.790206
0.0,2,328.824554
0.0,2,328.858983
0.0,2,328.893464
0.0,2,328.927416
0.0,3,328.979238
0.0,4,329.047628
0.0,2,329.085894
0.0,2,329.1207
0.0,2,329.154819
0.0,2,329.19188
0.0,7,329.310067
0.0,2,329.344982
0.0,2,329.379282
0.0,2,329.412406
0.0,2,329.447619
0.0,2,329.479655
0.0,4,329.546758
0.0,6,329.648219
0.0,2,329.682013
0.0,3,329.728492
0.0,2,333.260481
0.0,2,333.294401
0.0,2,333.328192
0.0,2,333.361718
0.0,2,333.395934
0.0,2,333.427496
0.0,2,333.463144
0.0,2,333.493797
0.0,3,333.542124
0.0,2,333.575936
0.0,2,333.610272
0.0,2,333.64535
0.0,4,333.713127
0.0,2,333.747832
0.0,2,333.785655
0.0,2,333.824432
0.0,2,333.860181
0.0,2,333.889646
0.0,2,333.921937
0.0,4,333.981616
0.0,2,334.011345
0.0,2,334.043117
