#{"t_start": 1667421501.3003821, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,323.653407
0.0,2,323.685104
0.0,2,323.718914
0.0,2,323.753211
0.0,2,323.787843
0.0,2,323.822946
0.0,2,323.856601
0.0,4,323.925711
0.0,6,324.024859
0.0,2,324.06022
0.0,2,324.095332
0.0,3,324.147223
0.0,2,324.191772
0.0,2,324.227763
0.0,2,324.264539
0.0,4,324.334947
0.0,4,324.409886
0.0,2,324.448093
0.0,2,324.485364
0.0,2,324.522391
0.0,2,324.559131
0.0,2,324.59226
0.0,2,324.627236
0.0,2,324.663929
0.0,3,324.713462
0.0,2,324.749745
0.0,2,324.783247
0.0,2,324.820027
0.0,2,324.853926
0.0,2,324.885341
0.0,2,324.916762
0.0,2,324.949468
0.0,4,325.011327
0.0,2,325.045531
0.0,4,325.113248
0.0,2,325.145464
0.0,2,325.176852
0.0,2,325.210835
0.0,2,325.244079
0.0,2,325.276884
0.0,2,325.312559
0.0,2,325.346772
0.0,2,325.382134
0.0,2,325.417144
0.0,2,325.451963
0.0,4,325.523935
0.0,4,325.587935
0.0,2,325.621236
0.0,2,325.657583
0.0,2,325.693752
0.0,2,325.729304
0.0,2,325.764713
0.0,2,325.801526
0.0,2,325.838557
0.0,2,329.008882
0.0,2,329.043792
0.0,4,329.113106
0.0,2,329.158296
0.0,2,329.193879
0.0,3,329.246387
0.0,2,329.281832
0.0,4,329.354067
0.0,4,329.426327
0.0,4,329.498099
0.0,2,329.534133
0.0,4,329.605931
0.0,2,329.641708
0.0,2,329.679553
0.0,4,329.753704
0.0,2,329.792623
0.0,2,329.830846
0.0,2,329.869199
0.0,4,329.939826
0.0,2,329.975897
0.0,2,330.008429
0.0,2,330.046183
0.0,2,330.084715
0.0,2,330.12316
0.0,4,330.191957
0.0,6,330.302174
0.0,4,330.369736
0.0,2,330.400567
0.0,2,330.431039
0.0,2,330.459453
0.0,4,330.519146
0.0,2,330.549823
0.0,2,330.580737
0.0,2,330.610521
0.0,4,330.667948
0.0,2,330.696397
0.0,2,330.726486
0.0,2,330.756563
0.0,2,330.787718
0.0,6,330.888651
0.0,3,330.93987
0.0,2,330.974761
0.0,2,331.01245
0.0,3,331.064767
0.0,2,331.096964
0.0,6,334.573387
0.0,2,334.608042
0.0,2,334.642982
0.0,2,334.678025
0.0,2,334.714159
0.0,4,334.785427
0.0,2,334.821884
0.0,4,334.895044
0.0,2,334.927162
0.0,2,334.962871
0.0,5,335.052295
0.0,6,335.161832
0.0,2,335.194247
0.0,4,335.26401
0.0,2,335.302524
0.0,2,335.34139
0.0,2,335.379509
0.0,2,335.417776
0.0,2,335.456043
0.0,2,335.491978
0.0,2,335.526904
0.0,2,335.5646
0.0,2,335.598471
0.0,2,335.634228
0.0,2,335.672537
0.0,4,335.742865
0.0,2,335.7807
0.0,2,335.815129
0.0,4,335.877434
0.0,2,335.907943
0.0,2,335.936789
0.0,2,335.965262
0.0,2,335.993785
0.0,2,336.020806
0.0,2,336.051076
0.0,2,336.079965
0.0,2,336.112858
0.0,2,336.144715
0.0,2,336.176218
0.0,2,336.20869
0.0,2,336.244319
0.0,2,336.278529
0.0,2,336.312571
0.0,4,336.382929
0.0,2,336.415963
0.0,2,336.448361
0.0,2,336.484447
0.0,2,336.52096
0.0,2,336.556372
0.0,4,336.624022
0.0,2,336.658016
0.0,2,336.690809
0.0,2,336.724061
0.0,2,336.759124
0.0,2,340.102307
0.0,2,340.138016
0.0,3,340.191826
0.0,4,340.263223
0.0,2,340.298608
0.0,2,340.328132
0.0,3,340.382263
0.0,2,340.419111
0.0,4,340.479311
0.0,2,340.516413
0.0,2,340.551329
0.0,2,340.585437
0.0,2,340.619143
0.0,2,340.652274
0.0,2,340.688388
0.0,2,340.721839
0.0,2,340.761477
0.0,3,340.810974
0.0,7,340.925464
0.0,2,340.964301
0.0,3,341.013941
0.0,2,341.044851
0.0,2,341.080724
0.0,2,341.112136
