#{"t_start": 1667421501.6010828, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,881.471304
0.0,2,881.506957
0.0,4,881.571693
0.0,2,881.601607
0.0,4,881.669131
0.0,4,881.736112
0.0,2,881.772159
0.0,3,881.81781
0.0,3,881.864422
0.0,4,881.933594
0.0,2,881.967636
0.0,2,882.000489
0.0,2,882.026354
0.0,2,882.050364
0.0,3,882.097419
0.0,2,882.132196
0.0,3,882.185435
0.0,2,882.221593
0.0,2,882.258816
0.0,2,882.296559
0.0,5,882.390322
0.0,2,882.427779
0.0,6,882.529175
0.0,2,882.564867
0.0,3,882.620361
0.0,2,882.659043
0.0,2,882.691817
0.0,6,882.809727
0.0,2,882.847047
0.0,4,882.920415
0.0,2,882.960865
0.0,6,883.07689
0.0,3,883.133436
0.0,2,883.170732
0.0,2,883.210515
0.0,4,883.277999
0.0,2,883.314282
0.0,2,883.352508
0.0,2,883.388762
0.0,2,883.426679
0.0,7,883.546209
0.0,2,883.579818
0.0,4,883.644245
0.0,4,887.201231
0.0,6,887.300471
0.0,2,887.331571
0.0,2,887.365912
0.0,2,887.39881
0.0,4,887.468945
0.0,2,887.505926
0.0,2,887.538095
0.0,2,887.575403
0.0,2,887.609844
0.0,3,887.661188
0.0,6,887.769918
0.0,3,887.829079
0.0,2,887.861971
0.0,2,887.895259
0.0,2,887.929765
0.0,2,887.968214
0.0,2,887.999103
0.0,2,888.035113
0.0,2,888.073249
0.0,2,888.10819
0.0,4,888.185716
0.0,2,888.223011
0.0,5,888.318901
0.0,4,888.392264
0.0,3,888.447196
0.0,3,888.500263
0.0,2,888.552983
0.0,3,888.631543
0.0,2,888.669374
0.0,2,888.702934
0.0,2,888.743804
0.0,6,888.861866
0.0,2,888.898581
0.0,2,888.936303
0.0,2,888.974161
0.0,2,889.016494
0.0,2,889.054176
0.0,2,889.093566
0.0,4,889.164875
0.0,2,889.200758
0.0,4,889.274978
0.0,2,889.311035
0.0,2,889.35129
0.0,4,889.421074
0.0,2,889.454294
0.0,2,889.484739
0.0,2,889.518391
0.0,3,892.983183
0.0,2,893.020401
0.0,2,893.05487
0.0,2,893.08811
0.0,2,893.121678
0.0,2,893.155782
0.0,4,893.222205
0.0,2,893.256914
0.0,2,893.289123
0.0,2,893.324349
0.0,2,893.360445
0.0,2,893.393444
0.0,2,893.423179
0.0,2,893.453417
0.0,4,893.520609
0.0,2,893.559036
0.0,6,893.656846
0.0,2,893.690246
0.0,4,893.752852
0.0,2,893.790451
0.0,5,893.874535
0.0,2,893.905514
0.0,6,894.012159
0.0,2,894.048686
0.0,2,894.085202
0.0,7,894.203971
0.0,2,894.240422
0.0,2,894.294304
0.0,2,894.331108
0.0,2,894.369482
0.0,4,894.44426
0.0,5,894.530884
0.0,2,894.565018
0.0,4,894.633456
0.0,5,894.720539
0.0,2,894.758026
0.0,2,894.79592
0.0,2,894.833769
0.0,4,894.899404
0.0,2,894.937369
0.0,2,894.973931
0.0,4,895.043967
0.0,3,895.095948
0.0,4,895.164106
1.0,7,898.938284
1.0,7,899.055263
1.0,7,899.168738
1.0,7,899.296389
1.0,7,899.411842
1.0,7,899.526714
1.0,7,899.648122
1.0,7,899.769724
1.0,7,899.902159
1.0,7,900.031353
1.0,7,900.165167
1.0,7,900.300906
1.0,7,900.436946
1.0,7,900.57191
1.0,7,900.70206
1.0,7,900.833932
1.0,7,900.958523
1.0,7,901.087731
1.0,7,904.774923
1.0,7,904.884934
1.0,7,904.996034
1.0,7,905.110599
1.0,7,905.218597
1.0,7,905.341654
1.0,7,905.460188
1.0,7,905.578387
1.0,7,905.702876
1.0,7,905.83024
1.0,7,905.952178
1.0,7,906.079466
1.0,7,906.205084
1.0,7,906.339653
1.0,7,906.465111
1.0,7,906.595407
1.0,7,906.739544
1.0,7,906.859877
1.0,7,910.494816
1.0,7,910.603922
1.0,7,910.719233
1.0,7,910.834592
1.0,7,910.950889
1.0,7,911.06875
1.0,7,911.190467
1.0,7,911.308146
1.0,7,911.436272
1.0,7,911.568077
1.0,7,911.704056
1.0,7,911.839712
1.0,7,911.979156
1.0,7,912.113537
1.0,7,912.253944
1.0,7,912.378023
1.0,7,912.502663
1.0,7,912.627583
1.0,7,916.263244
1.0,7,916.387511
1.0,7,916.501637
1.0,7,916.613349
1.0,7,916.743033
1.0,7,916.860733
1.0,7,916.978165
1.0,7,917.097816
1.0,7,917.218021
1.0,7,917.346987
1.0,7,917.475681
1.0,7,917.612046
1.0,7,917.747904
1.0,7,917.878814
1.0,7,918.013876
1.0,7,918.147161
1.0,7,918.275492
1.0,7,918.396367
1.0,7,918.520866
1.0,7,922.158268
1.0,7,922.283863
1.0,7,922.394953
1.0,7,922.51298
1.0,7,922.634843
1.0,7,922.752336
1.0,7,922.870274
1.0,7,922.99161
1.0,7,923.123573
1.0,7,923.242588
1.0,7,923.367902
1.0,7,923.497319
1.0,7,923.629972
1.0,7,923.766855
1.0,7,923.896816
1.0,7,924.027845
1.0,7,924.14683
1.0,7,924.269074
1.0,7,927.98226
1.0,7,928.088665
1.0,7,928.208763
1.0,7,928.333177
1.0,7,928.447845
1.0,7,928.556895
1.0,7,928.677312
1.0,7,928.800915
1.0,7,928.915018
1.0,7,929.046915
1.0,7,929.168292
1.0,7,929.301602
1.0,7,929.430632
1.0,7,929.563686
1.0,7,929.699145
1.0,7,929.833465
1.0,7,929.964375
1.0,7,930.091556
0.0,6,933.787447
1.0,7,933.896449
0.0,6,933.990144
1.0,7,934.113451
1.0,7,934.234514
1.0,7,934.354879
1.0,7,934.471598
1.0,7,934.601473
1.0,7,934.728762
1.0,7,934.861979
1.0,7,934.986426
1.0,7,935.12475
1.0,7,935.260309
1.0,7,935.389355
1.0,7,935.517214
1.0,7,935.651731
1.0,7,935.783123
0.0,6,935.896832
1.0,7,936.025078
1.0,7,939.682075
1.0,7,939.795161
1.0,7,939.906687
1.0,7,940.026757
1.0,7,940.149377
1.0,7,940.27621
1.0,7,940.399195
1.0,7,940.522228
1.0,7,940.651713
1.0,7,940.778886
1.0,7,940.913876
1.0,7,941.05246
1.0,7,941.182382
1.0,7,941.304982
1.0,7,941.422839
1.0,7,941.548165
1.0,7,941.682249
1.0,7,941.814696
1.0,7,945.47244
1.0,7,945.577822
1.0,7,945.693304
1.0,7,945.809765
1.0,7,945.930814
1.0,7,946.055144
1.0,7,946.18246
1.0,7,946.30944
1.0,7,946.433909
1.0,7,946.565645
1.0,7,946.691326
1.0,7,946.819019
1.0,7,946.948331
1.0,7,947.078468
1.0,7,947.209712
1.0,7,947.346838
1.0,7,947.479376
1.0,7,947.601931
1.0,7,947.72569
0.0,2,951.272821
1.0,7,951.379358
1.0,7,951.486558
1.0,7,951.594534
1.0,7,951.713426
1.0,7,951.833432
1.0,7,951.95966
1.0,7,952.084707
1.0,7,952.212171
1.0,7,952.342546
1.0,7,952.474542
1.0,7,952.614809
1.0,7,952.750067
1.0,7,952.881086
1.0,7,953.010476
1.0,7,953.143962
1.0,7,953.273573
1.0,7,953.399563
1.0,7,953.516154
1.0,7,957.375529
1.0,7,957.472717
1.0,7,957.577903
1.0,7,957.685214
1.0,7,957.81031
1.0,7,957.938989
1.0,7,958.072114
1.0,7,958.208102
1.0,7,958.342199
1.0,7,958.474757
1.0,7,958.609757
1.0,7,958.742755
1.0,7,958.872239
1.0,7,959.006188
1.0,7,959.139612
1.0,7,959.276432
1.0,7,959.404669
1.0,7,959.529958
1.0,7,963.082554
1.0,7,963.211179
1.0,7,963.341287
1.0,7,963.447929
1.0,7,963.560738
1.0,7,963.681728
