#{"t_start": 1667421501.0209064, "env_id": "CTgraph-v0"}
r,l,t
0.0,2,882.049487
0.0,3,882.099994
0.0,2,882.133186
0.0,2,882.16715
0.0,2,882.19762
0.0,4,882.264763
0.0,2,882.296274
0.0,2,882.332884
0.0,2,882.366214
0.0,2,882.395896
0.0,2,882.428899
0.0,2,882.460203
0.0,4,882.528623
0.0,2,882.563855
0.0,2,882.592455
0.0,2,882.615871
0.0,2,882.642778
0.0,3,882.693761
0.0,4,882.763039
0.0,2,882.799749
0.0,2,882.836972
0.0,3,882.893389
0.0,2,882.931
0.0,2,882.968474
0.0,2,883.005487
0.0,4,883.075735
0.0,2,883.107384
0.0,2,883.143097
0.0,2,883.178991
0.0,2,883.218324
0.0,2,883.25357
0.0,2,883.290093
0.0,2,883.330569
0.0,2,883.367686
0.0,2,883.404754
0.0,2,883.445144
0.0,2,883.481352
0.0,2,883.518938
0.0,2,883.558735
0.0,2,883.594945
0.0,2,883.635153
0.0,3,883.692101
0.0,2,883.728637
0.0,2,883.768216
0.0,2,883.809195
0.0,4,883.875565
0.0,2,883.912981
0.0,2,883.946395
0.0,2,883.984591
0.0,2,884.024399
0.0,4,884.087533
0.0,2,884.123727
0.0,2,884.157568
0.0,2,884.190363
0.0,2,884.222293
0.0,2,884.256328
0.0,2,887.779042
0.0,2,887.811586
0.0,2,887.845049
0.0,2,887.878732
0.0,2,887.909632
0.0,2,887.944059
0.0,2,887.976292
0.0,2,888.011332
0.0,2,888.04708
0.0,2,888.083463
0.0,2,888.115844
0.0,2,888.153404
0.0,2,888.187706
0.0,4,888.258087
0.0,2,888.290934
0.0,2,888.328866
0.0,2,888.368666
0.0,2,888.407423
0.0,2,888.44042
0.0,2,888.473515
0.0,2,888.507751
0.0,2,888.54653
0.0,3,888.593816
0.0,4,888.670229
0.0,4,888.745095
0.0,4,888.820574
0.0,2,888.860137
0.0,4,888.9342
0.0,4,889.006042
0.0,2,889.041997
0.0,4,889.114406
0.0,2,889.171556
0.0,2,889.231599
0.0,2,889.26247
0.0,2,889.302643
0.0,2,889.34045
0.0,2,889.377676
0.0,2,889.418594
0.0,2,889.46023
0.0,2,889.498052
0.0,2,889.536159
0.0,3,889.594678
0.0,4,889.670965
0.0,2,889.708856
0.0,4,889.778764
0.0,2,889.819612
0.0,2,889.853181
0.0,2,889.889105
0.0,3,889.949964
0.0,2,889.982953
0.0,2,890.016364
0.0,2,890.046256
0.0,2,890.080699
0.0,2,893.527145
0.0,2,893.561063
0.0,4,893.632544
0.0,3,893.683772
0.0,3,893.734064
0.0,2,893.767215
0.0,2,893.800553
0.0,4,893.867453
0.0,4,893.938436
0.0,2,893.971453
0.0,4,894.031527
0.0,2,894.062349
0.0,2,894.09843
0.0,4,894.174458
0.0,2,894.204649
0.0,3,894.25295
0.0,3,894.302732
0.0,6,894.402694
0.0,4,894.468009
0.0,2,894.49966
0.0,4,894.569953
0.0,2,894.610623
0.0,2,894.647622
0.0,4,894.711975
0.0,2,894.744956
0.0,2,894.781986
0.0,3,894.840074
0.0,6,894.968618
0.0,2,895.006754
0.0,2,895.041027
0.0,5,895.125129
0.0,2,895.159307
0.0,5,895.245732
0.0,4,895.316097
0.0,4,895.390616
0.0,2,895.427725
0.0,2,895.460881
0.0,2,895.496337
0.0,4,895.569741
0.0,2,895.602172
0.0,2,895.638963
0.0,2,895.674419
0.0,4,895.742357
1.0,7,899.516076
1.0,7,899.63318
1.0,7,899.746573
1.0,7,899.874069
1.0,7,899.989478
1.0,7,900.104347
1.0,7,900.225741
1.0,7,900.347107
1.0,7,900.479672
1.0,7,900.608886
1.0,7,900.742908
1.0,7,900.878386
1.0,7,901.014586
1.0,7,901.149729
1.0,7,901.2796
1.0,7,901.411511
1.0,7,901.536358
1.0,7,901.665282
1.0,7,905.352741
1.0,7,905.462851
1.0,7,905.57427
1.0,7,905.688699
1.0,7,905.796667
1.0,7,905.919536
1.0,7,906.037877
1.0,7,906.156137
1.0,7,906.280662
1.0,7,906.407967
0.0,7,906.530444
1.0,7,906.657733
1.0,7,906.782648
1.0,7,906.917409
1.0,7,907.043021
1.0,7,907.173391
1.0,7,907.296725
1.0,7,907.43767
1.0,7,911.072805
1.0,7,911.181937
1.0,7,911.296905
1.0,7,911.412576
1.0,7,911.529015
1.0,7,911.646912
1.0,7,911.76783
1.0,7,911.885699
1.0,7,912.014328
1.0,7,912.146132
1.0,7,912.282124
1.0,7,912.417623
1.0,7,912.557118
0.0,6,912.671558
1.0,7,912.81301
1.0,7,912.936626
1.0,7,913.064138
1.0,7,913.187266
1.0,7,913.312346
1.0,7,916.947032
1.0,7,917.063057
1.0,7,917.173719
0.0,3,917.222419
1.0,7,917.354922
1.0,7,917.472776
1.0,7,917.590503
1.0,7,917.709882
1.0,7,917.832387
1.0,7,917.96125
1.0,7,918.09166
1.0,7,918.228597
1.0,7,918.364093
1.0,7,918.495633
1.0,7,918.630405
1.0,7,918.763242
1.0,7,918.888318
1.0,7,919.011462
1.0,7,922.649572
1.0,7,922.772876
1.0,7,922.895355
1.0,7,923.005077
1.0,7,923.126119
1.0,7,923.248611
1.0,7,923.364331
1.0,7,923.48249
1.0,7,923.607266
1.0,7,923.735142
1.0,7,923.855728
1.0,7,923.980748
1.0,7,924.112955
1.0,7,924.24631
1.0,7,924.382129
1.0,7,924.509041
1.0,7,924.640654
1.0,7,924.759647
1.0,7,924.879382
1.0,7,928.592593
1.0,7,928.704404
1.0,7,928.823305
1.0,7,928.94875
1.0,7,929.058098
1.0,7,929.166125
1.0,7,929.292008
1.0,7,929.412021
1.0,7,929.527197
1.0,7,929.65992
1.0,7,929.786725
1.0,7,929.914253
1.0,7,930.050749
1.0,7,930.179474
1.0,7,930.315686
1.0,7,930.449966
1.0,7,930.577108
1.0,7,930.708527
1.0,7,934.415103
1.0,7,934.521003
1.0,7,934.637486
1.0,7,934.764371
